Repository,User,Frequency,,
D-Programming-Language_dmd.csv,0xEAB,1,NA,NA
D-Programming-Language_dmd.csv,alphaKAI,1,NA,NA
D-Programming-Language_dmd.csv,andrej-mitrovic-sociomantic,1,NA,NA
D-Programming-Language_dmd.csv,arBmind,1,NA,NA
D-Programming-Language_dmd.csv,asterite,1,NA,NA
D-Programming-Language_dmd.csv,asuhan,1,NA,NA
D-Programming-Language_dmd.csv,belka-ew,1,NA,NA
D-Programming-Language_dmd.csv,bhelyer,1,NA,NA
D-Programming-Language_dmd.csv,bioinfornatics,1,NA,NA
D-Programming-Language_dmd.csv,biozic,1,NA,NA
D-Programming-Language_dmd.csv,burner,1,NA,NA
D-Programming-Language_dmd.csv,chadjoan,1,NA,NA
D-Programming-Language_dmd.csv,Computermatronic,1,NA,NA
D-Programming-Language_dmd.csv,D8174,1,NA,NA
D-Programming-Language_dmd.csv,damianday,1,NA,NA
D-Programming-Language_dmd.csv,dcarp,1,NA,NA
D-Programming-Language_dmd.csv,deadalnix,1,NA,NA
D-Programming-Language_dmd.csv,DmitryOlshansky,1,NA,NA
D-Programming-Language_dmd.csv,don-clugston-sociomantic,1,NA,NA
D-Programming-Language_dmd.csv,dragoon2014,1,NA,NA
D-Programming-Language_dmd.csv,dsagal,1,NA,NA
D-Programming-Language_dmd.csv,dsp,1,NA,NA
D-Programming-Language_dmd.csv,etcimon,1,NA,NA
D-Programming-Language_dmd.csv,flaviommedeiros,1,NA,NA
D-Programming-Language_dmd.csv,GabyForceQ,1,NA,NA
D-Programming-Language_dmd.csv,gapdan,1,NA,NA
D-Programming-Language_dmd.csv,GoaLitiuM,1,NA,NA
D-Programming-Language_dmd.csv,jamestn,1,NA,NA
D-Programming-Language_dmd.csv,jcrapuchettes,1,NA,NA
D-Programming-Language_dmd.csv,jholewinski,1,NA,NA
D-Programming-Language_dmd.csv,jkm,1,NA,NA
D-Programming-Language_dmd.csv,jkrempus,1,NA,NA
D-Programming-Language_dmd.csv,jnschulze,1,NA,NA
D-Programming-Language_dmd.csv,joakim-brannstrom,1,NA,NA
D-Programming-Language_dmd.csv,jordisayol,1,NA,NA
D-Programming-Language_dmd.csv,leitimmel,1,NA,NA
D-Programming-Language_dmd.csv,lgvz,1,NA,NA
D-Programming-Language_dmd.csv,llucenic,1,NA,NA
D-Programming-Language_dmd.csv,ltcmelo,1,NA,NA
D-Programming-Language_dmd.csv,Marenz,1,NA,NA
D-Programming-Language_dmd.csv,MasonMcGill,1,NA,NA
D-Programming-Language_dmd.csv,monarchdodra,1,NA,NA
D-Programming-Language_dmd.csv,monkeywithacupcake,1,NA,NA
D-Programming-Language_dmd.csv,nazriel,1,NA,NA
D-Programming-Language_dmd.csv,NVolcz,1,NA,NA
D-Programming-Language_dmd.csv,ohjames,1,NA,NA
D-Programming-Language_dmd.csv,ony,1,NA,NA
D-Programming-Language_dmd.csv,pjotrp,1,NA,NA
D-Programming-Language_dmd.csv,pszturmaj,1,NA,NA
D-Programming-Language_dmd.csv,Pursche,1,NA,NA
D-Programming-Language_dmd.csv,rawler,1,NA,NA
D-Programming-Language_dmd.csv,RB-01,1,NA,NA
D-Programming-Language_dmd.csv,repeatedly,1,NA,NA
D-Programming-Language_dmd.csv,revellian,1,NA,NA
D-Programming-Language_dmd.csv,rikkimax,1,NA,NA
D-Programming-Language_dmd.csv,sgraf812,1,NA,NA
D-Programming-Language_dmd.csv,skl131313,1,NA,NA
D-Programming-Language_dmd.csv,SSPkrolik,1,NA,NA
D-Programming-Language_dmd.csv,stevepeak,1,NA,NA
D-Programming-Language_dmd.csv,Temtaime,1,NA,NA
D-Programming-Language_dmd.csv,TheDharc,1,NA,NA
D-Programming-Language_dmd.csv,timesqueezer,1,NA,NA
D-Programming-Language_dmd.csv,torarin,1,NA,NA
D-Programming-Language_dmd.csv,venix1,1,NA,NA
D-Programming-Language_dmd.csv,void-995,1,NA,NA
D-Programming-Language_dmd.csv,WebDrake,1,NA,NA
D-Programming-Language_dmd.csv,welkam,1,NA,NA
D-Programming-Language_dmd.csv,wrzoski,1,NA,NA
D-Programming-Language_dmd.csv,Yoplitein,1,NA,NA
HuiLi_Sqlite3.07.14.csv,abcnanmu,1,NA,NA
HuiLi_Sqlite3.07.14.csv,anrui123,1,NA,NA
HuiLi_Sqlite3.07.14.csv,FengRenQunShan,1,NA,NA
HuiLi_Sqlite3.07.14.csv,ganxutong,1,NA,NA
HuiLi_Sqlite3.07.14.csv,lichaoying11,1,NA,NA
HuiLi_Sqlite3.07.14.csv,lkinl,1,NA,NA
HuiLi_Sqlite3.07.14.csv,longgegeZHL,1,NA,NA
HuiLi_Sqlite3.07.14.csv,lrlrlrtc,1,NA,NA
HuiLi_Sqlite3.07.14.csv,qq1414789414,1,NA,NA
HuiLi_Sqlite3.07.14.csv,shushengxing,1,NA,NA
HuiLi_Sqlite3.07.14.csv,Sundaylf,1,NA,NA
HuiLi_Sqlite3.07.14.csv,wanglei666,1,NA,NA
HuiLi_Sqlite3.07.14.csv,wmarquesr,1,NA,NA
HuiLi_Sqlite3.07.14.csv,YangYan15,1,NA,NA
linuxmint_Cinnamon.csv,acbramley,1,NA,NA
linuxmint_Cinnamon.csv,adi-berindei,1,NA,NA
linuxmint_Cinnamon.csv,ageis,1,NA,NA
linuxmint_Cinnamon.csv,aleksey-novikov,1,NA,NA
linuxmint_Cinnamon.csv,amatus-,1,NA,NA
linuxmint_Cinnamon.csv,andrepontesmelo,1,NA,NA
linuxmint_Cinnamon.csv,andyn,1,NA,NA
linuxmint_Cinnamon.csv,arbrandes,1,NA,NA
linuxmint_Cinnamon.csv,bettiolo,1,NA,NA
linuxmint_Cinnamon.csv,binhonglee,1,NA,NA
linuxmint_Cinnamon.csv,blasphemy,1,NA,NA
linuxmint_Cinnamon.csv,blockcoder,1,NA,NA
linuxmint_Cinnamon.csv,BloodFever5634,1,NA,NA
linuxmint_Cinnamon.csv,bogbert,1,NA,NA
linuxmint_Cinnamon.csv,brouillon,1,NA,NA
linuxmint_Cinnamon.csv,bwright1558,1,NA,NA
linuxmint_Cinnamon.csv,cavebeat,1,NA,NA
linuxmint_Cinnamon.csv,Cedna,1,NA,NA
linuxmint_Cinnamon.csv,ChrisJAllan,1,NA,NA
linuxmint_Cinnamon.csv,Cinnamal,1,NA,NA
linuxmint_Cinnamon.csv,clfarron4,1,NA,NA
linuxmint_Cinnamon.csv,cmcginty,1,NA,NA
linuxmint_Cinnamon.csv,codeTom,1,NA,NA
linuxmint_Cinnamon.csv,Curly060,1,NA,NA
