Repository,User,Frequency,,
D-Programming-Language_dmd.csv,9il,7,NA,NA
D-Programming-Language_dmd.csv,9rnsr,1428,NA,NA
D-Programming-Language_dmd.csv,adamdruppe,8,NA,NA
D-Programming-Language_dmd.csv,aG0aep6G,9,NA,NA
D-Programming-Language_dmd.csv,alexrp,23,NA,NA
D-Programming-Language_dmd.csv,andralex,11,NA,NA
D-Programming-Language_dmd.csv,AndrejMitrovic,10,NA,NA
D-Programming-Language_dmd.csv,AndrewEdwards,7,NA,NA
D-Programming-Language_dmd.csv,andron,6,NA,NA
D-Programming-Language_dmd.csv,atilaneves,3,NA,NA
D-Programming-Language_dmd.csv,BBasile,13,NA,NA
D-Programming-Language_dmd.csv,belm0,3,NA,NA
D-Programming-Language_dmd.csv,brad-anderson,11,NA,NA
D-Programming-Language_dmd.csv,braddr,108,NA,NA
D-Programming-Language_dmd.csv,carlor,4,NA,NA
D-Programming-Language_dmd.csv,Cauterite,5,NA,NA
D-Programming-Language_dmd.csv,ckamm,3,NA,NA
D-Programming-Language_dmd.csv,complexmath,7,NA,NA
D-Programming-Language_dmd.csv,CyberShadow,39,NA,NA
D-Programming-Language_dmd.csv,denis-sh,3,NA,NA
D-Programming-Language_dmd.csv,dgileadi,4,NA,NA
D-Programming-Language_dmd.csv,dheld,8,NA,NA
D-Programming-Language_dmd.csv,donc,218,NA,NA
D-Programming-Language_dmd.csv,dsimcha,3,NA,NA
D-Programming-Language_dmd.csv,FeepingCreature,8,NA,NA
D-Programming-Language_dmd.csv,gchatelet,3,NA,NA
D-Programming-Language_dmd.csv,Geod24,47,NA,NA
D-Programming-Language_dmd.csv,ghost,189,NA,NA
D-Programming-Language_dmd.csv,glycerine,3,NA,NA
D-Programming-Language_dmd.csv,Govelius,15,NA,NA
D-Programming-Language_dmd.csv,hpohl,5,NA,NA
D-Programming-Language_dmd.csv,ibuclaw,235,NA,NA
D-Programming-Language_dmd.csv,IgorStepanov,25,NA,NA
D-Programming-Language_dmd.csv,Ingrater,3,NA,NA
D-Programming-Language_dmd.csv,jacob-carlborg,30,NA,NA
D-Programming-Language_dmd.csv,jasonbking,3,NA,NA
D-Programming-Language_dmd.csv,JinShil,109,NA,NA
D-Programming-Language_dmd.csv,jmaschme,3,NA,NA
D-Programming-Language_dmd.csv,jmdavis,9,NA,NA
D-Programming-Language_dmd.csv,joakim-noah,4,NA,NA
D-Programming-Language_dmd.csv,JohanEngelen,24,NA,NA
D-Programming-Language_dmd.csv,John-Colvin,3,NA,NA
D-Programming-Language_dmd.csv,jpf91,16,NA,NA
D-Programming-Language_dmd.csv,kennytm,30,NA,NA
D-Programming-Language_dmd.csv,kinke,32,NA,NA
D-Programming-Language_dmd.csv,klickverbot,41,NA,NA
D-Programming-Language_dmd.csv,kubo39,5,NA,NA
D-Programming-Language_dmd.csv,leandro-lucarella-sociomantic,30,NA,NA
D-Programming-Language_dmd.csv,LemonBoy,13,NA,NA
D-Programming-Language_dmd.csv,LightBender,5,NA,NA
D-Programming-Language_dmd.csv,lionello,18,NA,NA
D-Programming-Language_dmd.csv,llucax,18,NA,NA
D-Programming-Language_dmd.csv,luismarques,6,NA,NA
D-Programming-Language_dmd.csv,marler8997,47,NA,NA
D-Programming-Language_dmd.csv,MartinNowak,316,NA,NA
D-Programming-Language_dmd.csv,mathias-lang-sociomantic,28,NA,NA
D-Programming-Language_dmd.csv,MetaLang,3,NA,NA
D-Programming-Language_dmd.csv,michelf,7,NA,NA
D-Programming-Language_dmd.csv,mihails-strasuns,15,NA,NA
D-Programming-Language_dmd.csv,mihails-strasuns-sociomantic,12,NA,NA
D-Programming-Language_dmd.csv,mleise,3,NA,NA
D-Programming-Language_dmd.csv,mrmonday,5,NA,NA
D-Programming-Language_dmd.csv,n8sh,6,NA,NA
D-Programming-Language_dmd.csv,nemanja-boric-sociomantic,3,NA,NA
D-Programming-Language_dmd.csv,NilsBossung,4,NA,NA
D-Programming-Language_dmd.csv,nordlow,6,NA,NA
D-Programming-Language_dmd.csv,ntrel,17,NA,NA
D-Programming-Language_dmd.csv,NULL,59,NA,NA
D-Programming-Language_dmd.csv,Orvid,10,NA,NA
D-Programming-Language_dmd.csv,Passw,3,NA,NA
D-Programming-Language_dmd.csv,Poita,4,NA,NA
D-Programming-Language_dmd.csv,qchikara,3,NA,NA
D-Programming-Language_dmd.csv,quickfur,21,NA,NA
D-Programming-Language_dmd.csv,rainers,134,NA,NA
D-Programming-Language_dmd.csv,RazvanN7,84,NA,NA
D-Programming-Language_dmd.csv,redstar,30,NA,NA
D-Programming-Language_dmd.csv,Safety0ff,6,NA,NA
D-Programming-Language_dmd.csv,schuetzm,8,NA,NA
D-Programming-Language_dmd.csv,schveiguy,6,NA,NA
D-Programming-Language_dmd.csv,smolt,6,NA,NA
D-Programming-Language_dmd.csv,somzzz,3,NA,NA
D-Programming-Language_dmd.csv,tgehr,5,NA,NA
D-Programming-Language_dmd.csv,thewilsonator,13,NA,NA
D-Programming-Language_dmd.csv,timotheecour,7,NA,NA
D-Programming-Language_dmd.csv,tramker,3,NA,NA
D-Programming-Language_dmd.csv,Trass3r,8,NA,NA
D-Programming-Language_dmd.csv,tsbockman,4,NA,NA
D-Programming-Language_dmd.csv,TurkeyMan,26,NA,NA
D-Programming-Language_dmd.csv,UplinkCoder,18,NA,NA
D-Programming-Language_dmd.csv,WalterBright,948,NA,NA
D-Programming-Language_dmd.csv,wilzbach,206,NA,NA
D-Programming-Language_dmd.csv,yebblies,544,NA,NA
D-Programming-Language_dmd.csv,yglukhov,4,NA,NA
D-Programming-Language_dmd.csv,yshui,3,NA,NA
D-Programming-Language_dmd.csv,ZombineDev,4,NA,NA
HuiLi_Sqlite3.07.14.csv,carolchao,5,NA,NA
HuiLi_Sqlite3.07.14.csv,gxlymm,5,NA,NA
HuiLi_Sqlite3.07.14.csv,hiekay,5,NA,NA
HuiLi_Sqlite3.07.14.csv,joannahnn,8,NA,NA
HuiLi_Sqlite3.07.14.csv,JunpengCode,3,NA,NA
HuiLi_Sqlite3.07.14.csv,Kayjerry,13,NA,NA
HuiLi_Sqlite3.07.14.csv,kongweitian,5,NA,NA
HuiLi_Sqlite3.07.14.csv,Liyiqiao,3,NA,NA
HuiLi_Sqlite3.07.14.csv,lm886289,3,NA,NA
HuiLi_Sqlite3.07.14.csv,longlin1215,3,NA,NA
HuiLi_Sqlite3.07.14.csv,LYleonard,4,NA,NA
HuiLi_Sqlite3.07.14.csv,PengJi,6,NA,NA
HuiLi_Sqlite3.07.14.csv,pgz1991,7,NA,NA
HuiLi_Sqlite3.07.14.csv,tangpan00,6,NA,NA
HuiLi_Sqlite3.07.14.csv,wangrui93,3,NA,NA
HuiLi_Sqlite3.07.14.csv,wysheng,3,NA,NA
HuiLi_Sqlite3.07.14.csv,yankaics,9,NA,NA
HuiLi_Sqlite3.07.14.csv,yaojiajun,3,NA,NA
HuiLi_Sqlite3.07.14.csv,yyy0921,3,NA,NA
linuxmint_Cinnamon.csv,abdouskamel,3,NA,NA
