Repository,Test,Situation,Total,% com/sem,% total,,
D-Programming-Language_dmd.csv,TRUE,Open,0,0,0,,
D-Programming-Language_dmd.csv,TRUE,Closed,1,6.67,4.76,,
D-Programming-Language_dmd.csv,TRUE,Merged,14,93.33,66.67,,
D-Programming-Language_dmd.csv,FALSE,Open,0,0,0,,
D-Programming-Language_dmd.csv,FALSE,Closed,0,0,0,,
D-Programming-Language_dmd.csv,FALSE,Merged,6,100,28.57,,
HuiLi_Sqlite3.07.14.csv,TRUE,Open,0,NA,0,,
HuiLi_Sqlite3.07.14.csv,TRUE,Closed,0,NA,0,,
HuiLi_Sqlite3.07.14.csv,TRUE,Merged,0,NA,0,,
HuiLi_Sqlite3.07.14.csv,FALSE,Open,0,0,0,,
HuiLi_Sqlite3.07.14.csv,FALSE,Closed,3,30,30,,
HuiLi_Sqlite3.07.14.csv,FALSE,Merged,7,70,70,,
linuxmint_Cinnamon.csv,TRUE,Open,0,NA,0,,
linuxmint_Cinnamon.csv,TRUE,Closed,0,NA,0,,
linuxmint_Cinnamon.csv,TRUE,Merged,0,NA,0,,
linuxmint_Cinnamon.csv,FALSE,Open,0,0,0,,
linuxmint_Cinnamon.csv,FALSE,Closed,5,17.24,17.24,,
linuxmint_Cinnamon.csv,FALSE,Merged,24,82.76,82.76,,
mapserver_mapserver.csv,TRUE,Open,0,0,0,,
mapserver_mapserver.csv,TRUE,Closed,2,33.33,10.53,,
mapserver_mapserver.csv,TRUE,Merged,4,66.67,21.05,,
mapserver_mapserver.csv,FALSE,Open,0,0,0,,
mapserver_mapserver.csv,FALSE,Closed,4,30.77,21.05,,
mapserver_mapserver.csv,FALSE,Merged,9,69.23,47.37,,
mruby_mruby.csv,TRUE,Open,3,16.67,10,,
mruby_mruby.csv,TRUE,Closed,4,22.22,13.33,,
mruby_mruby.csv,TRUE,Merged,11,61.11,36.67,,
mruby_mruby.csv,FALSE,Open,0,0,0,,
mruby_mruby.csv,FALSE,Closed,1,8.33,3.33,,
mruby_mruby.csv,FALSE,Merged,11,91.67,36.67,,
neovim_neovim.csv,TRUE,Open,5,9.62,5.05,,
neovim_neovim.csv,TRUE,Closed,19,36.54,19.19,,
neovim_neovim.csv,TRUE,Merged,28,53.85,28.28,,
neovim_neovim.csv,FALSE,Open,0,0,0,,
neovim_neovim.csv,FALSE,Closed,29,61.7,29.29,,
neovim_neovim.csv,FALSE,Merged,18,38.3,18.18,,
numpy_numpy.csv,TRUE,Open,9,7.69,5.56,,
numpy_numpy.csv,TRUE,Closed,21,17.95,12.96,,
numpy_numpy.csv,TRUE,Merged,87,74.36,53.7,,
numpy_numpy.csv,FALSE,Open,0,0,0,,
numpy_numpy.csv,FALSE,Closed,8,17.78,4.94,,
numpy_numpy.csv,FALSE,Merged,37,82.22,22.84,,
opentx_opentx.csv,TRUE,Open,0,0,0,,
opentx_opentx.csv,TRUE,Closed,0,0,0,,
opentx_opentx.csv,TRUE,Merged,3,100,20,,
opentx_opentx.csv,FALSE,Open,0,0,0,,
opentx_opentx.csv,FALSE,Closed,0,0,0,,
opentx_opentx.csv,FALSE,Merged,12,100,80,,
scipy_scipy.csv,TRUE,Open,9,12.86,9.18,,
scipy_scipy.csv,TRUE,Closed,9,12.86,9.18,,
scipy_scipy.csv,TRUE,Merged,52,74.29,53.06,,
scipy_scipy.csv,FALSE,Open,0,0,0,,
scipy_scipy.csv,FALSE,Closed,8,28.57,8.16,,
scipy_scipy.csv,FALSE,Merged,20,71.43,20.41,,
WhisperSystems_Signal-iOS.csv,TRUE,Open,0,0,0,,
WhisperSystems_Signal-iOS.csv,TRUE,Closed,2,100,9.09,,
WhisperSystems_Signal-iOS.csv,TRUE,Merged,0,0,0,,
WhisperSystems_Signal-iOS.csv,FALSE,Open,0,0,0,,
WhisperSystems_Signal-iOS.csv,FALSE,Closed,7,35,31.82,,
WhisperSystems_Signal-iOS.csv,FALSE,Merged,13,65,59.09,,
