Repository,Test,Situation,Total,% com/sem,% total,,
D-Programming-Language_dmd.csv,TRUE,Open,0,0,0,,
D-Programming-Language_dmd.csv,TRUE,Closed,6,17.14,8.82,,
D-Programming-Language_dmd.csv,TRUE,Merged,29,82.86,42.65,,
D-Programming-Language_dmd.csv,FALSE,Open,0,0,0,,
D-Programming-Language_dmd.csv,FALSE,Closed,4,12.12,5.88,,
D-Programming-Language_dmd.csv,FALSE,Merged,29,87.88,42.65,,
HuiLi_Sqlite3.07.14.csv,TRUE,Open,0,0,0,,
HuiLi_Sqlite3.07.14.csv,TRUE,Closed,0,0,0,,
HuiLi_Sqlite3.07.14.csv,TRUE,Merged,1,100,7.14,,
HuiLi_Sqlite3.07.14.csv,FALSE,Open,0,0,0,,
HuiLi_Sqlite3.07.14.csv,FALSE,Closed,4,30.77,28.57,,
HuiLi_Sqlite3.07.14.csv,FALSE,Merged,9,69.23,64.29,,
linuxmint_Cinnamon.csv,TRUE,Open,0,0,0,,
linuxmint_Cinnamon.csv,TRUE,Closed,0,0,0,,
linuxmint_Cinnamon.csv,TRUE,Merged,2,100,1.26,,
linuxmint_Cinnamon.csv,FALSE,Open,1,0.64,0.63,,
linuxmint_Cinnamon.csv,FALSE,Closed,34,21.66,21.38,,
linuxmint_Cinnamon.csv,FALSE,Merged,122,77.71,76.73,,
mapserver_mapserver.csv,TRUE,Open,0,0,0,,
mapserver_mapserver.csv,TRUE,Closed,2,20,4.76,,
mapserver_mapserver.csv,TRUE,Merged,8,80,19.05,,
mapserver_mapserver.csv,FALSE,Open,0,0,0,,
mapserver_mapserver.csv,FALSE,Closed,13,40.62,30.95,,
mapserver_mapserver.csv,FALSE,Merged,19,59.38,45.24,,
mruby_mruby.csv,TRUE,Open,0,0,0,,
mruby_mruby.csv,TRUE,Closed,8,23.53,8.79,,
mruby_mruby.csv,TRUE,Merged,26,76.47,28.57,,
mruby_mruby.csv,FALSE,Open,1,1.75,1.1,,
mruby_mruby.csv,FALSE,Closed,4,7.02,4.4,,
mruby_mruby.csv,FALSE,Merged,52,91.23,57.14,,
neovim_neovim.csv,TRUE,Open,9,7.14,2.63,,
neovim_neovim.csv,TRUE,Closed,28,22.22,8.19,,
neovim_neovim.csv,TRUE,Merged,89,70.63,26.02,,
neovim_neovim.csv,FALSE,Open,11,5.09,3.22,,
neovim_neovim.csv,FALSE,Closed,92,42.59,26.9,,
neovim_neovim.csv,FALSE,Merged,113,52.31,33.04,,
numpy_numpy.csv,TRUE,Open,40,13.89,6.88,,
numpy_numpy.csv,TRUE,Closed,48,16.67,8.26,,
numpy_numpy.csv,TRUE,Merged,200,69.44,34.42,,
numpy_numpy.csv,FALSE,Open,21,7.17,3.61,,
numpy_numpy.csv,FALSE,Closed,50,17.06,8.61,,
numpy_numpy.csv,FALSE,Merged,222,75.77,38.21,,
opentx_opentx.csv,TRUE,Open,1,33.33,1.89,,
opentx_opentx.csv,TRUE,Closed,0,0,0,,
opentx_opentx.csv,TRUE,Merged,2,66.67,3.77,,
opentx_opentx.csv,FALSE,Open,4,8,7.55,,
opentx_opentx.csv,FALSE,Closed,6,12,11.32,,
opentx_opentx.csv,FALSE,Merged,40,80,75.47,,
scipy_scipy.csv,TRUE,Open,49,18.35,10.27,,
scipy_scipy.csv,TRUE,Closed,37,13.86,7.76,,
scipy_scipy.csv,TRUE,Merged,181,67.79,37.95,,
scipy_scipy.csv,FALSE,Open,19,9.05,3.98,,
scipy_scipy.csv,FALSE,Closed,31,14.76,6.5,,
scipy_scipy.csv,FALSE,Merged,160,76.19,33.54,,
WhisperSystems_Signal-iOS.csv,TRUE,Open,0,0,0,,
WhisperSystems_Signal-iOS.csv,TRUE,Closed,1,25,1.79,,
WhisperSystems_Signal-iOS.csv,TRUE,Merged,3,75,5.36,,
WhisperSystems_Signal-iOS.csv,FALSE,Open,7,13.46,12.5,,
WhisperSystems_Signal-iOS.csv,FALSE,Closed,23,44.23,41.07,,
WhisperSystems_Signal-iOS.csv,FALSE,Merged,22,42.31,39.29,,
