Repository,Test,Situation,Total,% com/sem,% total,,
D-Programming-Language_dmd.csv,TRUE,Open,0,0,0,,
D-Programming-Language_dmd.csv,TRUE,Closed,18,19.35,18.95,,
D-Programming-Language_dmd.csv,TRUE,Merged,75,80.65,78.95,,
D-Programming-Language_dmd.csv,FALSE,Open,0,0,0,,
D-Programming-Language_dmd.csv,FALSE,Closed,0,0,0,,
D-Programming-Language_dmd.csv,FALSE,Merged,2,100,2.11,,
HuiLi_Sqlite3.07.14.csv,TRUE,Open,0,0,0,,
HuiLi_Sqlite3.07.14.csv,TRUE,Closed,0,0,0,,
HuiLi_Sqlite3.07.14.csv,TRUE,Merged,3,100,15.79,,
HuiLi_Sqlite3.07.14.csv,FALSE,Open,0,0,0,,
HuiLi_Sqlite3.07.14.csv,FALSE,Closed,5,31.25,26.32,,
HuiLi_Sqlite3.07.14.csv,FALSE,Merged,11,68.75,57.89,,
linuxmint_Cinnamon.csv,TRUE,Open,0,0,0,,
linuxmint_Cinnamon.csv,TRUE,Closed,2,13.33,3.45,,
linuxmint_Cinnamon.csv,TRUE,Merged,13,86.67,22.41,,
linuxmint_Cinnamon.csv,FALSE,Open,0,0,0,,
linuxmint_Cinnamon.csv,FALSE,Closed,9,20.93,15.52,,
linuxmint_Cinnamon.csv,FALSE,Merged,34,79.07,58.62,,
mapserver_mapserver.csv,TRUE,Open,0,0,0,,
mapserver_mapserver.csv,TRUE,Closed,10,45.45,31.25,,
mapserver_mapserver.csv,TRUE,Merged,12,54.55,37.5,,
mapserver_mapserver.csv,FALSE,Open,0,0,0,,
mapserver_mapserver.csv,FALSE,Closed,6,60,18.75,,
mapserver_mapserver.csv,FALSE,Merged,4,40,12.5,,
mruby_mruby.csv,TRUE,Open,2,2.5,1.85,,
mruby_mruby.csv,TRUE,Closed,10,12.5,9.26,,
mruby_mruby.csv,TRUE,Merged,68,85,62.96,,
mruby_mruby.csv,FALSE,Open,0,0,0,,
mruby_mruby.csv,FALSE,Closed,5,17.86,4.63,,
mruby_mruby.csv,FALSE,Merged,23,82.14,21.3,,
neovim_neovim.csv,TRUE,Open,7,4.52,3.87,,
neovim_neovim.csv,TRUE,Closed,62,40,34.25,,
neovim_neovim.csv,TRUE,Merged,86,55.48,47.51,,
neovim_neovim.csv,FALSE,Open,0,0,0,,
neovim_neovim.csv,FALSE,Closed,15,57.69,8.29,,
neovim_neovim.csv,FALSE,Merged,11,42.31,6.08,,
numpy_numpy.csv,TRUE,Open,1,0.55,0.51,,
numpy_numpy.csv,TRUE,Closed,52,28.57,26.67,,
numpy_numpy.csv,TRUE,Merged,129,70.88,66.15,,
numpy_numpy.csv,FALSE,Open,0,0,0,,
numpy_numpy.csv,FALSE,Closed,4,30.77,2.05,,
numpy_numpy.csv,FALSE,Merged,9,69.23,4.62,,
opentx_opentx.csv,TRUE,Open,0,0,0,,
opentx_opentx.csv,TRUE,Closed,3,15.79,6.82,,
opentx_opentx.csv,TRUE,Merged,16,84.21,36.36,,
opentx_opentx.csv,FALSE,Open,0,0,0,,
opentx_opentx.csv,FALSE,Closed,4,16,9.09,,
opentx_opentx.csv,FALSE,Merged,21,84,47.73,,
scipy_scipy.csv,TRUE,Open,6,4.14,3.82,,
scipy_scipy.csv,TRUE,Closed,32,22.07,20.38,,
scipy_scipy.csv,TRUE,Merged,107,73.79,68.15,,
scipy_scipy.csv,FALSE,Open,0,0,0,,
scipy_scipy.csv,FALSE,Closed,2,16.67,1.27,,
scipy_scipy.csv,FALSE,Merged,10,83.33,6.37,,
WhisperSystems_Signal-iOS.csv,TRUE,Open,1,7.69,3.7,,
WhisperSystems_Signal-iOS.csv,TRUE,Closed,5,38.46,18.52,,
WhisperSystems_Signal-iOS.csv,TRUE,Merged,7,53.85,25.93,,
WhisperSystems_Signal-iOS.csv,FALSE,Open,0,0,0,,
WhisperSystems_Signal-iOS.csv,FALSE,Closed,6,42.86,22.22,,
WhisperSystems_Signal-iOS.csv,FALSE,Merged,8,57.14,29.63,,
