Repository,User,Pull number,Test,Situation,,
D-Programming-Language_dmd.csv,9il,3991,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,9rnsr,29,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,adamdruppe,769,TRUE,Closed,NA,NA
D-Programming-Language_dmd.csv,aG0aep6G,4861,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,alexrp,489,TRUE,Closed,NA,NA
D-Programming-Language_dmd.csv,andralex,1428,TRUE,Closed,NA,NA
D-Programming-Language_dmd.csv,AndrejMitrovic,5185,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,AndrewEdwards,3764,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,andron,3594,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,atilaneves,7760,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,BBasile,5915,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,belm0,961,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,brad-anderson,3430,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,braddr,27,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,carlor,1177,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,Cauterite,5243,TRUE,Closed,NA,NA
D-Programming-Language_dmd.csv,ckamm,189,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,complexmath,3,TRUE,Closed,NA,NA
D-Programming-Language_dmd.csv,CyberShadow,330,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,denis-sh,1123,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,dgileadi,7763,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,dheld,958,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,donc,8,TRUE,Closed,NA,NA
D-Programming-Language_dmd.csv,dsimcha,327,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,FeepingCreature,8012,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,gchatelet,5469,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,Geod24,3549,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,ghost,1149,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,glycerine,1793,TRUE,Closed,NA,NA
D-Programming-Language_dmd.csv,Govelius,53,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,hpohl,1970,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,ibuclaw,1,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,IgorStepanov,1723,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,jacob-carlborg,562,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,jasonbking,3685,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,JinShil,7605,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,jmaschme,950,TRUE,Closed,NA,NA
D-Programming-Language_dmd.csv,jmdavis,305,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,joakim-noah,3642,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,JohanEngelen,5342,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,John-Colvin,5170,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,jpf91,1127,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,kennytm,81,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,kinke,4869,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,klickverbot,9,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,kubo39,8395,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,leandro-lucarella-sociomantic,1286,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,LemonBoy,7993,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,LightBender,910,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,lionello,1911,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,llucax,496,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,luismarques,4987,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,marler8997,5973,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,MartinNowak,17,TRUE,Closed,NA,NA
D-Programming-Language_dmd.csv,mathias-lang-sociomantic,5361,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,MetaLang,4867,TRUE,Closed,NA,NA
D-Programming-Language_dmd.csv,michelf,234,TRUE,Closed,NA,NA
D-Programming-Language_dmd.csv,mihails-strasuns,1881,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,mihails-strasuns-sociomantic,3829,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,mleise,275,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,mrmonday,74,TRUE,Closed,NA,NA
D-Programming-Language_dmd.csv,nemanja-boric-sociomantic,4199,TRUE,Closed,NA,NA
D-Programming-Language_dmd.csv,NilsBossung,994,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,nordlow,3342,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,ntrel,1173,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,NULL,135,TRUE,Closed,NA,NA
D-Programming-Language_dmd.csv,Orvid,3414,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,Passw,5579,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,Poita,162,TRUE,Closed,NA,NA
D-Programming-Language_dmd.csv,qchikara,5331,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,quickfur,3690,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,rainers,256,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,RazvanN7,7683,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,redstar,1121,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,Safety0ff,743,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,schuetzm,3286,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,schveiguy,8221,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,smolt,5230,TRUE,Closed,NA,NA
D-Programming-Language_dmd.csv,somzzz,7897,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,tgehr,371,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,thewilsonator,7986,TRUE,Closed,NA,NA
D-Programming-Language_dmd.csv,timotheecour,7810,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,tramker,4062,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,Trass3r,4091,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,tsbockman,5222,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,TurkeyMan,1073,TRUE,Closed,NA,NA
D-Programming-Language_dmd.csv,UplinkCoder,5852,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,WalterBright,1440,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,wilzbach,5805,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,yebblies,87,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,yglukhov,3546,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,yshui,8360,TRUE,Merged,NA,NA
D-Programming-Language_dmd.csv,ZombineDev,5212,TRUE,Merged,NA,NA
HuiLi_Sqlite3.07.14.csv,carolchao,426,TRUE,Merged,NA,NA
HuiLi_Sqlite3.07.14.csv,Kayjerry,411,TRUE,Merged,NA,NA
HuiLi_Sqlite3.07.14.csv,PengJi,449,TRUE,Merged,NA,NA
linuxmint_Cinnamon.csv,AlbertJP,1000,TRUE,Merged,NA,NA
linuxmint_Cinnamon.csv,autarkper,1185,TRUE,Merged,NA,NA
linuxmint_Cinnamon.csv,besser82,7077,TRUE,Merged,NA,NA
linuxmint_Cinnamon.csv,brownsr,6788,TRUE,Merged,NA,NA
linuxmint_Cinnamon.csv,City-busz,2572,TRUE,Merged,NA,NA
linuxmint_Cinnamon.csv,collinss,2275,TRUE,Merged,NA,NA
linuxmint_Cinnamon.csv,dalcde,4577,TRUE,Merged,NA,NA
linuxmint_Cinnamon.csv,Fantu,7482,TRUE,Merged,NA,NA
linuxmint_Cinnamon.csv,joequant,1449,TRUE,Merged,NA,NA
linuxmint_Cinnamon.csv,JosephMcc,4431,TRUE,Merged,NA,NA
linuxmint_Cinnamon.csv,leigh123linux,2425,TRUE,Merged,NA,NA
linuxmint_Cinnamon.csv,mtwebster,1917,TRUE,Merged,NA,NA
linuxmint_Cinnamon.csv,NikoKrause,6013,TRUE,Closed,NA,NA
linuxmint_Cinnamon.csv,RavetcoFX,2931,TRUE,Closed,NA,NA
linuxmint_Cinnamon.csv,wrouesnel,1343,TRUE,Merged,NA,NA
mapserver_mapserver.csv,AlexanderGabriel,5615,TRUE,Merged,NA,NA
mapserver_mapserver.csv,cnieman,4839,TRUE,Merged,NA,NA
mapserver_mapserver.csv,constantinius,4896,TRUE,Merged,NA,NA
mapserver_mapserver.csv,dmorissette,5479,TRUE,Closed,NA,NA
mapserver_mapserver.csv,fblackburn,4898,TRUE,Closed,NA,NA
mapserver_mapserver.csv,geographika,5261,TRUE,Closed,NA,NA
mapserver_mapserver.csv,gogglesguy,5327,TRUE,Closed,NA,NA
mapserver_mapserver.csv,homme,4409,TRUE,Closed,NA,NA
mapserver_mapserver.csv,jlarouche,4538,TRUE,Merged,NA,NA
mapserver_mapserver.csv,luipir,4698,TRUE,Merged,NA,NA
mapserver_mapserver.csv,micking,5457,TRUE,Merged,NA,NA
mapserver_mapserver.csv,mkofahl,4614,TRUE,Merged,NA,NA
mapserver_mapserver.csv,msmitherdc,5207,TRUE,Closed,NA,NA
mapserver_mapserver.csv,olt,5460,TRUE,Closed,NA,NA
mapserver_mapserver.csv,pmauduit,5371,TRUE,Closed,NA,NA
mapserver_mapserver.csv,rouault,4670,TRUE,Closed,NA,NA
mapserver_mapserver.csv,Schpidi,4471,TRUE,Merged,NA,NA
mapserver_mapserver.csv,szekerest,4817,TRUE,Closed,NA,NA
mapserver_mapserver.csv,tbonfort,4313,TRUE,Merged,NA,NA
mapserver_mapserver.csv,tomkralidis,5684,TRUE,Merged,NA,NA
mapserver_mapserver.csv,unicolet,4728,TRUE,Merged,NA,NA
mapserver_mapserver.csv,yjacolin,5530,TRUE,Merged,NA,NA
mruby_mruby.csv,3miliano,1556,TRUE,Closed,NA,NA
mruby_mruby.csv,akiray03,598,TRUE,Merged,NA,NA
mruby_mruby.csv,akuroda,1626,TRUE,Merged,NA,NA
mruby_mruby.csv,animalsiknow,2716,TRUE,Merged,NA,NA
mruby_mruby.csv,archSeer,1435,TRUE,Merged,NA,NA
mruby_mruby.csv,asfluido,3827,TRUE,Merged,NA,NA
mruby_mruby.csv,Asmod4n,2953,TRUE,Merged,NA,NA
mruby_mruby.csv,authorNari,677,TRUE,Merged,NA,NA
mruby_mruby.csv,bamchoh,3874,TRUE,Merged,NA,NA
mruby_mruby.csv,beoran,483,TRUE,Merged,NA,NA
mruby_mruby.csv,bggd,1605,TRUE,Merged,NA,NA
mruby_mruby.csv,bouk,3255,TRUE,Merged,NA,NA
mruby_mruby.csv,bovi,456,TRUE,Merged,NA,NA
mruby_mruby.csv,brainopia,839,TRUE,Merged,NA,NA
mruby_mruby.csv,carsonmcdonald,847,TRUE,Merged,NA,NA
mruby_mruby.csv,chasonr,2500,TRUE,Open,NA,NA
mruby_mruby.csv,christopheraue,3739,TRUE,Merged,NA,NA
mruby_mruby.csv,clayton-shopify,3303,TRUE,Merged,NA,NA
mruby_mruby.csv,cremno,761,TRUE,Merged,NA,NA
mruby_mruby.csv,crimsonwoods,1025,TRUE,Merged,NA,NA
mruby_mruby.csv,cubicdaiya,1622,TRUE,Closed,NA,NA
mruby_mruby.csv,dabroz,3234,TRUE,Merged,NA,NA
mruby_mruby.csv,dearblue,4110,TRUE,Merged,NA,NA
mruby_mruby.csv,dycoon,2521,TRUE,Merged,NA,NA
mruby_mruby.csv,felixjones,3207,TRUE,Merged,NA,NA
mruby_mruby.csv,Fleurer,1396,TRUE,Merged,NA,NA
mruby_mruby.csv,furunkel,2763,TRUE,Closed,NA,NA
mruby_mruby.csv,ghost,458,TRUE,Merged,NA,NA
mruby_mruby.csv,gzohari,1129,TRUE,Closed,NA,NA
mruby_mruby.csv,h2so5,1144,TRUE,Merged,NA,NA
mruby_mruby.csv,hone,2849,TRUE,Merged,NA,NA
mruby_mruby.csv,i110,4023,TRUE,Merged,NA,NA
mruby_mruby.csv,kano4,991,TRUE,Merged,NA,NA
mruby_mruby.csv,kazuho,3324,TRUE,Merged,NA,NA
mruby_mruby.csv,keizo042,3544,TRUE,Merged,NA,NA
mruby_mruby.csv,kext,2834,TRUE,Merged,NA,NA
mruby_mruby.csv,kimushu,1265,TRUE,Merged,NA,NA
mruby_mruby.csv,kou,2520,TRUE,Merged,NA,NA
mruby_mruby.csv,ksss,1749,TRUE,Merged,NA,NA
mruby_mruby.csv,ktaobo,1505,TRUE,Merged,NA,NA
mruby_mruby.csv,kyab,1282,TRUE,Merged,NA,NA
mruby_mruby.csv,masamitsu-murase,605,TRUE,Closed,NA,NA
mruby_mruby.csv,masuidrive,485,TRUE,Merged,NA,NA
mruby_mruby.csv,matsumotory,655,TRUE,Merged,NA,NA
mruby_mruby.csv,mattn,671,TRUE,Merged,NA,NA
mruby_mruby.csv,Mav7,2814,TRUE,Merged,NA,NA
mruby_mruby.csv,mimaki,2300,TRUE,Merged,NA,NA
mruby_mruby.csv,mirichi,1348,TRUE,Merged,NA,NA
mruby_mruby.csv,miura1729,2256,TRUE,Merged,NA,NA
mruby_mruby.csv,monaka,473,TRUE,Merged,NA,NA
mruby_mruby.csv,mrbrdo,2579,TRUE,Open,NA,NA
mruby_mruby.csv,murasesyuka,2663,TRUE,Merged,NA,NA
mruby_mruby.csv,nkshigeru,863,TRUE,Merged,NA,NA
mruby_mruby.csv,nobu,2096,TRUE,Merged,NA,NA
mruby_mruby.csv,NULL,601,TRUE,Closed,NA,NA
mruby_mruby.csv,nyuichi,1512,TRUE,Merged,NA,NA
mruby_mruby.csv,okkez,3552,TRUE,Merged,NA,NA
mruby_mruby.csv,pbosetti,1654,TRUE,Merged,NA,NA
mruby_mruby.csv,SatoshiOdawara,2598,TRUE,Merged,NA,NA
mruby_mruby.csv,scalone,2163,TRUE,Merged,NA,NA
mruby_mruby.csv,schmurfy,1509,TRUE,Merged,NA,NA
mruby_mruby.csv,sdottaka,2640,TRUE,Merged,NA,NA
mruby_mruby.csv,selman,634,TRUE,Merged,NA,NA
mruby_mruby.csv,skandhas,522,TRUE,Merged,NA,NA
mruby_mruby.csv,sogabe,492,TRUE,Closed,NA,NA
mruby_mruby.csv,stomar,1893,TRUE,Merged,NA,NA
mruby_mruby.csv,suzukaze,1331,TRUE,Merged,NA,NA
mruby_mruby.csv,takahashim,1560,TRUE,Merged,NA,NA
mruby_mruby.csv,take-cheeze,1494,TRUE,Closed,NA,NA
mruby_mruby.csv,takkaw,1012,TRUE,Closed,NA,NA
mruby_mruby.csv,tatsuhiro-t,2975,TRUE,Merged,NA,NA
mruby_mruby.csv,tsahara,1790,TRUE,Merged,NA,NA
mruby_mruby.csv,ukrainskiysergey,3852,TRUE,Merged,NA,NA
mruby_mruby.csv,unak,1823,TRUE,Merged,NA,NA
mruby_mruby.csv,xxuejie,563,TRUE,Merged,NA,NA
mruby_mruby.csv,yasuyuki,2973,TRUE,Merged,NA,NA
mruby_mruby.csv,yui-knk,2190,TRUE,Merged,NA,NA
mruby_mruby.csv,yurie,4067,TRUE,Merged,NA,NA
mruby_mruby.csv,yyamano,3623,TRUE,Merged,NA,NA
mruby_mruby.csv,zzak,2914,TRUE,Closed,NA,NA
neovim_neovim.csv,acferreir4,7466,TRUE,Open,NA,NA
neovim_neovim.csv,akkartik,1322,TRUE,Closed,NA,NA
neovim_neovim.csv,aktau,775,TRUE,Merged,NA,NA
neovim_neovim.csv,alexgenco,4409,TRUE,Merged,NA,NA
neovim_neovim.csv,atwupack,967,TRUE,Closed,NA,NA
neovim_neovim.csv,bambu,4821,TRUE,Merged,NA,NA
neovim_neovim.csv,bfredl,950,TRUE,Merged,NA,NA
neovim_neovim.csv,blueyed,2737,TRUE,Closed,NA,NA
neovim_neovim.csv,bobtwinkles,2148,TRUE,Closed,NA,NA
neovim_neovim.csv,brcolow,3918,TRUE,Merged,NA,NA
neovim_neovim.csv,b-r-o-c-k,8081,TRUE,Closed,NA,NA
neovim_neovim.csv,buztard,2536,TRUE,Closed,NA,NA
neovim_neovim.csv,carloabelli,6440,TRUE,Closed,NA,NA
neovim_neovim.csv,cepko33,1287,TRUE,Closed,NA,NA
neovim_neovim.csv,chemzqm,5666,TRUE,Merged,NA,NA
neovim_neovim.csv,choco,3309,TRUE,Merged,NA,NA
neovim_neovim.csv,cjoach,3687,TRUE,Merged,NA,NA
neovim_neovim.csv,ckelsel,7007,TRUE,Merged,NA,NA
neovim_neovim.csv,concatime,6827,TRUE,Merged,NA,NA
neovim_neovim.csv,cztchoice,3041,TRUE,Merged,NA,NA
neovim_neovim.csv,danishprakash,8013,TRUE,Closed,NA,NA
neovim_neovim.csv,DarkDeepBlue,5829,TRUE,Closed,NA,NA
neovim_neovim.csv,DarkDefender,4273,TRUE,Merged,NA,NA
neovim_neovim.csv,davidzchen,314,TRUE,Closed,NA,NA
neovim_neovim.csv,dbarnett,4583,TRUE,Merged,NA,NA
neovim_neovim.csv,deathlyfrantic,7864,TRUE,Merged,NA,NA
neovim_neovim.csv,diegoviola,4198,TRUE,Merged,NA,NA
neovim_neovim.csv,dimbleby,8612,TRUE,Merged,NA,NA
neovim_neovim.csv,dmerejkowsky,3365,TRUE,Merged,NA,NA
neovim_neovim.csv,dougschneider,737,TRUE,Merged,NA,NA
neovim_neovim.csv,dzhou121,6167,TRUE,Merged,NA,NA
neovim_neovim.csv,e-kwsm,7336,TRUE,Closed,NA,NA
neovim_neovim.csv,elmart,655,TRUE,Merged,NA,NA
neovim_neovim.csv,epmatsw,833,TRUE,Closed,NA,NA
neovim_neovim.csv,equal-l2,5694,TRUE,Closed,NA,NA
neovim_neovim.csv,equalsraf,919,TRUE,Merged,NA,NA
neovim_neovim.csv,erw7,6486,TRUE,Merged,NA,NA
neovim_neovim.csv,euclio,6680,TRUE,Merged,NA,NA
neovim_neovim.csv,FlorianGit,7692,TRUE,Merged,NA,NA
neovim_neovim.csv,florolf,7675,TRUE,Merged,NA,NA
neovim_neovim.csv,fmoralesc,1217,TRUE,Closed,NA,NA
neovim_neovim.csv,fornwall,1019,TRUE,Merged,NA,NA
neovim_neovim.csv,FriedSock,6294,TRUE,Merged,NA,NA
neovim_neovim.csv,fwalch,982,TRUE,Closed,NA,NA
neovim_neovim.csv,geekodour,8003,TRUE,Merged,NA,NA
neovim_neovim.csv,ghost,241,TRUE,Closed,NA,NA
neovim_neovim.csv,glindste,2073,TRUE,Merged,NA,NA
neovim_neovim.csv,glts,2218,TRUE,Closed,NA,NA
neovim_neovim.csv,gregorias,4588,TRUE,Merged,NA,NA
neovim_neovim.csv,grtlr,2513,TRUE,Closed,NA,NA
neovim_neovim.csv,hardenedapple,5983,TRUE,Merged,NA,NA
neovim_neovim.csv,harsh1kumar,691,TRUE,Merged,NA,NA
neovim_neovim.csv,Hettomei,2427,TRUE,Merged,NA,NA
neovim_neovim.csv,Hinidu,491,TRUE,Closed,NA,NA
neovim_neovim.csv,HiPhish,4649,TRUE,Merged,NA,NA
neovim_neovim.csv,h-michael,5111,TRUE,Closed,NA,NA
neovim_neovim.csv,ilAYAli,4270,TRUE,Open,NA,NA
neovim_neovim.csv,impo,6219,TRUE,Merged,NA,NA
neovim_neovim.csv,iperry,2178,TRUE,Closed,NA,NA
neovim_neovim.csv,JackDanger,1835,TRUE,Closed,NA,NA
neovim_neovim.csv,jalvesaq,2320,TRUE,Merged,NA,NA
neovim_neovim.csv,jamessan,4489,TRUE,Closed,NA,NA
neovim_neovim.csv,janlazo,7349,TRUE,Merged,NA,NA
neovim_neovim.csv,javian,6597,TRUE,Merged,NA,NA
neovim_neovim.csv,jbradaric,4010,TRUE,Merged,NA,NA
neovim_neovim.csv,jck,480,TRUE,Closed,NA,NA
neovim_neovim.csv,jdebp,6790,TRUE,Merged,NA,NA
neovim_neovim.csv,jeffwidman,1318,TRUE,Closed,NA,NA
neovim_neovim.csv,jinnovation,1454,TRUE,Merged,NA,NA
neovim_neovim.csv,johanhelsing,3431,TRUE,Merged,NA,NA
neovim_neovim.csv,jonaias,1717,TRUE,Closed,NA,NA
neovim_neovim.csv,josephholsten,1231,TRUE,Closed,NA,NA
neovim_neovim.csv,joshtriplett,5058,TRUE,Merged,NA,NA
neovim_neovim.csv,jszakmeister,313,TRUE,Closed,NA,NA
neovim_neovim.csv,Jun-T,4220,TRUE,Merged,NA,NA
neovim_neovim.csv,jusga,4013,TRUE,Merged,NA,NA
neovim_neovim.csv,justinmk,444,TRUE,Merged,NA,NA
neovim_neovim.csv,KarboniteKream,641,TRUE,Closed,NA,NA
neovim_neovim.csv,KillTheMule,4563,TRUE,Merged,NA,NA
neovim_neovim.csv,klusark,661,TRUE,Merged,NA,NA
neovim_neovim.csv,kranki,5189,TRUE,Open,NA,NA
neovim_neovim.csv,llorens,7344,TRUE,Closed,NA,NA
neovim_neovim.csv,lokesh1197,8187,TRUE,Open,NA,NA
neovim_neovim.csv,lonerover,5814,TRUE,Closed,NA,NA
neovim_neovim.csv,lslah,307,TRUE,Closed,NA,NA
