Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged
D-Programming-Language/dmd,closed,8889,21e3b751acbeb14f4c87a1e733ec523e2e105ae0,src/dmd/backend/cod1.d,modified,1673,1526,NULL,2018-10-30 02:47:44,2018-10-30 02:47:44,2018-10-30 02:49:15,NA
D-Programming-Language/dmd,closed,8889,80eedb203d3d317da2e429c1bc691d68f5ad215e,src/dmd/frontend.d,modified,6,2,NULL,2018-10-30 02:47:44,2018-10-30 02:47:44,2018-10-30 02:49:15,NA
D-Programming-Language/dmd,closed,8889,06d3189605c959fd1931c56dd4df8f426a93e0ac,src/dmd/mars.d,modified,4,4,NULL,2018-10-30 02:47:44,2018-10-30 02:47:44,2018-10-30 02:49:15,NA
D-Programming-Language/dmd,closed,8888,37e9c8681d30a0fca3623f34d73215b9a85fcb9d,src/access.c,modified,3,101,WalterBright,2018-10-29 23:32:12,2018-10-29 23:32:12,2018-10-30 07:24:25,2018-10-30 07:24:25
D-Programming-Language/dmd,closed,8888,d7db82b0f0e87ebd957effa0ccb7243e3bcebf1e,src/aggregate.h,modified,13,19,WalterBright,2018-10-29 23:32:12,2018-10-29 23:32:12,2018-10-30 07:24:25,2018-10-30 07:24:25
D-Programming-Language/dmd,closed,8888,50921ecb300890ea113b034c9f9e02b5b6a10c06,src/aliasthis.c,modified,0,1,WalterBright,2018-10-29 23:32:12,2018-10-29 23:32:12,2018-10-30 07:24:25,2018-10-30 07:24:25
D-Programming-Language/dmd,closed,8888,e5b0280d9e11571ea74c7a6e10b1f65b704345fc,src/aliasthis.h,modified,0,9,WalterBright,2018-10-29 23:32:12,2018-10-29 23:32:12,2018-10-30 07:24:25,2018-10-30 07:24:25
D-Programming-Language/dmd,closed,8888,f20e411228f4e7b0cdeb65e06dc4c350b531faef,src/apply.c,modified,0,1,WalterBright,2018-10-29 23:32:12,2018-10-29 23:32:12,2018-10-30 07:24:25,2018-10-30 07:24:25
D-Programming-Language/dmd,closed,8888,cad8d4ec92fed29dee5698aa79e1378c5312032d,src/argtypes.c,modified,0,19,WalterBright,2018-10-29 23:32:12,2018-10-29 23:32:12,2018-10-30 07:24:25,2018-10-30 07:24:25
D-Programming-Language/dmd,closed,8888,0ea0d329399635d464aac1367ea3cc6df28a5d23,src/arrayop.c,modified,3,4,WalterBright,2018-10-29 23:32:12,2018-10-29 23:32:12,2018-10-30 07:24:25,2018-10-30 07:24:25
D-Programming-Language/dmd,closed,8888,a3d305ed8e3aefd218b7ec41e3617dba5a2e676f,src/arraytypes.h,modified,2,11,WalterBright,2018-10-29 23:32:12,2018-10-29 23:32:12,2018-10-30 07:24:25,2018-10-30 07:24:25
