Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged
WhisperSystems/Signal-iOS,open,3930,c2f0c5653bfa0e1af91041ea8ffb30af1f06c43e,Signal.xcodeproj/project.pbxproj,modified,0,2,NULL,2018-10-01T14:06:37Z,2018-10-01T16:36:11Z,NA,NA
WhisperSystems/Signal-iOS,open,3930,221bd59ca210beb87df0ba2df60a0aefa9135153,Signal/src/AppDelegate.m,modified,5,0,NULL,2018-10-01T14:06:37Z,2018-10-01T16:36:11Z,NA,NA
WhisperSystems/Signal-iOS,open,3930,ef9721a4bca7cebe7294f1269cc2888460773170,SignalServiceKit/src/Contacts/CDSSigningCertificate.h,modified,16,1,NULL,2018-10-01T14:06:37Z,2018-10-01T16:36:11Z,NA,NA
WhisperSystems/Signal-iOS,open,3930,1699c17b2f3933486c24047fceede263cd85e188,SignalServiceKit/src/Contacts/CDSSigningCertificate.m,modified,44,9,NULL,2018-10-01T14:06:37Z,2018-10-01T16:36:11Z,NA,NA
WhisperSystems/Signal-iOS,open,3930,7a37802c5aa654292a2d87c406343b69e1a7c6c1,SignalServiceKit/src/Contacts/ContactDiscoveryService.m,modified,8,1,NULL,2018-10-01T14:06:37Z,2018-10-01T16:36:11Z,NA,NA
WhisperSystems/Signal-iOS,open,3930,25ccbdd8cc23a06da9f84abb4049b40d72502b7b,SignalServiceKit/src/Util/Cryptography.m,modified,1,1,NULL,2018-10-01T14:06:37Z,2018-10-01T16:36:11Z,NA,NA
WhisperSystems/Signal-iOS,open,3930,4b4fd0c48303394988d9b724d4ba50719300a974,SignalServiceKit/src/Util/FunctionalUtil.h,modified,0,4,NULL,2018-10-01T14:06:37Z,2018-10-01T16:36:11Z,NA,NA
WhisperSystems/Signal-iOS,open,3930,8065d6cc5abf0856894c3c59d8d79d9185734aed,SignalServiceKit/src/Util/FunctionalUtil.m,modified,0,21,NULL,2018-10-01T14:06:37Z,2018-10-01T16:36:11Z,NA,NA
WhisperSystems/Signal-iOS,open,3930,fec2751baab6fbb85b8506a2055179e897e837bf,SignalServiceKit/src/Util/OWSAsserts.h,modified,9,0,NULL,2018-10-01T14:06:37Z,2018-10-01T16:36:11Z,NA,NA
WhisperSystems/Signal-iOS,open,3928,7976f79174a1ab555c83287b960d69ce8376db36,Podfile.lock,modified,11,13,michaelkirk-signal,2018-09-30T17:26:59Z,2018-10-01T12:41:22Z,NA,NA
WhisperSystems/Signal-iOS,open,3928,aab6b45d9ecd5c3f2bdc0e607cb96b56f9fa8302,Signal/src/Jobs/MessageFetcherJob.swift,modified,8,8,michaelkirk-signal,2018-09-30T17:26:59Z,2018-10-01T12:41:22Z,NA,NA
WhisperSystems/Signal-iOS,open,3928,177cfeb85f5d7a47dd280a99d0c735298519cf7d,Signal/src/Jobs/MultiDeviceProfileKeyUpdateJob.swift,modified,1,1,michaelkirk-signal,2018-09-30T17:26:59Z,2018-10-01T12:41:22Z,NA,NA
WhisperSystems/Signal-iOS,open,3928,6008ddfed5a476154511f543f9e61d32a20bf816,Signal/src/Jobs/SyncPushTokensJob.swift,modified,7,7,michaelkirk-signal,2018-09-30T17:26:59Z,2018-10-01T12:41:22Z,NA,NA
WhisperSystems/Signal-iOS,open,3928,5217f3b347283d0cae7ccfbd42a149ad0a96572d,Signal/src/MessageSender+Promise.swift,modified,3,3,michaelkirk-signal,2018-09-30T17:26:59Z,2018-10-01T12:41:22Z,NA,NA
WhisperSystems/Signal-iOS,open,3928,5670a0d73f4ecf95d1ac9061beda019fdfad0210,Signal/src/Models/AccountManager.swift,modified,15,15,michaelkirk-signal,2018-09-30T17:26:59Z,2018-10-01T12:41:22Z,NA,NA
WhisperSystems/Signal-iOS,open,3928,999972438e0b974cbce6c30a7513154b1cc84ef4,Signal/src/ViewControllers/DebugUI/DebugUICalling.swift,modified,2,2,michaelkirk-signal,2018-09-30T17:26:59Z,2018-10-01T12:41:22Z,NA,NA
WhisperSystems/Signal-iOS,open,3928,124a230b1954a1af46e7d183ed3d7b4da3b01a93,Signal/src/ViewControllers/DebugUI/DebugUIProfile.swift,modified,3,3,michaelkirk-signal,2018-09-30T17:26:59Z,2018-10-01T12:41:22Z,NA,NA
WhisperSystems/Signal-iOS,open,3928,ca8c5503f4c070bbfbcaf0620a889f96d1db369b,Signal/src/ViewControllers/GifPicker/GifPickerCell.swift,modified,3,3,michaelkirk-signal,2018-09-30T17:26:59Z,2018-10-01T12:41:22Z,NA,NA
WhisperSystems/Signal-iOS,open,3928,c6ea49e98f95c3349fe3a6e4595a199fceefb576,Signal/src/ViewControllers/GifPicker/GifPickerViewController.swift,modified,1,1,michaelkirk-signal,2018-09-30T17:26:59Z,2018-10-01T12:41:22Z,NA,NA
WhisperSystems/Signal-iOS,open,3928,c6543d3287e8c57911a06e016e7cf21a094c8fa7,Signal/src/ViewControllers/HomeView/HomeViewController.m,modified,1,1,michaelkirk-signal,2018-09-30T17:26:59Z,2018-10-01T12:41:22Z,NA,NA
WhisperSystems/Signal-iOS,open,3928,1b627e73257db6ad0a339ae383d1a6d4fc43429c,Signal/src/call/CallAudioService.swift,modified,1,1,michaelkirk-signal,2018-09-30T17:26:59Z,2018-10-01T12:41:22Z,NA,NA
WhisperSystems/Signal-iOS,open,3928,e6eb2051ade636eb0d3f403582763cb9b574c3c2,Signal/src/call/CallService.swift,modified,35,36,michaelkirk-signal,2018-09-30T17:26:59Z,2018-10-01T12:41:22Z,NA,NA
WhisperSystems/Signal-iOS,open,3928,514f996603d8209b448b409e090ebdf6a0df483a,Signal/src/call/NonCallKitCallUIAdaptee.swift,modified,1,1,michaelkirk-signal,2018-09-30T17:26:59Z,2018-10-01T12:41:22Z,NA,NA
WhisperSystems/Signal-iOS,open,3928,b6ea0b236fbffb38c0c8e53e4c71e36131b0282b,Signal/src/call/PeerConnectionClient.swift,modified,36,36,michaelkirk-signal,2018-09-30T17:26:59Z,2018-10-01T12:41:22Z,NA,NA
WhisperSystems/Signal-iOS,open,3928,e623873912feaf3323ad2d14215ce441eecdccc4,Signal/src/environment/PushRegistrationManager.swift,modified,20,20,michaelkirk-signal,2018-09-30T17:26:59Z,2018-10-01T12:41:22Z,NA,NA
WhisperSystems/Signal-iOS,open,3928,f183b283d50aaaeae12e6a7316f32bb6401310db,Signal/src/util/AppUpdateNag.swift,modified,6,6,michaelkirk-signal,2018-09-30T17:26:59Z,2018-10-01T12:41:22Z,NA,NA
WhisperSystems/Signal-iOS,open,3928,037f7af67af79836fc5eb56ccc30585763e7fa4b,SignalMessaging/attachments/SignalAttachment.swift,modified,5,5,michaelkirk-signal,2018-09-30T17:26:59Z,2018-10-01T12:41:22Z,NA,NA
WhisperSystems/Signal-iOS,open,3928,f4c7205aa37c698e086372cd7f8b8985152f63b8,SignalMessaging/environment/migrations/OWS106EnsureProfileComplete.swift,modified,8,8,michaelkirk-signal,2018-09-30T17:26:59Z,2018-10-01T12:41:22Z,NA,NA
WhisperSystems/Signal-iOS,open,3928,3fadd8482b2bd3c114a5781c6158ec2d77981859,SignalMessaging/profiles/ProfileFetcherJob.swift,modified,9,9,michaelkirk-signal,2018-09-30T17:26:59Z,2018-10-01T12:41:22Z,NA,NA
WhisperSystems/Signal-iOS,open,3928,3136959c9c94c0bc489ec9cee30728f0ca7b56fe,SignalServiceKit.podspec,modified,1,5,michaelkirk-signal,2018-09-30T17:26:59Z,2018-10-01T12:41:22Z,NA,NA
WhisperSystems/Signal-iOS,open,3928,109c5fc4182b9e7438a7f361640d63a6ccfb7219,SignalServiceKit/src/Account/CreatePreKeysOperation.swift,modified,11,12,michaelkirk-signal,2018-09-30T17:26:59Z,2018-10-01T12:41:22Z,NA,NA
