Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged
WhisperSystems/Signal-iOS,open,3930,6f229e74d45bdb202a08a39eb36948adaf852584,Signal/test/SignalBaseTest.m,modified,0,4,NULL,2018-10-01T14:06:37Z,2018-10-01T16:36:11Z,NA,NA
WhisperSystems/Signal-iOS,open,3930,058839a19b611a80a05ef8131180087f4f22ff57,Signal/test/util/CDSSigningCertificateTest.m,modified,24,11,NULL,2018-10-01T14:06:37Z,2018-10-01T16:36:11Z,NA,NA
WhisperSystems/Signal-iOS,open,3930,df286cbc58896231f7bef4b06c5dfea5b6795ae2,Signal/test/util/FunctionalUtilTest.m,modified,0,9,NULL,2018-10-01T14:06:37Z,2018-10-01T16:36:11Z,NA,NA
WhisperSystems/Signal-iOS,open,3930,de2c82a744ebf463ae7c590ad18733d93e4107d8,Signal/test/util/OWSDatabaseConverterTest.h,removed,0,13,NULL,2018-10-01T14:06:37Z,2018-10-01T16:36:11Z,NA,NA
WhisperSystems/Signal-iOS,open,3930,e63e0b0f89c404da2f63fb0978d1467c7ce3309b,Signal/test/util/OWSDatabaseConverterTest.m,modified,11,1,NULL,2018-10-01T14:06:37Z,2018-10-01T16:36:11Z,NA,NA
WhisperSystems/Signal-iOS,open,3930,33e8bc69b3b5586aad21dbfaa3ce27dfe987ae72,Signal/test/util/UtilTest.m,modified,0,1,NULL,2018-10-01T14:06:37Z,2018-10-01T16:36:11Z,NA,NA
WhisperSystems/Signal-iOS,open,3930,77d8d0a9eebfe8d990827deb7e9783d4cacd3ad5,SignalServiceKit/tests/Account/SignedPreKeyDeletionTests.m,modified,27,46,NULL,2018-10-01T14:06:37Z,2018-10-01T16:36:11Z,NA,NA
WhisperSystems/Signal-iOS,open,3930,41d3c136fe6182c1cc7351e2fbd033b5205f613e,SignalServiceKit/tests/Util/CryptographyTests.m,modified,18,10,NULL,2018-10-01T14:06:37Z,2018-10-01T16:36:11Z,NA,NA
WhisperSystems/Signal-iOS,open,3930,60d8d3aeea6eee422e7eec81c5afa32a6b76adcc,SignalServiceKit/tests/Util/SSKSwiftTests.swift,modified,24,0,NULL,2018-10-01T14:06:37Z,2018-10-01T16:36:11Z,NA,NA
WhisperSystems/Signal-iOS,closed,3925,fbb6c718af035ff2dbf38441527c4a49e062c78a,Signal/test/ViewControllers/ConversationViewItemTest.m,modified,26,26,charlesmchen-signal,2018-09-28 19:08:06,2018-09-28 19:08:06,2018-09-28 19:38:11,2018-09-28 19:38:11
WhisperSystems/Signal-iOS,closed,3909,4f25ebf9254e7ca906cfe12651455667e79d8237,SignalServiceKit/src/Tests/MockSSKEnvironment.m,modified,4,0,charlesmchen-signal,2018-09-25 23:17:08,2018-09-25 23:17:08,2018-09-26 14:09:43,2018-09-26 14:09:43
WhisperSystems/Signal-iOS,closed,3896,15fa1628fa5422fac8af259e842417f8ab3c5de9,Signal/test/SignalBaseTest.h,modified,5,0,charlesmchen-signal,2018-09-20 16:55:02,2018-09-20 16:55:02,2018-09-21 13:28:36,2018-09-21 13:28:36
WhisperSystems/Signal-iOS,closed,3896,4817bfb7943bcd675d8f3ed827381b3f03f0b4c5,Signal/test/SignalBaseTest.m,modified,15,0,charlesmchen-signal,2018-09-20 16:55:02,2018-09-20 16:55:02,2018-09-21 13:28:36,2018-09-21 13:28:36
WhisperSystems/Signal-iOS,closed,3896,d7562718c13cfd1dba100b9858d565e2e105a9b7,Signal/test/ViewControllers/ConversationViewItemTest.m,modified,2,2,charlesmchen-signal,2018-09-20 16:55:02,2018-09-20 16:55:02,2018-09-21 13:28:36,2018-09-21 13:28:36
WhisperSystems/Signal-iOS,closed,3896,cdf3235c1cd59b821f9cf049a11504404a157d90,Signal/test/contact/OWSContactsManagerTest.m,removed,0,16,charlesmchen-signal,2018-09-20 16:55:02,2018-09-20 16:55:02,2018-09-21 13:28:36,2018-09-21 13:28:36
WhisperSystems/Signal-iOS,closed,3896,34ed0e4164dad104d3979f9bb4f460c7027f9e42,Signal/test/util/OWSOrphanDataCleanerTest.m,modified,58,41,charlesmchen-signal,2018-09-20 16:55:02,2018-09-20 16:55:02,2018-09-21 13:28:36,2018-09-21 13:28:36
WhisperSystems/Signal-iOS,closed,3896,f9caa297c0f89fdfc83d2d75c65acfe7221161a8,Signal/test/util/SearcherTest.swift,modified,0,4,charlesmchen-signal,2018-09-20 16:55:02,2018-09-20 16:55:02,2018-09-21 13:28:36,2018-09-21 13:28:36
