Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged
linuxmint/Cinnamon,open,7944,9da025ab5eb7b9323340967f581724d8f84f214a,.eslintrc.json,modified,2,2,NULL,2018-10-18T08:51:29Z,2018-10-19T14:50:49Z,NA,NA
linuxmint/Cinnamon,open,7944,9378456d5fbdc05f9eac3f0bb73cc89d7f23cd76,data/org.cinnamon.gschema.xml.in,modified,1,1,NULL,2018-10-18T08:51:29Z,2018-10-19T14:50:49Z,NA,NA
linuxmint/Cinnamon,open,7944,2cc81b7a8ea79321eb8eca07ab7959b6f20e2137,data/theme/cinnamon.css,modified,31,1,NULL,2018-10-18T08:51:29Z,2018-10-19T14:50:49Z,NA,NA
linuxmint/Cinnamon,open,7944,90cf09f547d1bb2e6bda1308ddc941cc6bfe2eb8,files/usr/share/cinnamon/applets/grouped-window-list@cinnamon.org/appGroup.js,added,1099,0,NULL,2018-10-18T08:51:29Z,2018-10-19T14:50:49Z,NA,NA
linuxmint/Cinnamon,open,7944,679c3f09c59792ab69788e48adc0f6ab818dfffa,files/usr/share/cinnamon/applets/grouped-window-list@cinnamon.org/appList.js,added,426,0,NULL,2018-10-18T08:51:29Z,2018-10-19T14:50:49Z,NA,NA
linuxmint/Cinnamon,open,7944,bf9c880ce38bac28994d4a51437a72d02d7993c6,files/usr/share/cinnamon/applets/grouped-window-list@cinnamon.org/applet.js,added,996,0,NULL,2018-10-18T08:51:29Z,2018-10-19T14:50:49Z,NA,NA
linuxmint/Cinnamon,open,7944,9ebbd74704fff594dae78a2944a92597453fecf6,files/usr/share/cinnamon/applets/grouped-window-list@cinnamon.org/constants.js,added,30,0,NULL,2018-10-18T08:51:29Z,2018-10-19T14:50:49Z,NA,NA
linuxmint/Cinnamon,open,7944,18680792a6c9b41afc7d0f157399f3aab12e00a8,files/usr/share/cinnamon/applets/grouped-window-list@cinnamon.org/gettext.js,added,10,0,NULL,2018-10-18T08:51:29Z,2018-10-19T14:50:49Z,NA,NA
linuxmint/Cinnamon,open,7944,60068642db2de832f6d475f2618a431d11af7ee2,files/usr/share/cinnamon/applets/grouped-window-list@cinnamon.org/menus.js,added,1090,0,NULL,2018-10-18T08:51:29Z,2018-10-19T14:50:49Z,NA,NA
linuxmint/Cinnamon,open,7944,551ab2cbc45e53913877412859886269d7ccd215,files/usr/share/cinnamon/applets/grouped-window-list@cinnamon.org/metadata.json,added,8,0,NULL,2018-10-18T08:51:29Z,2018-10-19T14:50:49Z,NA,NA
linuxmint/Cinnamon,open,7944,86857475f67aac4ee823a6e95622afc832fdd2f1,files/usr/share/cinnamon/applets/grouped-window-list@cinnamon.org/settings-schema.json,added,475,0,NULL,2018-10-18T08:51:29Z,2018-10-19T14:50:49Z,NA,NA
linuxmint/Cinnamon,open,7944,c7eec7343e177f1fce6126f52ecf07668149f14f,files/usr/share/cinnamon/applets/grouped-window-list@cinnamon.org/utils.py,added,112,0,NULL,2018-10-18T08:51:29Z,2018-10-19T14:50:49Z,NA,NA
linuxmint/Cinnamon,open,7944,87923523e3de434e211c470981976fef75e24ec6,gulpfile.js,added,134,0,NULL,2018-10-18T08:51:29Z,2018-10-19T14:50:49Z,NA,NA
linuxmint/Cinnamon,open,7944,b17f4f2046dba0672631477c92930243dfc8c0a3,js/Makefile.am,modified,1,0,NULL,2018-10-18T08:51:29Z,2018-10-19T14:50:49Z,NA,NA
linuxmint/Cinnamon,open,7944,656c300bee90bf037e6958e6ca376f91b539ffe3,js/misc/state.js,added,316,0,NULL,2018-10-18T08:51:29Z,2018-10-19T14:50:49Z,NA,NA
linuxmint/Cinnamon,open,7944,2896393b10e5fd87a5a343e42a93b86398ffbf60,js/misc/util.js,modified,230,1,NULL,2018-10-18T08:51:29Z,2018-10-19T14:50:49Z,NA,NA
linuxmint/Cinnamon,open,7944,13815e89fb59c1c0365ab4207690a11a9df8d348,js/ui/environment.js,modified,4,3,NULL,2018-10-18T08:51:29Z,2018-10-19T14:50:49Z,NA,NA
linuxmint/Cinnamon,open,7944,033209be863c227f8e9286ecdff35b4dd6b8ddd5,js/ui/main.js,modified,4,0,NULL,2018-10-18T08:51:29Z,2018-10-19T14:50:49Z,NA,NA
linuxmint/Cinnamon,open,7944,9e9eaff8cdc8e1816ee580d71eb10ae3d301de80,js/ui/modalDialog.js,modified,4,4,NULL,2018-10-18T08:51:29Z,2018-10-19T14:50:49Z,NA,NA
linuxmint/Cinnamon,open,7944,6d0bbf8739af4f5b297f09c12702102690d08c99,js/ui/overrides.js,modified,51,0,NULL,2018-10-18T08:51:29Z,2018-10-19T14:50:49Z,NA,NA
linuxmint/Cinnamon,open,7944,2a709014d57e32dfac9733dcb5593b70027a62d3,package-lock.json,added,5172,0,NULL,2018-10-18T08:51:29Z,2018-10-19T14:50:49Z,NA,NA
linuxmint/Cinnamon,open,7944,f18117bf16d368137f2b8a71b5dd1ce6ccffa86f,package.json,modified,5,1,NULL,2018-10-18T08:51:29Z,2018-10-19T14:50:49Z,NA,NA
linuxmint/Cinnamon,open,7942,57eb4ac20ae0a71a1b967451f6d7d0f834c1cd8c,js/misc/params.js,modified,1,1,clefebvre,2018-10-17T19:26:51Z,2018-10-18T20:07:06Z,NA,NA
linuxmint/Cinnamon,open,7925,190eb237b6fc17efb8036b551e7e7d94cd177e9a,files/usr/share/cinnamon/applets/window-list@cinnamon.org/applet.js,modified,2,1,germanfr,2018-10-11T07:29:50Z,2018-10-11T07:34:56Z,NA,NA
linuxmint/Cinnamon,open,7925,eebda10776f415d202ba484b823abaa60479858d,files/usr/share/cinnamon/applets/window-list@cinnamon.org/settings-schema.json,modified,5,0,germanfr,2018-10-11T07:29:50Z,2018-10-11T07:34:56Z,NA,NA
linuxmint/Cinnamon,open,7916,a75ee035f77e1549e532b6f9e360bdd9ab8896ab,files/usr/share/cinnamon/applets/window-list@cinnamon.org/applet.js,modified,1,1,syvanpera,2018-10-06T18:14:05Z,2018-10-17T07:46:30Z,NA,NA
linuxmint/Cinnamon,open,7916,77a7854afe4a31d30698624184e6da7590c68146,files/usr/share/cinnamon/applets/workspace-switcher@cinnamon.org/applet.js,modified,8,3,syvanpera,2018-10-06T18:14:05Z,2018-10-17T07:46:30Z,NA,NA
