Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged
neovim/neovim,open,9139,5047e7c23ebd45ffc9beaf6686eb04042d13c1da,runtime/doc/filetype.txt,modified,5,4,NULL,2018-10-18T23:07:00Z,2018-10-19T01:49:37Z,NA,NA
neovim/neovim,open,9139,e18a5528bbff8877d6a7bb980277d2355265f5dd,runtime/plugin/man.vim,modified,3,1,NULL,2018-10-18T23:07:00Z,2018-10-19T01:49:37Z,NA,NA
neovim/neovim,open,9116,e1f0015a2aaf69bbae67751bb2a40b464956a89f,runtime/keymap/oldturkic-orkhon_utf-8.vim,added,143,0,justinmk,2018-10-12T19:24:30Z,2018-10-12T20:03:06Z,NA,NA
neovim/neovim,open,9116,f939f0a40576b6f971cbb7c1d98e3d0e1d4b5180,runtime/keymap/oldturkic-yenisei_utf-8.vim,added,115,0,justinmk,2018-10-12T19:24:30Z,2018-10-12T20:03:06Z,NA,NA
neovim/neovim,open,9116,ecdbc1795ccdd28581f0b803e3a8244230f976b3,runtime/syntax/css.vim,modified,102,109,justinmk,2018-10-12T19:24:30Z,2018-10-12T20:03:06Z,NA,NA
neovim/neovim,open,9116,74a70684889510c5248a028c924c69e3ee8cca11,runtime/syntax/dircolors.vim,modified,7,1,justinmk,2018-10-12T19:24:30Z,2018-10-12T20:03:06Z,NA,NA
neovim/neovim,open,9116,c1781e49539a070b2a442ff919401110f4255dec,src/nvim/po/sr.po,added,6918,0,justinmk,2018-10-12T19:24:30Z,2018-10-12T20:03:06Z,NA,NA
neovim/neovim,open,9115,81fdc9d956640a2a39d87141718587385cb996ca,runtime/autoload/dist/ft.vim,modified,6,2,nono,2018-10-12T19:08:58Z,2018-10-12T19:57:18Z,NA,NA
neovim/neovim,open,9115,7a468216bd231ddc073700d29ab6e3d99c06bbb4,runtime/doc/filetype.txt,modified,19,0,nono,2018-10-12T19:08:58Z,2018-10-12T19:57:18Z,NA,NA
neovim/neovim,open,9115,b63ece7d2d2d3c547ab086143ef4a9c767078028,runtime/doc/repeat.txt,modified,4,0,nono,2018-10-12T19:08:58Z,2018-10-12T19:57:18Z,NA,NA
neovim/neovim,open,9115,c0f06092ac73604c086badfbc056bd8175178fe4,runtime/doc/usr_41.txt,modified,1,0,nono,2018-10-12T19:08:58Z,2018-10-12T19:57:18Z,NA,NA
neovim/neovim,open,9115,a5e3467a96bc2b6d9cd957091395dd596d0e1dfb,runtime/filetype.vim,modified,3,0,nono,2018-10-12T19:08:58Z,2018-10-12T19:57:18Z,NA,NA
neovim/neovim,open,9115,59ea349710061539fe7ac08a3d5c63881e2fe4e1,runtime/ftplugin/vim.vim,modified,18,16,nono,2018-10-12T19:08:58Z,2018-10-12T19:57:18Z,NA,NA
neovim/neovim,open,9115,24674776cbb813cfbfe666a764e31153bebdbb33,runtime/ftplugin/zimbu.vim,modified,5,3,nono,2018-10-12T19:08:58Z,2018-10-12T19:57:18Z,NA,NA
neovim/neovim,open,9115,f3bf96aa971821ac9ca18c95a1878cbe602aca72,runtime/indent/javascript.vim,modified,107,76,nono,2018-10-12T19:08:58Z,2018-10-12T19:57:18Z,NA,NA
neovim/neovim,open,9115,bd5c89d30f8241d9b12363f873cae4cc98ba1b0f,runtime/syntax/apachestyle.vim,modified,5,3,nono,2018-10-12T19:08:58Z,2018-10-12T19:57:18Z,NA,NA
neovim/neovim,open,9115,1adb7ab78da9c989a3e614d734ca65c8ab77464e,runtime/syntax/haskell.vim,modified,3,3,nono,2018-10-12T19:08:58Z,2018-10-12T19:57:18Z,NA,NA
neovim/neovim,open,9115,991fd8af3932f5e30ef96cf3aa6669eba9c465d5,runtime/syntax/html.vim,modified,7,7,nono,2018-10-12T19:08:58Z,2018-10-12T19:57:18Z,NA,NA
neovim/neovim,open,9115,1d777f8022e54ab4eaf2071f53d831210edb612c,runtime/syntax/tex.vim,modified,8,15,nono,2018-10-12T19:08:58Z,2018-10-12T19:57:18Z,NA,NA
neovim/neovim,open,9115,60dd0e1227027108281a0f1ef8b2bc8a0d1457d9,runtime/syntax/vim.vim,modified,4,3,nono,2018-10-12T19:08:58Z,2018-10-12T19:57:18Z,NA,NA
neovim/neovim,open,9112,2621036e26ee962334c3a605001be77d4ce44102,man/nvim.1,modified,22,15,nono,2018-10-12T16:58:47Z,2018-10-12T17:02:08Z,NA,NA
neovim/neovim,open,9110,dbd50299d291cf4ee370235edb9b2240e6bc2c71,src/nvim/api/private/helpers.c,modified,3,1,justinmk,2018-10-12T10:40:34Z,2018-10-12T17:38:40Z,NA,NA
neovim/neovim,open,9100,1232755d73dd595a46ef34cef0db2f02737d7417,CMakeLists.txt,modified,1,1,bfredl,2018-10-09T09:44:22Z,2018-10-19T11:54:44Z,NA,NA
neovim/neovim,open,9100,fb9222d1a1105eb30fc46803eee1275279ee71ed,src/nvim/api/window.c,modified,39,0,bfredl,2018-10-09T09:44:22Z,2018-10-19T11:54:44Z,NA,NA
