Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged
neovim/neovim,open,9100,d52506208409d651d692d31d5a15fc7280d2dc13,test/functional/api/window_spec.lua,modified,17,0,bfredl,2018-10-09T09:44:22Z,2018-10-19T11:54:44Z,NA,NA
neovim/neovim,open,9066,fcbdef09ff57450d4490598af1290a3598d7ce64,test/functional/autocmd/autocmd_spec.lua,modified,54,0,jamessan,2018-09-29T18:46:30Z,2018-10-17T20:10:18Z,NA,NA
neovim/neovim,open,9040,95e54562d74d47b5a4c93e9af1ee24c7f5d5c67d,test/functional/ui/sign_spec.lua,modified,80,0,blueyed,2018-09-23T18:34:12Z,2018-10-13T17:43:59Z,NA,NA
neovim/neovim,open,9015,cfdd4b889d029783ba2aa7caccd7359e46c0d1e5,src/nvim/testdir/test_filetype.vim,modified,40,1,justinmk,2018-09-19T00:32:37Z,2018-09-20T06:38:13Z,NA,NA
neovim/neovim,open,9003,837d8b734fbd1ccb8051c30301507a9eb19ad3a3,src/nvim/testdir/test_profile.vim,modified,41,0,janlazo,2018-09-16T12:45:58Z,2018-09-16T15:13:40Z,NA,NA
neovim/neovim,open,8952,0126fae406ba74182ecd703827584b490396acba,src/nvim/testdir/test_spell.vim,modified,71,0,danielBelenky,2018-09-03T14:41:45Z,2018-09-20T01:53:11Z,NA,NA
neovim/neovim,open,8883,8807910ec5b76ccf9ea731722ee8d712142c9a35,test/functional/api/server_requests_spec.lua,modified,1,1,justinmk,2018-08-22T07:04:07Z,2018-09-17T10:39:51Z,NA,NA
neovim/neovim,open,8883,ed9ca774d3cbd02bca94f9630c38cc6aa4c1e0c4,test/functional/core/channels_spec.lua,modified,21,0,justinmk,2018-08-22T07:04:07Z,2018-09-17T10:39:51Z,NA,NA
neovim/neovim,open,8839,755377e22fe7b9840c06e6a7e920e1a8d95d27b7,test/functional/autocmd/termclose_spec.lua,modified,0,1,daskol,2018-08-09T20:42:24Z,2018-08-09T21:02:34Z,NA,NA
neovim/neovim,open,8839,8db8501eb1b949619c5efb5cce1bbc0cf7e56bc3,test/functional/core/job_spec.lua,modified,2,2,daskol,2018-08-09T20:42:24Z,2018-08-09T21:02:34Z,NA,NA
neovim/neovim,open,8839,d6c44089d82956088b58c58142bac5637fb0f674,test/functional/terminal/ex_terminal_spec.lua,modified,17,19,daskol,2018-08-09T20:42:24Z,2018-08-09T21:02:34Z,NA,NA
neovim/neovim,open,8839,c27f8f0be8244c0e168da387ee4d52cfa1ba3998,test/functional/terminal/scrollback_spec.lua,modified,4,4,daskol,2018-08-09T20:42:24Z,2018-08-09T21:02:34Z,NA,NA
neovim/neovim,open,8839,12778cd5628e1212f43f00eb4114caabb7060eee,test/functional/terminal/tui_spec.lua,modified,2,2,daskol,2018-08-09T20:42:24Z,2018-08-09T21:02:34Z,NA,NA
neovim/neovim,open,8814,f04348aad31a6fe9100fb81221dcb119763d3021,test/functional/eval/system_spec.lua,modified,1,0,aavshr,2018-08-05T00:13:40Z,2018-09-19T10:17:23Z,NA,NA
neovim/neovim,open,8766,8d9d5c6ba32e70367052c724a8a5619ddfd417c8,test/functional/api/vim_spec.lua,modified,25,0,justinmk,2018-07-22T13:39:38Z,2018-09-08T10:40:50Z,NA,NA
neovim/neovim,open,8765,e6f54ff724312fd046c5ecda4b1a8b8faed0f0e9,test/functional/api/vim_spec.lua,modified,78,0,MichaHoffmann,2018-07-21T11:40:24Z,2018-09-08T04:21:14Z,NA,NA
neovim/neovim,open,8720,c538b1e85db5de608a6473222571c55e5a9fa34b,test/functional/helpers.lua,modified,19,2,Siddhant085,2018-07-11T07:34:50Z,2018-07-11T18:39:22Z,NA,NA
neovim/neovim,open,8720,d50c388b7f567ef1587b486ee587e1458b6a718a,test/functional/ui/startup_spec.lua,added,86,0,Siddhant085,2018-07-11T07:34:50Z,2018-07-11T18:39:22Z,NA,NA
