Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged
opentx/opentx,open,4733,72bf1ba2aaf4c5a3a07130da1b257587366d4cf0,radio/src/tests/mixer.cpp,modified,28,0,mtwomey,2017-04-01T14:22:11Z,2018-07-05T18:02:37Z,NA,NA
opentx/opentx,closed,6036,367f6db13c4048aa99f1534b624a87839266c43a,radio/src/tests/mixer.cpp,modified,16,1,mikeller,2018-07-11 22:41:16,2018-07-11 22:41:16,2018-07-12 09:40:09,2018-07-12 09:40:09
opentx/opentx,closed,6035,97fa34a7155b197dbfad381b4b75ff31658ebbee,radio/src/tests/mixer.cpp,modified,1,81,bsongis,2018-07-11 16:55:45,2018-07-11 16:55:45,2018-07-11 20:39:27,2018-07-11 20:39:27
opentx/opentx,closed,6035,46d69c69d4f4aed92c27d8590927acb439812b2b,radio/src/tests/switches.cpp,modified,0,12,bsongis,2018-07-11 16:55:45,2018-07-11 16:55:45,2018-07-11 20:39:27,2018-07-11 20:39:27
opentx/opentx,closed,6033,9e4ba00c8956cfb27183a5f61736645d3f4749ff,radio/src/tests/frsky.cpp,modified,2,2,bsongis,2018-07-11 11:34:37,2018-07-11 11:34:37,2018-07-11 12:03:15,2018-07-11 12:03:15
opentx/opentx,closed,6033,0b2dafa17abf1038739b8bb8e4c44b482e90ac31,radio/src/tests/gtests.h,modified,1,1,bsongis,2018-07-11 11:34:37,2018-07-11 11:34:37,2018-07-11 12:03:15,2018-07-11 12:03:15
opentx/opentx,closed,6033,e31efdc87e836491bed7a4e7be2f569fde401d84,radio/src/tests/lcd.cpp,modified,1,1,bsongis,2018-07-11 11:34:37,2018-07-11 11:34:37,2018-07-11 12:03:15,2018-07-11 12:03:15
opentx/opentx,closed,6002,486b601f2e9ea8e7797b5d0faeaf6205076a5d41,radio/src/tests/lcd_480x272.cpp,modified,5,1,raphaelcoeffic,2018-06-29 18:50:49,2018-06-29 18:50:49,2018-07-08 14:47:23,2018-07-08 14:47:23
opentx/opentx,closed,5931,881adf0285f623db2851aa2e9db53d1b0809df9e,radio/src/tests/CMakeLists.txt,modified,1,2,mpaperno,2018-06-01 13:42:31,2018-06-01 13:42:31,2018-06-02 16:14:50,2018-06-02 16:14:50
opentx/opentx,closed,5901,da2ac09d348e29885ecbe5cf34770c360c8115f6,radio/src/tests/fonts_480x272.png,modified,0,0,raphaelcoeffic,2018-05-21 10:06:47,2018-05-21 10:06:47,2018-05-21 17:03:15,2018-05-21 17:03:15
opentx/opentx,closed,5901,ae3f0b94fee8e30b9badec1a6559ddb62dcab4f8,radio/src/tests/primitives_480x272.png,modified,0,0,raphaelcoeffic,2018-05-21 10:06:47,2018-05-21 10:06:47,2018-05-21 17:03:15,2018-05-21 17:03:15
opentx/opentx,closed,5901,b8fec6660175215aa18f93dc4dd7f09d8030adc4,radio/src/tests/transparency_480x272.png,modified,0,0,raphaelcoeffic,2018-05-21 10:06:47,2018-05-21 10:06:47,2018-05-21 17:03:15,2018-05-21 17:03:15
opentx/opentx,closed,5890,0b5bb6d1d39ea8900f094aecf3680a6fec5ae44c,radio/src/tests/fonts_480x272.png,modified,0,0,raphaelcoeffic,2018-05-15 22:04:33,2018-05-15 22:04:33,2018-05-21 08:06:00,NA
opentx/opentx,closed,5890,de092e7afcf371b8970294864575200fec23e404,radio/src/tests/primitives_480x272.png,modified,0,0,raphaelcoeffic,2018-05-15 22:04:33,2018-05-15 22:04:33,2018-05-21 08:06:00,NA
opentx/opentx,closed,5890,2d1d9f4359b289299b5e1fd6b5dc1545c038500a,radio/src/tests/transparency_480x272.png,modified,0,0,raphaelcoeffic,2018-05-15 22:04:33,2018-05-15 22:04:33,2018-05-21 08:06:00,NA
opentx/opentx,closed,5555,ec5fd0066048e84defc11dcf3bfe722b77c5bf2a,radio/src/tests/CMakeLists.txt,modified,1,1,mpaperno,2017-12-20 17:36:18,2017-12-20 17:36:18,2017-12-21 17:25:28,2017-12-21 17:25:28
opentx/opentx,closed,5555,845d49f45b37b54e45a0789590fc2a402d22de89,radio/src/tests/lua.cpp,modified,6,6,mpaperno,2017-12-20 17:36:18,2017-12-20 17:36:18,2017-12-21 17:25:28,2017-12-21 17:25:28
opentx/opentx,closed,5388,38f5cb1e70ec2ed99a106eea59ce098d3d51015e,tools/commit-tests.sh,modified,1,10,mhotar,2017-11-19 14:50:39,2017-11-19 14:50:39,2017-11-19 22:49:38,2017-11-19 22:49:38
opentx/opentx,closed,5371,9f0a67105cb321dbdb74787f12d1f2a53d30e780,tools/commit-tests.sh,modified,5,1,mhotar,2017-11-15 12:02:18,2017-11-15 12:02:18,2017-11-18 10:24:16,2017-11-18 10:24:16
opentx/opentx,closed,5367,8fd97afc389460fb69b0f6c328616667bd89df1c,radio/src/tests/transparency_480x272.png,modified,0,0,raphaelcoeffic,2017-11-14 20:44:35,2017-11-14 20:44:35,2017-11-18 10:23:34,2017-11-18 10:23:34
opentx/opentx,closed,5344,589c5617735c3427e0d4c63ce7c901b1e160000e,radio/src/tests/gtests.h,modified,3,0,bsongis,2017-11-11 10:17:41,2017-11-11 10:17:41,2017-11-12 13:15:20,2017-11-12 13:15:20
opentx/opentx,closed,5344,9d3c439e5763b5b99dd9e32425b3e69637cb5897,radio/src/tests/mixer.cpp,modified,32,30,bsongis,2017-11-11 10:17:41,2017-11-11 10:17:41,2017-11-12 13:15:20,2017-11-12 13:15:20
opentx/opentx,closed,5344,7ac31f700c787d34ea452ef763565fc8e0bfceae,radio/src/tests/switches.cpp,modified,3,3,bsongis,2017-11-11 10:17:41,2017-11-11 10:17:41,2017-11-12 13:15:20,2017-11-12 13:15:20
opentx/opentx,closed,5214,347ed6641f2b572567fc7a91c36a0f7c80b8bd29,tools/commit-tests.sh,modified,10,1,rodericktaylor,2017-09-15 07:04:30,2017-09-15 07:04:30,2017-09-16 14:08:21,2017-09-16 14:08:21
opentx/opentx,closed,4658,bbd77c3949f74f81e35f7aea039baf1e749d1605,radio/src/tests/fonts_480x272.png,added,0,0,mpaperno,2017-03-21 17:58:14,2017-03-21 17:58:14,2017-03-21 18:47:42,2017-03-21 18:47:42
opentx/opentx,closed,4658,d96f116a7c0e05b73cae8ebd6e8e1866ed5c9730,radio/src/tests/lcd_480x272.cpp,modified,57,2,mpaperno,2017-03-21 17:58:14,2017-03-21 17:58:14,2017-03-21 18:47:42,2017-03-21 18:47:42
opentx/opentx,closed,4658,18fa167cf1985e86aaae5abafe14faf71440516c,radio/src/tests/transparency_480x272.png,added,0,0,mpaperno,2017-03-21 17:58:14,2017-03-21 17:58:14,2017-03-21 18:47:42,2017-03-21 18:47:42
opentx/opentx,closed,4464,75bd3a88cac8184f01448aeba817c2a21dba645f,radio/src/tests/lcd.cpp,modified,39,29,3djc,2017-02-15 21:57:56,2017-02-15 21:57:56,2017-02-15 23:23:43,2017-02-15 23:23:43
opentx/opentx,closed,4464,6be31ec7fd4a2796beb5a6ce4b598dcfaca169f6,radio/src/tests/lcdDrawLine_128x64.png,added,0,0,3djc,2017-02-15 21:57:56,2017-02-15 21:57:56,2017-02-15 23:23:43,2017-02-15 23:23:43
opentx/opentx,closed,4464,8f14d69729012bea719f1b7935cb3ee7f025a104,radio/src/tests/lcdDrawLine_212x64.png,modified,0,0,3djc,2017-02-15 21:57:56,2017-02-15 21:57:56,2017-02-15 23:23:43,2017-02-15 23:23:43
opentx/opentx,closed,4263,8f2eb1c41ff79f5e071a8af703981302a339d6a6,tools/commit-tests.sh,modified,151,103,3djc,2017-01-20 17:42:32,2017-01-20 17:42:32,2017-01-21 16:18:42,2017-01-21 16:18:42
opentx/opentx,closed,4231,a8b0941e29e7abce8de330d5c751fdc1e928d6f2,radio/src/tests/CMakeLists.txt,modified,2,1,projectkk2glider,2017-01-14 11:15:15,2017-01-14 11:15:15,2017-01-15 20:53:18,2017-01-15 20:53:18
opentx/opentx,closed,4218,e48bff9b846e40b10b34551b7df5ca8049aa7b84,tools/commit-tests.sh,modified,23,15,projectkk2glider,2017-01-11 02:38:18,2017-01-11 02:38:18,2017-01-12 20:32:37,2017-01-12 20:32:37
opentx/opentx,closed,4202,a3611ac49719458776508d4ae44ddada58babf4e,radio/src/tests/CMakeLists.txt,modified,41,33,mpaperno,2017-01-06 14:11:00,2017-01-06 14:11:00,2017-01-08 08:44:34,2017-01-08 08:44:34
opentx/opentx,closed,4202,98493ade7bf4d6fa10b37e5d434e1a75c4d7ead6,radio/src/tests/gtests.cpp,modified,111,1,mpaperno,2017-01-06 14:11:00,2017-01-06 14:11:00,2017-01-08 08:44:34,2017-01-08 08:44:34
opentx/opentx,closed,4202,a276add84dee0386984d1f89dd385df510aa0a87,tools/commit-tests.sh,modified,7,7,mpaperno,2017-01-06 14:11:00,2017-01-06 14:11:00,2017-01-08 08:44:34,2017-01-08 08:44:34
opentx/opentx,closed,4199,59d83c9e14fa2c24ec9107ae9595ceb14446a462,radio/src/tests/colorlcd.cpp,added,54,0,3djc,2017-01-04 22:33:17,2017-01-04 22:33:17,2017-01-05 20:45:00,2017-01-05 20:45:00
opentx/opentx,closed,4157,d160cfced20071bca6fe672148926a065d38ca57,radio/src/tests/prec1_dblsize_invers_212x64.png,modified,0,0,3djc,2016-12-22 18:04:54,2016-12-22 18:04:54,2016-12-23 22:57:33,2016-12-23 22:57:33
opentx/opentx,closed,4151,f9d828fd37122e17738105fd6bfe2dcf6fea6e58,radio/src/tests/frsky.cpp,modified,4,4,PTDreamer,2016-12-18 19:00:30,2016-12-18 19:00:30,2016-12-23 23:04:12,2016-12-23 23:04:12
opentx/opentx,closed,4075,a23568c84c7e7f513a7a2cebd6a5c3192798eba8,radio/src/tests/lua.cpp,modified,5,5,schwabe,2016-11-26 19:12:18,2016-11-26 19:12:18,2016-11-28 22:08:18,2016-11-28 22:08:18
opentx/opentx,closed,4040,b535cf8ee5b06f00d8e5e64036cdccf46ab42374,radio/sdcard/horus/THEMES/Darkblue/mask_opentx_testmode.png,added,0,0,3djc,2016-11-18 09:24:21,2016-11-18 09:24:21,2016-11-18 17:43:14,2016-11-18 17:43:14
opentx/opentx,closed,3980,1f51cfebf187019aa66156ce904dd809aae20f48,radio/src/tests/CMakeLists.txt,modified,3,3,3djc,2016-11-02 08:29:43,2016-11-02 08:29:43,2016-11-02 12:05:13,2016-11-02 12:05:13
opentx/opentx,closed,3978,38111434ee06bf45e4cc75d02d0b4771bf4d64b9,radio/src/tests/frsky.cpp,modified,16,0,schwabe,2016-11-01 22:03:11,2016-11-01 22:03:11,2016-11-02 21:03:45,2016-11-02 21:03:45
opentx/opentx,closed,3978,fc8c48159d847466b67290241da37822ce28774b,radio/src/tests/functions.cpp,modified,5,9,schwabe,2016-11-01 22:03:11,2016-11-01 22:03:11,2016-11-02 21:03:45,2016-11-02 21:03:45
opentx/opentx,closed,3978,4592b0140b0db69ba70a600396996a0a98e16b10,radio/src/tests/gtests.h,modified,22,1,schwabe,2016-11-01 22:03:11,2016-11-01 22:03:11,2016-11-02 21:03:45,2016-11-02 21:03:45
