Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
BVLC/caffe,open,6517,a4e442f7cc89d253efadc21d2a0d2097fca489c7,scripts/prebuild/test_macros.py,modified,71,54,kostinalexey,2018-08-29 09:34:28,2018-08-29 09:34:28,0,0,,
BVLC/caffe,open,6508,d8d1d40a989f14c86cfc1732ad677b924fafc019,src/caffe/test/test_resizebilinear_layer.cpp,added,169,0,wkcn,2018-08-22 09:55:24,2018-08-22 09:55:24,0,0,,
BVLC/caffe,open,6506,66a55ff235590ab9ee654599f06f67653682f224,src/caffe/test/test_pad_layer.cpp,added,594,0,ujsyehao,2018-08-21 14:40:11,2018-08-21 14:40:11,0,0,,
BVLC/caffe,open,6399,598faade8e6156b422a61853604e999abad84710,include/caffe/test/test_gradient_check_util.hpp,modified,8,1,naibaf7,2018-05-15 14:29:34,2018-05-15 14:29:34,0,0,,
BVLC/caffe,open,6399,23e52eb08122b17ead78b50e3795996f39a0913e,src/caffe/test/test_concat_layer.cpp,modified,9,0,naibaf7,2018-05-15 14:29:34,2018-05-15 14:29:34,0,0,,
BVLC/caffe,open,6384,92d11b2714ad3ba7056c7bb9e3320e9a2dca4286,src/caffe/test/test_upsample_layer.cpp,added,62,0,csukuangfj,2018-05-06 13:20:24,2018-05-06 13:20:24,0,0,,
BVLC/caffe,open,6324,a908504738472bf398c751831429057c9be5ee9e,examples/mnist/lenet_train_test.prototxt,modified,25,0,twmht,2018-04-02 12:10:06,2018-04-02 12:10:06,0,0,,
BVLC/caffe,open,6306,4820b44546866f72f60f91048e46aaab5b90981a,python/caffe/test/test_net_spec.py,modified,68,0,SOLARleisu,2018-03-20 12:53:00,2018-03-20 12:53:00,0,0,,
BVLC/caffe,open,6303,7fe97e59903eee49f5eb0bf55b2dee71be234c06,src/caffe/test/test_pooling_layer.cpp,modified,53,0,twmht,2018-03-20 01:58:14,2018-03-20 01:58:14,0,0,,
BVLC/caffe,open,6263,86bd3b3245e1b902974b4211fb2b5346531dee72,src/caffe/test/test_gradient_based_solver.cpp,modified,114,1,oscarriddle,2018-02-27 19:22:36,2018-02-27 19:22:36,0,0,,
BVLC/caffe,open,6229,769112ebfe73da607ab377ed4ab61734d163f1e3,src/caffe/test/test_upgrade_proto.cpp,modified,4,0,artyom-beilis,2018-02-12 10:49:31,2018-02-12 10:49:31,0,0,,
BVLC/caffe,open,6209,7508176cb2bcb7dbe1af7b548e82e571dae4e419,python/caffe/test/test_solver.py,modified,2,2,IlyaOvodov,2018-02-02 10:59:20,2018-02-02 10:59:20,0,0,,
BVLC/caffe,open,6183,43b7b0032b9a32f22b98c87f7ee4fc6db5ae29da,tools/extra/plot_network_test.m,added,101,0,Noiredd,2018-01-17 17:39:00,2018-01-17 17:39:00,0,0,,
BVLC/caffe,open,6100,36c5e4ae6278f57c5897c389625d6e9de32a6cc7,python/caffe/test/test_io.py,modified,6,6,KJoke70,2017-12-10 20:16:18,2017-12-10 20:16:18,0,0,,
BVLC/caffe,open,5894,da19231ef683b3bb4a82f4875ab459a7b52f4109,src/caffe/test/test_weighted_euclidean_loss_layer.cpp,added,89,0,ZhangXinNan,2017-09-05 06:47:00,2017-09-05 06:47:00,0,0,,
BVLC/caffe,open,5872,3859b9497c8912ea6cfcc330f6a3f9c7a4fcc9de,examples/cifar100/cifar100_quick_train_test.prototxt,added,225,0,kouyoumin,2017-08-24 13:54:07,2017-08-24 13:54:07,0,0,,
BVLC/caffe,open,5828,a07af3fe874bda794e3b4b42f8f73963e9230c80,src/caffe/test/test_weighted_softmax_with_loss_layer.cpp,added,234,0,alexyangfox,2017-08-07 08:34:06,2017-08-07 08:34:06,0,0,,
BVLC/caffe,open,5709,e497f6fd27c6cf97454099f4af1cdd54bbc8757d,src/caffe/test/test_bbox_data_layer.cpp,added,203,0,ChWick,2017-06-23 01:37:19,2017-06-23 01:37:19,0,0,,
BVLC/caffe,open,5558,7e93e6f7232c6acccc31e70a6708e9788c8c7548,src/caffe/test/test_memory_data_layer.cpp,modified,24,0,GlueCrow,2017-04-23 21:52:05,2017-04-23 21:52:05,0,0,,
BVLC/caffe,open,5400,0890539a6e395cc56b8829f2a269605eb81fda49,python/caffe/test/test_nccl.py,added,19,0,kli-nlpr,2017-03-14 02:02:14,2017-03-14 02:02:14,0,0,,
BVLC/caffe,open,5391,2fc0679e4fdc91e41ced352deec8e641db822ad2,scripts/travis/test.sh,modified,3,8,JonBoyleCoding,2017-03-12 12:55:13,2017-03-12 12:55:13,0,0,,
BVLC/caffe,open,5370,a92383e54a90edbf32bb150a3d75cdac98252fcb,halide/generator/register_gen_test.cpp,added,22,0,lababidi,2017-03-08 11:58:50,2017-03-08 11:58:50,0,0,,
BVLC/caffe,open,5370,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,halide/generator/testfunc.gen,added,0,0,lababidi,2017-03-08 11:58:50,2017-03-08 11:58:50,0,0,,
BVLC/caffe,open,5370,6cfafaa7cb4cdad88651ca66ad6b8c1dac558346,halide/wrappers/testfunc_wrapper.cpp,added,57,0,lababidi,2017-03-08 11:58:50,2017-03-08 11:58:50,0,0,,
BVLC/caffe,open,5370,d87492e4f684266a40d7e2367fac61fc57c221de,halide/wrappers/testfunc_wrapper.h,added,60,0,lababidi,2017-03-08 11:58:50,2017-03-08 11:58:50,0,0,,
BVLC/caffe,open,5370,294f7e5011a593b49a89215f35ff88904c1b9a85,include/caffe/test/test_caffe_main.hpp,modified,1,2,lababidi,2017-03-08 11:58:50,2017-03-08 11:58:50,0,0,,
BVLC/caffe,open,5370,465140f28a679836918807c1ed00571ac4c782d7,src/caffe/test/test_gradient_based_solver.cpp,modified,1,1,lababidi,2017-03-08 11:58:50,2017-03-08 11:58:50,0,0,,
BVLC/caffe,open,5370,e8b07c9760a42508a62c45216f5519e000760a56,src/caffe/test/test_halide_layer.cpp,added,136,0,lababidi,2017-03-08 11:58:50,2017-03-08 11:58:50,0,0,,
BVLC/caffe,open,5370,f94dd57e7de6105778a03c70d7a73582fe51319c,src/caffe/test/test_hdf5_output_layer.cpp,modified,1,2,lababidi,2017-03-08 11:58:50,2017-03-08 11:58:50,0,0,,
BVLC/caffe,open,5294,12586027aae1504c04b7ff1a6d6b972cecc42f30,src/caffe/test/test_layer_factory.cpp,modified,2,0,ftokarev,2017-02-16 14:31:59,2017-02-16 14:31:59,0,0,,
BVLC/caffe,open,5260,3d149c0909a06e7d0a28670840e625b43526d4d0,src/caffe/test/test_hdf5_output_layer.cpp,modified,29,22,OnTheWheel,2017-02-06 19:31:25,2017-02-06 19:31:25,0,0,,
BVLC/caffe,open,5250,a06b27aaf00c43c78f23d47af223d8a1e382d166,src/caffe/test/test_euclidean_loss_layer.cpp,modified,50,0,samarth-robo,2017-02-03 13:44:33,2017-02-03 13:44:33,0,0,,
BVLC/caffe,open,5157,f42dc3cb814929f9328484ac9008fa206357821e,python/caffe/test/test_gradient_for_python_layer.py,added,229,0,kecsap,2017-01-05 08:07:23,2017-01-05 08:07:23,0,0,,
BVLC/caffe,open,5019,7f457ebc91d42ab0a506b32f275b994354b0edeb,examples/triplet/multipie_triplet_train_test.prototxt,added,191,0,yossibiton,2016-11-23 12:26:09,2016-11-23 12:26:09,0,0,,
BVLC/caffe,open,5019,26010099b23d3206766e7ea586bf566e3a59e851,examples/triplet/pascal3d_triplet_train_test.prototxt,added,335,0,yossibiton,2016-11-23 12:26:09,2016-11-23 12:26:09,0,0,,
BVLC/caffe,open,5019,61304545de7a67d85c686378942552f737407c25,src/caffe/test/test_triplet_loss_layer.cpp,added,128,0,yossibiton,2016-11-23 12:26:09,2016-11-23 12:26:09,0,0,,
BVLC/caffe,open,4983,0313957898ce6cd0045c7012c4f4e515e8dc5bc2,src/caffe/test/test_cosine_loss_layer.cpp,added,155,0,paroj,2016-11-15 09:05:55,2016-11-15 09:05:55,0,0,,
BVLC/caffe,open,4681,4c6918f04f498e74bca2fe6752bb8bf483f56282,src/caffe/test/test_ctc_decoder_layer.cpp,added,223,0,rokm,2016-09-03 20:22:53,2016-09-03 20:22:53,0,0,,
BVLC/caffe,open,4681,051e83cbcd5032723807ec5e4e2ff6e9764f5741,src/caffe/test/test_ctc_loss_layer.cpp,added,634,0,rokm,2016-09-03 20:22:53,2016-09-03 20:22:53,0,0,,
BVLC/caffe,open,4681,8101271044dd8e3134179b4d903008fce8ca974f,src/caffe/test/test_reverse_layer.cpp,added,366,0,rokm,2016-09-03 20:22:53,2016-09-03 20:22:53,0,0,,
BVLC/caffe,open,4491,c2401bfd6db752562ba017a65c3ec94e4a185901,src/caffe/test/test_cyclic_pool_layer.cpp,added,178,0,ankh1860,2016-07-20 17:54:07,2016-07-20 17:54:07,0,0,,
BVLC/caffe,open,4491,11f7d2e01e956e0d20d88d546b9cb3002c380e99,src/caffe/test/test_cyclic_roll_layer.cpp,added,138,0,ankh1860,2016-07-20 17:54:07,2016-07-20 17:54:07,0,0,,
BVLC/caffe,open,4491,4167d298bfb6e546e21b7e31c282a18cfc1ceb15,src/caffe/test/test_cyclic_slice_layer.cpp,added,102,0,ankh1860,2016-07-20 17:54:07,2016-07-20 17:54:07,0,0,,
BVLC/caffe,open,4484,3aa494a454a982f3bcee26b31c41a3729b67a800,src/caffe/test/test_data_transformer.cpp,modified,36,0,yao-zhao,2016-07-19 14:24:29,2016-07-19 14:24:29,0,0,,
BVLC/caffe,open,4484,8492b8e657c861edbc38206f490068b5d8a7532e,src/caffe/test/test_io.cpp,modified,22,0,yao-zhao,2016-07-19 14:24:29,2016-07-19 14:24:29,0,0,,
BVLC/caffe,open,4476,479a89fc51bf2a5691db8171641f07e3908dbd21,src/caffe/test/test_double_margin_contrastive_loss_layer.cpp,added,105,0,ssudholt,2016-07-17 08:24:40,2016-07-17 08:24:40,0,0,,
BVLC/caffe,open,4301,91061db2ea07efb732d9e5bc57a4eda2a66b06fe,src/caffe/test/test_equiv_pooling_layer.cpp,added,275,0,tiferet,2016-06-13 11:11:28,2016-06-13 11:11:28,0,0,,
BVLC/caffe,open,4251,81bb4787a58f5efdab606d2bbb28e62aec5c9961,examples/mnist/lenet_local_train_test.prototxt,added,208,0,kgl-prml,2016-06-01 11:24:02,2016-06-01 11:24:02,0,0,,
BVLC/caffe,open,4251,5129af6995dd3d7a76b077c8d9d286c74cbd93a2,src/caffe/test/test_local_layer.cpp,added,263,0,kgl-prml,2016-06-01 11:24:02,2016-06-01 11:24:02,0,0,,
BVLC/caffe,open,4194,df90698c649d49d507e8ae7b1630e77895754b96,python/caffe/test/test_memory_layer.py,added,151,0,christianpayer,2016-05-21 21:41:21,2016-05-21 21:41:21,0,0,,
BVLC/caffe,open,4163,f678bd1d10aca29f392840b012a15eeaf95cd9fe,src/caffe/test/test_roi_pooling_layer.cpp,added,161,0,tiagofrepereira2012,2016-05-17 14:32:16,2016-05-17 14:32:16,0,0,,
BVLC/caffe,open,4163,7f60a8d3a35381849b18030fe2baee2d5f2d3674,src/caffe/test/test_smooth_l1_loss_layer.cpp,added,85,0,tiagofrepereira2012,2016-05-17 14:32:16,2016-05-17 14:32:16,0,0,,
BVLC/caffe,open,4032,3bdcfe53e092130839bd3d4a8b4ef6fef218e238,src/caffe/test/test_transpose_layer.cpp,added,95,0,hevy-CC4477,2016-04-22 23:35:46,2016-04-22 23:35:46,0,0,,
BVLC/caffe,open,4013,71518e1f89d7ab4df629939ef1f8c99bf1da531f,python/caffe/test/test_lmdb_creator.py,added,227,0,ssudholt,2016-04-19 08:59:55,2016-04-19 08:59:55,0,0,,
BVLC/caffe,open,3983,93f090903d193eb8a9cbd7e30d8ac8012c2c0a25,src/caffe/test/test_convolution_layer.cpp,modified,74,0,ssudholt,2016-04-12 14:28:02,2016-04-12 14:28:02,0,0,,
BVLC/caffe,open,3983,0fd5d33409ad7361f7739ef0d11d992922c79a1d,src/caffe/test/test_maxpool_dropout_layers.cpp,modified,6,6,ssudholt,2016-04-12 14:28:02,2016-04-12 14:28:02,0,0,,
BVLC/caffe,open,3983,0f6c970c1f10e25967e1dfa6f2fbd70a58a37c90,src/caffe/test/test_pooling_layer.cpp,modified,525,38,ssudholt,2016-04-12 14:28:02,2016-04-12 14:28:02,0,0,,
BVLC/caffe,open,3983,8b8a8ce1d4fda666edd587f6ac2713a1333a85a7,src/caffe/test/test_stochastic_pooling.cpp,modified,8,8,ssudholt,2016-04-12 14:28:02,2016-04-12 14:28:02,0,0,,
BVLC/caffe,open,3817,a12fc232de9d8f46b50f487820e25f099fc9c09e,include/caffe/test/test_gradient_check_util.hpp,modified,70,5,Coldmooon,2016-03-15 00:01:10,2016-03-15 00:01:10,0,0,,
BVLC/caffe,open,3817,e554aba183aa81500ac447fc3333f9ad621c0241,src/caffe/test/test_data/generate_ground_metric.py,added,23,0,Coldmooon,2016-03-15 00:01:10,2016-03-15 00:01:10,0,0,,
BVLC/caffe,open,3817,08626b8960b1c8024348cd6e4a95da893ceac2a8,src/caffe/test/test_data/wasserstein_ground_metric.h5,added,0,0,Coldmooon,2016-03-15 00:01:10,2016-03-15 00:01:10,0,0,,
BVLC/caffe,open,3817,5e0a55143610ffb21bfc9ccf541634cdb50a7ad6,src/caffe/test/test_wasserstein_loss_layer.cpp,added,59,0,Coldmooon,2016-03-15 00:01:10,2016-03-15 00:01:10,0,0,,
BVLC/caffe,open,3799,0d07a7b12eaf075c9d97cda0414b432eff86e16a,src/caffe/test/test_neuron_layer.cpp,modified,1,1,dongzhuoyao,2016-03-09 19:57:44,2016-03-09 19:57:44,0,0,,
BVLC/caffe,open,3742,444043417c27c51a78625e7c95102c41404e4a71,src/caffe/test/test_filler.cpp,modified,41,0,dereyly,2016-02-27 21:54:59,2016-02-27 21:54:59,0,0,,
BVLC/caffe,open,3664,a1c4a0f129563ce62d36e0f1030cbde3bfbf7f83,src/caffe/test/test_data_transformer.cpp,modified,37,0,jeffdonahue,2016-02-11 13:06:12,2016-02-11 13:06:12,0,0,,
BVLC/caffe,open,3663,a262e0cea3661414bd52d625c82bef2c6a1da618,src/caffe/test/test_triplet_loss_layer.cpp,added,106,0,cseward,2016-02-11 07:23:33,2016-02-11 07:23:33,0,0,,
BVLC/caffe,open,3601,396a18193f199fdfdc3eb8ba15feda3dba7638fe,src/caffe/test/test_unpooling_layer.cpp,added,621,0,jeffdonahue,2016-01-26 19:34:56,2016-01-26 19:34:56,0,0,,
BVLC/caffe,open,3569,4893e8e97ae323e30f9802b911baf0aa32d48a05,src/caffe/test/test_solver_trace.cpp,added,554,0,jeffdonahue,2016-01-19 14:45:30,2016-01-19 14:45:30,0,0,,
BVLC/caffe,open,3532,a14e7bfc2c05dc67897598312a168a7cdadb5011,src/caffe/test/test_accuracy_layer.cpp,modified,166,26,mfs6174,2016-01-08 16:57:13,2016-01-08 16:57:13,0,0,,
BVLC/caffe,open,3529,9ed23ddb3ca9748e66541469933ec80f3a894332,src/caffe/test/test_db.cpp,modified,25,0,timmeinhardt,2016-01-07 14:42:36,2016-01-07 14:42:36,0,0,,
BVLC/caffe,open,3529,67f80b80c6bbc4564b1156fa378223f694d2c272,src/caffe/test/test_key_value_data_layer.cpp,added,177,0,timmeinhardt,2016-01-07 14:42:36,2016-01-07 14:42:36,0,0,,
BVLC/caffe,open,3376,c91da73f333e608193dd21d531eee73e3294b258,src/caffe/test/test_unpooling_layer.cpp,added,261,0,alexlee-gk,2015-11-24 08:36:03,2015-11-24 08:36:03,0,0,,
BVLC/caffe,open,3357,03c61f2f641234db64036f52eacd158d534e42eb,models/jhlim_googlenet_bn/test_bn.sh,added,9,0,jczaja,2015-11-19 12:11:12,2015-11-19 12:11:12,0,0,,
BVLC/caffe,open,3357,7c490dd19cc5f79902c2504bfa23d3db8802778d,tools/test_bn.cpp,added,619,0,jczaja,2015-11-19 12:11:12,2015-11-19 12:11:12,0,0,,
BVLC/caffe,open,3326,27a0327fa3e48a0a41e8ac08fc761239f9431409,src/caffe/test/test_memory_data_layer.cpp,modified,12,3,prclibo,2015-11-12 12:21:11,2015-11-12 12:21:11,0,0,,
BVLC/caffe,open,3326,44a1f4cc3ffd9dd7035635b67dd8ff2ab8c2d688,src/caffe/test/test_softmax_layer.cpp,modified,25,8,prclibo,2015-11-12 12:21:11,2015-11-12 12:21:11,0,0,,
BVLC/caffe,open,3262,e959325a3aeacd6f92b4f9a3bcc4fac23077e782,src/caffe/test/test_reverse_layer.cpp,added,231,0,eelstork,2015-10-29 17:05:27,2015-10-29 17:05:27,0,0,,
BVLC/caffe,open,3123,7f457ebc91d42ab0a506b32f275b994354b0edeb,examples/triplet/multipie_triplet_train_test.prototxt,added,191,0,vakopian,2015-09-27 16:38:06,2015-09-27 16:38:06,0,0,,
BVLC/caffe,open,3123,26010099b23d3206766e7ea586bf566e3a59e851,examples/triplet/pascal3d_triplet_train_test.prototxt,added,335,0,vakopian,2015-09-27 16:38:06,2015-09-27 16:38:06,0,0,,
