Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
BOINC/boinc,closed,1456,f4e2c3e8bd87524856cb6af6fdbbf29f25a996d2,zip/test.cpp,modified,5,8,jkutner,2015-12-20 18:08:29,2015-12-20 18:08:29,2015-12-21 06:08:38,2015-12-21 06:08:38,NA,NA
BOINC/boinc,closed,1649,49b36565a4a501a5705875891319ab6fe43d2b12,client/rrsim_test.cpp,modified,2,2,m-ad,2016-09-16 11:30:27,2016-09-16 11:30:27,2016-10-18 19:06:23,NA,NA,NA
BOINC/boinc,closed,2472,5f483919bbc7fc58635fecc6bc48d2a01f95e669,html/ops/test_token.php,modified,2,3,RadicalErin,2018-04-17 23:25:50,2018-04-17 23:25:50,2018-05-17 15:36:55,2018-05-17 15:36:55,NA,NA
BVLC/caffe,closed,502,a439128a13ba7fa352f86cfb826203f8e681bc23,src/caffe/test/test_neuron_layer.cpp,modified,21,4,abhi2610,2014-06-14 15:57:01,2014-06-14 15:57:01,2014-06-28 17:37:40,2014-06-28 17:37:40,NA,NA
BVLC/caffe,closed,5775,6d473acda309320d911bff1c315b29b4aba10aa9,src/caffe/test/test_weighted_euclidean_loss_layer.cpp,added,92,0,achetouani,2017-07-15 06:35:34,2017-07-15 06:35:34,2017-08-17 07:48:42,NA,NA,NA
BVLC/caffe,closed,3063,8031f6e90223035fdd90f3e4c625b845683f9d54,src/caffe/test/test_eltwise_layer.cpp,modified,2,2,aidangomez,2015-09-14 03:50:45,2015-09-14 03:50:45,2015-09-14 17:14:56,2015-09-14 17:14:56,NA,NA
BVLC/caffe,closed,5836,e5cc9d5e85ff37070776c511e328813734131d36,src/caffe/test/test_accuracy_layer.cpp,modified,197,163,AIROBOTAI,2017-08-10 07:15:19,2017-08-10 07:15:19,2017-10-10 17:30:37,2017-10-10 17:30:37,NA,NA
BVLC/caffe,closed,4359,13f13a878d3fba8f51ddfa057af0128a2ec319a2,src/caffe/test/test_embed_layer.cpp,modified,1,1,alessandroferrari,2016-06-24 06:46:07,2016-06-24 06:46:07,2016-07-11 16:32:45,2016-07-11 16:32:45,NA,NA
BVLC/caffe,open,5828,a07af3fe874bda794e3b4b42f8f73963e9230c80,src/caffe/test/test_weighted_softmax_with_loss_layer.cpp,added,234,0,alexyangfox,2017-08-07 08:34:06,2017-08-07 08:34:06,0,0,NA,NA
BVLC/caffe,closed,4378,60a92253ae8a535c29dad220b6016ec84c45151b,src/caffe/test/test_temp_softmax_cross_entropy_loss_layer.cpp,added,80,0,alicanb,2016-06-28 18:51:59,2016-06-28 18:51:59,2016-07-11 05:48:13,NA,NA,NA
BVLC/caffe,closed,322,9d302633fefbe3c0bf713232abc75910fc838e67,src/caffe/test/test_maxpool_dropout_layers.cpp,added,186,0,AlOa,2014-04-14 04:04:58,2014-04-14 04:04:58,2014-05-25 01:54:01,NA,NA,NA
BVLC/caffe,closed,322,a26078ee5a2d804ade89ba6fb422eb9ccb2a196e,src/caffe/test/test_pooling_layer.cpp,modified,28,0,AlOa,2014-04-14 04:04:58,2014-04-14 04:04:58,2014-05-25 01:54:01,NA,NA,NA
BVLC/caffe,closed,1362,54f0ae1de67bf7a6b3bfb1bf42f426f003ff04e1,src/caffe/test/test_hdf5_output_layer.cpp,modified,8,8,amiralush,2014-10-26 08:09:37,2014-10-26 08:09:37,2015-08-06 07:13:38,NA,NA,NA
