Repository,User,Frequency,,
BOINC_boinc.csv,alexander255,1,NA,NA
BOINC_boinc.csv,BenjiWiebe,1,NA,NA
BOINC_boinc.csv,Claggy3,1,NA,NA
BOINC_boinc.csv,daissi,1,NA,NA
BOINC_boinc.csv,davidfcalle,1,NA,NA
BOINC_boinc.csv,DiablosOffens,1,NA,NA
BOINC_boinc.csv,dimhotepus,1,NA,NA
BOINC_boinc.csv,entibasse,1,NA,NA
BOINC_boinc.csv,firone,1,NA,NA
BOINC_boinc.csv,formab,1,NA,NA
BOINC_boinc.csv,funkydude,1,NA,NA
BOINC_boinc.csv,gchilders,1,NA,NA
BOINC_boinc.csv,Holger-Will,1,NA,NA
BOINC_boinc.csv,iamtheghostlove,1,NA,NA
BOINC_boinc.csv,informatorius,1,NA,NA
BOINC_boinc.csv,JamesMolson,1,NA,NA
BOINC_boinc.csv,JasonGroothuis,1,NA,NA
BOINC_boinc.csv,jeremyhansen,1,NA,NA
BOINC_boinc.csv,jkutner,1,NA,NA
BOINC_boinc.csv,jokerdm,1,NA,NA
BOINC_boinc.csv,jusavard,1,NA,NA
BOINC_boinc.csv,kyrsjo,1,NA,NA
BOINC_boinc.csv,m-ad,1,NA,NA
BOINC_boinc.csv,mdspann,1,NA,NA
BOINC_boinc.csv,mgorny,1,NA,NA
BOINC_boinc.csv,Michael-DHEP,1,NA,NA
BOINC_boinc.csv,N30dG,1,NA,NA
BOINC_boinc.csv,obsproth,1,NA,NA
BOINC_boinc.csv,Pablohn26,1,NA,NA
BOINC_boinc.csv,Peppernrino,1,NA,NA
BOINC_boinc.csv,pluskal,1,NA,NA
BOINC_boinc.csv,RadicalErin,1,NA,NA
BOINC_boinc.csv,ryd994,1,NA,NA
BOINC_boinc.csv,seippel,1,NA,NA
BOINC_boinc.csv,sirzooro,1,NA,NA
BOINC_boinc.csv,versat,1,NA,NA
BOINC_boinc.csv,war59312,1,NA,NA
BOINC_boinc.csv,wmwong,1,NA,NA
BOINC_boinc.csv,xupiter,1,NA,NA
BVLC_caffe.csv,17cspence,1,NA,NA
BVLC_caffe.csv,1duo,1,NA,NA
BVLC_caffe.csv,2017develper,1,NA,NA
BVLC_caffe.csv,abhi2610,1,NA,NA
BVLC_caffe.csv,abhijitkundu,1,NA,NA
BVLC_caffe.csv,abrowne2,1,NA,NA
BVLC_caffe.csv,acgtyrant,1,NA,NA
BVLC_caffe.csv,achetouani,1,NA,NA
BVLC_caffe.csv,agasy18,1,NA,NA
BVLC_caffe.csv,ahmadki,1,NA,NA
BVLC_caffe.csv,AhmedOS,1,NA,NA
BVLC_caffe.csv,aidangomez,1,NA,NA
BVLC_caffe.csv,AIROBOTAI,1,NA,NA
BVLC_caffe.csv,akash1810,1,NA,NA
BVLC_caffe.csv,akiomik,1,NA,NA
BVLC_caffe.csv,Alanqc,1,NA,NA
BVLC_caffe.csv,albenoit,1,NA,NA
