Repository,User,Frequency,,
BOINC_boinc.csv,AenBleidd,95,NA,NA
BOINC_boinc.csv,aggroskater,3,NA,NA
BOINC_boinc.csv,AndCycle,3,NA,NA
BOINC_boinc.csv,armstrdj,9,NA,NA
BOINC_boinc.csv,bema-aei,13,NA,NA
BOINC_boinc.csv,brevilo,24,NA,NA
BOINC_boinc.csv,CharlieFenton,38,NA,NA
BOINC_boinc.csv,ChristianBeer,97,NA,NA
BOINC_boinc.csv,davidpanderson,123,NA,NA
BOINC_boinc.csv,drshawnkwang,205,NA,NA
BOINC_boinc.csv,EvaSDK,3,NA,NA
BOINC_boinc.csv,GITNE,15,NA,NA
BOINC_boinc.csv,grctest,4,NA,NA
BOINC_boinc.csv,JuhaSointusalo,19,NA,NA
BOINC_boinc.csv,lfield,15,NA,NA
BOINC_boinc.csv,LocutusOfBorg,4,NA,NA
BOINC_boinc.csv,marius311,11,NA,NA
BOINC_boinc.csv,nikolasgianna,13,NA,NA
BOINC_boinc.csv,NULL,10,NA,NA
BOINC_boinc.csv,progger,6,NA,NA
BOINC_boinc.csv,RichardHaselgrove,11,NA,NA
BOINC_boinc.csv,SamsonovAnton,4,NA,NA
BOINC_boinc.csv,serval2412,5,NA,NA
BOINC_boinc.csv,TheAspens,25,NA,NA
BOINC_boinc.csv,timtheisen,3,NA,NA
BOINC_boinc.csv,Uplinger,4,NA,NA
BOINC_boinc.csv,UweBeckert,4,NA,NA
BOINC_boinc.csv,whs,3,NA,NA
BVLC_caffe.csv,achalddave,3,NA,NA
BVLC_caffe.csv,ajschumacher,4,NA,NA
BVLC_caffe.csv,akosiorek,7,NA,NA
BVLC_caffe.csv,alemagnani,3,NA,NA
BVLC_caffe.csv,AlexanderSavochkin,4,NA,NA
BVLC_caffe.csv,alfredtofu,7,NA,NA
BVLC_caffe.csv,aravindhm,4,NA,NA
BVLC_caffe.csv,arntanguy,3,NA,NA
BVLC_caffe.csv,ashafaei,6,NA,NA
BVLC_caffe.csv,astorfi,3,NA,NA
BVLC_caffe.csv,Austriker,4,NA,NA
BVLC_caffe.csv,baeuml,4,NA,NA
BVLC_caffe.csv,bchu,3,NA,NA
BVLC_caffe.csv,beniz,5,NA,NA
BVLC_caffe.csv,bhack,12,NA,NA
BVLC_caffe.csv,blackball,5,NA,NA
BVLC_caffe.csv,BlGene,18,NA,NA
BVLC_caffe.csv,boechat107,3,NA,NA
BVLC_caffe.csv,borisgin,5,NA,NA
BVLC_caffe.csv,buaaliyi,5,NA,NA
BVLC_caffe.csv,bwilbertz,3,NA,NA
BVLC_caffe.csv,by321,3,NA,NA
BVLC_caffe.csv,cdluminate,15,NA,NA
BVLC_caffe.csv,cdoersch,9,NA,NA
BVLC_caffe.csv,cepiross,6,NA,NA
BVLC_caffe.csv,christianpayer,3,NA,NA
BVLC_caffe.csv,chyojn,5,NA,NA
BVLC_caffe.csv,classner,3,NA,NA
BVLC_caffe.csv,ClimbsRocks,3,NA,NA
BVLC_caffe.csv,cNikolaou,7,NA,NA
BVLC_caffe.csv,crazytan,3,NA,NA
BVLC_caffe.csv,crizCraig,5,NA,NA
BVLC_caffe.csv,cseward,5,NA,NA
BVLC_caffe.csv,csukuangfj,5,NA,NA
BVLC_caffe.csv,cvondrick,4,NA,NA
BVLC_caffe.csv,cypof,38,NA,NA
BVLC_caffe.csv,danielgordon10,5,NA,NA
BVLC_caffe.csv,darrengarvey,4,NA,NA
