Repository,Test,Situation,Total,% com/sem,% total,,
BOINC_boinc.csv,TRUE,Open,1,100,6.67,,
BOINC_boinc.csv,TRUE,Closed,0,0,0,,
BOINC_boinc.csv,TRUE,Merged,0,0,0,,
BOINC_boinc.csv,FALSE,Open,0,0,0,,
BOINC_boinc.csv,FALSE,Closed,3,21.43,20,,
BOINC_boinc.csv,FALSE,Merged,11,78.57,73.33,,
BVLC_caffe.csv,TRUE,Open,14,28,13.73,,
BVLC_caffe.csv,TRUE,Closed,16,32,15.69,,
BVLC_caffe.csv,TRUE,Merged,20,40,19.61,,
BVLC_caffe.csv,FALSE,Open,3,5.77,2.94,,
BVLC_caffe.csv,FALSE,Closed,23,44.23,22.55,,
BVLC_caffe.csv,FALSE,Merged,26,50,25.49,,
cocos2d_cocos2d-x.csv,TRUE,Open,3,6,2.42,,
cocos2d_cocos2d-x.csv,TRUE,Closed,11,22,8.87,,
cocos2d_cocos2d-x.csv,TRUE,Merged,36,72,29.03,,
cocos2d_cocos2d-x.csv,FALSE,Open,0,0,0,,
cocos2d_cocos2d-x.csv,FALSE,Closed,19,25.68,15.32,,
cocos2d_cocos2d-x.csv,FALSE,Merged,55,74.32,44.35,,
highfidelity_hifi.csv,TRUE,Open,0,NA,0,,
highfidelity_hifi.csv,TRUE,Closed,0,NA,0,,
highfidelity_hifi.csv,TRUE,Merged,0,NA,0,,
highfidelity_hifi.csv,FALSE,Open,0,0,0,,
highfidelity_hifi.csv,FALSE,Closed,2,11.11,11.11,,
highfidelity_hifi.csv,FALSE,Merged,16,88.89,88.89,,
hpcc-systems_HPCC-Platform.csv,TRUE,Open,0,0,0,,
hpcc-systems_HPCC-Platform.csv,TRUE,Closed,0,0,0,,
hpcc-systems_HPCC-Platform.csv,TRUE,Merged,1,100,20,,
hpcc-systems_HPCC-Platform.csv,FALSE,Open,0,0,0,,
hpcc-systems_HPCC-Platform.csv,FALSE,Closed,0,0,0,,
hpcc-systems_HPCC-Platform.csv,FALSE,Merged,4,100,80,,
hrydgard_ppsspp.csv,TRUE,Open,0,0,0,,
hrydgard_ppsspp.csv,TRUE,Closed,0,0,0,,
hrydgard_ppsspp.csv,TRUE,Merged,4,100,11.43,,
hrydgard_ppsspp.csv,FALSE,Open,0,0,0,,
hrydgard_ppsspp.csv,FALSE,Closed,3,9.68,8.57,,
hrydgard_ppsspp.csv,FALSE,Merged,28,90.32,80,,
supertuxkart_stk-code.csv,TRUE,Open,0,NA,0,,
supertuxkart_stk-code.csv,TRUE,Closed,0,NA,0,,
supertuxkart_stk-code.csv,TRUE,Merged,0,NA,0,,
supertuxkart_stk-code.csv,FALSE,Open,0,0,0,,
supertuxkart_stk-code.csv,FALSE,Closed,6,33.33,33.33,,
supertuxkart_stk-code.csv,FALSE,Merged,12,66.67,66.67,,
TrinityCore_TrinityCore.csv,TRUE,Open,0,NA,0,,
TrinityCore_TrinityCore.csv,TRUE,Closed,0,NA,0,,
TrinityCore_TrinityCore.csv,TRUE,Merged,0,NA,0,,
TrinityCore_TrinityCore.csv,FALSE,Open,0,0,0,,
TrinityCore_TrinityCore.csv,FALSE,Closed,55,48.25,48.25,,
TrinityCore_TrinityCore.csv,FALSE,Merged,59,51.75,51.75,,
tux3_qTox.csv,TRUE,Open,0,0,0,,
tux3_qTox.csv,TRUE,Closed,0,0,0,,
tux3_qTox.csv,TRUE,Merged,1,100,3.85,,
tux3_qTox.csv,FALSE,Open,0,0,0,,
tux3_qTox.csv,FALSE,Closed,8,32,30.77,,
tux3_qTox.csv,FALSE,Merged,17,68,65.38,,
uglide_RedisDesktopManager.csv,TRUE,Open,0,0,0,,
uglide_RedisDesktopManager.csv,TRUE,Closed,2,50,25,,
uglide_RedisDesktopManager.csv,TRUE,Merged,2,50,25,,
uglide_RedisDesktopManager.csv,FALSE,Open,0,0,0,,
uglide_RedisDesktopManager.csv,FALSE,Closed,0,0,0,,
uglide_RedisDesktopManager.csv,FALSE,Merged,4,100,50,,
