Repository,Test,Situation,Total,% com/sem,% total,,
BOINC_boinc.csv,TRUE,Open,0,0,0,,
BOINC_boinc.csv,TRUE,Closed,1,33.33,2.56,,
BOINC_boinc.csv,TRUE,Merged,2,66.67,5.13,,
BOINC_boinc.csv,FALSE,Open,4,11.11,10.26,,
BOINC_boinc.csv,FALSE,Closed,4,11.11,10.26,,
BOINC_boinc.csv,FALSE,Merged,28,77.78,71.79,,
BVLC_caffe.csv,TRUE,Open,24,19.05,4.96,,
BVLC_caffe.csv,TRUE,Closed,62,49.21,12.81,,
BVLC_caffe.csv,TRUE,Merged,40,31.75,8.26,,
BVLC_caffe.csv,FALSE,Open,72,20.11,14.88,,
BVLC_caffe.csv,FALSE,Closed,122,34.08,25.21,,
BVLC_caffe.csv,FALSE,Merged,164,45.81,33.88,,
cocos2d_cocos2d-x.csv,TRUE,Open,1,1.02,0.23,,
cocos2d_cocos2d-x.csv,TRUE,Closed,19,19.39,4.4,,
cocos2d_cocos2d-x.csv,TRUE,Merged,78,79.59,18.06,,
cocos2d_cocos2d-x.csv,FALSE,Open,24,7.19,5.56,,
cocos2d_cocos2d-x.csv,FALSE,Closed,87,26.05,20.14,,
cocos2d_cocos2d-x.csv,FALSE,Merged,223,66.77,51.62,,
highfidelity_hifi.csv,TRUE,Open,0,NA,0,,
highfidelity_hifi.csv,TRUE,Closed,0,NA,0,,
highfidelity_hifi.csv,TRUE,Merged,0,NA,0,,
highfidelity_hifi.csv,FALSE,Open,4,7.84,7.84,,
highfidelity_hifi.csv,FALSE,Closed,5,9.8,9.8,,
highfidelity_hifi.csv,FALSE,Merged,42,82.35,82.35,,
hpcc-systems_HPCC-Platform.csv,TRUE,Open,0,NA,0,,
hpcc-systems_HPCC-Platform.csv,TRUE,Closed,0,NA,0,,
hpcc-systems_HPCC-Platform.csv,TRUE,Merged,0,NA,0,,
hpcc-systems_HPCC-Platform.csv,FALSE,Open,0,0,0,,
hpcc-systems_HPCC-Platform.csv,FALSE,Closed,0,0,0,,
hpcc-systems_HPCC-Platform.csv,FALSE,Merged,5,100,100,,
hrydgard_ppsspp.csv,TRUE,Open,0,0,0,,
hrydgard_ppsspp.csv,TRUE,Closed,1,25,0.79,,
hrydgard_ppsspp.csv,TRUE,Merged,3,75,2.38,,
hrydgard_ppsspp.csv,FALSE,Open,2,1.64,1.59,,
hrydgard_ppsspp.csv,FALSE,Closed,21,17.21,16.67,,
hrydgard_ppsspp.csv,FALSE,Merged,99,81.15,78.57,,
supertuxkart_stk-code.csv,TRUE,Open,0,0,0,,
supertuxkart_stk-code.csv,TRUE,Closed,0,0,0,,
supertuxkart_stk-code.csv,TRUE,Merged,2,100,3.77,,
supertuxkart_stk-code.csv,FALSE,Open,1,1.96,1.89,,
supertuxkart_stk-code.csv,FALSE,Closed,9,17.65,16.98,,
supertuxkart_stk-code.csv,FALSE,Merged,41,80.39,77.36,,
TrinityCore_TrinityCore.csv,TRUE,Open,0,0,0,,
TrinityCore_TrinityCore.csv,TRUE,Closed,1,100,0.28,,
TrinityCore_TrinityCore.csv,TRUE,Merged,0,0,0,,
TrinityCore_TrinityCore.csv,FALSE,Open,5,1.43,1.42,,
TrinityCore_TrinityCore.csv,FALSE,Closed,172,49.14,49,,
TrinityCore_TrinityCore.csv,FALSE,Merged,173,49.43,49.29,,
tux3_qTox.csv,TRUE,Open,0,NA,0,,
tux3_qTox.csv,TRUE,Closed,0,NA,0,,
tux3_qTox.csv,TRUE,Merged,0,NA,0,,
tux3_qTox.csv,FALSE,Open,0,0,0,,
tux3_qTox.csv,FALSE,Closed,26,25.24,25.24,,
tux3_qTox.csv,FALSE,Merged,77,74.76,74.76,,
uglide_RedisDesktopManager.csv,TRUE,Open,0,0,0,,
uglide_RedisDesktopManager.csv,TRUE,Closed,19,79.17,22.62,,
uglide_RedisDesktopManager.csv,TRUE,Merged,5,20.83,5.95,,
uglide_RedisDesktopManager.csv,FALSE,Open,0,0,0,,
uglide_RedisDesktopManager.csv,FALSE,Closed,10,16.67,11.9,,
uglide_RedisDesktopManager.csv,FALSE,Merged,50,83.33,59.52,,
