Repository,Test,Situation,Total,% com/sem,% total,,
BOINC_boinc.csv,TRUE,Open,0,0,0,,
BOINC_boinc.csv,TRUE,Closed,4,30.77,14.29,,
BOINC_boinc.csv,TRUE,Merged,9,69.23,32.14,,
BOINC_boinc.csv,FALSE,Open,0,0,0,,
BOINC_boinc.csv,FALSE,Closed,2,13.33,7.14,,
BOINC_boinc.csv,FALSE,Merged,13,86.67,46.43,,
BVLC_caffe.csv,TRUE,Open,10,9.62,7.58,,
BVLC_caffe.csv,TRUE,Closed,50,48.08,37.88,,
BVLC_caffe.csv,TRUE,Merged,44,42.31,33.33,,
BVLC_caffe.csv,FALSE,Open,1,3.57,0.76,,
BVLC_caffe.csv,FALSE,Closed,12,42.86,9.09,,
BVLC_caffe.csv,FALSE,Merged,15,53.57,11.36,,
cocos2d_cocos2d-x.csv,TRUE,Open,1,0.54,0.4,,
cocos2d_cocos2d-x.csv,TRUE,Closed,36,19.46,14.4,,
cocos2d_cocos2d-x.csv,TRUE,Merged,148,80,59.2,,
cocos2d_cocos2d-x.csv,FALSE,Open,0,0,0,,
cocos2d_cocos2d-x.csv,FALSE,Closed,23,35.38,9.2,,
cocos2d_cocos2d-x.csv,FALSE,Merged,42,64.62,16.8,,
highfidelity_hifi.csv,TRUE,Open,1,1.64,0.9,,
highfidelity_hifi.csv,TRUE,Closed,13,21.31,11.71,,
highfidelity_hifi.csv,TRUE,Merged,47,77.05,42.34,,
highfidelity_hifi.csv,FALSE,Open,0,0,0,,
highfidelity_hifi.csv,FALSE,Closed,3,6,2.7,,
highfidelity_hifi.csv,FALSE,Merged,47,94,42.34,,
hpcc-systems_HPCC-Platform.csv,TRUE,Open,0,0,0,,
hpcc-systems_HPCC-Platform.csv,TRUE,Closed,2,7.41,6.25,,
hpcc-systems_HPCC-Platform.csv,TRUE,Merged,25,92.59,78.12,,
hpcc-systems_HPCC-Platform.csv,FALSE,Open,0,0,0,,
hpcc-systems_HPCC-Platform.csv,FALSE,Closed,0,0,0,,
hpcc-systems_HPCC-Platform.csv,FALSE,Merged,5,100,15.62,,
hrydgard_ppsspp.csv,TRUE,Open,0,0,0,,
hrydgard_ppsspp.csv,TRUE,Closed,1,3.45,0.87,,
hrydgard_ppsspp.csv,TRUE,Merged,28,96.55,24.35,,
hrydgard_ppsspp.csv,FALSE,Open,0,0,0,,
hrydgard_ppsspp.csv,FALSE,Closed,8,9.3,6.96,,
hrydgard_ppsspp.csv,FALSE,Merged,78,90.7,67.83,,
supertuxkart_stk-code.csv,TRUE,Open,0,0,0,,
supertuxkart_stk-code.csv,TRUE,Closed,3,75,7.5,,
supertuxkart_stk-code.csv,TRUE,Merged,1,25,2.5,,
supertuxkart_stk-code.csv,FALSE,Open,0,0,0,,
supertuxkart_stk-code.csv,FALSE,Closed,12,33.33,30,,
supertuxkart_stk-code.csv,FALSE,Merged,24,66.67,60,,
TrinityCore_TrinityCore.csv,TRUE,Open,0,NA,0,,
TrinityCore_TrinityCore.csv,TRUE,Closed,0,NA,0,,
TrinityCore_TrinityCore.csv,TRUE,Merged,0,NA,0,,
TrinityCore_TrinityCore.csv,FALSE,Open,0,0,0,,
TrinityCore_TrinityCore.csv,FALSE,Closed,136,49.64,49.64,,
TrinityCore_TrinityCore.csv,FALSE,Merged,138,50.36,50.36,,
tux3_qTox.csv,TRUE,Open,0,0,0,,
tux3_qTox.csv,TRUE,Closed,2,25,2.47,,
tux3_qTox.csv,TRUE,Merged,6,75,7.41,,
tux3_qTox.csv,FALSE,Open,0,0,0,,
tux3_qTox.csv,FALSE,Closed,16,21.92,19.75,,
tux3_qTox.csv,FALSE,Merged,57,78.08,70.37,,
uglide_RedisDesktopManager.csv,TRUE,Open,0,0,0,,
uglide_RedisDesktopManager.csv,TRUE,Closed,1,25,16.67,,
uglide_RedisDesktopManager.csv,TRUE,Merged,3,75,50,,
uglide_RedisDesktopManager.csv,FALSE,Open,0,0,0,,
uglide_RedisDesktopManager.csv,FALSE,Closed,0,0,0,,
uglide_RedisDesktopManager.csv,FALSE,Merged,2,100,33.33,,
