Repository,Pull number,Users,Test,Change,Type,,
BOINC_boinc.csv,2678,BryanQuigley,TRUE,removed AND modified,Open
BOINC_boinc.csv,2457,davidpanderson,TRUE,added AND modified,Open
BOINC_boinc.csv,2443,ChristianBeer,TRUE,added AND modified,Open
BOINC_boinc.csv,2693,AenBleidd,TRUE,modified,Merged
BOINC_boinc.csv,2670,armstrdj,TRUE,modified,Merged
BOINC_boinc.csv,2667,drshawnkwang,TRUE,added AND modified,Merged
BOINC_boinc.csv,2653,TheAspens,TRUE,added,Closed
BOINC_boinc.csv,2652,Uplinger,TRUE,added AND modified,Closed
BOINC_boinc.csv,2648,drshawnkwang,TRUE,added AND modified,Closed
BOINC_boinc.csv,2647,ChristianBeer,TRUE,added AND modified,Closed
BOINC_boinc.csv,2645,davidpanderson,TRUE,modified AND removed AND added AND renamed,Closed
BOINC_boinc.csv,2634,davidpanderson,TRUE,added AND modified,Closed
BOINC_boinc.csv,2491,AenBleidd,TRUE,modified AND added,Merged
BOINC_boinc.csv,2474,drshawnkwang,TRUE,modified AND added,Merged
BOINC_boinc.csv,2472,RadicalErin,TRUE,modified AND added AND removed,Merged
BOINC_boinc.csv,2453,NULL,TRUE,added AND modified,Merged
BOINC_boinc.csv,2319,CharlieFenton,TRUE,modified,Merged
BOINC_boinc.csv,2311,davidpanderson,TRUE,modified,Merged
BOINC_boinc.csv,2172,drshawnkwang,TRUE,modified,Closed
BOINC_boinc.csv,2135,AenBleidd,TRUE,modified,Merged
BOINC_boinc.csv,2089,drshawnkwang,TRUE,modified,Closed
BOINC_boinc.csv,2046,davidpanderson,TRUE,modified,Merged
BOINC_boinc.csv,1922,drshawnkwang,TRUE,modified,Merged
BOINC_boinc.csv,1916,drshawnkwang,TRUE,added,Merged
BOINC_boinc.csv,1913,drshawnkwang,TRUE,added,Merged
BOINC_boinc.csv,1751,drshawnkwang,TRUE,modified,Merged
BOINC_boinc.csv,1649,m-ad,TRUE,modified,Closed
BOINC_boinc.csv,1640,lfield,TRUE,added AND modified,Merged
BOINC_boinc.csv,1618,brevilo,TRUE,modified,Merged
BOINC_boinc.csv,1602,bema-aei,TRUE,added AND modified,Closed
BOINC_boinc.csv,1562,ChristianBeer,TRUE,modified,Merged
BOINC_boinc.csv,1561,ChristianBeer,TRUE,modified,Closed
BOINC_boinc.csv,1502,marius311,TRUE,modified,Merged
BOINC_boinc.csv,1456,jkutner,TRUE,modified,Merged
BOINC_boinc.csv,2789,NULL,TRUE,modified,Open
BOINC_boinc.csv,2788,davidpanderson,TRUE,modified,Open
BOINC_boinc.csv,2786,CharlieFenton,TRUE,modified,Open
BOINC_boinc.csv,2784,Peppernrino,TRUE,modified,Open
BOINC_boinc.csv,2780,JuhaSointusalo,TRUE,modified AND added,Open
BOINC_boinc.csv,2767,EvaSDK,TRUE,modified,Open
BOINC_boinc.csv,2748,denravonska,TRUE,modified,Open
BOINC_boinc.csv,2745,JuhaSointusalo,TRUE,modified,Open
BOINC_boinc.csv,2743,AenBleidd,TRUE,modified,Open
BOINC_boinc.csv,2742,davidpanderson,TRUE,modified,Open
BOINC_boinc.csv,2737,davidpanderson,TRUE,modified,Open
BOINC_boinc.csv,2732,lfield,TRUE,modified,Open
BOINC_boinc.csv,2679,AenBleidd,TRUE,modified,Open
BOINC_boinc.csv,2630,ChristianBeer,TRUE,modified,Open
BOINC_boinc.csv,2624,davidpanderson,TRUE,modified,Open
BOINC_boinc.csv,2561,marius311,TRUE,modified,Open
BOINC_boinc.csv,2477,Michael-DHEP,TRUE,modified,Open
BOINC_boinc.csv,2275,Uplinger,TRUE,modified,Open
BOINC_boinc.csv,2208,nikolasgianna,TRUE,modified,Open
BOINC_boinc.csv,2138,Holger-Will,TRUE,modified,Open
BOINC_boinc.csv,2134,bema-aei,TRUE,modified AND added,Open
BOINC_boinc.csv,2117,grctest,TRUE,modified,Open
BOINC_boinc.csv,2060,jeremyhansen,TRUE,modified,Open
BOINC_boinc.csv,2006,ChristianBeer,TRUE,modified,Open
BOINC_boinc.csv,2783,NULL,TRUE,modified,Merged
BOINC_boinc.csv,2782,CharlieFenton,TRUE,modified,Merged
BOINC_boinc.csv,2781,EvaSDK,TRUE,modified,Merged
BOINC_boinc.csv,2778,EvaSDK,TRUE,modified,Merged
BOINC_boinc.csv,2777,AenBleidd,TRUE,modified,Closed
BOINC_boinc.csv,2776,AenBleidd,TRUE,modified,Closed
BOINC_boinc.csv,2775,AenBleidd,TRUE,modified,Closed
BOINC_boinc.csv,2773,AenBleidd,TRUE,modified,Merged
BOINC_boinc.csv,2769,CharlieFenton,TRUE,modified,Merged
BOINC_boinc.csv,2763,davidpanderson,TRUE,modified,Merged
BOINC_boinc.csv,2762,ChristianBeer,TRUE,modified,Merged
BOINC_boinc.csv,2761,CharlieFenton,TRUE,modified,Closed
BOINC_boinc.csv,2760,CharlieFenton,TRUE,modified,Merged
BOINC_boinc.csv,2759,davidpanderson,TRUE,modified,Merged
BOINC_boinc.csv,2758,armstrdj,TRUE,modified,Merged
BOINC_boinc.csv,2749,davidpanderson,TRUE,modified,Merged
BOINC_boinc.csv,2747,AenBleidd,TRUE,modified,Closed
BOINC_boinc.csv,2741,TheAspens,TRUE,modified,Merged
BOINC_boinc.csv,2740,davidpanderson,TRUE,modified AND added,Merged
BOINC_boinc.csv,2738,CharlieFenton,TRUE,modified,Merged
BOINC_boinc.csv,2736,TheAspens,TRUE,modified,Closed
BOINC_boinc.csv,2735,TheAspens,TRUE,modified,Merged
BOINC_boinc.csv,2734,CharlieFenton,TRUE,modified,Merged
BOINC_boinc.csv,2733,timtheisen,TRUE,modified,Merged
BOINC_boinc.csv,2730,davidpanderson,TRUE,modified,Merged
BOINC_boinc.csv,2729,drshawnkwang,TRUE,modified,Merged
BOINC_boinc.csv,2727,timtheisen,TRUE,modified,Merged
BOINC_boinc.csv,2726,TheAspens,TRUE,modified,Merged
BOINC_boinc.csv,2725,CharlieFenton,TRUE,modified,Merged
BOINC_boinc.csv,2724,drshawnkwang,TRUE,modified,Merged
BOINC_boinc.csv,2723,drshawnkwang,TRUE,modified,Merged
BOINC_boinc.csv,2720,drshawnkwang,TRUE,modified,Closed
BOINC_boinc.csv,2719,CharlieFenton,TRUE,modified AND added,Closed
BOINC_boinc.csv,2718,AenBleidd,TRUE,modified,Merged
BOINC_boinc.csv,2717,lfield,TRUE,modified AND added,Closed
BOINC_boinc.csv,2716,AenBleidd,TRUE,modified,Merged
BOINC_boinc.csv,2713,davidpanderson,TRUE,modified,Merged
BOINC_boinc.csv,2712,JuhaSointusalo,TRUE,modified AND added,Merged
BOINC_boinc.csv,2710,ChristianBeer,TRUE,modified,Merged
BOINC_boinc.csv,2709,AenBleidd,TRUE,modified,Closed
BOINC_boinc.csv,2708,AenBleidd,TRUE,modified,Merged
BOINC_boinc.csv,2707,AenBleidd,TRUE,modified,Merged
BOINC_boinc.csv,2705,RichardHaselgrove,TRUE,added AND modified,Merged
BOINC_boinc.csv,2704,ChristianBeer,TRUE,modified,Merged
BOINC_boinc.csv,2703,ChristianBeer,TRUE,modified,Merged
BOINC_boinc.csv,2702,drshawnkwang,TRUE,modified,Merged
BOINC_boinc.csv,2701,drshawnkwang,TRUE,modified,Merged
BOINC_boinc.csv,2699,armstrdj,TRUE,modified AND added,Merged
BOINC_boinc.csv,2697,AenBleidd,TRUE,modified,Merged
BOINC_boinc.csv,2691,Uplinger,TRUE,added AND modified,Merged
BOINC_boinc.csv,2689,seippel,TRUE,modified,Merged
BOINC_boinc.csv,2686,RichardHaselgrove,TRUE,modified,Merged
BOINC_boinc.csv,2685,davidpanderson,TRUE,modified,Merged
BOINC_boinc.csv,2684,AenBleidd,TRUE,modified AND removed AND added,Closed
BOINC_boinc.csv,2683,AenBleidd,TRUE,modified,Merged
BOINC_boinc.csv,2682,drshawnkwang,TRUE,added,Merged
BOINC_boinc.csv,2680,drshawnkwang,TRUE,modified AND removed,Merged
BOINC_boinc.csv,2677,brevilo,TRUE,modified,Merged
BOINC_boinc.csv,2676,davidpanderson,TRUE,modified,Merged
BOINC_boinc.csv,2675,brevilo,TRUE,modified,Closed
BOINC_boinc.csv,2673,davidpanderson,TRUE,removed AND added AND modified AND renamed,Merged
