Repository,User,Pull number,Test,Situation,,
BOINC_boinc.csv,AenBleidd,2135,TRUE,Merged,NA,NA
BOINC_boinc.csv,armstrdj,2670,TRUE,Merged,NA,NA
BOINC_boinc.csv,bema-aei,1602,TRUE,Closed,NA,NA
BOINC_boinc.csv,brevilo,1618,TRUE,Merged,NA,NA
BOINC_boinc.csv,CharlieFenton,2319,TRUE,Merged,NA,NA
BOINC_boinc.csv,ChristianBeer,1561,TRUE,Closed,NA,NA
BOINC_boinc.csv,davidpanderson,2046,TRUE,Merged,NA,NA
BOINC_boinc.csv,drshawnkwang,1751,TRUE,Merged,NA,NA
BOINC_boinc.csv,lfield,1640,TRUE,Merged,NA,NA
BOINC_boinc.csv,marius311,1502,TRUE,Merged,NA,NA
BOINC_boinc.csv,NULL,2453,TRUE,Merged,NA,NA
BOINC_boinc.csv,TheAspens,2653,TRUE,Closed,NA,NA
BOINC_boinc.csv,Uplinger,2652,TRUE,Closed,NA,NA
BVLC_caffe.csv,ajschumacher,2603,TRUE,Closed,NA,NA
BVLC_caffe.csv,akosiorek,807,TRUE,Merged,NA,NA
BVLC_caffe.csv,alemagnani,936,TRUE,Merged,NA,NA
BVLC_caffe.csv,aravindhm,114,TRUE,Closed,NA,NA
BVLC_caffe.csv,arntanguy,709,TRUE,Closed,NA,NA
BVLC_caffe.csv,ashafaei,863,TRUE,Merged,NA,NA
BVLC_caffe.csv,baeuml,1231,TRUE,Closed,NA,NA
BVLC_caffe.csv,beniz,1671,TRUE,Closed,NA,NA
BVLC_caffe.csv,bhack,615,TRUE,Merged,NA,NA
BVLC_caffe.csv,blackball,201,TRUE,Merged,NA,NA
BVLC_caffe.csv,BlGene,1104,TRUE,Merged,NA,NA
BVLC_caffe.csv,boechat107,1816,TRUE,Closed,NA,NA
BVLC_caffe.csv,borisgin,437,TRUE,Closed,NA,NA
BVLC_caffe.csv,buaaliyi,2978,TRUE,Merged,NA,NA
BVLC_caffe.csv,bwilbertz,4780,TRUE,Closed,NA,NA
BVLC_caffe.csv,cdluminate,3014,TRUE,Merged,NA,NA
BVLC_caffe.csv,cdoersch,2952,TRUE,Closed,NA,NA
BVLC_caffe.csv,christianpayer,4194,TRUE,Open,NA,NA
BVLC_caffe.csv,chyojn,179,TRUE,Merged,NA,NA
BVLC_caffe.csv,classner,2083,TRUE,Merged,NA,NA
BVLC_caffe.csv,cNikolaou,1367,TRUE,Closed,NA,NA
BVLC_caffe.csv,crizCraig,523,TRUE,Closed,NA,NA
BVLC_caffe.csv,cseward,3663,TRUE,Open,NA,NA
BVLC_caffe.csv,csukuangfj,6390,TRUE,Merged,NA,NA
BVLC_caffe.csv,cvondrick,1392,TRUE,Closed,NA,NA
BVLC_caffe.csv,cypof,1288,TRUE,Merged,NA,NA
BVLC_caffe.csv,danielgordon10,2944,TRUE,Merged,NA,NA
BVLC_caffe.csv,dgolden1,1000,TRUE,Merged,NA,NA
BVLC_caffe.csv,drnikolaev,3918,TRUE,Closed,NA,NA
BVLC_caffe.csv,ducha-aiki,1136,TRUE,Closed,NA,NA
BVLC_caffe.csv,eelstork,3211,TRUE,Merged,NA,NA
BVLC_caffe.csv,eendebakpt,1239,TRUE,Merged,NA,NA
BVLC_caffe.csv,erogol,1867,TRUE,Closed,NA,NA
BVLC_caffe.csv,fenrus75,5125,TRUE,Merged,NA,NA
BVLC_caffe.csv,FlorisGaisser,2592,TRUE,Open,NA,NA
BVLC_caffe.csv,flx42,2505,TRUE,Merged,NA,NA
BVLC_caffe.csv,ftokarev,5294,TRUE,Open,NA,NA
BVLC_caffe.csv,fyu,2888,TRUE,Merged,NA,NA
BVLC_caffe.csv,gdh1995,3312,TRUE,Closed,NA,NA
BVLC_caffe.csv,ghost,4679,TRUE,Closed,NA,NA
BVLC_caffe.csv,gongzg,3352,TRUE,Merged,NA,NA
BVLC_caffe.csv,hgaiser,4528,TRUE,Merged,NA,NA
BVLC_caffe.csv,jackculpepper,1277,TRUE,Merged,NA,NA
BVLC_caffe.csv,jamt9000,184,TRUE,Merged,NA,NA
BVLC_caffe.csv,jczaja,3357,TRUE,Open,NA,NA
BVLC_caffe.csv,jeffdonahue,6,TRUE,Merged,NA,NA
BVLC_caffe.csv,jmerkow,5713,TRUE,Merged,NA,NA
BVLC_caffe.csv,jsupancic,1940,TRUE,Merged,NA,NA
BVLC_caffe.csv,junshi15,3588,TRUE,Merged,NA,NA
BVLC_caffe.csv,jyegerlehner,737,TRUE,Closed,NA,NA
BVLC_caffe.csv,kibum14,2552,TRUE,Closed,NA,NA
BVLC_caffe.csv,kkhoot,3161,TRUE,Closed,NA,NA
BVLC_caffe.csv,kli-nlpr,2892,TRUE,Open,NA,NA
BVLC_caffe.csv,kloudkl,24,TRUE,Closed,NA,NA
BVLC_caffe.csv,kmatzen,1264,TRUE,Merged,NA,NA
BVLC_caffe.csv,longjon,121,TRUE,Closed,NA,NA
BVLC_caffe.csv,lukeyeager,2577,TRUE,Closed,NA,NA
BVLC_caffe.csv,luotao1,398,TRUE,Merged,NA,NA
BVLC_caffe.csv,mavenlin,126,TRUE,Closed,NA,NA
BVLC_caffe.csv,melody-rain,5993,TRUE,Closed,NA,NA
BVLC_caffe.csv,mnogu,3452,TRUE,Closed,NA,NA
BVLC_caffe.csv,mohomran,3069,TRUE,Merged,NA,NA
BVLC_caffe.csv,moskewcz,307,TRUE,Closed,NA,NA
BVLC_caffe.csv,mtamburrano,1414,TRUE,Closed,NA,NA
BVLC_caffe.csv,naibaf7,6399,TRUE,Open,NA,NA
BVLC_caffe.csv,Nerei,1933,TRUE,Closed,NA,NA
BVLC_caffe.csv,netheril96,846,TRUE,Merged,NA,NA
BVLC_caffe.csv,nickcarlevaris,1882,TRUE,Closed,NA,NA
BVLC_caffe.csv,nitnelave,4342,TRUE,Closed,NA,NA
BVLC_caffe.csv,Noiredd,5973,TRUE,Merged,NA,NA
BVLC_caffe.csv,npanpaliya,4360,TRUE,Closed,NA,NA
BVLC_caffe.csv,NULL,28,TRUE,Merged,NA,NA
BVLC_caffe.csv,OpenHero,707,TRUE,Closed,NA,NA
BVLC_caffe.csv,ozancaglayan,995,TRUE,Merged,NA,NA
BVLC_caffe.csv,pannous,2036,TRUE,Open,NA,NA
BVLC_caffe.csv,PatWie,1187,TRUE,Merged,NA,NA
BVLC_caffe.csv,pgao,2351,TRUE,Closed,NA,NA
BVLC_caffe.csv,philkr,1874,TRUE,Merged,NA,NA
BVLC_caffe.csv,pluskid,1218,TRUE,Closed,NA,NA
BVLC_caffe.csv,qipeng,698,TRUE,Merged,NA,NA
BVLC_caffe.csv,raingo,3065,TRUE,Closed,NA,NA
BVLC_caffe.csv,robwhess,575,TRUE,Closed,NA,NA
BVLC_caffe.csv,rokm,4681,TRUE,Open,NA,NA
BVLC_caffe.csv,ronghanghu,639,TRUE,Closed,NA,NA
BVLC_caffe.csv,seanbell,1661,TRUE,Merged,NA,NA
BVLC_caffe.csv,sergeyk,2,TRUE,Closed,NA,NA
BVLC_caffe.csv,sguada,85,TRUE,Closed,NA,NA
BVLC_caffe.csv,ShaggO,4975,TRUE,Closed,NA,NA
BVLC_caffe.csv,shelhamer,108,TRUE,Closed,NA,NA
BVLC_caffe.csv,slayton58,2737,TRUE,Closed,NA,NA
BVLC_caffe.csv,SOLARleisu,6249,TRUE,Merged,NA,NA
BVLC_caffe.csv,ssudholt,3983,TRUE,Open,NA,NA
BVLC_caffe.csv,timmeinhardt,3068,TRUE,Closed,NA,NA
BVLC_caffe.csv,tnarihi,1305,TRUE,Closed,NA,NA
BVLC_caffe.csv,twmht,5042,TRUE,Merged,NA,NA
BVLC_caffe.csv,wangyida,3100,TRUE,Closed,NA,NA
BVLC_caffe.csv,williford,5225,TRUE,Closed,NA,NA
BVLC_caffe.csv,willyd,2537,TRUE,Closed,NA,NA
BVLC_caffe.csv,wk910930,5531,TRUE,Merged,NA,NA
BVLC_caffe.csv,yanchen036,880,TRUE,Merged,NA,NA
BVLC_caffe.csv,yangcha,1131,TRUE,Closed,NA,NA
BVLC_caffe.csv,Yangqing,710,TRUE,Merged,NA,NA
BVLC_caffe.csv,yosinski,940,TRUE,Merged,NA,NA
BVLC_caffe.csv,ZhangXinNan,5116,TRUE,Closed,NA,NA
cocos2d_cocos2d-x.csv,1scaR1,15396,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,2youyou2,4020,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,adesentenac,15398,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,ahlwong,8918,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,AIGRIND-LLC,5268,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,Almax27,13639,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,anniruddh,11892,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,azmeuk,3221,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,bmanGH,4206,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,BodbDearg,3056,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,boyu0,3023,TRUE,Closed,NA,NA
cocos2d_cocos2d-x.csv,calfjohn,11164,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,cesarpachon,12987,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,cezheng,14528,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,chengstory,3588,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,chuanweizhang2013,4656,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,cocoscodeide,8694,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,CocosRobot,3030,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,crazyhappygame,18746,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,dabingnn,3047,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,dadidzf,17472,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,darkdukey,4034,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,DavidDeSimone,16380,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,Dimon4eg,11884,TRUE,Closed,NA,NA
cocos2d_cocos2d-x.csv,dmurtagh,4563,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,doomsdayer,9795,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,dptd,9189,TRUE,Closed,NA,NA
cocos2d_cocos2d-x.csv,drakon-ag,15961,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,drelaptop,18580,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,dualface,8682,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,dumganhar,2947,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,elloop,14964,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,elnormous,11258,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,elwinarens,3735,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,fcapano,16986,TRUE,Closed,NA,NA
cocos2d_cocos2d-x.csv,flamefox,10285,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,flashjay,8646,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,folecr,2982,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,FrostPolaris,15160,TRUE,Closed,NA,NA
cocos2d_cocos2d-x.csv,Furkanzmc,12462,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,fusijie,9900,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,geron-cn,10218,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,ggggamer,11971,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,ghost,3060,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,Glidos,16605,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,godyZ,3428,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,GuoLunHao,14641,TRUE,Merged,NA,NA
cocos2d_cocos2d-x.csv,halx99,16406,TRUE,Merged,NA,NA
