Repository,User,Pull Number,Test,Situation,,
BOINC_boinc.csv,aaronpuchert,1522,FALSE,Merged,,
BOINC_boinc.csv,adamradocz,1746,FALSE,Merged,,
BOINC_boinc.csv,Ageless93,2228,FALSE,Merged,,
BOINC_boinc.csv,blackleg,2585,FALSE,Merged,,
BOINC_boinc.csv,BryanQuigley,2678,TRUE,Open,,
BOINC_boinc.csv,chausner,1708,FALSE,Merged,,
BOINC_boinc.csv,davidekim,1857,FALSE,Merged,,
BOINC_boinc.csv,denravonska,1701,FALSE,Closed,,
BOINC_boinc.csv,ffontaine,1795,FALSE,Closed,,
BOINC_boinc.csv,jengelh,1529,FALSE,Merged,,
BOINC_boinc.csv,romw,2159,FALSE,Closed,,
BOINC_boinc.csv,smoe,1538,FALSE,Merged,,
BOINC_boinc.csv,thirschbuechler,1478,FALSE,Merged,,
BOINC_boinc.csv,tmannerm,1360,FALSE,Merged,,
BOINC_boinc.csv,vorot93,1508,FALSE,Merged,,
BVLC_caffe.csv,5kg,2098,TRUE,Closed,,
BVLC_caffe.csv,AdamStelmaszczyk,2679,FALSE,Closed,,
BVLC_caffe.csv,ajkl,2897,FALSE,Merged,,
BVLC_caffe.csv,alessandro-giusti,4445,TRUE,Closed,,
BVLC_caffe.csv,alexlee-gk,3376,TRUE,Open,,
BVLC_caffe.csv,anfeng,3791,TRUE,Closed,,
BVLC_caffe.csv,anmikh,5987,FALSE,Closed,,
BVLC_caffe.csv,artyom-beilis,6229,TRUE,Open,,
BVLC_caffe.csv,axel-angel,1980,TRUE,Closed,,
BVLC_caffe.csv,bamos,1878,TRUE,Merged,,
BVLC_caffe.csv,beam2d,287,FALSE,Merged,,
BVLC_caffe.csv,bearpaw,1374,FALSE,Closed,,
BVLC_caffe.csv,berleon,2932,TRUE,Open,,
BVLC_caffe.csv,briansune,6176,FALSE,Merged,,
BVLC_caffe.csv,brunobowden,5501,FALSE,Merged,,
BVLC_caffe.csv,Caenorst,4278,FALSE,Closed,,
BVLC_caffe.csv,cbalint13,3261,FALSE,Merged,,
BVLC_caffe.csv,ChWick,5709,TRUE,Open,,
BVLC_caffe.csv,Coderx7,6330,FALSE,Merged,,
BVLC_caffe.csv,conner99,4247,FALSE,Merged,,
BVLC_caffe.csv,cque7,3236,FALSE,Closed,,
BVLC_caffe.csv,ctapang,3848,TRUE,Merged,,
BVLC_caffe.csv,de-vri-es,5325,FALSE,Open,,
BVLC_caffe.csv,DmitryUlyanov,1910,TRUE,Merged,,
BVLC_caffe.csv,drohit92,2004,FALSE,Closed,,
BVLC_caffe.csv,ducksoup,2095,TRUE,Merged,,
BVLC_caffe.csv,dutran,789,FALSE,Merged,,
BVLC_caffe.csv,dylanthomas,4314,FALSE,Closed,,
BVLC_caffe.csv,dzyong,6084,FALSE,Merged,,
BVLC_caffe.csv,futurely,2576,FALSE,Closed,,
BVLC_caffe.csv,gineshidalgo99,5866,FALSE,Merged,,
BVLC_caffe.csv,GlueCrow,4884,TRUE,Merged,,
BVLC_caffe.csv,gongenhao,3863,TRUE,Merged,,
BVLC_caffe.csv,hevy-CC4477,4032,TRUE,Open,,
BVLC_caffe.csv,hmybmny,4908,FALSE,Merged,,
BVLC_caffe.csv,IlyaOvodov,6209,TRUE,Open,,
BVLC_caffe.csv,intelfx,4481,FALSE,Closed,,
BVLC_caffe.csv,ixartz,3268,TRUE,Closed,,
BVLC_caffe.csv,jasjuang,6222,TRUE,Closed,,
BVLC_caffe.csv,jkelling,6438,FALSE,Open,,
BVLC_caffe.csv,jklontz,4243,FALSE,Closed,,
BVLC_caffe.csv,jnhwkim,2402,TRUE,Closed,,
