Repository,User,Pull Number,Test,Situation,,
BOINC_boinc.csv,AenBleidd,2135,TRUE,Merged,,
BOINC_boinc.csv,aggroskater,1449,FALSE,Merged,,
BOINC_boinc.csv,AndCycle,1771,FALSE,Merged,,
BOINC_boinc.csv,armstrdj,2670,TRUE,Merged,,
BOINC_boinc.csv,bema-aei,1602,TRUE,Closed,,
BOINC_boinc.csv,brevilo,1618,TRUE,Merged,,
BOINC_boinc.csv,CharlieFenton,2319,TRUE,Merged,,
BOINC_boinc.csv,ChristianBeer,1561,TRUE,Closed,,
BOINC_boinc.csv,davidpanderson,2046,TRUE,Merged,,
BOINC_boinc.csv,drshawnkwang,1751,TRUE,Merged,,
BOINC_boinc.csv,EvaSDK,2778,FALSE,Merged,,
BOINC_boinc.csv,GITNE,1549,FALSE,Merged,,
BOINC_boinc.csv,grctest,2008,FALSE,Merged,,
BOINC_boinc.csv,JuhaSointusalo,1436,FALSE,Merged,,
BOINC_boinc.csv,lfield,1640,TRUE,Merged,,
BOINC_boinc.csv,LocutusOfBorg,1394,FALSE,Merged,,
BOINC_boinc.csv,marius311,1502,TRUE,Merged,,
BOINC_boinc.csv,nikolasgianna,1803,FALSE,Merged,,
BOINC_boinc.csv,NULL,2453,TRUE,Merged,,
BOINC_boinc.csv,progger,1855,FALSE,Merged,,
BOINC_boinc.csv,RichardHaselgrove,2062,FALSE,Merged,,
BOINC_boinc.csv,SamsonovAnton,1621,FALSE,Merged,,
BOINC_boinc.csv,serval2412,1401,FALSE,Merged,,
BOINC_boinc.csv,TheAspens,2653,TRUE,Closed,,
BOINC_boinc.csv,timtheisen,2637,FALSE,Closed,,
BOINC_boinc.csv,Uplinger,2652,TRUE,Closed,,
BOINC_boinc.csv,UweBeckert,1498,FALSE,Merged,,
BOINC_boinc.csv,whs,1492,FALSE,Closed,,
BVLC_caffe.csv,achalddave,4021,FALSE,Closed,,
BVLC_caffe.csv,ajschumacher,2603,TRUE,Closed,,
BVLC_caffe.csv,akosiorek,807,TRUE,Merged,,
BVLC_caffe.csv,alemagnani,936,TRUE,Merged,,
BVLC_caffe.csv,AlexanderSavochkin,5772,FALSE,Closed,,
BVLC_caffe.csv,alfredtofu,800,FALSE,Merged,,
BVLC_caffe.csv,aravindhm,114,TRUE,Closed,,
BVLC_caffe.csv,arntanguy,709,TRUE,Closed,,
BVLC_caffe.csv,ashafaei,863,TRUE,Merged,,
