Repository,User,Pull number,Test,Situation
BOINC/boinc,jkutner,1456,TRUE,Merged
BOINC/boinc,RadicalErin,2472,TRUE,Merged
BVLC/caffe,abhi2610,502,TRUE,Merged
BVLC/caffe,aidangomez,3063,TRUE,Merged
BVLC/caffe,AIROBOTAI,5836,TRUE,Merged
BVLC/caffe,alessandroferrari,4359,TRUE,Merged
BVLC/caffe,ashione,3995,TRUE,Merged
BVLC/caffe,dgmp88,2038,TRUE,Merged
BVLC/caffe,drewabbot,4059,TRUE,Merged
BVLC/caffe,D-X-Y,3948,TRUE,Merged
BVLC/caffe,EnjoyLeole,4842,TRUE,Merged
BVLC/caffe,EricZeiberg,2782,TRUE,Merged
BVLC/caffe,gcinbis,945,TRUE,Merged
BVLC/caffe,ih4cku,2611,TRUE,Merged
BVLC/caffe,inq,3602,TRUE,Merged
BVLC/caffe,jerryz123,6342,TRUE,Merged
BVLC/caffe,Lewuathe,2177,TRUE,Merged
BVLC/caffe,lvpython,6123,TRUE,Merged
BVLC/caffe,maxtom,5088,TRUE,Merged
BVLC/caffe,mguillau,120,TRUE,Merged
BVLC/caffe,mrkn,2667,TRUE,Merged
BVLC/caffe,mujtabahasan,3496,TRUE,Merged
BVLC/caffe,mvpatel2000,4630,TRUE,Merged
BVLC/caffe,nakosung,1757,TRUE,Merged
BVLC/caffe,ngaloppo,5009,TRUE,Merged
BVLC/caffe,norouzi,2511,TRUE,Merged
BVLC/caffe,pcampr,1432,TRUE,Merged
BVLC/caffe,richtefa,3872,TRUE,Merged
BVLC/caffe,SaganBolliger,1787,TRUE,Merged
BVLC/caffe,sallymmx,5745,TRUE,Merged
BVLC/caffe,ShaoqingRen,3613,TRUE,Merged
BVLC/caffe,tamakoji,3229,TRUE,Merged
BVLC/caffe,taoari,2871,TRUE,Merged
BVLC/caffe,to3i,686,TRUE,Merged
BVLC/caffe,vikkamath,633,TRUE,Merged
BVLC/caffe,vimalthilak,1215,TRUE,Merged
BVLC/caffe,vpa1977,5394,TRUE,Merged
BVLC/caffe,xiaojiedeng,5139,TRUE,Merged
BVLC/caffe,yiran-THU,6002,TRUE,Merged
BVLC/caffe,yzhuan,561,TRUE,Merged
BVLC/caffe,zarak,5467,TRUE,Merged
BVLC/caffe,ZhouYzzz,3993,TRUE,Merged
cocos2d/cocos2d-x,akermen,11389,TRUE,Merged
cocos2d/cocos2d-x,anjandaffo,14457,TRUE,Merged
cocos2d/cocos2d-x,ArisLittle,14761,TRUE,Merged
cocos2d/cocos2d-x,avail,13786,TRUE,Merged
cocos2d/cocos2d-x,berosoboy,17807,TRUE,Merged
cocos2d/cocos2d-x,billyquith,15719,TRUE,Merged
cocos2d/cocos2d-x,Bin-z-yy,15272,TRUE,Merged
cocos2d/cocos2d-x,bjorn,11539,TRUE,Merged
cocos2d/cocos2d-x,cheyiliu,10241,TRUE,Merged
cocos2d/cocos2d-x,colemancda,16706,TRUE,Merged
cocos2d/cocos2d-x,colprog,4572,TRUE,Merged
cocos2d/cocos2d-x,cristian1980,3528,TRUE,Merged
cocos2d/cocos2d-x,crowriot,3482,TRUE,Merged
cocos2d/cocos2d-x,dantezhu,9072,TRUE,Merged
cocos2d/cocos2d-x,danut007ro,17161,TRUE,Merged
cocos2d/cocos2d-x,diamond-msc,4935,TRUE,Merged
cocos2d/cocos2d-x,dingwenjie,17990,TRUE,Merged
cocos2d/cocos2d-x,dopefaceee,18336,TRUE,Merged
cocos2d/cocos2d-x,Dred95,16281,TRUE,Merged
cocos2d/cocos2d-x,DrMoriarty,16736,TRUE,Merged
cocos2d/cocos2d-x,edba,5278,TRUE,Merged
cocos2d/cocos2d-x,finalhit,4363,TRUE,Merged
cocos2d/cocos2d-x,fperrad,18780,TRUE,Merged
cocos2d/cocos2d-x,fpsqdb,5189,TRUE,Merged
cocos2d/cocos2d-x,fred1024,16946,TRUE,Merged
cocos2d/cocos2d-x,gallipoly,17630,TRUE,Merged
cocos2d/cocos2d-x,grhbit,2990,TRUE,Merged
cocos2d/cocos2d-x,Gwill,3597,TRUE,Merged
cocos2d/cocos2d-x,huachangmiao,17437,TRUE,Merged
cocos2d/cocos2d-x,imdiot,3490,TRUE,Merged
cocos2d/cocos2d-x,isoparametric,5016,TRUE,Merged
cocos2d/cocos2d-x,JasonBaby87,19113,TRUE,Merged
cocos2d/cocos2d-x,Javanaise,13717,TRUE,Merged
cocos2d/cocos2d-x,jeli23,10245,TRUE,Merged
cocos2d/cocos2d-x,jjinglover,18515,TRUE,Merged
cocos2d/cocos2d-x,JsonKim,4320,TRUE,Merged
cocos2d/cocos2d-x,justmao945,5373,TRUE,Merged
cocos2d/cocos2d-x,ka-s,18775,TRUE,Merged
cocos2d/cocos2d-x,keidroid,9168,TRUE,Merged
cocos2d/cocos2d-x,kenden23,17648,TRUE,Merged
cocos2d/cocos2d-x,kshoji,15882,TRUE,Merged
cocos2d/cocos2d-x,Kuovane,3581,TRUE,Merged
cocos2d/cocos2d-x,lingweinet,16491,TRUE,Merged
cocos2d/cocos2d-x,lint019,17822,TRUE,Merged
cocos2d/cocos2d-x,loganwu,3475,TRUE,Merged
cocos2d/cocos2d-x,luocker,4688,TRUE,Merged
cocos2d/cocos2d-x,lvlonggame,11616,TRUE,Merged
cocos2d/cocos2d-x,lzbgt,10539,TRUE,Merged
cocos2d/cocos2d-x,malvim,3343,TRUE,Merged
cocos2d/cocos2d-x,mixi57,15135,TRUE,Merged
cocos2d/cocos2d-x,MJamalNasir,18876,TRUE,Merged
cocos2d/cocos2d-x,moljac024,16118,TRUE,Merged
cocos2d/cocos2d-x,navyxliu,10010,TRUE,Merged
cocos2d/cocos2d-x,oleg-akatsuki,5029,TRUE,Merged
cocos2d/cocos2d-x,programmerdave,9235,TRUE,Merged
cocos2d/cocos2d-x,raphael10241024,18804,TRUE,Merged
cocos2d/cocos2d-x,redparrots,13260,TRUE,Merged
cocos2d/cocos2d-x,reneklacan,3053,TRUE,Merged
cocos2d/cocos2d-x,rodrigogolive,3243,TRUE,Merged
cocos2d/cocos2d-x,roy5931,9459,TRUE,Merged
cocos2d/cocos2d-x,rudchenkos,3286,TRUE,Merged
cocos2d/cocos2d-x,SiarheiFedartsou,4336,TRUE,Merged
cocos2d/cocos2d-x,SongCF,14088,TRUE,Merged
cocos2d/cocos2d-x,sp-dani-garcia,17664,TRUE,Merged
cocos2d/cocos2d-x,Storn,3432,TRUE,Merged
cocos2d/cocos2d-x,ton1517,9766,TRUE,Merged
cocos2d/cocos2d-x,urokuta,15722,TRUE,Merged
cocos2d/cocos2d-x,waiter,12070,TRUE,Merged
cocos2d/cocos2d-x,WonkaThi,17950,TRUE,Merged
cocos2d/cocos2d-x,x1024,4923,TRUE,Merged
cocos2d/cocos2d-x,XiaochenFTX,14068,TRUE,Merged
cocos2d/cocos2d-x,xinjuncoding,11673,TRUE,Merged
cocos2d/cocos2d-x,xueyuetianxi,18587,TRUE,Merged
cocos2d/cocos2d-x,xuqix,14018,TRUE,Merged
cocos2d/cocos2d-x,ynaoto,15497,TRUE,Merged
cocos2d/cocos2d-x,yuyangame,14240,TRUE,Merged
cocos2d/cocos2d-x,yycmmc,18263,TRUE,Merged
cocos2d/cocos2d-x,zxc122333,3993,TRUE,Merged
hrydgard/ppsspp,ikoul,7779,TRUE,Merged
hrydgard/ppsspp,KitoHo,6757,TRUE,Merged
hrydgard/ppsspp,kozec,3765,TRUE,Merged
supertuxkart/stk-code,aapo,2611,TRUE,Merged
supertuxkart/stk-code,GEOFBOT,2892,TRUE,Merged
uglide/RedisDesktopManager,gear4dave,3632,TRUE,Merged
uglide/RedisDesktopManager,joeprivategithub,3891,TRUE,Merged
uglide/RedisDesktopManager,ShalbafZadeh,3663,TRUE,Merged
uglide/RedisDesktopManager,wonderning,4225,TRUE,Merged
uglide/RedisDesktopManager,x2es,3693,TRUE,Merged
