Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged
cocos2d/cocos2d-x,open,19072,db9f97b3af5e3964ed9c0ed3c92b5f5020f91004,tests/js-tests/src/RenderTextureTest/RenderTextureTest.js,modified,63,1,BobyIlea,2018-09-22 16:46:25,2018-09-22 16:46:25,0,0
cocos2d/cocos2d-x,open,19003,6f08728438ea9bb6b576e5ae948aa748e85af3ff,tests/cpp-tests/Classes/ActionManagerTest/ActionManagerTest.cpp,modified,82,0,tankorsmash,2018-08-27 12:14:09,2018-08-27 12:14:09,0,0
cocos2d/cocos2d-x,open,19003,d76880cd51d78d57432b3957a89bc6db494cf97e,tests/cpp-tests/Classes/ActionManagerTest/ActionManagerTest.h,modified,10,0,tankorsmash,2018-08-27 12:14:09,2018-08-27 12:14:09,0,0
cocos2d/cocos2d-x,open,18652,7c7fe2a0771a2a15156bf16c833aa6aa338ab393,tests/js-tests/src/SchedulerTest/SchedulerTest.js,modified,60,0,Dimon4eg,2018-01-21 12:16:39,2018-01-21 12:16:39,0,0
cocos2d/cocos2d-x,open,18651,0f8ecf2ad4d52a239752007c976c9377e7189b02,tests/cpp-tests/Classes/UITest/CocoStudioGUITest/UILayoutTest/UILayoutTest.cpp,modified,56,0,Dimon4eg,2018-01-19 22:50:49,2018-01-19 22:50:49,0,0
cocos2d/cocos2d-x,open,18651,db281dceb4b64e5b2e966483860061ebbce84de3,tests/cpp-tests/Classes/UITest/CocoStudioGUITest/UILayoutTest/UILayoutTest.h,modified,9,0,Dimon4eg,2018-01-19 22:50:49,2018-01-19 22:50:49,0,0
cocos2d/cocos2d-x,open,18634,dea4f311e91a3a86e07fd06d29c82372156af1d5,build/cocos2d_tests.xcodeproj/project.pbxproj,modified,18,0,newnon,2018-01-17 22:20:52,2018-01-17 22:20:52,0,0
cocos2d/cocos2d-x,open,18634,c3ea6409310c70e1af6780418617977ecac15461,tests/cpp-tests/CMakeLists.txt,modified,1,0,newnon,2018-01-17 22:20:52,2018-01-17 22:20:52,0,0
cocos2d/cocos2d-x,open,18634,9cd69840623c9694d20eac54b06ede389c26a0f2,tests/cpp-tests/Classes/UITest/CocoStudioGUITest/CocosGUIScene.cpp,modified,2,0,newnon,2018-01-17 22:20:52,2018-01-17 22:20:52,0,0
cocos2d/cocos2d-x,open,18634,036b66139c68946c6e84968193d34765841f94ce,tests/cpp-tests/Classes/UITest/CocoStudioGUITest/UITileImageViewTest/UITileImageViewTest.cpp,added,432,0,newnon,2018-01-17 22:20:52,2018-01-17 22:20:52,0,0
cocos2d/cocos2d-x,open,18634,c990294ba4eac02e0126947114e98c9f166bd6d2,tests/cpp-tests/Classes/UITest/CocoStudioGUITest/UITileImageViewTest/UITileImageViewTest.h,added,65,0,newnon,2018-01-17 22:20:52,2018-01-17 22:20:52,0,0
cocos2d/cocos2d-x,open,18634,413be1f03bd4665157ad779305b92861ecffe81f,tests/cpp-tests/proj.android/app/jni/Android.mk,modified,1,0,newnon,2018-01-17 22:20:52,2018-01-17 22:20:52,0,0
cocos2d/cocos2d-x,open,18634,ff73069a279891dc9db9ce6b3defdb9e245636a1,tests/cpp-tests/proj.win10/cpp-tests.vcxproj,modified,2,0,newnon,2018-01-17 22:20:52,2018-01-17 22:20:52,0,0
cocos2d/cocos2d-x,open,18634,1da0ba33a9ffdd80dbce9ac202e1546aaa33ac3b,tests/cpp-tests/proj.win10/cpp-tests.vcxproj.filters,modified,9,0,newnon,2018-01-17 22:20:52,2018-01-17 22:20:52,0,0
cocos2d/cocos2d-x,open,18634,eb331a7fea95c19a2ab8aee4dda9bca5efb6099d,tests/cpp-tests/proj.win32/cpp-tests.vcxproj,modified,2,0,newnon,2018-01-17 22:20:52,2018-01-17 22:20:52,0,0
cocos2d/cocos2d-x,open,18634,d3a11c9004217a5d99de1deca93e0c29d94671c1,tests/cpp-tests/proj.win32/cpp-tests.vcxproj.filters,modified,2,0,newnon,2018-01-17 22:20:52,2018-01-17 22:20:52,0,0
cocos2d/cocos2d-x,open,18611,68d28429923b211d4a09ee84b715a1af0cc0b39c,build/cocos2d_tests.xcodeproj/project.pbxproj,modified,8,0,newnon,2018-01-05 09:50:35,2018-01-05 09:50:35,0,0
cocos2d/cocos2d-x,open,18611,d0a68fd3a4f8a459957dabc7712570623a176b30,tests/cpp-tests/CMakeLists.txt,modified,2,2,newnon,2018-01-05 09:50:35,2018-01-05 09:50:35,0,0
cocos2d/cocos2d-x,open,18611,1e54697338577af5d83530a631771e3130e112ed,tests/cpp-tests/Classes/BugsTest/Bug-18609.cpp,added,59,0,newnon,2018-01-05 09:50:35,2018-01-05 09:50:35,0,0
cocos2d/cocos2d-x,open,18611,8ffb425d070d764dcd89df8ddec73d21a8d49ea7,tests/cpp-tests/Classes/BugsTest/Bug-18609.h,added,29,0,newnon,2018-01-05 09:50:35,2018-01-05 09:50:35,0,0
cocos2d/cocos2d-x,open,18611,3cc2d0b461896988a9b25fe1a56b088f33f8223a,tests/cpp-tests/Classes/BugsTest/BugsTest.cpp,modified,2,0,newnon,2018-01-05 09:50:35,2018-01-05 09:50:35,0,0
cocos2d/cocos2d-x,open,18611,e583cf081d9f329244945e25c629a7477ac906f6,tests/cpp-tests/Resources/Images/bugs/18609.plist,added,152,0,newnon,2018-01-05 09:50:35,2018-01-05 09:50:35,0,0
cocos2d/cocos2d-x,open,18611,c0a59da95085c9fd3a5029765a1a45737e26b4ba,tests/cpp-tests/Resources/Images/bugs/18609.pvr.ccz,added,0,0,newnon,2018-01-05 09:50:35,2018-01-05 09:50:35,0,0
