Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
highfidelity/hifi,open,14301,1befa6332ebdf3dbcdf62406aeb637bb0a557007,tools/auto-tester/CMakeLists.txt,modified,2,2,SamGondelman,2018-10-30 19:10:14,2018-10-30 19:10:14,0,0,,
highfidelity/hifi,open,14273,de768398b086f098ea857e5b3f304ccc9b51b669,tools/auto-tester/src/Downloader.cpp,modified,2,3,Atlante45,2018-10-24 22:53:09,2018-10-24 22:53:09,0,0,,
highfidelity/hifi,open,14273,742a88b890aca6547bc03a65ae5f88736f74f176,tools/auto-tester/src/Downloader.h,modified,1,1,Atlante45,2018-10-24 22:53:09,2018-10-24 22:53:09,0,0,,
highfidelity/hifi,open,14273,c5878939cc41483f8c1b12b6b7426d2ea7f43d93,tools/auto-tester/src/PythonInterface.cpp,modified,2,0,Atlante45,2018-10-24 22:53:09,2018-10-24 22:53:09,0,0,,
highfidelity/hifi,open,14273,a218b680398e01427b33eb51daee9a645636d9c4,tools/auto-tester/src/PythonInterface.h,modified,6,0,Atlante45,2018-10-24 22:53:09,2018-10-24 22:53:09,0,0,,
highfidelity/hifi,open,14273,1beebe29b1e6edbc313bd8e2bbba85b9da39faea,tools/auto-tester/src/TestRunner.cpp,modified,108,38,Atlante45,2018-10-24 22:53:09,2018-10-24 22:53:09,0,0,,
highfidelity/hifi,open,14273,8267a042b7813e009cccdd0894e27b2f56cade6f,tools/auto-tester/src/TestRunner.h,modified,7,1,Atlante45,2018-10-24 22:53:09,2018-10-24 22:53:09,0,0,,
highfidelity/hifi,open,14273,d49f3aaa1c699e7aec2bb743a9933b499a0cd27a,tools/auto-tester/src/ui/AutoTester.cpp,modified,1,1,Atlante45,2018-10-24 22:53:09,2018-10-24 22:53:09,0,0,,
highfidelity/hifi,open,14273,cf2ffd35cdd711cb27d42b61c7a6b6d43d48cb85,tools/auto-tester/src/ui/AutoTester.ui,modified,2,2,Atlante45,2018-10-24 22:53:09,2018-10-24 22:53:09,0,0,,
highfidelity/hifi,open,14237,01ec04f25408d038a24b1f2401f32e621550163f,tools/auto-tester/src/TestRunner.cpp,modified,1,1,ElderOrb,2018-10-19 00:29:47,2018-10-19 00:29:47,0,0,,
highfidelity/hifi,open,13095,8b137891791fe96927ad78e64b0aad7bded08bdc,tests/entities/CMakeLists.txt,added,1,0,1P-Cusack,2018-05-03 21:24:48,2018-05-03 21:24:48,0,0,,
highfidelity/hifi,open,13095,1eaf7c32842ad841d6ff9ae347cdfcdbf611b2f8,tests/entities/aframe/README.txt,added,8,0,1P-Cusack,2018-05-03 21:24:48,2018-05-03 21:24:48,0,0,,
highfidelity/hifi,open,13095,adf2e724d7cca90f677d443f8ab08e174b905df6,tests/entities/aframe/altspacevr_Boxes.html,added,60,0,1P-Cusack,2018-05-03 21:24:48,2018-05-03 21:24:48,0,0,,
highfidelity/hifi,open,13095,7fa31b7496414d2ebc539bb90c139e83649c0f6e,tests/entities/aframe/altspacevr_Boxes_Web.html,added,61,0,1P-Cusack,2018-05-03 21:24:48,2018-05-03 21:24:48,0,0,,
highfidelity/hifi,open,13095,3539454c2bc94de1018b59862a322119fe94d099,tests/entities/aframe/altspacevr_Geometry.html,added,26,0,1P-Cusack,2018-05-03 21:24:48,2018-05-03 21:24:48,0,0,,
highfidelity/hifi,open,13095,bef1841287c92e4033d3367f2f7d01ff0411d8ea,tests/entities/aframe/altspacevr_GeometryGallery.html,added,192,0,1P-Cusack,2018-05-03 21:24:48,2018-05-03 21:24:48,0,0,,
highfidelity/hifi,open,13095,4e2a529519b4c8670dfc9ecef7896edaa0014c41,tests/entities/aframe/altspacevr_GeometryGallery_Web.html,added,193,0,1P-Cusack,2018-05-03 21:24:48,2018-05-03 21:24:48,0,0,,
highfidelity/hifi,open,13095,cb176e5bf33db0ff8bf5d1cde75354a5a2529df3,tests/entities/aframe/altspacevr_Geometry_Web.html,added,23,0,1P-Cusack,2018-05-03 21:24:48,2018-05-03 21:24:48,0,0,,
highfidelity/hifi,open,13095,1d12e6d096a5dd16c7d9415fe222b9eb9dd1a76d,tests/entities/aframe/altspacevr_Mixins.html,added,27,0,1P-Cusack,2018-05-03 21:24:48,2018-05-03 21:24:48,0,0,,
highfidelity/hifi,open,13095,44f1aa09d8b93b387397e5d51ab13ded40734567,tests/entities/aframe/altspacevr_Mixins_Web.html,added,24,0,1P-Cusack,2018-05-03 21:24:48,2018-05-03 21:24:48,0,0,,
highfidelity/hifi,open,13095,c0803d384de301b6bcdb6549d2ac3107f2d86c12,tests/entities/aframe/sampleAFrameHTML_original.html,added,14,0,1P-Cusack,2018-05-03 21:24:48,2018-05-03 21:24:48,0,0,,
highfidelity/hifi,closed,14232,27277a28f42693066fc86146d416f4a7b19dbbb0,interface/resources/qml/hifi/commerce/marketplaceItemTester/ItemUnderTest.qml,added,364,0,r3tk0n,2018-10-18 08:43:33,2018-10-18 08:43:33,2018-10-23 22:18:31,2018-10-23 22:18:31,,
highfidelity/hifi,closed,14232,2a4f2d0e225f3af55157f1108bb4e6b1f7cabf98,interface/resources/qml/hifi/commerce/marketplaceItemTester/MarketplaceItemTester.qml,modified,212,225,r3tk0n,2018-10-18 08:43:33,2018-10-18 08:43:33,2018-10-23 22:18:31,2018-10-23 22:18:31,,
highfidelity/hifi,closed,14232,0536bd1884f1cb4a814b729803b1996c8347d182,interface/resources/qml/hifi/commerce/marketplaceItemTester/spinner.gif,modified,0,0,r3tk0n,2018-10-18 08:43:33,2018-10-18 08:43:33,2018-10-23 22:18:31,2018-10-23 22:18:31,,
highfidelity/hifi,closed,14133,98b0355e81e31da1526108625284bd7c2a1df856,interface/resources/qml/hifi/commerce/marketplaceItemTester/MarketplaceItemTester.qml,modified,243,131,jherico,2018-10-02 23:34:08,2018-10-02 23:34:08,2018-10-18 08:42:15,NA,,
highfidelity/hifi,closed,14127,b3b5e6f1c0ab1c1dc264e10bc638b949efeef285,interface/resources/qml/hifi/commerce/marketplaceItemTester/MarketplaceItemTester.qml,modified,219,127,Atlante45,2018-10-02 06:44:20,2018-10-02 06:44:20,2018-10-18 08:46:00,NA,,
highfidelity/hifi,closed,14123,bb7e3a0dff390c9cd24a2a762bfbf804e04acd37,tests-manual/qml/qml/MacQml.qml,added,77,0,SamGondelman,2018-10-01 21:24:51,2018-10-01 21:24:51,2018-10-26 22:38:24,2018-10-26 22:38:24,,
highfidelity/hifi,closed,14123,9c5f91041e6b6e7b38716b38697f16b02100d0a2,tests-manual/qml/src/MacQml.cpp,added,60,0,SamGondelman,2018-10-01 21:24:51,2018-10-01 21:24:51,2018-10-26 22:38:24,2018-10-26 22:38:24,,
highfidelity/hifi,closed,14123,50f71cb72e524941caf8b71d8ed2480fb32ea07c,tests-manual/qml/src/MacQml.h,added,16,0,SamGondelman,2018-10-01 21:24:51,2018-10-01 21:24:51,2018-10-26 22:38:24,2018-10-26 22:38:24,,
highfidelity/hifi,closed,14123,71293feb9a3e36688b38d4a87ff3f7b85e845b69,tests-manual/qml/src/StressWeb.cpp,added,131,0,SamGondelman,2018-10-01 21:24:51,2018-10-01 21:24:51,2018-10-26 22:38:24,2018-10-26 22:38:24,,
highfidelity/hifi,closed,14123,a68e34d0c1870ee1a2793556e6b8c64e35306a95,tests-manual/qml/src/StressWeb.h,added,34,0,SamGondelman,2018-10-01 21:24:51,2018-10-01 21:24:51,2018-10-26 22:38:24,2018-10-26 22:38:24,,
highfidelity/hifi,closed,14123,534de71e51ef319ac434eda9cf73e255c88dd2da,tests-manual/qml/src/TestCase.cpp,added,25,0,SamGondelman,2018-10-01 21:24:51,2018-10-01 21:24:51,2018-10-26 22:38:24,2018-10-26 22:38:24,,
