Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
hpcc-systems/HPCC-Platform,open,11882,6a1ae71669fa023ccb543e583e74391be87a0ecb,roxie/udplib/uttest.cpp,modified,2,1,jakesmith,2018-10-30 19:46:32,2018-10-30 19:46:32,0,0,,
hpcc-systems/HPCC-Platform,open,11882,95e6b7793d513dc11d0aa31af3d127fa56ed4a2f,system/xmllibtest/xmllibtest.cpp,modified,1,1,jakesmith,2018-10-30 19:46:32,2018-10-30 19:46:32,0,0,,
hpcc-systems/HPCC-Platform,open,11875,d19fef09f3d31c72a60922df0c21c67556eb1dfc,configuration/configmgr/RapidJSON/include/rapidjson/filewritestream.h,added,104,0,miguelvazq,2018-10-26 17:15:11,2018-10-26 17:15:11,0,0,,
hpcc-systems/HPCC-Platform,open,10505,1d4782a1cdc94ca8b57540352ac11cf4b6c669dc,testing/regress/ecl/key/spray_header_test.xml,modified,1,1,JamesDeFabia,2017-10-16 16:29:44,2017-10-16 16:29:44,0,0,,
hpcc-systems/HPCC-Platform,open,10505,060e25f3fa14bdf32e1212fbe980cb372e0aa6bd,testing/regress/ecl/setup/setuppersist.ecl,modified,1,1,JamesDeFabia,2017-10-16 16:29:44,2017-10-16 16:29:44,0,0,,
hpcc-systems/HPCC-Platform,closed,11870,c3b5e832cd3ffdee5c7b7b59035006d4ea4774c1,testing/regress/ecl-test,modified,7,6,wangkx,2018-10-24 18:36:03,2018-10-24 18:36:03,2018-10-29 14:11:20,NA,,
hpcc-systems/HPCC-Platform,closed,11870,5b589b81d27445d936fd0e11e1dda5030d76ece9,testing/regress/hpcc/util/ecl/file.py,modified,1,1,wangkx,2018-10-24 18:36:03,2018-10-24 18:36:03,2018-10-29 14:11:20,NA,,
hpcc-systems/HPCC-Platform,closed,11844,c3b5e832cd3ffdee5c7b7b59035006d4ea4774c1,testing/regress/ecl-test,modified,7,6,miguelvazq,2018-10-18 11:56:23,2018-10-18 11:56:23,2018-10-18 13:00:45,2018-10-18 13:00:45,,
hpcc-systems/HPCC-Platform,closed,11844,5b589b81d27445d936fd0e11e1dda5030d76ece9,testing/regress/hpcc/util/ecl/file.py,modified,1,1,miguelvazq,2018-10-18 11:56:23,2018-10-18 11:56:23,2018-10-18 13:00:45,2018-10-18 13:00:45,,
hpcc-systems/HPCC-Platform,closed,11828,d7637a25d2c1291b80ae7b54b96268bbaacee787,testing/regress/README.rst,modified,17,2,roscoche,2018-10-15 15:15:28,2018-10-15 15:15:28,2018-10-16 15:07:25,2018-10-16 15:07:25,,
hpcc-systems/HPCC-Platform,closed,11828,356a8ac3b3af78405a2a7a216b1ca56d52f46aa1,testing/regress/ecl-test,modified,4,0,roscoche,2018-10-15 15:15:28,2018-10-15 15:15:28,2018-10-16 15:07:25,2018-10-16 15:07:25,,
hpcc-systems/HPCC-Platform,closed,11828,6191be4a19f61646d07083e435f9852491f54d59,testing/regress/hpcc/regression/suite.py,modified,27,0,roscoche,2018-10-15 15:15:28,2018-10-15 15:15:28,2018-10-16 15:07:25,2018-10-16 15:07:25,,
hpcc-systems/HPCC-Platform,closed,11828,86e88d1cc4110ce4d4fea35500f07575a92448b5,testing/regress/hpcc/util/ecl/file.py,modified,16,4,roscoche,2018-10-15 15:15:28,2018-10-15 15:15:28,2018-10-16 15:07:25,2018-10-16 15:07:25,,
hpcc-systems/HPCC-Platform,closed,11828,3c8a4cb70df93995349ad11631adafaad9af6102,testing/regress/hpcc/util/util.py,modified,12,8,roscoche,2018-10-15 15:15:28,2018-10-15 15:15:28,2018-10-16 15:07:25,2018-10-16 15:07:25,,
hpcc-systems/HPCC-Platform,closed,11803,e3af29b30d7f7538040556d2c365715122500b2c,testing/unittests/CMakeLists.txt,modified,2,2,shamser,2018-10-03 14:31:31,2018-10-03 14:31:31,2018-10-03 14:33:41,2018-10-03 14:33:41,,
hpcc-systems/HPCC-Platform,closed,11802,6eb789ff685671726340c1604a148b594321aed5,testing/unittests/dalitests.cpp,modified,1,1,richardkchapman,2018-10-03 12:47:25,2018-10-03 12:47:25,2018-10-03 14:05:31,2018-10-03 14:05:31,,
hpcc-systems/HPCC-Platform,closed,11796,7e89f7597a1c5ae2f5d9ff2f4a393566092c1b63,testing/unittests/CMakeLists.txt,modified,2,1,kunalaswani,2018-10-02 14:57:37,2018-10-02 14:57:37,2018-10-03 05:43:22,2018-10-03 05:43:22,,
hpcc-systems/HPCC-Platform,closed,11790,680b6f703ba851cd59171443d83292c51d5ac5a0,testing/regress/ecl/HeadingExample.ecl,modified,2,2,miguelvazq,2018-10-01 14:47:57,2018-10-01 14:47:57,2018-10-04 11:12:36,2018-10-04 11:12:36,,
hpcc-systems/HPCC-Platform,closed,11790,4e69ce4b04cc39026bee2d1ff59356880d513be4,testing/regress/ecl/aggsq1.ecl,modified,2,2,miguelvazq,2018-10-01 14:47:57,2018-10-01 14:47:57,2018-10-04 11:12:36,2018-10-04 11:12:36,,
hpcc-systems/HPCC-Platform,closed,11790,31e171ca346b53d172090c81e967b88544b601e6,testing/regress/ecl/badindex.ecl,modified,11,12,miguelvazq,2018-10-01 14:47:57,2018-10-01 14:47:57,2018-10-04 11:12:36,2018-10-04 11:12:36,,
hpcc-systems/HPCC-Platform,closed,11790,3ba04846821be3f11c5308050365e3037a6e0089,testing/regress/ecl/critical1.ecl,modified,1,1,miguelvazq,2018-10-01 14:47:57,2018-10-01 14:47:57,2018-10-04 11:12:36,2018-10-04 11:12:36,,
hpcc-systems/HPCC-Platform,closed,11790,e9a64a2cb40cd673d10a1eafae1699daa0816af5,testing/regress/ecl/csv-escaped.ecl,modified,1,1,miguelvazq,2018-10-01 14:47:57,2018-10-01 14:47:57,2018-10-04 11:12:36,2018-10-04 11:12:36,,
hpcc-systems/HPCC-Platform,closed,11790,dffd884f9827470a5c4ea3c528613530d2d8289e,testing/regress/ecl/despray.ecl,modified,8,14,miguelvazq,2018-10-01 14:47:57,2018-10-01 14:47:57,2018-10-04 11:12:36,2018-10-04 11:12:36,,
hpcc-systems/HPCC-Platform,closed,11790,4b242c9b896ef03ad0d4b734a49fff17c6dabd1e,testing/regress/ecl/dynamicoptflag.ecl,modified,1,1,miguelvazq,2018-10-01 14:47:57,2018-10-01 14:47:57,2018-10-04 11:12:36,2018-10-04 11:12:36,,
hpcc-systems/HPCC-Platform,closed,11790,a46703e186c036eeb488ce6444a6b8f0d3a9533b,testing/regress/ecl/filecompcopy.ecl,modified,1,1,miguelvazq,2018-10-01 14:47:57,2018-10-01 14:47:57,2018-10-04 11:12:36,2018-10-04 11:12:36,,
hpcc-systems/HPCC-Platform,closed,11790,dcc8b082879482a5d039e9ce1dbf85d6b2dfc46d,testing/regress/ecl/fileservice.ecl,modified,1,1,miguelvazq,2018-10-01 14:47:57,2018-10-01 14:47:57,2018-10-04 11:12:36,2018-10-04 11:12:36,,
hpcc-systems/HPCC-Platform,closed,11790,f84d85fbb4a18eb948d527e4145ce11406c8da3e,testing/regress/ecl/imgkey.ecl,modified,1,1,miguelvazq,2018-10-01 14:47:57,2018-10-01 14:47:57,2018-10-04 11:12:36,2018-10-04 11:12:36,,
hpcc-systems/HPCC-Platform,closed,11790,a6553dbb8ae92e417d260743e6d3ecef29e3bf74,testing/regress/ecl/indexsubstring.ecl,modified,1,1,miguelvazq,2018-10-01 14:47:57,2018-10-01 14:47:57,2018-10-04 11:12:36,2018-10-04 11:12:36,,
hpcc-systems/HPCC-Platform,closed,11790,fe0a24ad8f0c0a9f9073d59cc4be8e4e56d1f09d,testing/regress/ecl/issue10142.ecl,modified,8,3,miguelvazq,2018-10-01 14:47:57,2018-10-01 14:47:57,2018-10-04 11:12:36,2018-10-04 11:12:36,,
hpcc-systems/HPCC-Platform,closed,11790,31b218fdacff93aa250dccd35dfe8764ec9e880c,testing/regress/ecl/issue12103.ecl,modified,1,1,miguelvazq,2018-10-01 14:47:57,2018-10-01 14:47:57,2018-10-04 11:12:36,2018-10-04 11:12:36,,
hpcc-systems/HPCC-Platform,closed,11790,4a7e92bf71a1b10ebe251cec10f84eba1d9ce6e8,testing/regress/ecl/issue13588.ecl,modified,1,1,miguelvazq,2018-10-01 14:47:57,2018-10-01 14:47:57,2018-10-04 11:12:36,2018-10-04 11:12:36,,
hpcc-systems/HPCC-Platform,closed,11790,ec7a0b4aace0da250870f51f5f54a70048eb411e,testing/regress/ecl/jsonfetch.ecl,modified,1,1,miguelvazq,2018-10-01 14:47:57,2018-10-01 14:47:57,2018-10-04 11:12:36,2018-10-04 11:12:36,,
hpcc-systems/HPCC-Platform,closed,11790,7f5004a206d1a477b91312e9edecfaa693fe9c6f,testing/regress/ecl/jsonout.ecl,modified,1,1,miguelvazq,2018-10-01 14:47:57,2018-10-01 14:47:57,2018-10-04 11:12:36,2018-10-04 11:12:36,,
hpcc-systems/HPCC-Platform,closed,11790,0ca80acc4221122a5572c1db12b1f161207705cf,testing/regress/ecl/key.ecl,modified,1,1,miguelvazq,2018-10-01 14:47:57,2018-10-01 14:47:57,2018-10-04 11:12:36,2018-10-04 11:12:36,,
hpcc-systems/HPCC-Platform,closed,11790,533e411f4433c6a2edc25093062e932ea9ac7924,testing/regress/ecl/key/remoteread.xml,modified,6,6,miguelvazq,2018-10-01 14:47:57,2018-10-01 14:47:57,2018-10-04 11:12:36,2018-10-04 11:12:36,,
hpcc-systems/HPCC-Platform,closed,11790,94c72b0f70f3964572b6a396b957cadb410f81b5,testing/regress/ecl/keydiff1.ecl,modified,1,2,miguelvazq,2018-10-01 14:47:57,2018-10-01 14:47:57,2018-10-04 11:12:36,2018-10-04 11:12:36,,
hpcc-systems/HPCC-Platform,closed,11790,23f0e85595b05c8ddbae62932f3aef02b7c6075a,testing/regress/ecl/keyed_join4.ecl,modified,1,1,miguelvazq,2018-10-01 14:47:57,2018-10-01 14:47:57,2018-10-04 11:12:36,2018-10-04 11:12:36,,
hpcc-systems/HPCC-Platform,closed,11790,033ee7b5059a4e448875d5fe71f132eb5f8fe0ab,testing/regress/ecl/likely.ecl,modified,1,1,miguelvazq,2018-10-01 14:47:57,2018-10-01 14:47:57,2018-10-04 11:12:36,2018-10-04 11:12:36,,
hpcc-systems/HPCC-Platform,closed,11790,cd003a7f4e81e676a8d2d36edf9b9f32cd5bd585,testing/regress/ecl/optflag.ecl,modified,1,1,miguelvazq,2018-10-01 14:47:57,2018-10-01 14:47:57,2018-10-04 11:12:36,2018-10-04 11:12:36,,
hpcc-systems/HPCC-Platform,closed,11790,1ccdbb6e4acd383b80972297e6644ce79cba4e06,testing/regress/ecl/remoteread.ecl,modified,9,9,miguelvazq,2018-10-01 14:47:57,2018-10-01 14:47:57,2018-10-04 11:12:36,2018-10-04 11:12:36,,
hpcc-systems/HPCC-Platform,closed,11790,861de542c1f35bab9e788dc0d8f93641c928e1ac,testing/regress/ecl/rewrite.ecl,modified,1,1,miguelvazq,2018-10-01 14:47:57,2018-10-01 14:47:57,2018-10-04 11:12:36,2018-10-04 11:12:36,,
hpcc-systems/HPCC-Platform,closed,11790,29e8ad3e5f0ab4cd4abe0ab77ced557a71ede21c,testing/regress/ecl/setup/files.ecl,modified,5,0,miguelvazq,2018-10-01 14:47:57,2018-10-01 14:47:57,2018-10-04 11:12:36,2018-10-04 11:12:36,,
hpcc-systems/HPCC-Platform,closed,11790,3c2bfff67839df1dd7db61ad209055de45a95421,testing/regress/ecl/splitter-partialstart.ecl,modified,1,1,miguelvazq,2018-10-01 14:47:57,2018-10-01 14:47:57,2018-10-04 11:12:36,2018-10-04 11:12:36,,
hpcc-systems/HPCC-Platform,closed,11790,2a32030d9f90510c8d7531c463e435068e61410b,testing/regress/ecl/spray_dir_test.ecl,modified,7,8,miguelvazq,2018-10-01 14:47:57,2018-10-01 14:47:57,2018-10-04 11:12:36,2018-10-04 11:12:36,,
hpcc-systems/HPCC-Platform,closed,11790,5840ba5f43db7ab04221b984c4d8d4facfe372e6,testing/regress/ecl/spray_expire_test.ecl,modified,2,2,miguelvazq,2018-10-01 14:47:57,2018-10-01 14:47:57,2018-10-04 11:12:36,2018-10-04 11:12:36,,
hpcc-systems/HPCC-Platform,closed,11790,cc518744ae9b687030d4b9123e970af38584fba3,testing/regress/ecl/spray_header_test.ecl,modified,7,13,miguelvazq,2018-10-01 14:47:57,2018-10-01 14:47:57,2018-10-04 11:12:36,2018-10-04 11:12:36,,
hpcc-systems/HPCC-Platform,closed,11790,191bf1fbd2b78e9d6910fc46d559eaf6118c0d81,testing/regress/ecl/spray_replicate_test.ecl,modified,4,5,miguelvazq,2018-10-01 14:47:57,2018-10-01 14:47:57,2018-10-04 11:12:36,2018-10-04 11:12:36,,
hpcc-systems/HPCC-Platform,closed,11785,7fcc335acb82624c9247d599f645bca964258b99,testing/regress/hpcc/util/ecl/command.py,modified,8,2,richardkchapman,2018-10-01 11:58:09,2018-10-01 11:58:09,2018-10-01 12:49:21,2018-10-01 12:49:21,,
hpcc-systems/HPCC-Platform,closed,11785,630962df1e7865982c2fd93591d5221de3ae12f2,testing/regress/hpcc/util/util.py,modified,10,8,richardkchapman,2018-10-01 11:58:09,2018-10-01 11:58:09,2018-10-01 12:49:21,2018-10-01 12:49:21,,
hpcc-systems/HPCC-Platform,closed,11776,99025cf4b56a26a40a0a67863d02f951c39b7e2b,esp/xslt/wsecl3_jsontest.xsl,modified,1,1,JamesDeFabia,2018-09-28 16:12:52,2018-09-28 16:12:52,2018-10-02 07:57:33,2018-10-02 07:57:33,,
hpcc-systems/HPCC-Platform,closed,11776,a460c1c9627d1775366c6b4b883ac0130791e94f,esp/xslt/wsecl3_xmltest.xsl,modified,3,3,JamesDeFabia,2018-09-28 16:12:52,2018-09-28 16:12:52,2018-10-02 07:57:33,2018-10-02 07:57:33,,
hpcc-systems/HPCC-Platform,closed,11774,89f8e596887bba5c35feb694c268937c00b68cf7,testing/unittests/dalitests.cpp,modified,2,1,jakesmith,2018-09-28 11:51:19,2018-09-28 11:51:19,2018-10-02 08:35:24,NA,,
hpcc-systems/HPCC-Platform,closed,11774,c528c408fe54ce8b9110514a579db7a08a0b6ff9,testing/unittests/jlibtests.cpp,modified,158,0,jakesmith,2018-09-28 11:51:19,2018-09-28 11:51:19,2018-10-02 08:35:24,NA,,
hpcc-systems/HPCC-Platform,closed,11771,5705d8c4083de6a468780bb6d24bee2153f34f23,configuration/config2/test.cpp,removed,0,270,jakesmith,2018-09-27 20:55:05,2018-09-27 20:55:05,2018-10-03 14:12:32,2018-10-03 14:12:32,,
hpcc-systems/HPCC-Platform,closed,11771,1323da7f2bbc5247d9f96cf947d1bb082dacc881,configuration/configmgr/Test/MasterTestSchema.xsd,renamed,0,0,jakesmith,2018-09-27 20:55:05,2018-09-27 20:55:05,2018-10-03 14:12:32,2018-10-03 14:12:32,,
hpcc-systems/HPCC-Platform,closed,11771,84eab25192f79561ef62216286f5ad91c8fda259,configuration/configmgr/Test/TestEnvironment.xml,renamed,0,0,jakesmith,2018-09-27 20:55:05,2018-09-27 20:55:05,2018-10-03 14:12:32,2018-10-03 14:12:32,,
hpcc-systems/HPCC-Platform,closed,11771,e45d8877c2f741035e460b967eb7aa757d54af8a,configuration/configmgr/Test/types.xsd,renamed,0,0,jakesmith,2018-09-27 20:55:05,2018-09-27 20:55:05,2018-10-03 14:12:32,2018-10-03 14:12:32,,
hpcc-systems/HPCC-Platform,closed,11767,6eb05cef807f81ae9348ca110688aa93e059d363,testing/regress/ecl/key/partition.xml,modified,10,0,GordonSmith,2018-09-27 09:52:25,2018-09-27 09:52:25,2018-09-28 11:49:21,2018-09-28 11:49:21,,
hpcc-systems/HPCC-Platform,closed,11767,bb867e9518cf8d9cbde291c1c8dac0cbae4250f5,testing/regress/ecl/partition.ecl,modified,7,0,GordonSmith,2018-09-27 09:52:25,2018-09-27 09:52:25,2018-09-28 11:49:21,2018-09-28 11:49:21,,
hpcc-systems/HPCC-Platform,closed,11761,76141903b7bd77b28028f6c75c79c8563b606383,deployment/envgen2/test/add-node,modified,16,0,RussWhitehead,2018-09-25 19:27:13,2018-09-25 19:27:13,2018-10-03 05:38:27,2018-10-03 05:38:26,,
hpcc-systems/HPCC-Platform,closed,11761,ab2026316f578641366dafcf64f80ec21d28a9d5,deployment/envgen2/test/src/result_comparison/add_binding_esdl_1.diff,modified,18,5,RussWhitehead,2018-09-25 19:27:13,2018-09-25 19:27:13,2018-10-03 05:38:27,2018-10-03 05:38:26,,
hpcc-systems/HPCC-Platform,closed,11761,2eb311c230f88d6ac2fbdeee2e06d1500de0e260,deployment/envgen2/test/src/result_comparison/add_bkupnode_instance_1.diff,added,20,0,RussWhitehead,2018-09-25 19:27:13,2018-09-25 19:27:13,2018-10-03 05:38:27,2018-10-03 05:38:26,,
hpcc-systems/HPCC-Platform,closed,11761,98793f29fc94a2dea16d6dc51100b47d45080d9d,deployment/envgen2/test/src/result_comparison/add_dynamicesdl_1.diff,modified,10,3,RussWhitehead,2018-09-25 19:27:13,2018-09-25 19:27:13,2018-10-03 05:38:27,2018-10-03 05:38:26,,
