Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
hrydgard/ppsspp,open,10376,52ed827f8856cd04776d769180783cb0fe5b3d12,test.py,modified,1,1,hrydgard,2017-12-08 14:56:56,2017-12-08 14:56:56,0,0,,
hrydgard/ppsspp,closed,11379,e870426ffd3fdf56945679cceae26157a6072941,GPU/GLES/FragmentTestCacheGLES.cpp,modified,2,0,unknownbrackets,2018-09-10 04:19:45,2018-09-10 04:19:45,2018-09-10 07:23:12,2018-09-10 07:23:12,,
hrydgard/ppsspp,closed,11208,2a248112891d519e9f4823712c8b9c450ac652e0,android/jni/TestRunner.cpp,modified,1,1,unknownbrackets,2018-06-23 17:56:19,2018-06-23 17:56:19,2018-06-23 18:56:30,2018-06-23 18:56:30,,
hrydgard/ppsspp,closed,11105,ea482896a7469a16680d7853d1549518f98210c4,GPU/GLES/FragmentTestCacheGLES.cpp,modified,4,0,jbeich,2018-05-29 21:25:07,2018-05-29 21:25:07,2018-05-30 00:56:29,2018-05-30 00:56:29,,
hrydgard/ppsspp,closed,11105,da7f1c78b84080f5b01eb44b85a6b83dfc3ae397,GPU/GLES/FragmentTestCacheGLES.h,modified,4,0,jbeich,2018-05-29 21:25:07,2018-05-29 21:25:07,2018-05-30 00:56:29,2018-05-30 00:56:29,,
hrydgard/ppsspp,closed,10804,5a91f21e02f1b403379267919f5ac21c2e71da84,unittest/UnitTest.cpp,modified,59,0,aliaspider,2018-03-26 01:54:18,2018-03-26 01:54:18,2018-03-26 19:27:51,2018-03-26 19:27:51,,
hrydgard/ppsspp,closed,10804,e953925d39a1e863c784544c7b634833396674e3,unittest/UnitTest.h,modified,1,0,aliaspider,2018-03-26 01:54:18,2018-03-26 01:54:18,2018-03-26 19:27:51,2018-03-26 19:27:51,,
hrydgard/ppsspp,closed,10411,0ad098a499806bb9e9f5fbaad77642e5f7431dca,GPU/GLES/FragmentTestCacheGLES.cpp,modified,15,30,hrydgard,2017-12-14 15:56:26,2017-12-14 15:56:26,2018-01-31 11:22:07,2018-01-31 11:22:07,,
hrydgard/ppsspp,closed,10411,043b236fe686442ad040da3f3b8561e52b7dc6e0,GPU/GLES/FragmentTestCacheGLES.h,modified,7,8,hrydgard,2017-12-14 15:56:26,2017-12-14 15:56:26,2018-01-31 11:22:07,2018-01-31 11:22:07,,
hrydgard/ppsspp,closed,10154,cd2ddb7598d0454fd09d424f030bcf94f9c31528,unittest/UnitTests.vcxproj,modified,10,5,peaceshi,2017-11-18 12:47:53,2017-11-18 12:47:53,2017-11-18 15:46:07,NA,,
hrydgard/ppsspp,closed,10130,bf22ff7280f4b038ee59e6050e117548f7938f05,test.py,modified,2,2,LunaMoo,2017-11-14 12:37:35,2017-11-14 12:37:35,2017-11-20 12:49:39,2017-11-20 12:49:39,,
hrydgard/ppsspp,closed,9684,e18cface3db64ccb96738dc128fe769b28fff65c,pspautotests,modified,1,1,unknownbrackets,2017-05-14 22:54:16,2017-05-14 22:54:16,2017-05-15 06:53:47,2017-05-15 06:53:47,,
hrydgard/ppsspp,closed,9670,29ab315e44dca8106537e5f3dc3e871ba5cbe4a1,unittest/JitHarness.cpp,modified,1,1,unknownbrackets,2017-05-07 05:55:15,2017-05-07 05:55:15,2017-05-07 15:01:57,2017-05-07 15:01:57,,
hrydgard/ppsspp,closed,9670,40dd640c8b7daa25f1a30f5d80821e730d2bbdf2,unittest/TestVertexJit.cpp,modified,9,6,unknownbrackets,2017-05-07 05:55:15,2017-05-07 05:55:15,2017-05-07 15:01:57,2017-05-07 15:01:57,,
