Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged
tux3/qTox,open,5418,ed1a5a12eed90a4c9d31b56ac6f961978bd45be7,src/chatlog/content/filetransferwidget.cpp,modified,15,3,NULL,2018-10-31 01:16:22,2018-10-31 01:16:22,0,0
tux3/qTox,open,5418,10b4180140ba22f790f25f3ccc4d761db98ae9e1,src/chatlog/content/filetransferwidget.h,modified,1,0,NULL,2018-10-31 01:16:22,2018-10-31 01:16:22,0,0
tux3/qTox,open,5418,69e592a6b956c01da1ee5fdf70c37efe92ab5687,src/main.cpp,modified,7,8,NULL,2018-10-31 01:16:22,2018-10-31 01:16:22,0,0
tux3/qTox,open,5418,eaf6db516e9cf61cd8f57beaf8e9021be236af0b,src/net/toxuri.cpp,modified,0,6,NULL,2018-10-31 01:16:22,2018-10-31 01:16:22,0,0
tux3/qTox,open,5418,611189bf5e0adfbee1bbb52bfa3fbb3c82c7c36b,src/nexus.cpp,modified,1,46,NULL,2018-10-31 01:16:22,2018-10-31 01:16:22,0,0
tux3/qTox,open,5418,cee767a66401c63cd4a90094df7d1d2d5747c41e,src/nexus.h,modified,0,5,NULL,2018-10-31 01:16:22,2018-10-31 01:16:22,0,0
tux3/qTox,open,5418,8a2e16434def2d3c903cea51dedafab21386df8c,src/persistence/toxsave.cpp,modified,2,14,NULL,2018-10-31 01:16:22,2018-10-31 01:16:22,0,0
tux3/qTox,open,5418,7837094f88bf08fbba2393a10dbf62075dcc9241,src/widget/form/groupinviteform.cpp,modified,0,1,NULL,2018-10-31 01:16:22,2018-10-31 01:16:22,0,0
tux3/qTox,open,5418,9b873c03025a7d4a87c5b8c913f4b8af18405e1d,src/widget/form/profileform.cpp,modified,12,2,NULL,2018-10-31 01:16:22,2018-10-31 01:16:22,0,0
tux3/qTox,open,5418,8a58f4e67a66c10752a1abae51ebf530fe67d8e6,src/widget/form/profileform.h,modified,5,5,NULL,2018-10-31 01:16:22,2018-10-31 01:16:22,0,0
tux3/qTox,open,5418,cb2b7754ab9771ff67d8ad84773a42815071793c,src/widget/form/settings/generalform.cpp,modified,0,1,NULL,2018-10-31 01:16:22,2018-10-31 01:16:22,0,0
tux3/qTox,open,5418,25cf5c34d3283b96192ef5a21382e01e1770cde1,src/widget/form/settings/userinterfaceform.cpp,modified,0,1,NULL,2018-10-31 01:16:22,2018-10-31 01:16:22,0,0
tux3/qTox,open,5418,2c9824377e79c39bef31abd3776a89795301c432,src/widget/widget.cpp,modified,2,2,NULL,2018-10-31 01:16:22,2018-10-31 01:16:22,0,0
tux3/qTox,open,5417,f580d8e2550b0197664571379e85fbc7fabd55ea,src/core/core.cpp,modified,20,3,sudden6,2018-10-30 23:22:00,2018-10-30 23:22:00,0,0
tux3/qTox,open,5417,1799c288a098063e14566f39d8128d71c783b7e7,src/core/core.h,modified,1,0,sudden6,2018-10-30 23:22:00,2018-10-30 23:22:00,0,0
tux3/qTox,open,5416,e278e5c6e43e7e72011e6624c87e43ebeb53686b,src/friendlist.cpp,modified,4,2,sudden6,2018-10-30 22:44:58,2018-10-30 22:44:58,0,0
tux3/qTox,open,5416,1c0b43fc4b80a857fca0b592d95f033dcbbaf64d,src/model/friend.cpp,modified,3,5,sudden6,2018-10-30 22:44:58,2018-10-30 22:44:58,0,0
tux3/qTox,open,5416,e0f7ae6ee58b2532eca3a5db4c65e468d79f58f8,src/model/friend.h,modified,1,1,sudden6,2018-10-30 22:44:58,2018-10-30 22:44:58,0,0
tux3/qTox,open,5415,f1ad618480494b11da89ecf3b573f5f1bec74352,src/widget/widget.cpp,modified,6,11,sudden6,2018-10-30 22:21:53,2018-10-30 22:21:53,0,0
tux3/qTox,open,5415,8db6c661123bf9503a431b0c6128217db7f4781a,src/widget/widget.h,modified,1,1,sudden6,2018-10-30 22:21:53,2018-10-30 22:21:53,0,0
tux3/qTox,open,5414,e03bd33da3d6138efb945258f7f3b89b1c024d9b,src/model/group.cpp,modified,5,0,PTroester,2018-10-30 21:53:49,2018-10-30 21:53:49,0,0
tux3/qTox,open,5414,a30180940c9c81868b61e26b1b3ce225cbd12216,src/model/group.h,modified,1,0,PTroester,2018-10-30 21:53:49,2018-10-30 21:53:49,0,0
tux3/qTox,open,5414,6a6d5c6db662f4ec045558d3e38a4c150902b175,src/widget/form/tabcompleter.cpp,modified,7,9,PTroester,2018-10-30 21:53:49,2018-10-30 21:53:49,0,0
tux3/qTox,open,5406,b6f0e39954156970ac1b0aa83dcf58ec41e76205,src/audio/audio.cpp,modified,29,0,sudden6,2018-10-23 20:25:38,2018-10-23 20:25:38,0,0
tux3/qTox,open,5406,5c0db7479ebd6fc4142d0bc7ac15f06c0e6abbe8,src/audio/audio.h,modified,4,17,sudden6,2018-10-23 20:25:38,2018-10-23 20:25:38,0,0
tux3/qTox,open,5399,fa34ba84307d3a879cd2af66806e6525e556f776,src/chatlog/chatlog.cpp,modified,7,0,Monsterovich,2018-10-16 07:31:25,2018-10-16 07:31:25,0,0
tux3/qTox,open,5399,0c744c6c4fa355d33d02ed4b38439d77d2be34c3,src/chatlog/chatlog.h,modified,2,1,Monsterovich,2018-10-16 07:31:25,2018-10-16 07:31:25,0,0
tux3/qTox,open,5399,3ed5bc14fe577f2e00bb6f74c2c2d9fc4ff8ae31,src/model/about/aboutfriend.cpp,modified,1,1,Monsterovich,2018-10-16 07:31:25,2018-10-16 07:31:25,0,0
tux3/qTox,open,5399,8a917812b6a1dfd78de2be0a6120a8aa24ba7472,src/persistence/history.cpp,modified,1,1,Monsterovich,2018-10-16 07:31:25,2018-10-16 07:31:25,0,0
tux3/qTox,open,5399,f4098efb87e58bdfc4fb5d7bac79182bf0ed2457,src/persistence/history.h,modified,1,1,Monsterovich,2018-10-16 07:31:25,2018-10-16 07:31:25,0,0
tux3/qTox,open,5399,2922b151847f0989d8e8efd5477977d6e8ad5a0e,src/widget/form/chatform.cpp,modified,14,1,Monsterovich,2018-10-16 07:31:25,2018-10-16 07:31:25,0,0
tux3/qTox,open,5399,bac4ebc29e36142d7ab77d08cafe9da5bfd84da1,src/widget/form/chatform.h,modified,2,1,Monsterovich,2018-10-16 07:31:25,2018-10-16 07:31:25,0,0
tux3/qTox,open,5399,6ab26be4ea1ead430c9b13bb4edefc2a73eecc60,src/widget/form/genericchatform.cpp,modified,5,7,Monsterovich,2018-10-16 07:31:25,2018-10-16 07:31:25,0,0
tux3/qTox,open,5399,a3180c3d4b6ac5f65fc11eaf588d9993db2ca611,src/widget/form/genericchatform.h,modified,2,2,Monsterovich,2018-10-16 07:31:25,2018-10-16 07:31:25,0,0
tux3/qTox,open,5399,d42c8bcffcfbf774ba0d53dc3339f573af9f2759,src/widget/form/groupchatform.cpp,modified,9,0,Monsterovich,2018-10-16 07:31:25,2018-10-16 07:31:25,0,0
tux3/qTox,open,5399,c4b3d506a037f52e99be14f506e7ad315e9672d1,src/widget/form/groupchatform.h,modified,1,0,Monsterovich,2018-10-16 07:31:25,2018-10-16 07:31:25,0,0
tux3/qTox,open,5386,986bee1089e151938c7be370deac0a01b5bb03ff,src/chatlog/chatlog.cpp,modified,6,1,jakieoymj-github,2018-10-11 15:00:06,2018-10-11 15:00:06,0,0
tux3/qTox,open,5386,442760a8afd09dbd1c17cdfa624455463e40ba7a,src/chatlog/chatlog.h,modified,1,0,jakieoymj-github,2018-10-11 15:00:06,2018-10-11 15:00:06,0,0
tux3/qTox,open,5386,8622115251fff16e9880cdd8911857a6dc066f29,src/widget/form/chatform.cpp,modified,9,1,jakieoymj-github,2018-10-11 15:00:06,2018-10-11 15:00:06,0,0
tux3/qTox,open,5386,c7fa2d657e5ac231b48442ceeb3b116deb2555a0,src/widget/form/chatform.h,modified,2,1,jakieoymj-github,2018-10-11 15:00:06,2018-10-11 15:00:06,0,0
tux3/qTox,open,5386,92fccc732377cddb91ebd2b93cd9603fa074f021,src/widget/form/genericchatform.cpp,modified,23,24,jakieoymj-github,2018-10-11 15:00:06,2018-10-11 15:00:06,0,0
tux3/qTox,open,5386,1cfa276d6eb97a2ec63c59ff770fba3eac41d30d,src/widget/form/genericchatform.h,modified,3,3,jakieoymj-github,2018-10-11 15:00:06,2018-10-11 15:00:06,0,0
tux3/qTox,open,5386,5d8ac84b1e73e4efe2476ba29acf91e3c0a257c8,src/widget/form/groupchatform.cpp,modified,6,0,jakieoymj-github,2018-10-11 15:00:06,2018-10-11 15:00:06,0,0
tux3/qTox,open,5386,22598ff80e205572d7facb52f0e53e1dd824ff49,src/widget/form/groupchatform.h,modified,1,0,jakieoymj-github,2018-10-11 15:00:06,2018-10-11 15:00:06,0,0
tux3/qTox,open,5380,a30afb35fb64cd30bcd7c5b89d308d5d9f0040b7,CMakeLists.txt,modified,2,0,jakieoymj-github,2018-10-09 08:36:46,2018-10-09 08:36:46,0,0
tux3/qTox,open,5380,67ee46869886cc5f4a9d2fccbd9fbce9d4841f89,src/chatlog/content/filetransferwidget.cpp,modified,24,17,jakieoymj-github,2018-10-09 08:36:46,2018-10-09 08:36:46,0,0
tux3/qTox,open,5380,47320463215131a2c31ac63628833545c1f1d999,src/model/about/aboutfriend.cpp,modified,22,14,jakieoymj-github,2018-10-09 08:36:46,2018-10-09 08:36:46,0,0
tux3/qTox,open,5380,b2737a1ce7c01938828966832d406b83dcded0bd,src/model/about/aboutfriend.h,modified,3,0,jakieoymj-github,2018-10-09 08:36:46,2018-10-09 08:36:46,0,0
tux3/qTox,open,5380,6eefef6b5938ec697e12d146bb4122eac109cba7,src/model/about/iaboutfriend.h,modified,3,0,jakieoymj-github,2018-10-09 08:36:46,2018-10-09 08:36:46,0,0
tux3/qTox,open,5380,f3b8ab18876532748560eac7002861c19460c4cb,src/model/chatroom/friendchatroom.cpp,modified,10,9,jakieoymj-github,2018-10-09 08:36:46,2018-10-09 08:36:46,0,0
tux3/qTox,open,5380,aebf29641caa9b369c98db25bdb9a08094f03dd3,src/model/chatroom/friendchatroom.h,modified,1,1,jakieoymj-github,2018-10-09 08:36:46,2018-10-09 08:36:46,0,0
tux3/qTox,open,5380,e4fbc7519e315101d140bff9aa5cfcbcf20d01a2,src/persistence/ifriendsettings.h,modified,5,1,jakieoymj-github,2018-10-09 08:36:46,2018-10-09 08:36:46,0,0
tux3/qTox,open,5380,188768e9c40c7150e547a47cfaeb218de1f02eaf,src/persistence/profile.cpp,modified,18,12,jakieoymj-github,2018-10-09 08:36:46,2018-10-09 08:36:46,0,0
tux3/qTox,open,5380,60c21efadd4c95fd9edce745f965cfda85cab0b9,src/persistence/profile.h,modified,6,0,jakieoymj-github,2018-10-09 08:36:46,2018-10-09 08:36:46,0,0
tux3/qTox,open,5380,216967711432586922bb7e306b7f7bca2c7cbcb2,src/persistence/settings.cpp,modified,154,17,jakieoymj-github,2018-10-09 08:36:46,2018-10-09 08:36:46,0,0
tux3/qTox,open,5380,0d4c19b0f9efb349f3c2acc9b9d49c1257016360,src/persistence/settings.h,modified,14,6,jakieoymj-github,2018-10-09 08:36:46,2018-10-09 08:36:46,0,0
tux3/qTox,open,5380,60ce55ff8faabfba44e5504a96bbfaa08d20ab2c,src/persistence/upgradablesetting.cpp,added,137,0,jakieoymj-github,2018-10-09 08:36:46,2018-10-09 08:36:46,0,0
