Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
uglide/RedisDesktopManager,closed,4238,e022bcd8f95bfd986a0f8672330fa513cd953210,tests/unit_tests/testcases/app/test_configmanager.cpp,modified,0,80,uglide,2018-09-24 13:23:07,2018-09-24 13:23:07,2018-09-24 13:50:47,2018-09-24 13:50:47,,
uglide/RedisDesktopManager,closed,4238,0ef20458bba4af570854cf16fc499abac48fc7f0,tests/unit_tests/testcases/app/test_configmanager.h,modified,1,3,uglide,2018-09-24 13:23:07,2018-09-24 13:23:07,2018-09-24 13:50:47,2018-09-24 13:50:47,,
uglide/RedisDesktopManager,closed,4233,8e0dcc1e470e54efe6923c6aa84496b1381e86bc,3rdparty/qt_modeltest/modeltest.cpp,added,592,0,uglide,2018-09-20 14:06:38,2018-09-20 14:06:38,2018-09-20 15:08:57,NA,,
uglide/RedisDesktopManager,closed,4233,f961627550ee0dd43b247d1adb4f8fe18e70edf5,3rdparty/qt_modeltest/modeltest.h,added,90,0,uglide,2018-09-20 14:06:38,2018-09-20 14:06:38,2018-09-20 15:08:57,NA,,
uglide/RedisDesktopManager,closed,4229,8e0dcc1e470e54efe6923c6aa84496b1381e86bc,3rdparty/qt_modeltest/modeltest.cpp,added,592,0,bgriffis87,2018-09-17 08:32:38,2018-09-17 08:32:38,2018-09-17 08:38:24,NA,,
uglide/RedisDesktopManager,closed,4229,f961627550ee0dd43b247d1adb4f8fe18e70edf5,3rdparty/qt_modeltest/modeltest.h,added,90,0,bgriffis87,2018-09-17 08:32:38,2018-09-17 08:32:38,2018-09-17 08:38:24,NA,,
uglide/RedisDesktopManager,closed,4225,0bab2e853902655f1874d63be3d9251115b14b4d,tests/unit_tests/testcases/connections-tree/mocks/itemoperationsmock.h,modified,3,0,wonderning,2018-09-14 11:28:30,2018-09-14 11:28:30,2018-09-14 13:36:34,2018-09-14 13:36:34,,
uglide/RedisDesktopManager,closed,4212,20bbc6396ae3c05f9a98d720289c9a999b292315,tests/unit_tests/testcases/connections-tree/mocks/itemoperationsmock.h,modified,1,1,jfcherng,2018-08-31 07:11:54,2018-08-31 07:11:54,2018-08-31 07:37:21,2018-08-31 07:37:21,,
uglide/RedisDesktopManager,closed,4212,6fb69b3b68b8d5b2874d822b888c546dc7240d7a,tests/unit_tests/testcases/console/test_consolemodel.cpp,modified,1,1,jfcherng,2018-08-31 07:11:54,2018-08-31 07:11:54,2018-08-31 07:37:21,2018-08-31 07:37:21,,
uglide/RedisDesktopManager,closed,4206,8e0dcc1e470e54efe6923c6aa84496b1381e86bc,3rdparty/qt_modeltest/modeltest.cpp,added,592,0,uglide,2018-08-28 14:20:58,2018-08-28 14:20:58,2018-09-04 09:54:18,NA,,
uglide/RedisDesktopManager,closed,4206,f961627550ee0dd43b247d1adb4f8fe18e70edf5,3rdparty/qt_modeltest/modeltest.h,added,90,0,uglide,2018-08-28 14:20:58,2018-08-28 14:20:58,2018-09-04 09:54:18,NA,,
