Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
aspnet/Mvc,closed,6753,5eefa55822f33de7fc2b19924dbb43cf71808e4b,test/Microsoft.AspNetCore.Mvc.FunctionalTests/BasicTests.cs,modified,19,0,adrian109,2017-09-01 21:16:18,2017-09-01 21:16:18,2017-09-13 00:25:22,NA,NA,NA
aspnet/Mvc,closed,6753,0730aa55b6ab01a107f4eeb356aa1ab33b7d04a8,test/WebSites/BasicWebSite/Controllers/HomeController.cs,modified,12,0,adrian109,2017-09-01 21:16:18,2017-09-01 21:16:18,2017-09-13 00:25:22,NA,NA,NA
aspnet/Mvc,closed,5052,3152795fd0c9d4f0a336c880ea889abc715bc2fc,test/Microsoft.AspNetCore.Mvc.Test/MvcServiceCollectionExtensionsTest.cs,modified,28,0,AroraMunish,2016-07-20 23:54:18,2016-07-20 23:54:18,2016-07-21 00:21:20,NA,NA,NA
aspnet/Mvc,closed,2918,65373364035770d0fdd7333b252157d679431a1f,test/Microsoft.AspNet.Mvc.Core.Test/ModelBinding/CompositeValueProviderTest.cs,modified,0,8,AshrafAlam,2015-08-06 00:01:53,2015-08-06 00:01:53,2015-08-06 23:06:39,NA,NA,NA
aspnet/Mvc,closed,2918,9fdaf664f62768cc07fe5b4ee975f6b6ff6f51fb,test/Microsoft.AspNet.Mvc.Core.Test/ModelBinding/EnumerableValueProviderTest.cs,modified,0,5,AshrafAlam,2015-08-06 00:01:53,2015-08-06 00:01:53,2015-08-06 23:06:39,NA,NA,NA
aspnet/Mvc,closed,7056,139c71d8404b8f7dce0f0e714bdaac58168d2733,test/Microsoft.AspNetCore.Mvc.Abstractions.Test/project.json,modified,1,1,avertes,2017-11-15 06:15:43,2017-11-15 06:15:43,2017-11-15 20:38:36,NA,NA,NA
aspnet/Mvc,closed,7056,d830511118ed1c8fb1d5be57d2499505f4e1dc42,test/Microsoft.AspNetCore.Mvc.ApiExplorer.Test/project.json,modified,2,2,avertes,2017-11-15 06:15:43,2017-11-15 06:15:43,2017-11-15 20:38:36,NA,NA,NA
aspnet/Mvc,closed,7056,a54ff7475ef1b8ebee243ed7e14596e6a131bcc1,test/Microsoft.AspNetCore.Mvc.Core.Test/project.json,modified,2,2,avertes,2017-11-15 06:15:43,2017-11-15 06:15:43,2017-11-15 20:38:36,NA,NA,NA
aspnet/Mvc,closed,7056,6ee6f5c1fcbb097f62c9f0d64d89d3e67df06b3f,test/Microsoft.AspNetCore.Mvc.Cors.Test/project.json,modified,2,2,avertes,2017-11-15 06:15:43,2017-11-15 06:15:43,2017-11-15 20:38:36,NA,NA,NA
aspnet/Mvc,closed,7056,96e2f9b43d68e089b6363b7a5d35ed849441f872,test/Microsoft.AspNetCore.Mvc.DataAnnotations.Test/project.json,modified,2,2,avertes,2017-11-15 06:15:43,2017-11-15 06:15:43,2017-11-15 20:38:36,NA,NA,NA
aspnet/Mvc,closed,7056,6ee6f5c1fcbb097f62c9f0d64d89d3e67df06b3f,test/Microsoft.AspNetCore.Mvc.Formatters.Json.Test/project.json,modified,2,2,avertes,2017-11-15 06:15:43,2017-11-15 06:15:43,2017-11-15 20:38:36,NA,NA,NA
aspnet/Mvc,closed,7056,e8b711b067b3c841663e4b5749b170c409b870db,test/Microsoft.AspNetCore.Mvc.Formatters.Xml.Test/project.json,modified,2,2,avertes,2017-11-15 06:15:43,2017-11-15 06:15:43,2017-11-15 20:38:36,NA,NA,NA
aspnet/Mvc,closed,7056,68b3fb7679dfc80e533f672ac40029fb4bc2ff4b,test/Microsoft.AspNetCore.Mvc.FunctionalTests/project.json,modified,2,2,avertes,2017-11-15 06:15:43,2017-11-15 06:15:43,2017-11-15 20:38:36,NA,NA,NA
aspnet/Mvc,closed,7056,dc01eb5364cea9732b9773e0579005bc518afbfe,test/Microsoft.AspNetCore.Mvc.IntegrationTests/project.json,modified,2,2,avertes,2017-11-15 06:15:43,2017-11-15 06:15:43,2017-11-15 20:38:36,NA,NA,NA
aspnet/Mvc,closed,7056,071abc09429724d97f9aa55d03106863d8f13f41,test/Microsoft.AspNetCore.Mvc.Localization.Test/project.json,modified,3,3,avertes,2017-11-15 06:15:43,2017-11-15 06:15:43,2017-11-15 20:38:36,NA,NA,NA
aspnet/Mvc,closed,7056,b1120566f922b5ca34da6f8462be917d6235d67f,test/Microsoft.AspNetCore.Mvc.Razor.Host.Test/project.json,modified,6,6,avertes,2017-11-15 06:15:43,2017-11-15 06:15:43,2017-11-15 20:38:36,NA,NA,NA
aspnet/Mvc,closed,7056,6f26f22ba4ed84887cb984db4bfa84f4fb9fb8be,test/Microsoft.AspNetCore.Mvc.Razor.Test/project.json,modified,4,4,avertes,2017-11-15 06:15:43,2017-11-15 06:15:43,2017-11-15 20:38:36,NA,NA,NA
aspnet/Mvc,closed,7056,93658d60f6b97a12a8bd101edd15fc7a0674ef6b,test/Microsoft.AspNetCore.Mvc.TagHelpers.Test/project.json,modified,3,3,avertes,2017-11-15 06:15:43,2017-11-15 06:15:43,2017-11-15 20:38:36,NA,NA,NA
aspnet/Mvc,closed,7056,7535648e43d14f106803ecf1cbadad0731ea27db,test/Microsoft.AspNetCore.Mvc.Test/project.json,modified,2,2,avertes,2017-11-15 06:15:43,2017-11-15 06:15:43,2017-11-15 20:38:36,NA,NA,NA
aspnet/Mvc,closed,7056,dac94fe25ba1b5e859643a6503140dd665ad74b2,test/Microsoft.AspNetCore.Mvc.ViewFeatures.Test/project.json,modified,3,3,avertes,2017-11-15 06:15:43,2017-11-15 06:15:43,2017-11-15 20:38:36,NA,NA,NA
aspnet/Mvc,closed,6714,02f791c7a7a9285979c212d305d5ccc9551c2685,test/Microsoft.AspNetCore.Mvc.FunctionalTests/AntiforgeryAuthTests.cs,modified,10,0,awulkan,2017-08-25 20:56:13,2017-08-25 20:56:13,2017-08-25 21:03:35,2017-08-25 21:03:35,NA,NA
