Repository,User,Frequency,,
aspnet_Mvc.csv,adrian109,1,NA,NA
aspnet_Mvc.csv,aligneddev,1,NA,NA
aspnet_Mvc.csv,Anderman,1,NA,NA
aspnet_Mvc.csv,AroraMunish,1,NA,NA
aspnet_Mvc.csv,artiomchi,1,NA,NA
aspnet_Mvc.csv,ashleyglee,1,NA,NA
aspnet_Mvc.csv,AshrafAlam,1,NA,NA
aspnet_Mvc.csv,avertes,1,NA,NA
aspnet_Mvc.csv,awulkan,1,NA,NA
aspnet_Mvc.csv,bchavez,1,NA,NA
aspnet_Mvc.csv,bladehr8,1,NA,NA
aspnet_Mvc.csv,CaffeinatedCM,1,NA,NA
aspnet_Mvc.csv,calebnelton,1,NA,NA
aspnet_Mvc.csv,campersau,1,NA,NA
aspnet_Mvc.csv,chrarnoldus,1,NA,NA
aspnet_Mvc.csv,cjrosa,1,NA,NA
aspnet_Mvc.csv,CodingGorilla,1,NA,NA
aspnet_Mvc.csv,CoskunSunali,1,NA,NA
aspnet_Mvc.csv,cottsak,1,NA,NA
aspnet_Mvc.csv,ctolkien,1,NA,NA
aspnet_Mvc.csv,Daniel15,1,NA,NA
aspnet_Mvc.csv,DavidObando,1,NA,NA
aspnet_Mvc.csv,Dresel,1,NA,NA
aspnet_Mvc.csv,ErazerBrecht,1,NA,NA
aspnet_Mvc.csv,ErikSchierboom,1,NA,NA
aspnet_Mvc.csv,FabienLavocat,1,NA,NA
aspnet_Mvc.csv,femiot,1,NA,NA
aspnet_Mvc.csv,filipw,1,NA,NA
aspnet_Mvc.csv,flash2048,1,NA,NA
aspnet_Mvc.csv,geertdoornbos,1,NA,NA
aspnet_Mvc.csv,genusP,1,NA,NA
aspnet_Mvc.csv,ghisguth,1,NA,NA
aspnet_Mvc.csv,gitter-badger,1,NA,NA
aspnet_Mvc.csv,Grinderofl,1,NA,NA
aspnet_Mvc.csv,hallatore,1,NA,NA
aspnet_Mvc.csv,haruair,1,NA,NA
aspnet_Mvc.csv,hede,1,NA,NA
aspnet_Mvc.csv,henrik-olsson-valtech,1,NA,NA
aspnet_Mvc.csv,HenrikWM,1,NA,NA
aspnet_Mvc.csv,herecydev,1,NA,NA
aspnet_Mvc.csv,hiiru,1,NA,NA
aspnet_Mvc.csv,hikalkan,1,NA,NA
aspnet_Mvc.csv,hughbe,1,NA,NA
aspnet_Mvc.csv,imranbaloch,1,NA,NA
aspnet_Mvc.csv,jburgard,1,NA,NA
aspnet_Mvc.csv,jdom,1,NA,NA
aspnet_Mvc.csv,JeremySkinner,1,NA,NA
aspnet_Mvc.csv,Jetski5822,1,NA,NA
aspnet_Mvc.csv,joheredi,1,NA,NA
aspnet_Mvc.csv,jo-ninja,1,NA,NA
aspnet_Mvc.csv,jterry75,1,NA,NA
aspnet_Mvc.csv,Kalyanms1,1,NA,NA
aspnet_Mvc.csv,kfbyldy,1,NA,NA
aspnet_Mvc.csv,Krusen,1,NA,NA
aspnet_Mvc.csv,lajones,1,NA,NA
aspnet_Mvc.csv,lodejard,1,NA,NA
aspnet_Mvc.csv,lovemory,1,NA,NA
aspnet_Mvc.csv,manojkulkarni30,1,NA,NA
aspnet_Mvc.csv,Mardoxx,1,NA,NA
aspnet_Mvc.csv,Matthew-Bonner,1,NA,NA
aspnet_Mvc.csv,MaximRouiller,1,NA,NA
aspnet_Mvc.csv,mdschweda,1,NA,NA
aspnet_Mvc.csv,Meir017,1,NA,NA
aspnet_Mvc.csv,michielpost,1,NA,NA
aspnet_Mvc.csv,mwass,1,NA,NA
aspnet_Mvc.csv,nalanxiancai,1,NA,NA
aspnet_Mvc.csv,NatMarchand,1,NA,NA
aspnet_Mvc.csv,nguymin4,1,NA,NA
aspnet_Mvc.csv,nisha-kaushik,1,NA,NA
aspnet_Mvc.csv,nkuznia,1,NA,NA
aspnet_Mvc.csv,OlegKi,1,NA,NA
aspnet_Mvc.csv,OzieGamma,1,NA,NA
aspnet_Mvc.csv,payini,1,NA,NA
aspnet_Mvc.csv,PinpointTownes,1,NA,NA
aspnet_Mvc.csv,PradeepKadubandi,1,NA,NA
aspnet_Mvc.csv,pushist1y,1,NA,NA
aspnet_Mvc.csv,r3dqu33n,1,NA,NA
aspnet_Mvc.csv,rmja,1,NA,NA
aspnet_Mvc.csv,robward-ms,1,NA,NA
aspnet_Mvc.csv,run1206,1,NA,NA
aspnet_Mvc.csv,saa1963,1,NA,NA
aspnet_Mvc.csv,SaarCohen,1,NA,NA
aspnet_Mvc.csv,Shazwazza,1,NA,NA
aspnet_Mvc.csv,Sigvaard,1,NA,NA
aspnet_Mvc.csv,smitpatel,1,NA,NA
aspnet_Mvc.csv,stebet,1,NA,NA
aspnet_Mvc.csv,t0mburton,1,NA,NA
aspnet_Mvc.csv,TheBeardedLlama,1,NA,NA
aspnet_Mvc.csv,ti-ka,1,NA,NA
aspnet_Mvc.csv,Tragetaschen,1,NA,NA
aspnet_Mvc.csv,twirpx,1,NA,NA
aspnet_Mvc.csv,TylerBrinkley,1,NA,NA
aspnet_Mvc.csv,vanillajonathan,1,NA,NA
aspnet_Mvc.csv,vladislav-karamfilov,1,NA,NA
aspnet_Mvc.csv,wulg,1,NA,NA
aspnet_Mvc.csv,Yves57,1,NA,NA
aspnet_Mvc.csv,ZACommando,1,NA,NA
aspnet_XRE.csv,alek-sys,1,NA,NA
aspnet_XRE.csv,AlexGhiondea,1,NA,NA
aspnet_XRE.csv,alinapopa,1,NA,NA
aspnet_XRE.csv,Alxandr,1,NA,NA
aspnet_XRE.csv,atsushieno,1,NA,NA
aspnet_XRE.csv,billbogaiv,1,NA,NA
aspnet_XRE.csv,CGijbels,1,NA,NA
aspnet_XRE.csv,chuckbeasley,1,NA,NA
aspnet_XRE.csv,DamianEdwards,1,NA,NA
aspnet_XRE.csv,dmportella,1,NA,NA
aspnet_XRE.csv,Eilon,1,NA,NA
aspnet_XRE.csv,ejsmith,1,NA,NA
aspnet_XRE.csv,gfraiteur,1,NA,NA
aspnet_XRE.csv,grahamehorner,1,NA,NA
aspnet_XRE.csv,halter73,1,NA,NA
aspnet_XRE.csv,hanswolff,1,NA,NA
aspnet_XRE.csv,henkmollema,1,NA,NA
aspnet_XRE.csv,hiiru,1,NA,NA
aspnet_XRE.csv,hinaria,1,NA,NA
aspnet_XRE.csv,jamesqo,1,NA,NA
aspnet_XRE.csv,javiercn,1,NA,NA
aspnet_XRE.csv,jmloeffler,1,NA,NA
aspnet_XRE.csv,joakimskoog,1,NA,NA
aspnet_XRE.csv,juanfra684,1,NA,NA
aspnet_XRE.csv,khellang,1,NA,NA
aspnet_XRE.csv,lmeyer2,1,NA,NA
aspnet_XRE.csv,maartenba,1,NA,NA
aspnet_XRE.csv,mconnew,1,NA,NA
aspnet_XRE.csv,metadings,1,NA,NA
aspnet_XRE.csv,mholo65,1,NA,NA
aspnet_XRE.csv,MisterJames,1,NA,NA
aspnet_XRE.csv,mkosieradzki,1,NA,NA
aspnet_XRE.csv,monoman,1,NA,NA
aspnet_XRE.csv,mstaessen,1,NA,NA
aspnet_XRE.csv,muratg,1,NA,NA
aspnet_XRE.csv,nosami,1,NA,NA
aspnet_XRE.csv,PaulStovell,1,NA,NA
aspnet_XRE.csv,PMoneda,1,NA,NA
aspnet_XRE.csv,rossipedia,1,NA,NA
aspnet_XRE.csv,ryanbrandenburg,1,NA,NA
aspnet_XRE.csv,salerth,1,NA,NA
aspnet_XRE.csv,schotime,1,NA,NA
aspnet_XRE.csv,shahid-pk,1,NA,NA
aspnet_XRE.csv,stuartleeks,1,NA,NA
aspnet_XRE.csv,vkairys,1,NA,NA
aspnet_XRE.csv,vlesierse,1,NA,NA
aspnet_XRE.csv,yukozh,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,abatishchev,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,adamralph,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,ajorians,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,alex3848,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,ali-hk,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,blachniet,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,bordecal,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,BrianSakhai,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,chrfin,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,ChrSteinert,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,davidvesely,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,dcooke28,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,ddur,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,dotarj,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,EdwinEngelen,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,ElanHasson,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,felickz,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,gewarren,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,jeffkl,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,Jericho,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,jimmymain,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,johnrulon,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,KlemensE,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,Livven,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,lukas-ais,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,lukezaparaniuk,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,martincostello,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,mcooley,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,mikkelbu,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,monoblaine,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,morsiu,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,ngeor,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,ninety7,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,nover,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,Nozziel,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,nukefusion,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,pantosha,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,QueueHammer,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,RaYell,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,robinsedlaczek,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,RomanDidenko,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,Romanx,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,scott-xu,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,skurdiukov,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,THammond9,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,ThomasZitzler,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,tmaczynski,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,Travis-Snoozy,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,Vittel,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,wwwlicious,1,NA,NA
DotNetAnalyzers_StyleCopAnalyzers.csv,zanseb,1,NA,NA
dotnet_corefx.csv,0x6773,1,NA,NA
dotnet_corefx.csv,333fred,1,NA,NA
dotnet_corefx.csv,a510,1,NA,NA
dotnet_corefx.csv,ablanchet,1,NA,NA
dotnet_corefx.csv,acerbusace,1,NA,NA
dotnet_corefx.csv,adiaaida,1,NA,NA
dotnet_corefx.csv,adimosh,1,NA,NA
dotnet_corefx.csv,adityamandaleeka,1,NA,NA
dotnet_corefx.csv,aegoroff,1,NA,NA
dotnet_corefx.csv,ah-,1,NA,NA
dotnet_corefx.csv,akshatha-harshitha,1,NA,NA
dotnet_corefx.csv,alessandromontividiu03,1,NA,NA
dotnet_corefx.csv,alexanderkozlenko,1,NA,NA
dotnet_corefx.csv,AlexejLiebenthal,1,NA,NA
dotnet_corefx.csv,alfredr,1,NA,NA
dotnet_corefx.csv,Alois-xx,1,NA,NA
dotnet_corefx.csv,alpencolt,1,NA,NA
dotnet_corefx.csv,AndreasCag,1,NA,NA
dotnet_corefx.csv,andrewshir,1,NA,NA
dotnet_corefx.csv,AndyAyersMS,1,NA,NA
dotnet_corefx.csv,anpete,1,NA,NA
dotnet_corefx.csv,antiufo,1,NA,NA
dotnet_corefx.csv,AppBeat,1,NA,NA
dotnet_corefx.csv,AraHaan,1,NA,NA
dotnet_corefx.csv,ares128,1,NA,NA
dotnet_corefx.csv,arminherling,1,NA,NA
dotnet_corefx.csv,ateoi,1,NA,NA
dotnet_corefx.csv,attilah,1,NA,NA
dotnet_corefx.csv,avanderhoorn,1,NA,NA
dotnet_corefx.csv,azhmur,1,NA,NA
dotnet_corefx.csv,bazuka5801,1,NA,NA
dotnet_corefx.csv,bbartels,1,NA,NA
dotnet_corefx.csv,bbilginn,1,NA,NA
dotnet_corefx.csv,benjamin-hodgson,1,NA,NA
dotnet_corefx.csv,BigBadBleuCheese,1,NA,NA
dotnet_corefx.csv,billwert,1,NA,NA
dotnet_corefx.csv,bjjones,1,NA,NA
dotnet_corefx.csv,BlancheP,1,NA,NA
dotnet_corefx.csv,bonggeek,1,NA,NA
dotnet_corefx.csv,borgdylan,1,NA,NA
dotnet_corefx.csv,borsna,1,NA,NA
dotnet_corefx.csv,brahmnes,1,NA,NA
dotnet_corefx.csv,briangru,1,NA,NA
dotnet_corefx.csv,BrunoJuchli,1,NA,NA
dotnet_corefx.csv,BrzVlad,1,NA,NA
dotnet_corefx.csv,buddyabaddon,1,NA,NA
dotnet_corefx.csv,buybackoff,1,NA,NA
dotnet_corefx.csv,CADbloke,1,NA,NA
dotnet_corefx.csv,catcake,1,NA,NA
dotnet_corefx.csv,Chickenzilla,1,NA,NA
dotnet_corefx.csv,cmpt376edits,1,NA,NA
dotnet_corefx.csv,coenm,1,NA,NA
dotnet_corefx.csv,Corillian,1,NA,NA
