Repository,Test,Situation,Total,% com/sem,% total,,
aspnet_Mvc.csv,TRUE,Open,0,0,0,,
aspnet_Mvc.csv,TRUE,Closed,15,55.56,55.56,,
aspnet_Mvc.csv,TRUE,Merged,12,44.44,44.44,,
aspnet_Mvc.csv,FALSE,Open,0,NA,0,,
aspnet_Mvc.csv,FALSE,Closed,0,NA,0,,
aspnet_Mvc.csv,FALSE,Merged,0,NA,0,,
aspnet_XRE.csv,TRUE,Open,0,0,0,,
aspnet_XRE.csv,TRUE,Closed,1,20,6.67,,
aspnet_XRE.csv,TRUE,Merged,4,80,26.67,,
aspnet_XRE.csv,FALSE,Open,0,0,0,,
aspnet_XRE.csv,FALSE,Closed,4,40,26.67,,
aspnet_XRE.csv,FALSE,Merged,6,60,40,,
DotNetAnalyzers_StyleCopAnalyzers.csv,TRUE,Open,1,7.14,6.67,,
DotNetAnalyzers_StyleCopAnalyzers.csv,TRUE,Closed,2,14.29,13.33,,
DotNetAnalyzers_StyleCopAnalyzers.csv,TRUE,Merged,11,78.57,73.33,,
DotNetAnalyzers_StyleCopAnalyzers.csv,FALSE,Open,0,0,0,,
DotNetAnalyzers_StyleCopAnalyzers.csv,FALSE,Closed,0,0,0,,
DotNetAnalyzers_StyleCopAnalyzers.csv,FALSE,Merged,1,100,6.67,,
dotnet_corefx.csv,TRUE,Open,4,5.19,4.17,,
dotnet_corefx.csv,TRUE,Closed,11,14.29,11.46,,
dotnet_corefx.csv,TRUE,Merged,62,80.52,64.58,,
dotnet_corefx.csv,FALSE,Open,0,0,0,,
dotnet_corefx.csv,FALSE,Closed,3,15.79,3.12,,
dotnet_corefx.csv,FALSE,Merged,16,84.21,16.67,,
dotnet_orleans.csv,TRUE,Open,1,3.03,2.17,,
dotnet_orleans.csv,TRUE,Closed,4,12.12,8.7,,
dotnet_orleans.csv,TRUE,Merged,28,84.85,60.87,,
dotnet_orleans.csv,FALSE,Open,0,0,0,,
dotnet_orleans.csv,FALSE,Closed,0,0,0,,
dotnet_orleans.csv,FALSE,Merged,13,100,28.26,,
DynamoDS_Dynamo.csv,TRUE,Open,0,0,0,,
DynamoDS_Dynamo.csv,TRUE,Closed,0,0,0,,
DynamoDS_Dynamo.csv,TRUE,Merged,4,100,57.14,,
DynamoDS_Dynamo.csv,FALSE,Open,0,0,0,,
DynamoDS_Dynamo.csv,FALSE,Closed,1,33.33,14.29,,
DynamoDS_Dynamo.csv,FALSE,Merged,2,66.67,28.57,,
IdentityServer_IdentityServer3.csv,TRUE,Open,0,0,0,,
IdentityServer_IdentityServer3.csv,TRUE,Closed,4,40,22.22,,
IdentityServer_IdentityServer3.csv,TRUE,Merged,6,60,33.33,,
IdentityServer_IdentityServer3.csv,FALSE,Open,0,0,0,,
IdentityServer_IdentityServer3.csv,FALSE,Closed,2,25,11.11,,
IdentityServer_IdentityServer3.csv,FALSE,Merged,6,75,33.33,,
madskristensen_WebEssentials2013.csv,TRUE,Open,0,0,0,,
madskristensen_WebEssentials2013.csv,TRUE,Closed,1,16.67,7.14,,
madskristensen_WebEssentials2013.csv,TRUE,Merged,5,83.33,35.71,,
madskristensen_WebEssentials2013.csv,FALSE,Open,0,0,0,,
madskristensen_WebEssentials2013.csv,FALSE,Closed,0,0,0,,
madskristensen_WebEssentials2013.csv,FALSE,Merged,8,100,57.14,,
olga-jane_prizm.csv,TRUE,Open,0,0,0,,
olga-jane_prizm.csv,TRUE,Closed,0,0,0,,
olga-jane_prizm.csv,TRUE,Merged,1,100,33.33,,
olga-jane_prizm.csv,FALSE,Open,0,0,0,,
olga-jane_prizm.csv,FALSE,Closed,0,0,0,,
olga-jane_prizm.csv,FALSE,Merged,2,100,66.67,,
