Repository,Test,Situation,Total,% com/sem,% total,,
aspnet_Mvc.csv,TRUE,Open,0,0,0,,
aspnet_Mvc.csv,TRUE,Closed,88,62.86,45.36,,
aspnet_Mvc.csv,TRUE,Merged,52,37.14,26.8,,
aspnet_Mvc.csv,FALSE,Open,0,0,0,,
aspnet_Mvc.csv,FALSE,Closed,14,25.93,7.22,,
aspnet_Mvc.csv,FALSE,Merged,40,74.07,20.62,,
aspnet_XRE.csv,TRUE,Open,0,0,0,,
aspnet_XRE.csv,TRUE,Closed,10,33.33,10.64,,
aspnet_XRE.csv,TRUE,Merged,20,66.67,21.28,,
aspnet_XRE.csv,FALSE,Open,0,0,0,,
aspnet_XRE.csv,FALSE,Closed,20,31.25,21.28,,
aspnet_XRE.csv,FALSE,Merged,44,68.75,46.81,,
DotNetAnalyzers_StyleCopAnalyzers.csv,TRUE,Open,2,2.94,1.96,,
DotNetAnalyzers_StyleCopAnalyzers.csv,TRUE,Closed,4,5.88,3.92,,
DotNetAnalyzers_StyleCopAnalyzers.csv,TRUE,Merged,62,91.18,60.78,,
DotNetAnalyzers_StyleCopAnalyzers.csv,FALSE,Open,0,0,0,,
DotNetAnalyzers_StyleCopAnalyzers.csv,FALSE,Closed,8,23.53,7.84,,
DotNetAnalyzers_StyleCopAnalyzers.csv,FALSE,Merged,26,76.47,25.49,,
dotnet_corefx.csv,TRUE,Open,2,1.29,0.56,,
dotnet_corefx.csv,TRUE,Closed,22,14.19,6.2,,
dotnet_corefx.csv,TRUE,Merged,131,84.52,36.9,,
dotnet_corefx.csv,FALSE,Open,7,3.5,1.97,,
dotnet_corefx.csv,FALSE,Closed,28,14,7.89,,
dotnet_corefx.csv,FALSE,Merged,165,82.5,46.48,,
dotnet_orleans.csv,TRUE,Open,3,6,2.61,,
dotnet_orleans.csv,TRUE,Closed,4,8,3.48,,
dotnet_orleans.csv,TRUE,Merged,43,86,37.39,,
dotnet_orleans.csv,FALSE,Open,1,1.54,0.87,,
dotnet_orleans.csv,FALSE,Closed,4,6.15,3.48,,
dotnet_orleans.csv,FALSE,Merged,60,92.31,52.17,,
DynamoDS_Dynamo.csv,TRUE,Open,2,28.57,13.33,,
DynamoDS_Dynamo.csv,TRUE,Closed,0,0,0,,
DynamoDS_Dynamo.csv,TRUE,Merged,5,71.43,33.33,,
DynamoDS_Dynamo.csv,FALSE,Open,3,37.5,20,,
DynamoDS_Dynamo.csv,FALSE,Closed,2,25,13.33,,
DynamoDS_Dynamo.csv,FALSE,Merged,3,37.5,20,,
IdentityServer_IdentityServer3.csv,TRUE,Open,4,16,5.41,,
IdentityServer_IdentityServer3.csv,TRUE,Closed,1,4,1.35,,
IdentityServer_IdentityServer3.csv,TRUE,Merged,20,80,27.03,,
IdentityServer_IdentityServer3.csv,FALSE,Open,5,10.2,6.76,,
IdentityServer_IdentityServer3.csv,FALSE,Closed,21,42.86,28.38,,
IdentityServer_IdentityServer3.csv,FALSE,Merged,23,46.94,31.08,,
madskristensen_WebEssentials2013.csv,TRUE,Open,0,0,0,,
madskristensen_WebEssentials2013.csv,TRUE,Closed,0,0,0,,
madskristensen_WebEssentials2013.csv,TRUE,Merged,5,100,14.71,,
madskristensen_WebEssentials2013.csv,FALSE,Open,0,0,0,,
madskristensen_WebEssentials2013.csv,FALSE,Closed,1,3.45,2.94,,
madskristensen_WebEssentials2013.csv,FALSE,Merged,28,96.55,82.35,,
retailcoder_Rubberduck.csv,TRUE,Open,0,NA,0,,
retailcoder_Rubberduck.csv,TRUE,Closed,0,NA,0,,
retailcoder_Rubberduck.csv,TRUE,Merged,0,NA,0,,
retailcoder_Rubberduck.csv,FALSE,Open,0,0,0,,
retailcoder_Rubberduck.csv,FALSE,Closed,0,0,0,,
retailcoder_Rubberduck.csv,FALSE,Merged,3,100,100,,
