Repository,User,Pull Number,Test,Situation,,
aspnet_Mvc.csv,afoliaco,3090,TRUE,Closed,,
aspnet_Mvc.csv,Alxandr,2460,TRUE,Closed,,
aspnet_Mvc.csv,avanderhoorn,3191,TRUE,Closed,,
aspnet_Mvc.csv,bbowyersmyth,1750,TRUE,Merged,,
aspnet_Mvc.csv,cwe1ss,5220,TRUE,Closed,,
aspnet_Mvc.csv,dale-palmer,6897,TRUE,Merged,,
aspnet_Mvc.csv,dalyl,5959,TRUE,Closed,,
aspnet_Mvc.csv,danroth27,5536,TRUE,Closed,,
aspnet_Mvc.csv,dpaquette,2515,TRUE,Closed,,
aspnet_Mvc.csv,Elfocrash,5840,TRUE,Merged,,
aspnet_Mvc.csv,ghost,1679,TRUE,Closed,,
aspnet_Mvc.csv,ignatandrei,5693,TRUE,Merged,,
aspnet_Mvc.csv,JefferyZh,3653,TRUE,Closed,,
aspnet_Mvc.csv,jmhmaine,7866,TRUE,Closed,,
aspnet_Mvc.csv,laskoviymishka,4873,TRUE,Merged,,
aspnet_Mvc.csv,mirkogeffken,4987,TRUE,Closed,,
aspnet_Mvc.csv,Muchiachio,3179,TRUE,Closed,,
aspnet_Mvc.csv,reaction1989,5989,TRUE,Merged,,
aspnet_Mvc.csv,RehanSaeed,2808,TRUE,Closed,,
aspnet_Mvc.csv,remcomulder,8000,TRUE,Closed,,
aspnet_Mvc.csv,Rick-Anderson,1734,TRUE,Merged,,
aspnet_Mvc.csv,SonjaKhan,1711,TRUE,Merged,,
aspnet_Mvc.csv,stanislavromanov,1773,TRUE,Merged,,
aspnet_Mvc.csv,stevejgordon,3830,TRUE,Closed,,
aspnet_Mvc.csv,treenew,7304,TRUE,Merged,,
aspnet_Mvc.csv,tugberkugurlu,2829,TRUE,Merged,,
aspnet_Mvc.csv,ZBAGI,7925,TRUE,Merged,,
aspnet_XRE.csv,akoeplinger,1828,FALSE,Closed,,
aspnet_XRE.csv,Andorbal,1246,FALSE,Closed,,
aspnet_XRE.csv,BillHiebert,20,FALSE,Closed,,
aspnet_XRE.csv,dagood,2928,TRUE,Merged,,
aspnet_XRE.csv,ghost,2064,FALSE,Merged,,
aspnet_XRE.csv,giggio,212,TRUE,Closed,,
aspnet_XRE.csv,glennc,285,FALSE,Merged,,
aspnet_XRE.csv,hishamco,1684,TRUE,Merged,,
aspnet_XRE.csv,kichalla,2721,FALSE,Closed,,
aspnet_XRE.csv,Maxwe11,2590,FALSE,Merged,,
aspnet_XRE.csv,migueldeicaza,112,FALSE,Merged,,
aspnet_XRE.csv,nguerrera,1,FALSE,Merged,,
aspnet_XRE.csv,pgrudzien12,3134,TRUE,Merged,,
aspnet_XRE.csv,tugberkugurlu,1382,FALSE,Merged,,
aspnet_XRE.csv,xPaw,2341,TRUE,Merged,,
DotNetAnalyzers_StyleCopAnalyzers.csv,AArnott,1403,FALSE,Merged,,
DotNetAnalyzers_StyleCopAnalyzers.csv,aboo,2258,TRUE,Merged,,
DotNetAnalyzers_StyleCopAnalyzers.csv,accidentaldeveloper,2106,TRUE,Merged,,
DotNetAnalyzers_StyleCopAnalyzers.csv,AraHaan,2773,TRUE,Merged,,
DotNetAnalyzers_StyleCopAnalyzers.csv,bsivanov,2503,TRUE,Merged,,
DotNetAnalyzers_StyleCopAnalyzers.csv,dfyx,2187,TRUE,Merged,,
DotNetAnalyzers_StyleCopAnalyzers.csv,hickford,1129,TRUE,Closed,,
DotNetAnalyzers_StyleCopAnalyzers.csv,hmemcpy,2002,TRUE,Merged,,
DotNetAnalyzers_StyleCopAnalyzers.csv,jamesqo,2337,TRUE,Closed,,
DotNetAnalyzers_StyleCopAnalyzers.csv,jnm2,2757,TRUE,Merged,,
DotNetAnalyzers_StyleCopAnalyzers.csv,johnkoerner,1075,TRUE,Merged,,
DotNetAnalyzers_StyleCopAnalyzers.csv,oatkins,1580,TRUE,Merged,,
DotNetAnalyzers_StyleCopAnalyzers.csv,otac0n,1287,TRUE,Merged,,
DotNetAnalyzers_StyleCopAnalyzers.csv,pkess,2248,TRUE,Open,,
DotNetAnalyzers_StyleCopAnalyzers.csv,roadz99,1084,TRUE,Merged,,
dotnet_corefx.csv,0xced,28515,FALSE,Merged,,
dotnet_corefx.csv,adamralph,30,TRUE,Merged,,
dotnet_corefx.csv,aerworker,28770,TRUE,Merged,,
dotnet_corefx.csv,aevitas,1405,TRUE,Merged,,
dotnet_corefx.csv,agocke,10096,TRUE,Closed,,
dotnet_corefx.csv,akoken,1210,TRUE,Merged,,
dotnet_corefx.csv,Alexx999,622,TRUE,Merged,,
dotnet_corefx.csv,am11,34345,TRUE,Open,,
dotnet_corefx.csv,amagrath,34399,TRUE,Merged,,
dotnet_corefx.csv,andi9310,46,FALSE,Merged,,
dotnet_corefx.csv,anurse,10509,TRUE,Closed,,
dotnet_corefx.csv,arecker,87,TRUE,Merged,,
dotnet_corefx.csv,ayende,25641,TRUE,Merged,,
dotnet_corefx.csv,benjamin-bader,1835,FALSE,Merged,,
dotnet_corefx.csv,benpye,2361,TRUE,Merged,,
dotnet_corefx.csv,bording,26438,TRUE,Merged,,
dotnet_corefx.csv,botaberg,7898,TRUE,Merged,,
dotnet_corefx.csv,BredPet,28589,TRUE,Merged,,
dotnet_corefx.csv,BrennanConroy,1839,TRUE,Merged,,
dotnet_corefx.csv,bretambrose,11145,TRUE,Merged,,
dotnet_corefx.csv,Chrisboh,797,TRUE,Closed,,
dotnet_corefx.csv,ChrSteinert,138,TRUE,Merged,,
dotnet_corefx.csv,CodeTherapist,33036,FALSE,Merged,,
dotnet_corefx.csv,edenlee1212,31378,TRUE,Closed,,
dotnet_corefx.csv,ektrah,18729,FALSE,Closed,,
dotnet_corefx.csv,Ermiar,19531,TRUE,Merged,,
dotnet_corefx.csv,ErwinJanssen,1040,TRUE,Merged,,
dotnet_corefx.csv,felipepessoto,16197,FALSE,Merged,,
dotnet_corefx.csv,gistofj,1845,TRUE,Closed,,
dotnet_corefx.csv,haruair,124,TRUE,Merged,,
dotnet_corefx.csv,iainnicol,33174,TRUE,Open,,
dotnet_corefx.csv,iamjasonp,1799,TRUE,Merged,,
dotnet_corefx.csv,jac009,90,TRUE,Closed,,
dotnet_corefx.csv,jaykrell,31341,TRUE,Merged,,
dotnet_corefx.csv,JeffCyr,26842,FALSE,Merged,,
dotnet_corefx.csv,jo-ninja,30002,TRUE,Merged,,
dotnet_corefx.csv,josguil,2759,TRUE,Merged,,
dotnet_corefx.csv,joshudson,33287,TRUE,Open,,
dotnet_corefx.csv,juliushardt,29401,FALSE,Merged,,
dotnet_corefx.csv,jzebedee,133,FALSE,Merged,,
dotnet_corefx.csv,k0st1x,26703,TRUE,Merged,,
dotnet_corefx.csv,karelz,17592,FALSE,Merged,,
dotnet_corefx.csv,kassemsandarusi,25961,TRUE,Merged,,
dotnet_corefx.csv,krk,9595,TRUE,Merged,,
dotnet_corefx.csv,kumpera,26873,TRUE,Merged,,
dotnet_corefx.csv,kurtschelfthout,33664,TRUE,Merged,,
dotnet_corefx.csv,lewurm,25593,TRUE,Merged,,
dotnet_corefx.csv,lkts,17059,TRUE,Merged,,
dotnet_corefx.csv,lucenticus,10414,TRUE,Merged,,
dotnet_corefx.csv,luigiberrettini,29961,FALSE,Merged,,
dotnet_corefx.csv,madelson,20233,TRUE,Merged,,
dotnet_corefx.csv,MarkPflug,1180,TRUE,Merged,,
dotnet_corefx.csv,MarkusSintonen,2121,TRUE,Merged,,
dotnet_corefx.csv,martinscholz83,11430,FALSE,Merged,,
dotnet_corefx.csv,mateusrodrigues,30850,FALSE,Closed,,
dotnet_corefx.csv,mattwarren,34084,FALSE,Merged,,
dotnet_corefx.csv,mdonoughe,29673,TRUE,Merged,,
dotnet_corefx.csv,mgravell,30481,TRUE,Merged,,
dotnet_corefx.csv,mlacouture,10730,TRUE,Merged,,
dotnet_corefx.csv,mtrofin,146,TRUE,Merged,,
dotnet_corefx.csv,naamunds,2712,TRUE,Merged,,
dotnet_corefx.csv,nerai,28883,TRUE,Merged,,
dotnet_corefx.csv,northtyphoon,16198,TRUE,Merged,,
dotnet_corefx.csv,pepone,26835,TRUE,Merged,,
dotnet_corefx.csv,Pothulapati,18113,TRUE,Merged,,
dotnet_corefx.csv,ProgramFOX,34,TRUE,Merged,,
dotnet_corefx.csv,ptoonen,19362,TRUE,Merged,,
dotnet_corefx.csv,quole,33924,TRUE,Merged,,
dotnet_corefx.csv,rafidka,1239,TRUE,Merged,,
dotnet_corefx.csv,ramarag,10025,TRUE,Closed,,
dotnet_corefx.csv,Redouane64,30769,FALSE,Merged,,
dotnet_corefx.csv,RheaAyase,16300,TRUE,Merged,,
dotnet_corefx.csv,saucecontrol,31835,FALSE,Closed,,
dotnet_corefx.csv,sawilde,1084,TRUE,Merged,,
dotnet_corefx.csv,sbomer,19537,TRUE,Merged,,
dotnet_corefx.csv,sebastienros,25688,TRUE,Closed,,
dotnet_corefx.csv,SedarG,10743,TRUE,Merged,,
dotnet_corefx.csv,sgaliamov,30075,TRUE,Merged,,
dotnet_corefx.csv,sgtfrankieboy,148,TRUE,Closed,,
dotnet_corefx.csv,sgwzxg,16318,TRUE,Closed,,
dotnet_corefx.csv,sherlock1982,27763,TRUE,Merged,,
dotnet_corefx.csv,shimingsg,18132,TRUE,Merged,,
dotnet_corefx.csv,smile21prc,17310,FALSE,Merged,,
dotnet_corefx.csv,Spamshutter,18491,TRUE,Merged,,
dotnet_corefx.csv,swaroop-sridhar,34321,TRUE,Merged,,
dotnet_corefx.csv,sylveon,27531,TRUE,Merged,,
dotnet_corefx.csv,tgiphil,169,FALSE,Merged,,
dotnet_corefx.csv,thomaslevesque,32577,FALSE,Merged,,
dotnet_corefx.csv,tkp1n,34385,TRUE,Open,,
dotnet_corefx.csv,uhaciogullari,985,TRUE,Merged,,
dotnet_corefx.csv,vkvenkat,32731,TRUE,Merged,,
dotnet_corefx.csv,waffle-iron,1215,TRUE,Merged,,
dotnet_corefx.csv,ww898,31100,TRUE,Merged,,
dotnet_corefx.csv,xiangyuecn,33476,TRUE,Closed,,
dotnet_corefx.csv,yaelkeemink,19147,TRUE,Merged,,
dotnet_corefx.csv,ZBAGI,31502,TRUE,Merged,,
dotnet_orleans.csv,andreymir,3704,TRUE,Merged,,
dotnet_orleans.csv,aRajeshKumar,4889,TRUE,Merged,,
