Repository,User,Pull Number,Test,Situation,,
aspnet_Mvc.csv,ajaybhargavb,1710,TRUE,Merged,,
aspnet_Mvc.csv,AlexejTimonin,7960,TRUE,Closed,,
aspnet_Mvc.csv,anurse,2962,TRUE,Closed,,
aspnet_Mvc.csv,ardalis,5267,TRUE,Merged,,
aspnet_Mvc.csv,benaadams,3055,TRUE,Merged,,
aspnet_Mvc.csv,BrennanConroy,2067,TRUE,Closed,,
aspnet_Mvc.csv,bricelam,2008,TRUE,Closed,,
aspnet_Mvc.csv,cesarbs,4012,TRUE,Closed,,
aspnet_Mvc.csv,ChengTian,1872,TRUE,Closed,,
aspnet_Mvc.csv,cjqian,4899,TRUE,Merged,,
aspnet_Mvc.csv,ctaggart,5856,TRUE,Merged,,
aspnet_Mvc.csv,ctyar,4020,TRUE,Closed,,
aspnet_Mvc.csv,DamianEdwards,1715,TRUE,Closed,,
aspnet_Mvc.csv,davidfowl,2505,TRUE,Merged,,
aspnet_Mvc.csv,dotnet-maestro-bot,8040,TRUE,Merged,,
aspnet_Mvc.csv,dougbu,1704,TRUE,Closed,,
aspnet_Mvc.csv,Eilon,2417,TRUE,Merged,,
aspnet_Mvc.csv,HaoK,1663,TRUE,Closed,,
aspnet_Mvc.csv,Haplois,4901,TRUE,Merged,,
aspnet_Mvc.csv,harshgMSFT,1798,TRUE,Closed,,
aspnet_Mvc.csv,henkmollema,2368,TRUE,Closed,,
aspnet_Mvc.csv,hishamco,2687,TRUE,Merged,,
aspnet_Mvc.csv,ianhong,1818,TRUE,Closed,,
aspnet_Mvc.csv,iscifoni,4974,TRUE,Merged,,
aspnet_Mvc.csv,ivaylokenov,3303,TRUE,Closed,,
aspnet_Mvc.csv,JamesNK,2530,TRUE,Closed,,
aspnet_Mvc.csv,javiercn,3760,TRUE,Merged,,
aspnet_Mvc.csv,jbagga,5354,TRUE,Closed,,
aspnet_Mvc.csv,jkotalik,6855,TRUE,Merged,,
aspnet_Mvc.csv,JunTaoLuo,3588,TRUE,Merged,,
aspnet_Mvc.csv,juunas11,5518,TRUE,Closed,,
aspnet_Mvc.csv,KevinDockx,2036,TRUE,Merged,,
aspnet_Mvc.csv,khellang,3855,TRUE,Closed,,
aspnet_Mvc.csv,kichalla,1746,TRUE,Merged,,
aspnet_Mvc.csv,kirthik,1717,TRUE,Closed,,
aspnet_Mvc.csv,kishanAnem,7848,TRUE,Closed,,
aspnet_Mvc.csv,kulmugdha,1816,TRUE,Closed,,
aspnet_Mvc.csv,martincostello,5824,TRUE,Merged,,
aspnet_Mvc.csv,mikeharder,6137,TRUE,Merged,,
aspnet_Mvc.csv,mistakenot,6860,TRUE,Merged,,
aspnet_Mvc.csv,mkArtakMSFT,7286,TRUE,Closed,,
aspnet_Mvc.csv,mnltejaswini,4201,TRUE,Closed,,
aspnet_Mvc.csv,natemcmaster,6367,TRUE,Closed,,
aspnet_Mvc.csv,NTaylorMullen,1672,TRUE,Closed,,
aspnet_Mvc.csv,NULL,1703,TRUE,Closed,,
aspnet_Mvc.csv,pakrym,3364,TRUE,Closed,,
aspnet_Mvc.csv,Praburaj,1690,TRUE,Merged,,
aspnet_Mvc.csv,pranavkm,1655,TRUE,Closed,,
aspnet_Mvc.csv,ryanbrandenburg,3308,TRUE,Merged,,
aspnet_Mvc.csv,rynowak,1667,TRUE,Merged,,
aspnet_Mvc.csv,scottaddie,3397,TRUE,Merged,,
aspnet_Mvc.csv,sebastienros,3079,TRUE,Closed,,
aspnet_Mvc.csv,sornaks,1718,TRUE,Closed,,
aspnet_Mvc.csv,SteveSandersonMS,6053,TRUE,Closed,,
aspnet_Mvc.csv,tonysneed,1870,TRUE,Closed,,
aspnet_Mvc.csv,Tratcher,1851,TRUE,Merged,,
aspnet_Mvc.csv,troydai,1767,TRUE,Closed,,
aspnet_Mvc.csv,tuespetre,3719,TRUE,Closed,,
aspnet_Mvc.csv,victorhurdugaci,1666,TRUE,Merged,,
aspnet_Mvc.csv,Wallsmedia,5451,TRUE,Merged,,
aspnet_Mvc.csv,yishaigalatzer,1953,TRUE,Closed,,
aspnet_Mvc.csv,yukozh,3216,TRUE,Merged,,
aspnet_XRE.csv,ajaybhargavb,2713,TRUE,Merged,,
aspnet_XRE.csv,anurse,1260,TRUE,Merged,,
aspnet_XRE.csv,BrennanConroy,1235,TRUE,Merged,,
aspnet_XRE.csv,bricelam,100,FALSE,Merged,,
aspnet_XRE.csv,cesarbs,2949,TRUE,Merged,,
aspnet_XRE.csv,ChengTian,270,TRUE,Merged,,
aspnet_XRE.csv,davidfowl,57,TRUE,Closed,,
aspnet_XRE.csv,dougbu,2709,TRUE,Closed,,
aspnet_XRE.csv,ellismg,1490,TRUE,Merged,,
aspnet_XRE.csv,graemechristie,232,FALSE,Merged,,
aspnet_XRE.csv,jhawk42,50,FALSE,Merged,,
aspnet_XRE.csv,JunTaoLuo,2623,TRUE,Merged,,
aspnet_XRE.csv,kirthik,2609,TRUE,Closed,,
aspnet_XRE.csv,lefb766,1413,TRUE,Merged,,
aspnet_XRE.csv,lodejard,264,TRUE,Merged,,
aspnet_XRE.csv,loudej,21,FALSE,Merged,,
aspnet_XRE.csv,moozzyk,1650,TRUE,Merged,,
aspnet_XRE.csv,NTaylorMullen,1338,TRUE,Merged,,
aspnet_XRE.csv,NULL,1145,TRUE,Merged,,
aspnet_XRE.csv,pakrym,2929,TRUE,Closed,,
aspnet_XRE.csv,Praburaj,965,TRUE,Merged,,
aspnet_XRE.csv,pranavkm,472,TRUE,Merged,,
aspnet_XRE.csv,rynowak,433,TRUE,Merged,,
aspnet_XRE.csv,shhsu,417,FALSE,Merged,,
aspnet_XRE.csv,suhasj,1694,TRUE,Merged,,
aspnet_XRE.csv,Tragetaschen,890,FALSE,Merged,,
aspnet_XRE.csv,troydai,825,TRUE,Merged,,
aspnet_XRE.csv,victorhurdugaci,946,TRUE,Merged,,
DotNetAnalyzers_StyleCopAnalyzers.csv,0x084E,1304,TRUE,Merged,,
DotNetAnalyzers_StyleCopAnalyzers.csv,bexxx,1704,TRUE,Merged,,
DotNetAnalyzers_StyleCopAnalyzers.csv,bjornhellander,2118,TRUE,Closed,,
DotNetAnalyzers_StyleCopAnalyzers.csv,dlemstra,2244,TRUE,Merged,,
DotNetAnalyzers_StyleCopAnalyzers.csv,hvanbakel,1128,TRUE,Merged,,
DotNetAnalyzers_StyleCopAnalyzers.csv,Maxwe11,1183,TRUE,Merged,,
DotNetAnalyzers_StyleCopAnalyzers.csv,nbarbettini,1333,TRUE,Merged,,
DotNetAnalyzers_StyleCopAnalyzers.csv,NikolayIT,1851,TRUE,Merged,,
DotNetAnalyzers_StyleCopAnalyzers.csv,Noryoko,1033,TRUE,Merged,,
DotNetAnalyzers_StyleCopAnalyzers.csv,NULL,1205,TRUE,Merged,,
DotNetAnalyzers_StyleCopAnalyzers.csv,pdelvo,1034,TRUE,Merged,,
DotNetAnalyzers_StyleCopAnalyzers.csv,peteri,1503,TRUE,Merged,,
DotNetAnalyzers_StyleCopAnalyzers.csv,sharwell,1041,TRUE,Merged,,
DotNetAnalyzers_StyleCopAnalyzers.csv,vweijsters,1198,TRUE,Merged,,
dotnet_corefx.csv,4creators,28442,TRUE,Merged,,
dotnet_corefx.csv,A-And,25626,TRUE,Merged,,
dotnet_corefx.csv,AArnott,9,TRUE,Merged,,
dotnet_corefx.csv,AaronRobinsonMSFT,31108,TRUE,Merged,,
dotnet_corefx.csv,adamsitnik,27163,TRUE,Merged,,
dotnet_corefx.csv,AfsanehR,31035,TRUE,Merged,,
dotnet_corefx.csv,ahsonkhan,16459,TRUE,Merged,,
dotnet_corefx.csv,akoeplinger,184,TRUE,Merged,,
dotnet_corefx.csv,AlekseyTs,1131,TRUE,Merged,,
dotnet_corefx.csv,alexandrnikitin,180,TRUE,Merged,,
dotnet_corefx.csv,AlexG2017,27250,TRUE,Merged,,
dotnet_corefx.csv,AlexGhiondea,954,TRUE,Merged,,
dotnet_corefx.csv,alexischr,16951,TRUE,Merged,,
dotnet_corefx.csv,alexperovich,17065,TRUE,Merged,,
dotnet_corefx.csv,AlexRadch,27617,TRUE,Merged,,
dotnet_corefx.csv,alfaproject,225,TRUE,Merged,,
dotnet_corefx.csv,alfredmyers,26113,TRUE,Merged,,
dotnet_corefx.csv,AlfredoMS,9555,TRUE,Merged,,
dotnet_corefx.csv,alphonsekurian,11238,TRUE,Merged,,
dotnet_corefx.csv,AndreyAkinshin,51,TRUE,Merged,,
dotnet_corefx.csv,Anipik,25447,TRUE,Merged,,
dotnet_corefx.csv,anthonylangsworth,16556,TRUE,Merged,,
dotnet_corefx.csv,AntonLapounov,16877,TRUE,Merged,,
dotnet_corefx.csv,artkpv,27276,TRUE,Merged,,
dotnet_corefx.csv,AustinWise,2272,TRUE,Merged,,
dotnet_corefx.csv,axelheer,1435,TRUE,Merged,,
dotnet_corefx.csv,bartdesmet,10463,TRUE,Closed,,
dotnet_corefx.csv,bartonjs,576,TRUE,Merged,,
dotnet_corefx.csv,baulig,19486,TRUE,Merged,,
dotnet_corefx.csv,bbowyersmyth,333,TRUE,Closed,,
dotnet_corefx.csv,benaadams,8065,TRUE,Merged,,
dotnet_corefx.csv,bgribaudo,1908,TRUE,Merged,,
dotnet_corefx.csv,blackdwarf,2347,TRUE,Merged,,
dotnet_corefx.csv,bpschoch,1428,TRUE,Closed,,
dotnet_corefx.csv,brianrob,27328,TRUE,Merged,,
dotnet_corefx.csv,BruceForstall,29238,TRUE,Merged,,
dotnet_corefx.csv,caesar1995,17206,TRUE,Merged,,
dotnet_corefx.csv,cartermp,8265,TRUE,Merged,,
dotnet_corefx.csv,ChadNedzlek,2294,TRUE,Merged,,
dotnet_corefx.csv,chcosta,472,TRUE,Closed,,
dotnet_corefx.csv,chlowell,8623,TRUE,Merged,,
dotnet_corefx.csv,CIPop,8630,TRUE,Closed,,
dotnet_corefx.csv,clarkis117,28193,TRUE,Merged,,
dotnet_corefx.csv,Clockwork-Muse,2328,TRUE,Merged,,
dotnet_corefx.csv,corivera,7415,TRUE,Merged,,
dotnet_corefx.csv,crummel,20017,TRUE,Merged,,
dotnet_corefx.csv,cshung,9508,TRUE,Merged,,
dotnet_corefx.csv,cwe1ss,11250,TRUE,Merged,,
dotnet_corefx.csv,dagood,7402,TRUE,Closed,,
dotnet_corefx.csv,dajeffri,25822,TRUE,Merged,,
