Repository,User,Pull number,Test,Situation
aspnet/Mvc,awulkan,6714,TRUE,Merged
aspnet/Mvc,CaffeinatedCM,4587,TRUE,Merged
aspnet/Mvc,campersau,5189,TRUE,Merged
aspnet/Mvc,cjrosa,5330,TRUE,Merged
aspnet/Mvc,cottsak,4091,TRUE,Merged
aspnet/Mvc,Daniel15,2978,TRUE,Merged
aspnet/Mvc,FabienLavocat,7288,TRUE,Merged
aspnet/Mvc,geertdoornbos,4076,TRUE,Merged
aspnet/Mvc,genusP,3492,TRUE,Merged
aspnet/Mvc,hallatore,6412,TRUE,Merged
aspnet/Mvc,HenrikWM,6276,TRUE,Merged
aspnet/Mvc,herecydev,3555,TRUE,Merged
aspnet/Mvc,kfbyldy,4440,TRUE,Merged
aspnet/Mvc,lodejard,4000,TRUE,Merged
aspnet/Mvc,michielpost,4665,TRUE,Merged
aspnet/Mvc,mwass,3505,TRUE,Merged
aspnet/Mvc,nalanxiancai,7690,TRUE,Merged
aspnet/Mvc,robward-ms,7407,TRUE,Merged
aspnet/Mvc,run1206,3853,TRUE,Merged
aspnet/Mvc,saa1963,4412,TRUE,Merged
aspnet/Mvc,SaarCohen,1691,TRUE,Merged
aspnet/Mvc,Sigvaard,7814,TRUE,Merged
aspnet/Mvc,smitpatel,6202,TRUE,Merged
aspnet/Mvc,t0mburton,5490,TRUE,Merged
aspnet/Mvc,twirpx,5987,TRUE,Merged
aspnet/Mvc,TylerBrinkley,5978,TRUE,Merged
aspnet/XRE,alinapopa,877,TRUE,Merged
aspnet/XRE,CGijbels,1486,TRUE,Merged
aspnet/XRE,DamianEdwards,1206,TRUE,Merged
aspnet/XRE,grahamehorner,2877,TRUE,Merged
aspnet/XRE,henkmollema,1969,TRUE,Merged
aspnet/XRE,jamesqo,3276,TRUE,Merged
aspnet/XRE,jmloeffler,2585,TRUE,Merged
aspnet/XRE,mconnew,3292,TRUE,Merged
aspnet/XRE,mkosieradzki,2537,TRUE,Merged
aspnet/XRE,muratg,2739,TRUE,Merged
DotNetAnalyzers/StyleCopAnalyzers,abatishchev,2584,TRUE,Merged
DotNetAnalyzers/StyleCopAnalyzers,alex3848,2338,TRUE,Merged
DotNetAnalyzers/StyleCopAnalyzers,blachniet,2720,TRUE,Merged
DotNetAnalyzers/StyleCopAnalyzers,BrianSakhai,2119,TRUE,Merged
DotNetAnalyzers/StyleCopAnalyzers,ChrSteinert,1446,TRUE,Merged
DotNetAnalyzers/StyleCopAnalyzers,dcooke28,1735,TRUE,Merged
DotNetAnalyzers/StyleCopAnalyzers,ddur,2008,TRUE,Merged
DotNetAnalyzers/StyleCopAnalyzers,dotarj,2627,TRUE,Merged
DotNetAnalyzers/StyleCopAnalyzers,EdwinEngelen,1044,TRUE,Merged
DotNetAnalyzers/StyleCopAnalyzers,felickz,2097,TRUE,Merged
DotNetAnalyzers/StyleCopAnalyzers,jeffkl,2708,TRUE,Merged
DotNetAnalyzers/StyleCopAnalyzers,Jericho,2295,TRUE,Merged
DotNetAnalyzers/StyleCopAnalyzers,jimmymain,1363,TRUE,Merged
DotNetAnalyzers/StyleCopAnalyzers,johnrulon,2181,TRUE,Merged
DotNetAnalyzers/StyleCopAnalyzers,Livven,2779,TRUE,Merged
DotNetAnalyzers/StyleCopAnalyzers,lukas-ais,2090,TRUE,Merged
DotNetAnalyzers/StyleCopAnalyzers,lukezaparaniuk,2351,TRUE,Merged
DotNetAnalyzers/StyleCopAnalyzers,martincostello,1849,TRUE,Merged
DotNetAnalyzers/StyleCopAnalyzers,mikkelbu,2538,TRUE,Merged
DotNetAnalyzers/StyleCopAnalyzers,monoblaine,2560,TRUE,Merged
DotNetAnalyzers/StyleCopAnalyzers,morsiu,2655,TRUE,Merged
DotNetAnalyzers/StyleCopAnalyzers,nover,2309,TRUE,Merged
DotNetAnalyzers/StyleCopAnalyzers,nukefusion,1032,TRUE,Merged
DotNetAnalyzers/StyleCopAnalyzers,pantosha,2659,TRUE,Merged
DotNetAnalyzers/StyleCopAnalyzers,QueueHammer,2207,TRUE,Merged
DotNetAnalyzers/StyleCopAnalyzers,RaYell,2170,TRUE,Merged
DotNetAnalyzers/StyleCopAnalyzers,robinsedlaczek,1400,TRUE,Merged
DotNetAnalyzers/StyleCopAnalyzers,Romanx,2136,TRUE,Merged
DotNetAnalyzers/StyleCopAnalyzers,THammond9,2293,TRUE,Merged
DotNetAnalyzers/StyleCopAnalyzers,tmaczynski,2140,TRUE,Merged
DotNetAnalyzers/StyleCopAnalyzers,Vittel,2743,TRUE,Merged
dotnet/corefx,0x6773,1779,TRUE,Merged
dotnet/corefx,adiaaida,32848,TRUE,Merged
dotnet/corefx,alessandromontividiu03,2305,TRUE,Merged
dotnet/corefx,andrewshir,1015,TRUE,Merged
dotnet/corefx,AndyAyersMS,33412,TRUE,Merged
dotnet/corefx,AppBeat,27934,TRUE,Merged
dotnet/corefx,azhmur,19331,TRUE,Merged
dotnet/corefx,bbartels,18455,TRUE,Merged
dotnet/corefx,benjamin-hodgson,27243,TRUE,Merged
dotnet/corefx,bjjones,9269,TRUE,Merged
dotnet/corefx,Corillian,9575,TRUE,Merged
dotnet/corefx,dattathreya,1976,TRUE,Merged
dotnet/corefx,daxian-dbw,19969,TRUE,Merged
dotnet/corefx,DevInstinct,10214,TRUE,Merged
dotnet/corefx,dnperfors,31355,TRUE,Merged
dotnet/corefx,domcc,713,TRUE,Merged
dotnet/corefx,dsherret,10986,TRUE,Merged
