Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
DotNetAnalyzers/StyleCopAnalyzers,open,2846,561b06b33a5c0d16d00555a55944e85be4af813b,StyleCop.Analyzers/StyleCop.Analyzers.Test.CSharp7/ReadabilityRules/SA1141CSharp7UnitTests.cs,added,137,0,pdelvo,2019-01-04 15:15:11,2019-01-04 15:15:11,0,0,,
DotNetAnalyzers/StyleCopAnalyzers,open,2846,b52e2de171fb956397d3987b0e69fd96dee6954c,StyleCop.Analyzers/StyleCop.Analyzers.Test/ReadabilityRules/SA1141UnitTests.cs,added,47,0,pdelvo,2019-01-04 15:15:11,2019-01-04 15:15:11,0,0,,
DotNetAnalyzers/StyleCopAnalyzers,open,2781,65f0c49a8608ffbeb3e8eb1252ad7a57c6993e99,StyleCop.Analyzers/StyleCop.Analyzers.Test.CSharp7/MaintainabilityRules/SA1414CSharp7UnitTests.cs,added,11,0,vweijsters,2018-09-09 21:24:57,2018-09-09 21:24:57,0,0,,
DotNetAnalyzers/StyleCopAnalyzers,open,2781,0e65feb3dce6d55c957596716e12370d6d94845f,StyleCop.Analyzers/StyleCop.Analyzers.Test/MaintainabilityRules/SA1414UnitTests.cs,added,72,0,vweijsters,2018-09-09 21:24:57,2018-09-09 21:24:57,0,0,,
DotNetAnalyzers/StyleCopAnalyzers,open,2302,b2c10810db4d6a6756993a2fe42dc33b25e886ed,StyleCop.Analyzers/StyleCop.Analyzers.Test/ReadabilityRules/SA1140UnitTests.cs,added,79,0,AraHaan,2017-02-23 13:03:22,2017-02-23 13:03:22,0,0,,
DotNetAnalyzers/StyleCopAnalyzers,open,2302,e9d121899b01f10342686bd1d249012fee9c699d,StyleCop.Analyzers/StyleCop.Analyzers.Test/StyleCop.Analyzers.Test.csproj,modified,1,0,AraHaan,2017-02-23 13:03:22,2017-02-23 13:03:22,0,0,,
DotNetAnalyzers/StyleCopAnalyzers,open,2248,4679d235cfdd70ec17d907686d5dea03c4a2eb54,StyleCop.Analyzers/StyleCop.Analyzers.Test/ReadabilityRules/SA1114UnitTests.cs,modified,132,180,pkess,2016-12-10 22:20:28,2016-12-10 22:20:28,0,0,,
DotNetAnalyzers/StyleCopAnalyzers,open,2248,4a6d7c148a6d106604563b66e25af8f3ed81477d,StyleCop.Analyzers/StyleCop.Analyzers.Test/ReadabilityRules/SA1115UnitTests.cs,modified,277,1,pkess,2016-12-10 22:20:28,2016-12-10 22:20:28,0,0,,
DotNetAnalyzers/StyleCopAnalyzers,open,2242,0d053fd76ecd2f79774bc90151b2c2b93a4db449,StyleCop.Analyzers/StyleCop.Analyzers.Test/DocumentationRules/SA1628UnitTests.cs,modified,310,3,dlemstra,2016-12-06 12:27:21,2016-12-06 12:27:21,0,0,,
DotNetAnalyzers/StyleCopAnalyzers,open,2156,89e1039523e08a70dd5273c5ce6d9ec8d89724cc,StyleCop.Analyzers/StyleCop.Analyzers.Test/App.config,added,6,0,dlemstra,2016-06-26 18:20:47,2016-06-26 18:20:47,0,0,,
