Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged
madskristensen/WebEssentials2013,open,1474,8161f62329ca4af6d95ed9ef9ad50d93d484fa06,WebEssentialsTests/WebEssentialsTests.csproj,modified,0,2,MohammadYounes,2014-09-05 13:46:10,2014-09-05 13:46:10,0,0
madskristensen/WebEssentials2013,closed,1900,2df672900f63e1bad3317e9bc6dcdaec1f3a5cc8,BuildTasks.Tester/Program.cs,modified,0,3,am11,2015-06-26 05:17:21,2015-06-26 05:17:21,2015-06-27 08:05:23,2015-06-27 08:05:23
madskristensen/WebEssentials2013,closed,1896,e09de374c37d53e3b0b1db7727994f2716d89044,WebEssentialsTests/WebEssentialsTests.csproj,modified,6,7,am11,2015-06-23 18:00:21,2015-06-23 18:00:21,2015-06-23 22:36:58,2015-06-23 22:36:58
madskristensen/WebEssentials2013,closed,1896,54659a5cd07966f9429cdb3357ae4b601fa0a001,WebEssentialsTests/fixtures/handlebars/compiled/test.hbs.js,modified,15,16,am11,2015-06-23 18:00:21,2015-06-23 18:00:21,2015-06-23 22:36:58,2015-06-23 22:36:58
madskristensen/WebEssentials2013,closed,1896,c6b3286257f2ae1662017a4a71ea38e46e2f24ee,WebEssentialsTests/packages.config,modified,4,4,am11,2015-06-23 18:00:21,2015-06-23 18:00:21,2015-06-23 22:36:58,2015-06-23 22:36:58
madskristensen/WebEssentials2013,closed,1871,8324aa6ff159e0630b9811cf7d53f09b4b8adf91,BuildTasks.Tester/App.config,added,6,0,GProulx,2015-06-02 03:22:07,2015-06-02 03:22:07,2015-06-02 05:45:02,2015-06-02 05:45:02
madskristensen/WebEssentials2013,closed,1871,3d5450baa7e18396599e0513e72c5ab8b3855cd1,BuildTasks.Tester/BuildTasks.Tester.csproj,added,70,0,GProulx,2015-06-02 03:22:07,2015-06-02 03:22:07,2015-06-02 05:45:02,2015-06-02 05:45:02
madskristensen/WebEssentials2013,closed,1871,f0667465a1d68f16878ba702ebd4e26ff60994bd,BuildTasks.Tester/Program.cs,added,61,0,GProulx,2015-06-02 03:22:07,2015-06-02 03:22:07,2015-06-02 05:45:02,2015-06-02 05:45:02
madskristensen/WebEssentials2013,closed,1871,7e9f5af01f3b5d8efd0b36d583837987c890f513,BuildTasks.Tester/Properties/AssemblyInfo.cs,added,36,0,GProulx,2015-06-02 03:22:07,2015-06-02 03:22:07,2015-06-02 05:45:02,2015-06-02 05:45:02
madskristensen/WebEssentials2013,closed,1756,35021d8f007ca0b517f72b1c0df9abec3e54f078,WebEssentialsTests/WebEssentialsTests.csproj,modified,0,4,D3-LucaPiombino,2015-02-01 06:06:17,2015-02-01 06:06:17,2015-02-01 18:43:46,2015-02-01 18:43:45
madskristensen/WebEssentials2013,closed,1675,86db39118c65e6958dacc1e7640086645a1b368f,WebEssentialsTests/Tests/NodeExecutors/RubyScssCompilationTests.cs,modified,2,3,henrycthomas,2014-11-26 01:22:56,2014-11-26 01:22:56,2014-11-26 01:46:37,2014-11-26 01:46:37
madskristensen/WebEssentials2013,closed,1675,2f6f7809e8a528d5ab3c5f495cb022b763d508f4,WebEssentialsTests/Tests/NodeExecutors/ScssCompilationTests.cs,modified,1,1,henrycthomas,2014-11-26 01:22:56,2014-11-26 01:22:56,2014-11-26 01:46:37,2014-11-26 01:46:37
madskristensen/WebEssentials2013,closed,1673,be4557a88ac53fbb4e54a86bc0a62172b92bfb39,WebEssentialsTests/WebEssentialsTests.csproj,modified,2,0,am11,2014-11-24 16:37:44,2014-11-24 16:37:44,2014-11-24 17:36:52,2014-11-24 17:36:52
madskristensen/WebEssentials2013,closed,1673,6d133d6c870925362649d7d43a7049640de5bf79,WebEssentialsTests/fixtures/ruby-scss/compiled/compass-shadow.css,added,10,0,am11,2014-11-24 16:37:44,2014-11-24 16:37:44,2014-11-24 17:36:52,2014-11-24 17:36:52
madskristensen/WebEssentials2013,closed,1673,4e883974c636e2d2412ac5a93fb5f7dda266c7fa,WebEssentialsTests/fixtures/ruby-scss/source/compass-shadow.scss,added,10,0,am11,2014-11-24 16:37:44,2014-11-24 16:37:44,2014-11-24 17:36:52,2014-11-24 17:36:52
madskristensen/WebEssentials2013,closed,1599,f85f56d49766662a77e6a7f1725619e320cc9fb4,WebEssentialsTests/Tests/NodeExecutors/LessCompilationTests.cs,modified,1,2,am11,2014-10-27 00:08:15,2014-10-27 00:08:15,2014-10-27 00:35:40,2014-10-27 00:35:40
madskristensen/WebEssentials2013,closed,1582,005aa70475bed98f5c5335172f0a3a532ab5dd5e,WebEssentialsTests/Tests/NodeExecutors/RubyScssCompilationTests.cs,added,54,0,GProulx,2014-10-20 13:56:23,2014-10-20 13:56:23,2014-10-23 18:12:12,2014-10-23 18:12:12
madskristensen/WebEssentials2013,closed,1582,fcb472b3f6dfe78909e65650572672a54bffb4ff,WebEssentialsTests/Tests/NodeExecutors/ScssCompilationTests.cs,modified,13,3,GProulx,2014-10-20 13:56:23,2014-10-20 13:56:23,2014-10-23 18:12:12,2014-10-23 18:12:12
madskristensen/WebEssentials2013,closed,1582,b4b126945b816c9b2dc13ce34f3253c1b992b61c,WebEssentialsTests/WebEssentialsTests.csproj,modified,43,0,GProulx,2014-10-20 13:56:23,2014-10-20 13:56:23,2014-10-23 18:12:12,2014-10-23 18:12:12
madskristensen/WebEssentials2013,closed,1582,4c2fd23371f28337e77ebbd0a50cc2aa2f33ac90,WebEssentialsTests/fixtures/ruby-scss/compiled/multiple-assignment.css,added,17,0,GProulx,2014-10-20 13:56:23,2014-10-20 13:56:23,2014-10-23 18:12:12,2014-10-23 18:12:12
madskristensen/WebEssentials2013,closed,1582,984b05eca18c8ac372e1f2219ff8236a03e4d885,WebEssentialsTests/fixtures/ruby-scss/compiled/nested-rules.css,added,9,0,GProulx,2014-10-20 13:56:23,2014-10-20 13:56:23,2014-10-23 18:12:12,2014-10-23 18:12:12
madskristensen/WebEssentials2013,closed,1582,645aa0647725c379cd26848f9a8979809a6fe5a2,WebEssentialsTests/fixtures/ruby-scss/compiled/referencing-parent-selectors.css,added,12,0,GProulx,2014-10-20 13:56:23,2014-10-20 13:56:23,2014-10-23 18:12:12,2014-10-23 18:12:12
madskristensen/WebEssentials2013,closed,1582,adaf58dd9d3dbdddc95a8a2d5003f0e483bf1f91,WebEssentialsTests/fixtures/ruby-scss/source/multiple-assignment.scss,added,9,0,GProulx,2014-10-20 13:56:23,2014-10-20 13:56:23,2014-10-23 18:12:12,2014-10-23 18:12:12
madskristensen/WebEssentials2013,closed,1582,840cfc7192c97db94cebc9d0ae6369ad8d7759af,WebEssentialsTests/fixtures/ruby-scss/source/nested-rules.scss,added,9,0,GProulx,2014-10-20 13:56:23,2014-10-20 13:56:23,2014-10-23 18:12:12,2014-10-23 18:12:12
madskristensen/WebEssentials2013,closed,1582,a1f905676771cf4501b7c30131a915bb2cf7a417,WebEssentialsTests/fixtures/ruby-scss/source/referencing-parent-selectors.scss,added,12,0,GProulx,2014-10-20 13:56:23,2014-10-20 13:56:23,2014-10-23 18:12:12,2014-10-23 18:12:12
madskristensen/WebEssentials2013,closed,1582,e971024107149d06c4663a3f11777a601982917f,WebEssentialsTests/fixtures/scss/extend.css,modified,1,1,GProulx,2014-10-20 13:56:23,2014-10-20 13:56:23,2014-10-23 18:12:12,2014-10-23 18:12:12
madskristensen/WebEssentials2013,closed,1565,9a68b28f31450d4cc4b0a98a8e9ac974064c89ec,WebEssentialsTests/WebEssentialsTests.csproj,modified,1,1,am11,2014-10-06 17:10:24,2014-10-06 17:10:24,2014-10-07 04:20:32,2014-10-07 04:20:32
madskristensen/WebEssentials2013,closed,1564,41d14911a523ff2b743432cb8fc0841a364a5a75,WebEssentialsTests/Tests/Handlebars/HandlebarsCompilationTests.cs,modified,0,4,am11,2014-10-06 16:59:04,2014-10-06 16:59:04,2014-10-06 17:03:13,2014-10-06 17:03:13
madskristensen/WebEssentials2013,closed,1564,15e531d2d8c4e0d0591a6b8404936c58fd1bfc7a,WebEssentialsTests/fixtures/handlebars/compiled/test.hbs.js,modified,1,1,am11,2014-10-06 16:59:04,2014-10-06 16:59:04,2014-10-06 17:03:13,2014-10-06 17:03:13
madskristensen/WebEssentials2013,closed,1552,c9673489a0ed271fbb9f1216c1c4ecad4dd0aa5b,WebEssentialsTests/Tests/Handlebars/HandlebarsCompilationTests.cs,added,49,0,SLaks,2014-10-02 15:13:20,2014-10-02 15:13:20,2014-10-06 16:23:20,2014-10-06 16:23:20
madskristensen/WebEssentials2013,closed,1552,6ae11198cac227affb2458755d3e1976b7cb72d9,WebEssentialsTests/WebEssentialsTests.csproj,modified,4,0,SLaks,2014-10-02 15:13:20,2014-10-02 15:13:20,2014-10-06 16:23:20,2014-10-06 16:23:20
madskristensen/WebEssentials2013,closed,1552,5395ee43b501301c81d9069aa7b6ccb3fdd62379,WebEssentialsTests/fixtures/handlebars/compiled/test.hbs.js,added,16,0,SLaks,2014-10-02 15:13:20,2014-10-02 15:13:20,2014-10-06 16:23:20,2014-10-06 16:23:20
madskristensen/WebEssentials2013,closed,1552,e3033540847389c19b3f537c9870e1694a5ce81e,WebEssentialsTests/fixtures/handlebars/source/test.hbs,added,10,0,SLaks,2014-10-02 15:13:20,2014-10-02 15:13:20,2014-10-06 16:23:20,2014-10-06 16:23:20
madskristensen/WebEssentials2013,closed,1550,c10af286885d8250c342712db7c11620b88c2a30,WebEssentialsTests/WebEssentialsTests.v2.ncrunchproject,modified,2,1,henrycthomas,2014-10-02 01:04:51,2014-10-02 01:04:51,2015-11-27 01:36:24,NA
madskristensen/WebEssentials2013,closed,1524,915f853125bbc7c901ebdb09d44816c630bf9eda,WebEssentialsTests/VSHost.cs,modified,41,41,MohammadYounes,2014-09-22 20:42:44,2014-09-22 20:42:44,2015-11-27 01:36:50,NA
madskristensen/WebEssentials2013,closed,1524,e0ead3536e51b58af227708a0bfe6a710155db1a,WebEssentialsTests/WebEssentialsTests.csproj,modified,4,4,MohammadYounes,2014-09-22 20:42:44,2014-09-22 20:42:44,2015-11-27 01:36:50,NA
madskristensen/WebEssentials2013,closed,1524,3b39090b07a96620604d7c510f1e51f7a5709365,WebEssentialsTests/WebEssentialsTests.v2.ncrunchproject,modified,161,15,MohammadYounes,2014-09-22 20:42:44,2014-09-22 20:42:44,2015-11-27 01:36:50,NA
madskristensen/WebEssentials2013,closed,1511,6ba325229a11c68897c5c2bd2f0c39b5374eac34,WebEssentialsTests/Tests/Foundation/FoundationColumnsValidatorTests.cs,modified,41,0,am11,2014-09-16 02:51:04,2014-09-16 02:51:04,2014-09-16 15:33:35,2014-09-16 15:33:35
madskristensen/WebEssentials2013,closed,1511,14a122a31176e42823f9d44791b0aaa601d17529,WebEssentialsTests/Tests/Foundation/FoundationValidationTests.cs,modified,10,7,am11,2014-09-16 02:51:04,2014-09-16 02:51:04,2014-09-16 15:33:35,2014-09-16 15:33:35
madskristensen/WebEssentials2013,closed,1459,dde520efb6718bb01cb2b04c07dd17f9c63e0ba7,WebEssentialsTests/WebEssentialsTests.csproj,modified,1,3,epsitec,2014-08-31 10:05:05,2014-08-31 10:05:05,2014-08-31 20:48:59,2014-08-31 20:48:59
madskristensen/WebEssentials2013,closed,1455,615422a688a0a5954af3f253cb0d86af40a66746,WebEssentialsTests/IntegrationTests/Compilation/CompileOnSaveTests.cs,modified,5,2,am11,2014-08-29 03:05:55,2014-08-29 03:05:55,2014-08-29 03:07:23,2014-08-29 03:07:23
madskristensen/WebEssentials2013,closed,1335,c4436a27d76e54124146857887b410b8195ade3b,WebEssentialsTests/Tests/NodeExecutors/CoffeeScriptCompilationTests.cs,modified,2,2,am11,2014-07-22 02:00:16,2014-07-22 02:00:16,2014-07-22 02:07:02,2014-07-22 02:07:02
madskristensen/WebEssentials2013,closed,1335,651dde1e1e0619ddc9a6dd1b59f5ee0c4a70e7ae,WebEssentialsTests/fixtures/coffee/compiled/test.js,modified,1,1,am11,2014-07-22 02:00:16,2014-07-22 02:00:16,2014-07-22 02:07:02,2014-07-22 02:07:02
madskristensen/WebEssentials2013,closed,1335,7fa66e1efbeeb206c76aaa1b61a55acc7d4381bb,WebEssentialsTests/fixtures/iced/compiled/test.js,modified,0,1,am11,2014-07-22 02:00:16,2014-07-22 02:00:16,2014-07-22 02:07:02,2014-07-22 02:07:02
madskristensen/WebEssentials2013,closed,1176,01c9edca89c735b97df0089df084b918711dd3da,WebEssentialsTests/Tests/IntellisenseGeneration/IntellisenseWriteTypeScriptTests.cs,modified,86,0,DickvdBrink,2014-06-11 14:38:33,2014-06-11 14:38:33,2014-06-11 14:46:47,2014-06-11 14:46:47
madskristensen/WebEssentials2013,closed,1150,b9899135273140ed5b9279c4692a6fb57005d2e5,WebEssentialsTests/Tests/BootStrap/BootstrapColumnsValidatorTests.cs,modified,0,27,am11,2014-06-02 19:30:17,2014-06-02 19:30:17,2014-06-02 20:12:23,2014-06-02 20:12:23
