Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
aspnet/XRE,closed,3426,1bc0ec2b0fb223827a2387c667e77a483ca0f728,NuGet.config,modified,6,1,NULL,2017-03-16 02:44:28,2017-03-16 02:44:28,2017-03-16 02:46:42,NA,,
aspnet/XRE,closed,3426,c48ea9982387fe8570040cb523ea3bf79ff64c61,build.cmd,modified,1,1,NULL,2017-03-16 02:44:28,2017-03-16 02:44:28,2017-03-16 02:46:42,NA,,
aspnet/XRE,closed,3426,4f9519be4752c5ff186a3224b8d16ca1132a650a,global.json,modified,8,5,NULL,2017-03-16 02:44:28,2017-03-16 02:44:28,2017-03-16 02:46:42,NA,,
aspnet/XRE,closed,3426,26da0e98bb73f9df24a0d0555cb4224fac8f6b0d,misc/AppHostServicesProjects/global.json,modified,2,1,NULL,2017-03-16 02:44:28,2017-03-16 02:44:28,2017-03-16 02:46:42,NA,,
aspnet/XRE,closed,3426,6a99b1ea34afe1c9cfc577e54a408fa80fe5d5c7,misc/AppHostServicesProjects/src/GetExports/project.json,modified,5,1,NULL,2017-03-16 02:44:28,2017-03-16 02:44:28,2017-03-16 02:46:42,NA,,
aspnet/XRE,closed,3426,7adcaefb8263c00c82a62708da65e55700675c8a,misc/CompileModuleWithDependencies/global.json,modified,3,2,NULL,2017-03-16 02:44:28,2017-03-16 02:44:28,2017-03-16 02:46:42,NA,,
aspnet/XRE,closed,3426,cd3cf8725d67b074ad4d86fd96c755275da0e0d3,misc/CompileModuleWithDependencies/src/A.CompileModule/project.json,modified,2,2,NULL,2017-03-16 02:44:28,2017-03-16 02:44:28,2017-03-16 02:46:42,NA,,
aspnet/XRE,closed,3426,b0b2ce7e97b2b61cbca5c45e9160439a4498bec6,misc/CompileModuleWithDependencies/src/A/project.json,modified,1,1,NULL,2017-03-16 02:44:28,2017-03-16 02:44:28,2017-03-16 02:46:42,NA,,
aspnet/XRE,closed,3426,6c0e9cd837aebd2dcb9c3492ed8c87a39486d0e1,misc/DependencyGraphsFeed/src/DependencyA/project.json,modified,8,8,NULL,2017-03-16 02:44:28,2017-03-16 02:44:28,2017-03-16 02:46:42,NA,,
aspnet/XRE,closed,3426,baa4cf9f525cb6687abb501fa35f6805a086e7dd,misc/DependencyGraphsFeed/src/DependencyB/project.json,modified,5,5,NULL,2017-03-16 02:44:28,2017-03-16 02:44:28,2017-03-16 02:46:42,NA,,
aspnet/XRE,closed,3426,c1ce4b060ecbfb6a08284740802073c82d052d32,misc/DependencyGraphsProject/src/SimpleChain/project.json,modified,8,8,NULL,2017-03-16 02:44:28,2017-03-16 02:44:28,2017-03-16 02:46:42,NA,,
aspnet/XRE,closed,3426,a682332f0afdf3695911029421194f8dc2316841,misc/DependencyTargets/src/A/project.json,modified,21,1,NULL,2017-03-16 02:44:28,2017-03-16 02:44:28,2017-03-16 02:46:42,NA,,
aspnet/XRE,closed,3426,95d6fd69e2e18a966fa524ad453750c0e8bf694a,misc/DependencyTargets/src/App/project.json,modified,25,1,NULL,2017-03-16 02:44:28,2017-03-16 02:44:28,2017-03-16 02:46:42,NA,,
aspnet/XRE,closed,3426,a682332f0afdf3695911029421194f8dc2316841,misc/DependencyTargets/src/B/project.json,modified,21,1,NULL,2017-03-16 02:44:28,2017-03-16 02:44:28,2017-03-16 02:46:42,NA,,
aspnet/XRE,closed,3386,57c68a7262e4090ee427a51e4bcd835616a9f992,src/Microsoft.Dnx.Host.CoreClr/DomainManager.cs,modified,2,1,chuckbeasley,2016-03-17 15:27:20,2016-03-17 15:27:20,2016-04-28 18:52:00,NA,,
aspnet/XRE,closed,3386,2303b3e49b693f55fc697f918bb46e3bbc0d97a7,src/Microsoft.Dnx.Host/FrameworkNameUtility.cs,modified,5,0,chuckbeasley,2016-03-17 15:27:20,2016-03-17 15:27:20,2016-04-28 18:52:00,NA,,
aspnet/XRE,closed,3386,f5587b70d35a1ce0ad3bb90179a69cae3d77e606,src/Microsoft.Dnx.Runtime.Sources/Impl/FrameworkNames.cs,modified,4,0,chuckbeasley,2016-03-17 15:27:20,2016-03-17 15:27:20,2016-04-28 18:52:00,NA,,
aspnet/XRE,closed,3386,db0e278c94d673c676f15a3249621abd6307aa26,src/Microsoft.Dnx.Runtime/NuGet/Utility/DotNetGenerationMapping.cs,modified,9,0,chuckbeasley,2016-03-17 15:27:20,2016-03-17 15:27:20,2016-04-28 18:52:00,NA,,
aspnet/XRE,closed,3386,52972230f55bdd08d9f0b22f8de12c63f6bfa4d6,src/Microsoft.Dnx.Runtime/NuGet/Utility/VersionUtility.cs,modified,7,0,chuckbeasley,2016-03-17 15:27:20,2016-03-17 15:27:20,2016-04-28 18:52:00,NA,,
aspnet/XRE,closed,3379,4b29cb190ccf9d8a8deb0b6dae530582f82022d7,.gitignore,modified,1,0,pakrym,2016-03-13 16:51:42,2016-03-13 16:51:42,2016-03-15 00:30:33,2016-03-15 00:30:33,,
aspnet/XRE,closed,3379,7a4a38dbf07a9596d9470ef913d4b8869e8d403d,DNX.sln,modified,84,1,pakrym,2016-03-13 16:51:42,2016-03-13 16:51:42,2016-03-15 00:30:33,2016-03-15 00:30:33,,
aspnet/XRE,closed,3379,3009ca79362b9c10e84baed2857f3304ece1250f,makefile.shade,modified,3,0,pakrym,2016-03-13 16:51:42,2016-03-13 16:51:42,2016-03-15 00:30:33,2016-03-15 00:30:33,,
aspnet/XRE,closed,3367,7dae68e1c77c0d402dc886bd147eeeeed1112c6d,makefile.shade,modified,1,1,BrennanConroy,2016-02-26 17:38:15,2016-02-26 17:38:15,2016-03-01 16:58:15,2016-03-01 16:58:15,,
aspnet/XRE,closed,3367,6784f93e0a0947e7def2e0ea36a5070490f56f41,src/Microsoft.Dnx.Host.CoreClr/DomainManager.cs,modified,56,1,BrennanConroy,2016-02-26 17:38:15,2016-02-26 17:38:15,2016-03-01 16:58:15,2016-03-01 16:58:15,,
aspnet/XRE,closed,3367,68404a18adf1d496b15f82837666b3b6108fbe16,src/Microsoft.Dnx.Host.CoreClr/project.json,modified,4,2,BrennanConroy,2016-02-26 17:38:15,2016-02-26 17:38:15,2016-03-01 16:58:15,2016-03-01 16:58:15,,
aspnet/XRE,closed,3367,c3525ff7fcaff1cce002fec0f04eb734a72dfb40,src/Microsoft.Dnx.Host/FrameworkNameUtility.cs,modified,5,0,BrennanConroy,2016-02-26 17:38:15,2016-02-26 17:38:15,2016-03-01 16:58:15,2016-03-01 16:58:15,,
aspnet/XRE,closed,3367,98034665cb6850c2b13551009193e22765dcd147,src/Microsoft.Dnx.Runtime.Sources/Impl/FrameworkNames.cs,modified,5,0,BrennanConroy,2016-02-26 17:38:15,2016-02-26 17:38:15,2016-03-01 16:58:15,2016-03-01 16:58:15,,
