Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
aspnet/XRE,closed,3426,7adcaefb8263c00c82a62708da65e55700675c8a,misc/ApplicationHostTestProjects/global.json,modified,3,2,NULL,2017-03-16 02:44:28,2017-03-16 02:44:28,2017-03-16 02:46:42,NA,,
aspnet/XRE,closed,3426,afec5a532fffac5d4118e2d748928ab14dfab6de,misc/ApplicationHostTestProjects/src/CompilationException/project.json,modified,6,2,NULL,2017-03-16 02:44:28,2017-03-16 02:44:28,2017-03-16 02:46:42,NA,,
aspnet/XRE,closed,3426,92f2dccc2872b8adc9e27bc70fe0a9d97807cb37,misc/ApplicationHostTestProjects/src/CompilationExceptionInMain/project.json,modified,10,2,NULL,2017-03-16 02:44:28,2017-03-16 02:44:28,2017-03-16 02:46:42,NA,,
aspnet/XRE,closed,3426,37fbd57fa39eddad2b79a43d508fa650296b0f56,misc/AssemblyInfo/src/Test/project.json,modified,3,3,NULL,2017-03-16 02:44:28,2017-03-16 02:44:28,2017-03-16 02:46:42,NA,,
aspnet/XRE,closed,3426,707e03faf5e70d663bdf47f76e952c679edf9a89,misc/BootstrapperSolution/src/TesterProgram/project.json,modified,10,3,NULL,2017-03-16 02:44:28,2017-03-16 02:44:28,2017-03-16 02:46:42,NA,,
aspnet/XRE,closed,3426,4f6de7082d1cbc4a03b289fc09f0e8702ea60b3b,misc/DllImportTestProjects/src/NativeLib/project.json,modified,5,7,NULL,2017-03-16 02:44:28,2017-03-16 02:44:28,2017-03-16 02:46:42,NA,,
aspnet/XRE,closed,3426,d1de4ae7b4dd28987af0cae039f001c549c28df0,misc/DllImportTestProjects/src/PackageReferenceTest/project.json,modified,13,13,NULL,2017-03-16 02:44:28,2017-03-16 02:44:28,2017-03-16 02:46:42,NA,,
aspnet/XRE,closed,3426,2c2d831d10559afd5f60aa92d65d66ba69e10238,misc/DllImportTestProjects/src/ProjectReferenceTest/project.json,modified,10,13,NULL,2017-03-16 02:44:28,2017-03-16 02:44:28,2017-03-16 02:46:42,NA,,
aspnet/XRE,closed,3426,b1224d74d44212e54341148cbb8130c4c0dad3d6,misc/DnuPublishTestApps/ConsoleAppReferencingWrappedProject/src/ConsoleAppReferencingWrappedProject/project.json,modified,3,6,NULL,2017-03-16 02:44:28,2017-03-16 02:44:28,2017-03-16 02:46:42,NA,,
aspnet/XRE,closed,3426,1ec42291d4238ac7991ea425a06d5e42aa8fdef4,misc/DnuWrapTestSolutions/ConsoleApp1/src/ConsoleApp1/project.json,modified,11,11,NULL,2017-03-16 02:44:28,2017-03-16 02:44:28,2017-03-16 02:46:42,NA,,
aspnet/XRE,closed,3426,f38b19fa6fbb02684570fa2085c6eab399327d07,misc/DnuWrapTestSolutions/ConsoleApp1/src/LibraryAlpha/project.json,modified,9,11,NULL,2017-03-16 02:44:28,2017-03-16 02:44:28,2017-03-16 02:46:42,NA,,
aspnet/XRE,closed,3426,51bc837c298fc1825431e207cff72b3d1f9a566f,misc/DnuWrapTestSolutions/ConsoleApp1/src/LibraryBeta/project.json,modified,4,7,NULL,2017-03-16 02:44:28,2017-03-16 02:44:28,2017-03-16 02:46:42,NA,,
aspnet/XRE,closed,3426,583172f4f0f28001fc05c5118196ebb2d87b1274,misc/DnuWrapTestSolutions/WrapAndPublish/src/DnxConsoleApp/project.json,modified,11,11,NULL,2017-03-16 02:44:28,2017-03-16 02:44:28,2017-03-16 02:46:42,NA,,
aspnet/XRE,closed,3426,c4b7e3301b4f1caca3f37f076f23c341679f29eb,misc/DthTestProjects/src/BrokenProjectPathSample/project.json,modified,7,7,NULL,2017-03-16 02:44:28,2017-03-16 02:44:28,2017-03-16 02:46:42,NA,,
aspnet/XRE,closed,3426,ca3f43f19b7d7afc6667c5497c97ea7fd1c40a64,misc/DthTestProjects/src/EmptyConsoleApp/project.json,modified,8,3,NULL,2017-03-16 02:44:28,2017-03-16 02:44:28,2017-03-16 02:46:42,NA,,
aspnet/XRE,closed,3426,fe6849df76d1c0d66868a67844557016bb483961,misc/DthTestProjects/src/EmptyLibrary/project.json,modified,7,2,NULL,2017-03-16 02:44:28,2017-03-16 02:44:28,2017-03-16 02:46:42,NA,,
aspnet/XRE,closed,3386,87d4d1714478bf4fc2a3137c5aa47fa882272370,test/Microsoft.Dnx.Runtime.Tests/VersionUtilityFacts.cs,modified,7,0,chuckbeasley,2016-03-17 15:27:20,2016-03-17 15:27:20,2016-04-28 18:52:00,NA,,
aspnet/XRE,closed,3379,c68488e8040b4437fe9555f1d990ca8cf03d36e3,src/Microsoft.Dnx.TestHost.Client.Sources/DNX.cs,added,47,0,pakrym,2016-03-13 16:51:42,2016-03-13 16:51:42,2016-03-15 00:30:33,2016-03-15 00:30:33,,
aspnet/XRE,closed,3379,298e1c1f659f4aec79e3b6621fac6b561e73af70,src/Microsoft.Dnx.TestHost.Client.Sources/Microsoft.Dnx.TestHost.Client.Sources.xproj,added,23,0,pakrym,2016-03-13 16:51:42,2016-03-13 16:51:42,2016-03-15 00:30:33,2016-03-15 00:30:33,,
aspnet/XRE,closed,3379,71b0399de6b0606115f76820242d0b4b6573d7e7,src/Microsoft.Dnx.TestHost.Client.Sources/TestHostWrapper.cs,added,293,0,pakrym,2016-03-13 16:51:42,2016-03-13 16:51:42,2016-03-15 00:30:33,2016-03-15 00:30:33,,
aspnet/XRE,closed,3379,414c8921c1ab7e53a060b16f863d2ec4589ee1a2,src/Microsoft.Dnx.TestHost.Client.Sources/project.json,added,19,0,pakrym,2016-03-13 16:51:42,2016-03-13 16:51:42,2016-03-15 00:30:33,2016-03-15 00:30:33,,
aspnet/XRE,closed,3379,82f0a8a2d62f80728294455f272d7a9cd179d5a1,src/Microsoft.Dnx.TestHost/DIA/DataKind.cs,added,19,0,pakrym,2016-03-13 16:51:42,2016-03-13 16:51:42,2016-03-15 00:30:33,2016-03-15 00:30:33,,
aspnet/XRE,closed,3379,8bd91c8e264db1a1dc195cf4ebd39965241ff7df,src/Microsoft.Dnx.TestHost/DIA/DiaDataSource.cs,added,14,0,pakrym,2016-03-13 16:51:42,2016-03-13 16:51:42,2016-03-15 00:30:33,2016-03-15 00:30:33,,
aspnet/XRE,closed,3379,4287eef6ff97b8cb48f807c793f8130682daf7ee,src/Microsoft.Dnx.TestHost/DIA/IDiaDataSource.cs,added,35,0,pakrym,2016-03-13 16:51:42,2016-03-13 16:51:42,2016-03-15 00:30:33,2016-03-15 00:30:33,,
aspnet/XRE,closed,3379,4fd230d01c33f5124469ebb160313b2e2b7b340a,src/Microsoft.Dnx.TestHost/DIA/IDiaEnumDebugStreamData.cs,added,41,0,pakrym,2016-03-13 16:51:42,2016-03-13 16:51:42,2016-03-15 00:30:33,2016-03-15 00:30:33,,
aspnet/XRE,closed,3379,976095b264668b8d92fcc0a821e3fa14d4d16a3f,src/Microsoft.Dnx.TestHost/DIA/IDiaEnumDebugStreams.cs,added,36,0,pakrym,2016-03-13 16:51:42,2016-03-13 16:51:42,2016-03-15 00:30:33,2016-03-15 00:30:33,,
aspnet/XRE,closed,3379,c3d8dd8af9da7a74ace8691f9cde85b3bd1c313e,src/Microsoft.Dnx.TestHost/DIA/IDiaEnumInjectedSources.cs,added,35,0,pakrym,2016-03-13 16:51:42,2016-03-13 16:51:42,2016-03-15 00:30:33,2016-03-15 00:30:33,,
aspnet/XRE,closed,3379,775bb0204c510f481dbe811bddac6c7335cc7665,src/Microsoft.Dnx.TestHost/DIA/IDiaEnumInputAssemblyFiles.cs,added,35,0,pakrym,2016-03-13 16:51:42,2016-03-13 16:51:42,2016-03-15 00:30:33,2016-03-15 00:30:33,,
aspnet/XRE,closed,3379,21ea6819cace9d5e1324aea48a7b6e7ee3b0a126,src/Microsoft.Dnx.TestHost/DIA/IDiaEnumLineNumbers.cs,added,35,0,pakrym,2016-03-13 16:51:42,2016-03-13 16:51:42,2016-03-15 00:30:33,2016-03-15 00:30:33,,
aspnet/XRE,closed,3379,16e2fe56ccf30b824856e8f43e769ee7bd76fae7,src/Microsoft.Dnx.TestHost/DIA/IDiaEnumSourceFiles.cs,added,35,0,pakrym,2016-03-13 16:51:42,2016-03-13 16:51:42,2016-03-15 00:30:33,2016-03-15 00:30:33,,
aspnet/XRE,closed,3379,86bf37465c2aa7c02d75595d4d803104a9414a55,src/Microsoft.Dnx.TestHost/DIA/IDiaEnumSymbols.cs,added,35,0,pakrym,2016-03-13 16:51:42,2016-03-13 16:51:42,2016-03-15 00:30:33,2016-03-15 00:30:33,,
aspnet/XRE,closed,3379,896a614a08c62e7994a73f88027357ab2023c7a1,src/Microsoft.Dnx.TestHost/DIA/IDiaEnumSymbolsByAddr.cs,added,29,0,pakrym,2016-03-13 16:51:42,2016-03-13 16:51:42,2016-03-15 00:30:33,2016-03-15 00:30:33,,
aspnet/XRE,closed,3379,f7136449cfcaf52bdcea477713410ff10c9dd4b2,src/Microsoft.Dnx.TestHost/DIA/IDiaEnumTables.cs,added,35,0,pakrym,2016-03-13 16:51:42,2016-03-13 16:51:42,2016-03-15 00:30:33,2016-03-15 00:30:33,,
aspnet/XRE,closed,3379,bc7aba9629ed6a3fee9368c6dd66a1a955dfabb1,src/Microsoft.Dnx.TestHost/DIA/IDiaInjectedSource.cs,added,55,0,pakrym,2016-03-13 16:51:42,2016-03-13 16:51:42,2016-03-15 00:30:33,2016-03-15 00:30:33,,
aspnet/XRE,closed,3379,2424c2e4a5d5f473f460992437c2d0a2e865b513,src/Microsoft.Dnx.TestHost/DIA/IDiaInputAssemblyFile.cs,added,47,0,pakrym,2016-03-13 16:51:42,2016-03-13 16:51:42,2016-03-15 00:30:33,2016-03-15 00:30:33,,
aspnet/XRE,closed,3379,11541abf23db7d4d8b1fc31b5a57afa489ff4c57,src/Microsoft.Dnx.TestHost/DIA/IDiaLineNumber.cs,added,100,0,pakrym,2016-03-13 16:51:42,2016-03-13 16:51:42,2016-03-15 00:30:33,2016-03-15 00:30:33,,
aspnet/XRE,closed,3379,03c823290ebe472f64f00eeb5d410b35e2979708,src/Microsoft.Dnx.TestHost/DIA/IDiaSession.cs,added,130,0,pakrym,2016-03-13 16:51:42,2016-03-13 16:51:42,2016-03-15 00:30:33,2016-03-15 00:30:33,,
aspnet/XRE,closed,3379,50da7556d7e165abe3148c3d574963a0879ba20d,src/Microsoft.Dnx.TestHost/DIA/IDiaSourceFile.cs,added,43,0,pakrym,2016-03-13 16:51:42,2016-03-13 16:51:42,2016-03-15 00:30:33,2016-03-15 00:30:33,,
aspnet/XRE,closed,3379,520a10da6b1fc7733eed4db154c775cd89215f4f,src/Microsoft.Dnx.TestHost/DIA/IDiaSymbol.cs,added,1269,0,pakrym,2016-03-13 16:51:42,2016-03-13 16:51:42,2016-03-15 00:30:33,2016-03-15 00:30:33,,
aspnet/XRE,closed,3379,8b12e5f5736f9af9edd539ebcee35bc4a0929cf1,src/Microsoft.Dnx.TestHost/DIA/IDiaTable.cs,added,41,0,pakrym,2016-03-13 16:51:42,2016-03-13 16:51:42,2016-03-15 00:30:33,2016-03-15 00:30:33,,
aspnet/XRE,closed,3379,37bd4429ce182e878bee7e875b83760b8e072262,src/Microsoft.Dnx.TestHost/DIA/IEnumUnknown.cs,added,21,0,pakrym,2016-03-13 16:51:42,2016-03-13 16:51:42,2016-03-15 00:30:33,2016-03-15 00:30:33,,
aspnet/XRE,closed,3379,9296633eaf9d737e5df28e95a8daaa27b87cd83b,src/Microsoft.Dnx.TestHost/DIA/ISequentialStream.cs,added,18,0,pakrym,2016-03-13 16:51:42,2016-03-13 16:51:42,2016-03-15 00:30:33,2016-03-15 00:30:33,,
aspnet/XRE,closed,3379,b9242698127b47bec1c64105649fab6aee553927,src/Microsoft.Dnx.TestHost/DIA/IStream.cs,added,35,0,pakrym,2016-03-13 16:51:42,2016-03-13 16:51:42,2016-03-15 00:30:33,2016-03-15 00:30:33,,
aspnet/XRE,closed,3379,a70890a923ade774565fafdfb0df50756c599b49,src/Microsoft.Dnx.TestHost/DIA/StreamWrapper.cs,added,80,0,pakrym,2016-03-13 16:51:42,2016-03-13 16:51:42,2016-03-15 00:30:33,2016-03-15 00:30:33,,
aspnet/XRE,closed,3367,498bc68f603b8877905bfa6d66643cf87fcf5812,test/Microsoft.Dnx.Runtime.Tests/DependencyManagement/ProjectReferenceDependencyResolverFacts.cs,modified,1,1,BrennanConroy,2016-02-26 17:38:15,2016-02-26 17:38:15,2016-03-01 16:58:15,2016-03-01 16:58:15,,
aspnet/XRE,closed,3367,5767ab36adcd0445f6b062147d3b5b3919e78ded,test/Microsoft.Dnx.Runtime.Tests/VersionUtilityFacts.cs,modified,31,0,BrennanConroy,2016-02-26 17:38:15,2016-02-26 17:38:15,2016-03-01 16:58:15,2016-03-01 16:58:15,,
aspnet/XRE,closed,3350,2172f71083632c00228b0994f992a089638f1d9f,test/Microsoft.Dnx.CommonTestUtils/project.json,modified,1,1,BrennanConroy,2016-02-04 23:22:20,2016-02-04 23:22:20,2016-02-05 18:27:44,2016-02-05 18:27:44,,
aspnet/XRE,closed,3350,e6d38ea802429b06731109df4389e5d7b488079f,test/Microsoft.Dnx.DesignTimeHost.FunctionalTests/project.json,modified,1,1,BrennanConroy,2016-02-04 23:22:20,2016-02-04 23:22:20,2016-02-05 18:27:44,2016-02-05 18:27:44,,
aspnet/XRE,closed,3350,5d5ac7921f03a12bd3111c5664ba3afa39d4cde6,test/Microsoft.Dnx.Testing.Framework/project.json,modified,1,1,BrennanConroy,2016-02-04 23:22:20,2016-02-04 23:22:20,2016-02-05 18:27:44,2016-02-05 18:27:44,,
aspnet/XRE,closed,3292,e0638899b3f48ade069ca527920dbf00e6d158cd,test/Microsoft.Dnx.Tooling.FunctionalTests/DnuPublishTests.cs,modified,1,1,mconnew,2015-12-31 19:36:16,2015-12-31 19:36:16,2015-12-31 19:47:12,2015-12-31 19:47:12,,
aspnet/XRE,closed,3277,26f0dcb6c789321682f1515528a4981e4465bef6,test/dnx.tests/dnxtests.cpp,modified,1,1,hinaria,2015-12-22 01:48:52,2015-12-22 01:48:52,2016-02-04 18:06:06,NA,,
aspnet/XRE,closed,3277,426f7721ba68bdee9cfbe850913ddaf7fff5d805,test/dnx.tests/stdafx.h,modified,0,1,hinaria,2015-12-22 01:48:52,2015-12-22 01:48:52,2016-02-04 18:06:06,NA,,
aspnet/XRE,closed,3276,32112f6b7823f8275eedb8e82af8bfb192c58bbb,misc/DllImportTestProjects/src/Program.cs,modified,1,1,jamesqo,2015-12-21 23:32:47,2015-12-21 23:32:47,2015-12-22 00:57:19,2015-12-22 00:57:19,,
aspnet/XRE,closed,3276,29a398bb2a8d501ef31aeac7193dd6ef420efd4e,test/Microsoft.Dnx.ApplicationHost.FunctionalTests/DllImportTests.cs,modified,1,1,jamesqo,2015-12-21 23:32:47,2015-12-21 23:32:47,2015-12-22 00:57:19,2015-12-22 00:57:19,,
aspnet/XRE,closed,3276,3102848e4c944fdc07b3d654fd53b3010a165526,test/Microsoft.Dnx.CommonTestUtils/DisposableDir.cs,modified,1,1,jamesqo,2015-12-21 23:32:47,2015-12-21 23:32:47,2015-12-22 00:57:19,2015-12-22 00:57:19,,
aspnet/XRE,closed,3268,52c9739532c54116b4184218779e490c796d906a,test/Microsoft.Dnx.Host.Tests/Microsoft.Dnx.Host.Tests.xproj,removed,0,20,BrennanConroy,2015-12-17 21:51:57,2015-12-17 21:51:57,2015-12-17 22:00:53,2015-12-17 22:00:53,,
aspnet/XRE,closed,3268,8999a27c75b560581d7bb70b878e1bdddeff7380,test/Microsoft.Dnx.Host.Tests/RuntimeEnvironmentTests.cs,removed,0,183,BrennanConroy,2015-12-17 21:51:57,2015-12-17 21:51:57,2015-12-17 22:00:53,2015-12-17 22:00:53,,
aspnet/XRE,closed,3268,aba44ace8c85849f14ca1635bdd7c3afa5b8df66,test/Microsoft.Dnx.Host.Tests/project.json,removed,0,17,BrennanConroy,2015-12-17 21:51:57,2015-12-17 21:51:57,2015-12-17 22:00:53,2015-12-17 22:00:53,,
aspnet/XRE,closed,3268,159dec377be6853b069803e2980e1f4133e321aa,test/Microsoft.Dnx.Runtime.Tests/NativeLibPathUitlsFacts.cs,modified,29,26,BrennanConroy,2015-12-17 21:51:57,2015-12-17 21:51:57,2015-12-17 22:00:53,2015-12-17 22:00:53,,
aspnet/XRE,closed,3257,d67dac5e2c27f859d4c2298946972631ecf7c32d,test/Microsoft.Extensions.CommandLineUtils.Sources.Tests/CommandLineApplicationTests.cs,removed,0,430,moozzyk,2015-12-14 17:49:32,2015-12-14 17:49:32,2016-01-13 06:43:35,NA,,
aspnet/XRE,closed,3257,fde7ac33a82d5666d3fba3218f6ffefd7def2c69,test/Microsoft.Extensions.CommandLineUtils.Sources.Tests/Microsoft.Extensions.CommandLineUtils.Sources.Tests.xproj,removed,0,20,moozzyk,2015-12-14 17:49:32,2015-12-14 17:49:32,2016-01-13 06:43:35,NA,,
aspnet/XRE,closed,3257,09197622359c8c636f4b2fa9bf97737529974ca0,test/Microsoft.Extensions.CommandLineUtils.Sources.Tests/project.json,removed,0,16,moozzyk,2015-12-14 17:49:32,2015-12-14 17:49:32,2016-01-13 06:43:35,NA,,
aspnet/XRE,closed,3253,a50835ff74807c9424750a3592d6bb9588c5a5bc,test/Microsoft.Dnx.DesignTimeHost.FunctionalTests/DthStartupTests.cs,modified,0,1,BrennanConroy,2015-12-13 00:08:11,2015-12-13 00:08:11,2015-12-13 00:45:14,2015-12-13 00:45:14,,
aspnet/XRE,closed,3253,201e31151b6a7546c6729ecca6facba49cfbd10c,test/Microsoft.Dnx.Runtime.Tests/LibraryManagerFacts.cs,modified,0,1,BrennanConroy,2015-12-13 00:08:11,2015-12-13 00:08:11,2015-12-13 00:45:14,2015-12-13 00:45:14,,
aspnet/XRE,closed,3253,59429fb3710a3924d1de27240f2aa0a990cb565a,test/Microsoft.Dnx.Testing.Framework/DnxSdk/Dth/DthTestClient.cs,modified,3,3,BrennanConroy,2015-12-13 00:08:11,2015-12-13 00:08:11,2015-12-13 00:45:14,2015-12-13 00:45:14,,
aspnet/XRE,closed,3225,b60962eaaf13e19eafe95d44b4768a540e22cace,test/Microsoft.Extensions.CommandLineUtils.Sources.Tests/CommandLineApplicationTests.cs,modified,21,0,cesarbs,2015-12-03 19:05:18,2015-12-03 19:05:18,2015-12-03 20:34:03,NA,,
aspnet/XRE,closed,3225,5ab0c1827385b98f2f8640c673b0e6e99bbdc8a7,test/Microsoft.Extensions.CommandLineUtils.Sources.Tests/project.json,modified,6,5,cesarbs,2015-12-03 19:05:18,2015-12-03 19:05:18,2015-12-03 20:34:03,NA,,
aspnet/XRE,closed,3188,4bc1d5f6dc0321e4ce634d8bff8778ae77265721,test/Microsoft.Dnx.Compilation.CSharp.Tests/RoslynCompilerTest.cs,modified,2,1,anurse,2015-11-20 21:48:15,2015-11-20 21:48:15,2015-11-24 16:54:27,2015-11-24 16:54:27,,
