Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
dotnet/orleans,open,5290,e5e50461c6762bcb62215ef42381791ed92f7104,src/Orleans.Runtime/Catalog/ActivationCollector.cs,modified,0,16,xiazen,2019-01-02 23:51:36,2019-01-02 23:51:36,0,0,,
dotnet/orleans,open,5290,1c2091300408c9e43970da7ed3b9580e7972c9cf,src/Orleans.Runtime/Configuration/Validators/CollectionAgeLimitValidator.cs,modified,21,4,xiazen,2019-01-02 23:51:36,2019-01-02 23:51:36,0,0,,
dotnet/orleans,open,5290,d77ff795b36e54491a6a8c91c5ffa29ce0b0f4e7,src/Orleans.Runtime/Hosting/DefaultSiloServices.cs,modified,1,1,xiazen,2019-01-02 23:51:36,2019-01-02 23:51:36,0,0,,
dotnet/orleans,open,5261,db21992a5c6689d6a9be93d63322b00e60332fc6,Directory.Build.props,modified,3,1,xiazen,2018-12-14 15:45:18,2018-12-14 15:45:18,0,0,,
dotnet/orleans,open,5261,73e1f65ccde3a628a844e14f21567a369d6dc847,Samples/2.2/Directory.Build.props,added,7,0,xiazen,2018-12-14 15:45:18,2018-12-14 15:45:18,0,0,,
dotnet/orleans,open,5261,521b656357aaaeb09bafc1b8727836f2180ddc2e,Samples/2.2/GenericHost/BuildAndRun.ps1,added,22,0,xiazen,2018-12-14 15:45:18,2018-12-14 15:45:18,0,0,,
dotnet/orleans,open,5261,dafd212501e478d9dffb9abe688d40cddc7f78ad,Samples/2.2/GenericHost/BuildAndRun.sh,added,10,0,xiazen,2018-12-14 15:45:18,2018-12-14 15:45:18,0,0,,
dotnet/orleans,open,5261,73671572645ccb8f259199cad97c162aaa5b6359,Samples/2.2/GenericHost/GenericHost.sln,added,50,0,xiazen,2018-12-14 15:45:18,2018-12-14 15:45:18,0,0,,
dotnet/orleans,open,5261,b6be15e94e252391d77d425269a7db50e2709b08,Samples/2.2/GenericHost/Readme.md,added,40,0,xiazen,2018-12-14 15:45:18,2018-12-14 15:45:18,0,0,,
dotnet/orleans,open,5261,9328485cbf6712be6af13c5db871d719d369f4f9,Samples/2.2/GenericHost/src/HelloWorld.Grains/HelloArchiveGrain.cs,added,29,0,xiazen,2018-12-14 15:45:18,2018-12-14 15:45:18,0,0,,
dotnet/orleans,open,5261,e833f4d2ad04f772b015cef529dcc4c5a50609fa,Samples/2.2/GenericHost/src/HelloWorld.Grains/HelloGrain.cs,added,25,0,xiazen,2018-12-14 15:45:18,2018-12-14 15:45:18,0,0,,
dotnet/orleans,open,5261,28409d097aaa3845411acf43dd404e0ad48e174a,Samples/2.2/GenericHost/src/HelloWorld.Grains/HelloWorld.Grains.csproj,added,15,0,xiazen,2018-12-14 15:45:18,2018-12-14 15:45:18,0,0,,
dotnet/orleans,open,5261,02882d0748cc2c1e8f4937e6b34ab4dfce929250,Samples/2.2/GenericHost/src/HelloWorld.Interfaces/HelloWorld.Interfaces.csproj,added,11,0,xiazen,2018-12-14 15:45:18,2018-12-14 15:45:18,0,0,,
dotnet/orleans,open,5261,ae2b7163dce2a8a4e484c023b58a7bf5d765b763,Samples/2.2/GenericHost/src/HelloWorld.Interfaces/IHello.cs,added,12,0,xiazen,2018-12-14 15:45:18,2018-12-14 15:45:18,0,0,,
dotnet/orleans,open,5261,2901a67ebc3bcb89157756f7ddfc06daa2840483,Samples/2.2/GenericHost/src/HelloWorld.Interfaces/IHelloArchive.cs,added,15,0,xiazen,2018-12-14 15:45:18,2018-12-14 15:45:18,0,0,,
dotnet/orleans,open,5261,96cee16466816a3cba28436ea99867c080de2ed4,Samples/2.2/GenericHost/src/OrleansClient/OrleansClient.csproj,added,19,0,xiazen,2018-12-14 15:45:18,2018-12-14 15:45:18,0,0,,
dotnet/orleans,open,5261,ec8b1eb096d345dcf22eb100441fab2e98561e8d,Samples/2.2/GenericHost/src/OrleansClient/Program.cs,added,88,0,xiazen,2018-12-14 15:45:18,2018-12-14 15:45:18,0,0,,
dotnet/orleans,open,5261,a51d37fdec7f2bdb6d3a75dbd7ae0ffb44f7e28f,Samples/2.2/GenericHost/src/SiloHost/Program.cs,added,47,0,xiazen,2018-12-14 15:45:18,2018-12-14 15:45:18,0,0,,
dotnet/orleans,open,5261,05e84cecf7c3584407c7d77f72615c44d2243b1e,Samples/2.2/GenericHost/src/SiloHost/SiloHost.csproj,added,24,0,xiazen,2018-12-14 15:45:18,2018-12-14 15:45:18,0,0,,
dotnet/orleans,open,5261,cce268b21e460d5e1ffade0656634dc1fdb1f254,src/AWS/Orleans.Clustering.DynamoDB/AWSUtilsHostingExtensions.cs,modified,52,0,xiazen,2018-12-14 15:45:18,2018-12-14 15:45:18,0,0,,
dotnet/orleans,open,5261,d0246c68903071be4dab9b99a77a444c3bf304f1,src/AWS/Orleans.Clustering.DynamoDB/Membership/LegacyDynamoDBMembershipConfigurator.cs,modified,11,0,xiazen,2018-12-14 15:45:18,2018-12-14 15:45:18,0,0,,
dotnet/orleans,open,5261,4ae96b4aae2c17730dfa0853ea09c01ec074b26b,src/AWS/Orleans.Persistence.DynamoDB/Hosting/DynamoDBSiloBuilderExtensions.cs,modified,32,0,xiazen,2018-12-14 15:45:18,2018-12-14 15:45:18,0,0,,
dotnet/orleans,open,5261,a8eb4b88be4ee599364a47afefcff9fd012fda9d,src/AWS/Orleans.Reminders.DynamoDB/LegacySiloReminderConfigurationAdapter.cs,modified,7,0,xiazen,2018-12-14 15:45:18,2018-12-14 15:45:18,0,0,,
dotnet/orleans,open,5261,67bad2cc77057d11222cce6273c0729f05b3bd8f,src/AWS/Orleans.Reminders.DynamoDB/SiloHostBuilderReminderExtensions.cs,modified,18,0,xiazen,2018-12-14 15:45:18,2018-12-14 15:45:18,0,0,,
dotnet/orleans,open,5261,ed9b370d642759f89e4f10e893d2eb019d9e9999,src/AWS/Orleans.Streaming.SQS/Hosting/SiloBuilderExtensions.cs,modified,26,2,xiazen,2018-12-14 15:45:18,2018-12-14 15:45:18,0,0,,
dotnet/orleans,open,5261,64f417286eb71c4ee0d7b7274a4d61b3e9771d98,src/AWS/Orleans.Streaming.SQS/Streams/SQSStreamBuilder.cs,modified,17,15,xiazen,2018-12-14 15:45:18,2018-12-14 15:45:18,0,0,,
dotnet/orleans,open,5261,ea8c8da37e40c26039a9a0a7f04d04e31dafc92b,src/AdoNet/Orleans.Clustering.AdoNet/AdoNetHostingExtensions.cs,modified,54,0,xiazen,2018-12-14 15:45:18,2018-12-14 15:45:18,0,0,,
dotnet/orleans,open,5261,3ae3d8783c510d89258804f854c55f3743b0fa51,src/AdoNet/Orleans.Clustering.AdoNet/Messaging/LegacyAdoNetClusteringConfigurator.cs,modified,10,0,xiazen,2018-12-14 15:45:18,2018-12-14 15:45:18,0,0,,
dotnet/orleans,open,5261,1ee31fce945dabd4b8f9c7c30449b4e67c7ee9df,src/AdoNet/Orleans.Persistence.AdoNet/Storage/Provider/SiloBuilderExtensions.cs,modified,32,0,xiazen,2018-12-14 15:45:18,2018-12-14 15:45:18,0,0,,
dotnet/orleans,open,5261,fec37c389c0ab3a7164583e98896748539967a9f,src/AdoNet/Orleans.Reminders.AdoNet/LegacySiloReminderConfigurationAdapter.cs,modified,12,0,xiazen,2018-12-14 15:45:18,2018-12-14 15:45:18,0,0,,
