Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
olga-jane/prizm,closed,957,31a2c9a8431cbc176fa4ab1697ff7dec5ba132f5,src/PrizmMainProject/Forms/PipeMill/Heat/HeatNumberXtraForm.Designer.cs,modified,22,24,NULL,2015-01-20 11:35:08,2015-01-20 11:35:08,2015-01-20 11:59:43,2015-01-20 11:59:43,,
olga-jane/prizm,closed,957,99499172e11cbe9893fd86d04049401515c801c3,src/PrizmMainProject/Forms/PipeMill/Heat/HeatNumberXtraForm.cs,modified,0,1,NULL,2015-01-20 11:35:08,2015-01-20 11:35:08,2015-01-20 11:59:43,2015-01-20 11:59:43,,
olga-jane/prizm,closed,957,cdcc7ddc86c1111e65de449079f17db5d6901e6b,src/PrizmMainProject/Forms/PipeMill/Heat/HeatViewModel.cs,modified,6,33,NULL,2015-01-20 11:35:08,2015-01-20 11:35:08,2015-01-20 11:59:43,2015-01-20 11:59:43,,
olga-jane/prizm,closed,957,59b3771c304f5f334d33ebc08a7f4571633a6f43,src/PrizmMainProject/Forms/PipeMill/Heat/HeatXtraForm.cs,modified,32,7,NULL,2015-01-20 11:35:08,2015-01-20 11:35:08,2015-01-20 11:59:43,2015-01-20 11:59:43,,
olga-jane/prizm,closed,957,c6a9d95186b619ae36844872032a9fc410a36e34,src/PrizmMainProject/Forms/PipeMill/NewEdit/MillPipeNewEditXtraForm.cs,modified,7,3,NULL,2015-01-20 11:35:08,2015-01-20 11:35:08,2015-01-20 11:59:43,2015-01-20 11:59:43,,
olga-jane/prizm,closed,952,9ffe9b1baeb1fb90866a010053e5dbe97d5f2d89,docproj/PRIZMA_Design.uml,modified,333,312,AleksMorozova,2015-01-20 09:54:04,2015-01-20 09:54:04,2015-01-20 10:00:30,2015-01-20 10:00:30,,
olga-jane/prizm,closed,952,01f9a7ddf474cf9eae5033277ca3a4d9374ad262,src/Data/DAL/ADO/MillReportsRepository.cs,modified,37,0,AleksMorozova,2015-01-20 09:54:04,2015-01-20 09:54:04,2015-01-20 10:00:30,2015-01-20 10:00:30,,
olga-jane/prizm,closed,952,9da9e32dc49ac5b0f992f70fdf3b7a928ec753f9,src/Data/DAL/ADO/SQLQueryString.cs,modified,29,2,AleksMorozova,2015-01-20 09:54:04,2015-01-20 09:54:04,2015-01-20 10:00:30,2015-01-20 10:00:30,,
olga-jane/prizm,closed,952,aa931578618e6006fec2039b8f9af4a7ec459861,src/Data/DAL/IMillReportsRepository.cs,modified,1,1,AleksMorozova,2015-01-20 09:54:04,2015-01-20 09:54:04,2015-01-20 10:00:30,2015-01-20 10:00:30,,
olga-jane/prizm,closed,952,1a11a155b23d9e3fbe995be4170c76d3e8693aac,src/Data/DAL/Mapping/CategoryMap.cs,modified,2,0,AleksMorozova,2015-01-20 09:54:04,2015-01-20 09:54:04,2015-01-20 10:00:30,2015-01-20 10:00:30,,
olga-jane/prizm,closed,952,de4a4b23643c5480afc05a21cb159fca4ff49161,src/Data/DAL/Mapping/PipeMap.cs,modified,3,0,AleksMorozova,2015-01-20 09:54:04,2015-01-20 09:54:04,2015-01-20 10:00:30,2015-01-20 10:00:30,,
olga-jane/prizm,closed,952,179281ee29738165ea7f3c00f60f840242a5b611,src/DatabaseMigrator/Scripts/CreateSchemeObjects.sql,modified,7,3,AleksMorozova,2015-01-20 09:54:04,2015-01-20 09:54:04,2015-01-20 10:00:30,2015-01-20 10:00:30,,
olga-jane/prizm,closed,952,1e8ee0e1d701f3e977946685099f1f28fdfa25b5,src/DatabaseMigrator/Scripts/fillDb.sql,modified,0,0,AleksMorozova,2015-01-20 09:54:04,2015-01-20 09:54:04,2015-01-20 10:00:30,2015-01-20 10:00:30,,
olga-jane/prizm,closed,952,226380a668b357eb226d62dc0376f02db0e8c7be,src/Domain/Domain.csproj,modified,2,0,AleksMorozova,2015-01-20 09:54:04,2015-01-20 09:54:04,2015-01-20 10:00:30,2015-01-20 10:00:30,,
olga-jane/prizm,closed,952,2be37e5704bcf7e05ee5b173356f238afedfdd60,src/Domain/Entity/Mill/Category.cs,modified,1,0,AleksMorozova,2015-01-20 09:54:04,2015-01-20 09:54:04,2015-01-20 10:00:30,2015-01-20 10:00:30,,
olga-jane/prizm,closed,952,c8f83f3b8a35e3045e2d7416d34a666b0300788a,src/Domain/Entity/Mill/Pipe.cs,modified,6,0,AleksMorozova,2015-01-20 09:54:04,2015-01-20 09:54:04,2015-01-20 10:00:30,2015-01-20 10:00:30,,
olga-jane/prizm,closed,952,0d2ff9e171abb78a6e189101016852ecf2c8acf7,src/Domain/Entity/Mill/PipeMillSubStatus.cs,added,29,0,AleksMorozova,2015-01-20 09:54:04,2015-01-20 09:54:04,2015-01-20 10:00:30,2015-01-20 10:00:30,,
olga-jane/prizm,closed,952,2e980635708c8acd6a71ba37c7870b0de1e4b095,src/Domain/Entity/Mill/ReportType.cs,modified,2,1,AleksMorozova,2015-01-20 09:54:04,2015-01-20 09:54:04,2015-01-20 10:00:30,2015-01-20 10:00:30,,
olga-jane/prizm,closed,952,3f6e37c50722c25e467a802bf9b785a3a287f137,src/Domain/Entity/Setup/FixedCategory.cs,added,18,0,AleksMorozova,2015-01-20 09:54:04,2015-01-20 09:54:04,2015-01-20 10:00:30,2015-01-20 10:00:30,,
olga-jane/prizm,closed,952,e2b598be00bc9599b3c01b9b252635bd52ff7fd3,src/PrizmMainProject/Forms/MainChildForm/FirstSetupForm/FirstSetupViewModel.cs,modified,8,5,AleksMorozova,2015-01-20 09:54:04,2015-01-20 09:54:04,2015-01-20 10:00:30,2015-01-20 10:00:30,,
