Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
retailcoder/Rubberduck,closed,252,7a908dd9c8d116cb44a94dfa503886867a24e8ad,Rubberduck.CodeAnalysis/Inspections/Concrete/IllegalAnnotationInspection.cs,modified,2,67,NULL,2018-12-04 15:01:24,2018-12-04 15:01:24,2018-12-04 15:01:33,2018-12-04 15:01:33,,
retailcoder/Rubberduck,closed,252,c30ffa7e94fb3ca01330dfe6b70c67ea0571c670,Rubberduck.CodeAnalysis/QuickFixes/IgnoreOnceQuickFix.cs,modified,84,71,NULL,2018-12-04 15:01:24,2018-12-04 15:01:24,2018-12-04 15:01:33,2018-12-04 15:01:33,,
retailcoder/Rubberduck,closed,252,c0e3de2dc5166e6e0e31a90116c9afb730623626,Rubberduck.Core/AddRemoveReferences/IReferenceInfo.cs,added,18,0,NULL,2018-12-04 15:01:24,2018-12-04 15:01:24,2018-12-04 15:01:33,2018-12-04 15:01:33,,
retailcoder/Rubberduck,closed,252,9adbbcfa09348a822460c18024b8763936a1c977,Rubberduck.Core/AddRemoveReferences/ReferenceModel.cs,added,127,0,NULL,2018-12-04 15:01:24,2018-12-04 15:01:24,2018-12-04 15:01:33,2018-12-04 15:01:33,,
retailcoder/Rubberduck,closed,252,6e38f2ff2d292a703503fa198a83c78703365eac,Rubberduck.Core/AddRemoveReferences/ReferenceStatus.cs,added,16,0,NULL,2018-12-04 15:01:24,2018-12-04 15:01:24,2018-12-04 15:01:33,2018-12-04 15:01:33,,
retailcoder/Rubberduck,closed,252,e1648e244aff0af7c4c2bc59dd6775fb38b75fa8,Rubberduck.Core/AddRemoveReferences/RegisteredLibraryFinderService.cs,added,100,0,NULL,2018-12-04 15:01:24,2018-12-04 15:01:24,2018-12-04 15:01:33,2018-12-04 15:01:33,,
retailcoder/Rubberduck,closed,252,72d2967194fa526c52a35155abe57b75ac5147c4,Rubberduck.Core/AddRemoveReferences/RegisteredLibraryInfo.cs,added,92,0,NULL,2018-12-04 15:01:24,2018-12-04 15:01:24,2018-12-04 15:01:33,2018-12-04 15:01:33,,
retailcoder/Rubberduck,closed,252,783ccd32882802c0405637c8076de1a0bce4a00f,Rubberduck.Core/App.cs,modified,33,22,NULL,2018-12-04 15:01:24,2018-12-04 15:01:24,2018-12-04 15:01:33,2018-12-04 15:01:33,,
retailcoder/Rubberduck,closed,252,d2e836d6b9d1a515562cc04eebefee1b8aa0307d,Rubberduck.Core/CodeAnalysis/CodeMetrics/CodeMetricsViewModel.cs,modified,3,7,NULL,2018-12-04 15:01:24,2018-12-04 15:01:24,2018-12-04 15:01:33,2018-12-04 15:01:33,,
retailcoder/Rubberduck,closed,252,87a8566d5180d7bfa9a28475b7f447e1d4b91294,Rubberduck.Core/Navigation/CodeExplorer/CodeExplorerItemViewModel.cs,modified,15,1,NULL,2018-12-04 15:01:24,2018-12-04 15:01:24,2018-12-04 15:01:33,2018-12-04 15:01:33,,
