Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
retailcoder/Rubberduck,closed,249,7699bf41474d5390042ac590dd3b6be61c26aa75,Rubberduck.Core/UI/UnitTesting/TestResultToOutcomeTextConverter.cs,modified,2,2,retailcoder,2018-10-09 19:33:26,2018-10-09 19:33:26,2018-10-09 20:09:53,2018-10-09 20:09:53,,
retailcoder/Rubberduck,closed,244,e858063f3bd415e2726d2cda6acc7696310b81a5,RetailCoder.VBE/UI/Command/AddTestModuleCommand.cs,modified,1,1,retailcoder,2017-05-12 02:10:00,2017-05-12 02:10:00,2017-05-12 02:45:43,2017-05-12 02:45:43,,
retailcoder/Rubberduck,closed,243,fb27312ea0dba0220ff3f3998ee6fc1cd109d9d0,RetailCoder.VBE/UI/CodeExplorer/Commands/AddTestModuleCommand.cs,modified,1,1,retailcoder,2017-03-18 03:10:05,2017-03-18 03:10:05,2017-03-18 03:10:13,2017-03-18 03:10:13,,
retailcoder/Rubberduck,closed,243,43bea9ba01f7013b50747db04a4f0d081c9e73a9,RubberduckTests/CodeExplorer/CodeExplorerTests.cs,modified,3,3,retailcoder,2017-03-18 03:10:05,2017-03-18 03:10:05,2017-03-18 03:10:13,2017-03-18 03:10:13,,
retailcoder/Rubberduck,closed,243,88efa7eec2c072cfa01928bc0875b01d6942807e,RubberduckTests/Refactoring/EncapsulateFieldTests.cs,modified,2,3,retailcoder,2017-03-18 03:10:05,2017-03-18 03:10:05,2017-03-18 03:10:13,2017-03-18 03:10:13,,
retailcoder/Rubberduck,closed,243,888272741134de706f50ac2b48e7383675d043eb,RubberduckTests/Refactoring/IntroduceParameterTests.cs,modified,6,7,retailcoder,2017-03-18 03:10:05,2017-03-18 03:10:05,2017-03-18 03:10:13,2017-03-18 03:10:13,,
retailcoder/Rubberduck,closed,243,eaacd822ceaa504567132057f0c610500bddf774,RubberduckTests/RubberduckTests.csproj,modified,1,0,retailcoder,2017-03-18 03:10:05,2017-03-18 03:10:05,2017-03-18 03:10:13,2017-03-18 03:10:13,,
retailcoder/Rubberduck,closed,243,f93723fb40130ed65c56c2f12e04ba6f8fa2e41e,RubberduckTests/Symbols/DeclarationFinderTests.cs,modified,23,339,retailcoder,2017-03-18 03:10:05,2017-03-18 03:10:05,2017-03-18 03:10:13,2017-03-18 03:10:13,,
retailcoder/Rubberduck,closed,243,0a7927ed100bc06cda2e429af3810f714977cae3,RubberduckTests/Symbols/DeclarationFinderTests_VbaBlocks.cs,added,337,0,retailcoder,2017-03-18 03:10:05,2017-03-18 03:10:05,2017-03-18 03:10:13,2017-03-18 03:10:13,,
retailcoder/Rubberduck,closed,241,5a4a0fdba62b491a0e6e58f2a5527c5032002fd5,RetailCoder.VBE/UnitTesting/TestEngine.cs,modified,15,3,retailcoder,2017-03-14 05:15:06,2017-03-14 05:15:06,2017-03-14 05:15:11,2017-03-14 05:15:11,,
retailcoder/Rubberduck,closed,240,e2efd5b70fd96d4d211faf5614aea2b1f3b415e5,RetailCoder.VBE/UnitTesting/AssertClass.cs,modified,236,28,retailcoder,2017-03-14 01:37:42,2017-03-14 01:37:42,2017-03-14 01:37:46,2017-03-14 01:37:46,,
retailcoder/Rubberduck,closed,240,7c46dd9ceb5fbce7435255998d4331dae3d984dc,RetailCoder.VBE/UnitTesting/AssertHandler.cs,modified,7,3,retailcoder,2017-03-14 01:37:42,2017-03-14 01:37:42,2017-03-14 01:37:46,2017-03-14 01:37:46,,
retailcoder/Rubberduck,closed,240,a1d100277f3ac435749d6339babfc1f9166a43e3,RetailCoder.VBE/UnitTesting/IAssert.cs,modified,14,10,retailcoder,2017-03-14 01:37:42,2017-03-14 01:37:42,2017-03-14 01:37:46,2017-03-14 01:37:46,,
retailcoder/Rubberduck,closed,240,f7be24b0461a8750ea2d7cf1c4721ee4dd58f929,RetailCoder.VBE/UnitTesting/PermissiveAssertClass.cs,modified,23,67,retailcoder,2017-03-14 01:37:42,2017-03-14 01:37:42,2017-03-14 01:37:46,2017-03-14 01:37:46,,
retailcoder/Rubberduck,closed,240,a92183786cb57343f37936f004811f6893d6b778,RetailCoder.VBE/UnitTesting/PermissiveObjectComparer.cs,added,65,0,retailcoder,2017-03-14 01:37:42,2017-03-14 01:37:42,2017-03-14 01:37:46,2017-03-14 01:37:46,,
retailcoder/Rubberduck,closed,240,09a5b7bd8563d50b3ce1998188477906f5446000,RubberduckTests/UnitTesting/AssertTests.cs,modified,69,64,retailcoder,2017-03-14 01:37:42,2017-03-14 01:37:42,2017-03-14 01:37:46,2017-03-14 01:37:46,,
retailcoder/Rubberduck,closed,237,5f8cda7ae3a7186c4710cbf72fccb4560710585a,RubberduckTests/RubberduckTests.csproj,modified,1,0,retailcoder,2017-03-08 02:15:31,2017-03-08 02:15:31,2017-03-08 02:16:31,2017-03-08 02:16:31,,
retailcoder/Rubberduck,closed,237,3e58770e4802bbb8245e35a3321e90f9ed4ba6f6,RubberduckTests/Symbols/DeclarationFinderTests.cs,added,71,0,retailcoder,2017-03-08 02:15:31,2017-03-08 02:15:31,2017-03-08 02:16:31,2017-03-08 02:16:31,,
retailcoder/Rubberduck,closed,234,4a7fe055dcc3f8ec662d1741056777dd7c1061d3,RubberduckTests/Refactoring/RenameTests.cs,modified,113,0,retailcoder,2017-03-07 14:47:37,2017-03-07 14:47:37,2017-03-07 14:47:42,2017-03-07 14:47:42,,
retailcoder/Rubberduck,closed,234,dcd5363423d69a29503c22fe85419f32c5f0b4c8,RubberduckTests/Testfiles/Resolver/ADODB.6.1.xml,modified,1,1,retailcoder,2017-03-07 14:47:37,2017-03-07 14:47:37,2017-03-07 14:47:42,2017-03-07 14:47:42,,
