Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
CS340Group/hit,closed,177,ebb0bfab4c071a2c1c79809f1588a02a9f8e17a7,src/model/reports/StatisticReport.java,modified,15,10,NULL,2012-12-03 19:02:09,2012-12-03 19:02:09,2012-12-03 19:04:18,2012-12-03 19:04:18,,
CS340Group/hit,closed,176,fd625a52579ccf8b33c815227a6b21a29bfc9f96,src/common/BarcodePdf.java,modified,117,125,splodingsocks,2012-12-03 15:36:24,2012-12-03 15:36:24,2012-12-03 16:07:11,2012-12-03 16:07:11,,
CS340Group/hit,closed,176,672d2c4d2c4c5c9a34ab7c7e3f00386f9bccd42c,src/common/Result.java,modified,156,158,splodingsocks,2012-12-03 15:36:24,2012-12-03 15:36:24,2012-12-03 16:07:11,2012-12-03 16:07:11,,
CS340Group/hit,closed,176,28fd601fb23d009de82477e5443b192ccc0a685d,src/common/StringOps.java,modified,20,20,splodingsocks,2012-12-03 15:36:24,2012-12-03 15:36:24,2012-12-03 16:07:11,2012-12-03 16:07:11,,
CS340Group/hit,closed,176,1a549de4bf6dae67ddee58a235765e57a7df54ec,src/common/ValueResult.java,modified,102,105,splodingsocks,2012-12-03 15:36:24,2012-12-03 15:36:24,2012-12-03 16:07:11,2012-12-03 16:07:11,,
CS340Group/hit,closed,176,65aff210630cf91a7ffed7a0549319ced345c4d3,src/common/command/AbstractCommand.java,modified,55,56,splodingsocks,2012-12-03 15:36:24,2012-12-03 15:36:24,2012-12-03 16:07:11,2012-12-03 16:07:11,,
CS340Group/hit,closed,176,c559aa65024a9ff55c01c847eed45cb598f0f921,src/common/command/AddItemCommand.java,modified,65,62,splodingsocks,2012-12-03 15:36:24,2012-12-03 15:36:24,2012-12-03 16:07:11,2012-12-03 16:07:11,,
CS340Group/hit,closed,176,732aed774ffcd093990f150a4b0b09736363c4b2,src/common/command/CommandManager.java,modified,64,60,splodingsocks,2012-12-03 15:36:24,2012-12-03 15:36:24,2012-12-03 16:07:11,2012-12-03 16:07:11,,
CS340Group/hit,closed,176,46be882821652428a1094ec862d62021e3fc596b,src/common/command/RemoveItemCommand.java,modified,35,34,splodingsocks,2012-12-03 15:36:24,2012-12-03 15:36:24,2012-12-03 16:07:11,2012-12-03 16:07:11,,
CS340Group/hit,closed,176,1fb519b01392884a53a5c7078e0065b792ab0c58,src/common/command/TransferItemCommand.java,modified,76,81,splodingsocks,2012-12-03 15:36:24,2012-12-03 15:36:24,2012-12-03 16:07:11,2012-12-03 16:07:11,,
CS340Group/hit,closed,176,c91deca108d593f30cffc12615601997f8c388bf,src/common/util/DateUtils.java,modified,167,168,splodingsocks,2012-12-03 15:36:24,2012-12-03 15:36:24,2012-12-03 16:07:11,2012-12-03 16:07:11,,
CS340Group/hit,closed,176,38934c7492c65ca642c8076a07969f4aee1a07b5,src/common/util/QueryParser.java,modified,52,47,splodingsocks,2012-12-03 15:36:24,2012-12-03 15:36:24,2012-12-03 16:07:11,2012-12-03 16:07:11,,
CS340Group/hit,closed,176,f27f1078e740a1fa9bf25b7d608f92a4e23a8c95,src/common/util/StringUtils.java,modified,1,1,splodingsocks,2012-12-03 15:36:24,2012-12-03 15:36:24,2012-12-03 16:07:11,2012-12-03 16:07:11,,
