Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
CS340Group/hit,closed,177,b08fa8eed1e57e7ef3de4a30f6e3a0eee4b43f44,test-src/model/reports/StatisticsReportTest.java,modified,79,0,NULL,2012-12-03 19:02:09,2012-12-03 19:02:09,2012-12-03 19:04:18,2012-12-03 19:04:18,,
CS340Group/hit,closed,174,d222374c39c2fd27a5774df146bd18e6aa89997b,test-src/model/reports/StatisticsReportTest.java,modified,525,193,splodingsocks,2012-12-03 11:34:19,2012-12-03 11:34:19,2012-12-03 11:42:34,2012-12-03 11:42:34,,
CS340Group/hit,closed,171,1f4b8f5b070dcafb9458a6f4ad08ae0cc2c1f5d2,test-src/common/TestEnvironment.java,modified,4,1,nickethier,2012-12-03 02:52:04,2012-12-03 02:52:04,2012-12-03 02:52:13,2012-12-03 02:52:13,,
CS340Group/hit,closed,171,f9ece58096ca21f3bde2234e13f9b02f1e63f98b,test-src/gui/reports/expired/ExpiredReportTest.java,removed,0,11,nickethier,2012-12-03 02:52:04,2012-12-03 02:52:04,2012-12-03 02:52:13,2012-12-03 02:52:13,,
CS340Group/hit,closed,171,4cc56f1fc42274dab7e1501ef094e03e5b295dd7,test-src/gui/reports/notices/NoticesReportTest.java,removed,0,11,nickethier,2012-12-03 02:52:04,2012-12-03 02:52:04,2012-12-03 02:52:13,2012-12-03 02:52:13,,
CS340Group/hit,closed,171,62fa0728d85f97b770b7fda1775db8a2f15b6b42,test-src/gui/reports/productstats/ProductStatsReportTest.java,removed,0,61,nickethier,2012-12-03 02:52:04,2012-12-03 02:52:04,2012-12-03 02:52:13,2012-12-03 02:52:13,,
CS340Group/hit,closed,171,e6e95b99d11ad9533c723eed91dad9520ecbaacb,test-src/gui/reports/supply/SupplyReportTest.java,removed,0,11,nickethier,2012-12-03 02:52:04,2012-12-03 02:52:04,2012-12-03 02:52:13,2012-12-03 02:52:13,,
CS340Group/hit,closed,171,bbe78e9d621477750ed6f53a4425ce19efaeafce,test-src/model/common/StatsTest.java,added,92,0,nickethier,2012-12-03 02:52:04,2012-12-03 02:52:04,2012-12-03 02:52:13,2012-12-03 02:52:13,,
CS340Group/hit,closed,171,2b3d4eb2ee01d81a28a9cb5531cb910b6851dfaf,test-src/model/reports/StatisticsReportTest.java,added,218,0,nickethier,2012-12-03 02:52:04,2012-12-03 02:52:04,2012-12-03 02:52:13,2012-12-03 02:52:13,,
CS340Group/hit,closed,171,fbc7e7c8657a3f71ebca13ad5bd67985095398f7,test-src/model/reports/TestPrintObject.java,renamed,12,7,nickethier,2012-12-03 02:52:04,2012-12-03 02:52:04,2012-12-03 02:52:13,2012-12-03 02:52:13,,
CS340Group/hit,closed,170,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,out/test/hit/.gitkeep,added,0,0,nickethier,2012-12-02 05:32:11,2012-12-02 05:32:11,2012-12-02 05:33:28,2012-12-02 05:33:28,,
CS340Group/hit,closed,169,fb120a748138d5b73e638db041b8514840229f22,test-src/model/productidentifier/ProductIdentifierSearchUPCDotComTest.java,added,28,0,splodingsocks,2012-12-01 06:08:36,2012-12-01 06:08:36,2012-12-01 06:25:09,2012-12-01 06:25:09,,
CS340Group/hit,closed,162,261ad965626568ff01f9f4bc7bae3f53f01a4f4f,test-src/model/storage/SQLDAOs/ItemDAOTest.java,modified,0,3,splodingsocks,2012-11-29 06:40:47,2012-11-29 06:40:47,2012-11-29 06:41:57,2012-11-29 06:41:57,,
CS340Group/hit,closed,161,64f4dfe7c8f39f2367ceeaec1b2589aeeac94d97,test-src/model/productcontainer/StorageUnitTest.java,modified,4,1,splodingsocks,2012-11-29 06:20:02,2012-11-29 06:20:02,2012-11-29 06:21:28,2012-11-29 06:21:28,,
CS340Group/hit,closed,161,ad1f01f0c4006f174145b302e727023a28d27ee2,test-src/model/reports/HTMLReportBuilderTest.java,modified,8,8,splodingsocks,2012-11-29 06:20:02,2012-11-29 06:20:02,2012-11-29 06:21:28,2012-11-29 06:21:28,,
CS340Group/hit,closed,161,f9348e68f5b427b181e21a52df315db8f34d640b,test-src/model/reports/PDFReportBuilderTest.java,modified,8,8,splodingsocks,2012-11-29 06:20:02,2012-11-29 06:20:02,2012-11-29 06:21:28,2012-11-29 06:21:28,,
CS340Group/hit,closed,161,ee4fd1721dc42fea5836051a3d6f03e6ad4d5ea9,test-src/model/storage/SQLDAOs/ItemDAOTest.java,modified,49,3,splodingsocks,2012-11-29 06:20:02,2012-11-29 06:20:02,2012-11-29 06:21:28,2012-11-29 06:21:28,,
CS340Group/hit,closed,160,c3a0227cced49399c24e669c0f32e3bfe1e1c4b7,test-src/model/item/ItemTest.java,modified,3,2,splodingsocks,2012-11-29 05:28:58,2012-11-29 05:28:58,2012-11-29 05:29:02,2012-11-29 05:29:02,,
CS340Group/hit,closed,160,1c33239239c41a6745efda9be037bfdd31dbb3b5,test-src/model/product/ProductTest.java,modified,3,0,splodingsocks,2012-11-29 05:28:58,2012-11-29 05:28:58,2012-11-29 05:29:02,2012-11-29 05:29:02,,
CS340Group/hit,closed,159,e077b927b4f01de4ae9d4b3d9a7fd65b578c4d7b,test-src/model/item/ItemTest.java,modified,4,0,brendonbeebe,2012-11-29 05:18:38,2012-11-29 05:18:38,2012-11-29 05:19:12,2012-11-29 05:19:12,,
CS340Group/hit,closed,159,8b8bd9ed787e530d5ed5aea8790bb661d227a69f,test-src/model/product/ProductTest.java,modified,2,0,brendonbeebe,2012-11-29 05:18:38,2012-11-29 05:18:38,2012-11-29 05:19:12,2012-11-29 05:19:12,,
CS340Group/hit,closed,159,894308934ed48fccf100c5fe873ec924020b6a73,test-src/model/productcontainer/StorageUnitTest.java,modified,6,1,brendonbeebe,2012-11-29 05:18:38,2012-11-29 05:18:38,2012-11-29 05:19:12,2012-11-29 05:19:12,,
CS340Group/hit,closed,153,7a1b83c30fdbeea2b232b44a02e4860f1c8ae056,test-src/model/storage/SQLDAOs/ItemDAOTest.java,added,24,0,brendonbeebe,2012-11-28 05:34:59,2012-11-28 05:34:59,2012-11-28 05:38:00,2012-11-28 05:38:00,,
CS340Group/hit,closed,145,8328cddf02a1e6cd4e03b68f1a31824a0cf9eed1,test-src/model/common/SerializableTest.java,modified,14,0,nickethier,2012-11-09 05:08:02,2012-11-09 05:08:02,2012-11-09 05:09:23,2012-11-09 05:09:23,,
CS340Group/hit,closed,145,4df6a85e76d6569b9d2b8770a4f1d7e173cc36a8,test-src/model/productcontainer/ProductGroupTest.java,modified,3,1,nickethier,2012-11-09 05:08:02,2012-11-09 05:08:02,2012-11-09 05:09:23,2012-11-09 05:09:23,,
CS340Group/hit,closed,145,40836ef442ed01cd7bb27054f46a8a0bd9895aac,test-src/model/productcontainer/StorageUnitTest.java,modified,7,0,nickethier,2012-11-09 05:08:02,2012-11-09 05:08:02,2012-11-09 05:09:23,2012-11-09 05:09:23,,
CS340Group/hit,closed,145,46389b3072a1b1bc7987e185e8cf468585c8eff4,test-src/model/reports/NSupplyReportTest.java,modified,10,5,nickethier,2012-11-09 05:08:02,2012-11-09 05:08:02,2012-11-09 05:09:23,2012-11-09 05:09:23,,
CS340Group/hit,closed,145,6574e671869527b028f67603da15dc299f19dd6a,test-src/model/reports/NoticesReportTest.java,modified,14,5,nickethier,2012-11-09 05:08:02,2012-11-09 05:08:02,2012-11-09 05:09:23,2012-11-09 05:09:23,,
CS340Group/hit,closed,145,f1b7d0c27568daaf1674af303c371c3d6427a5e5,test-src/model/reports/RemovedReportTest.java,modified,5,0,nickethier,2012-11-09 05:08:02,2012-11-09 05:08:02,2012-11-09 05:09:23,2012-11-09 05:09:23,,
CS340Group/hit,closed,141,238ee5b1f69eb8519751ccc6d5d3198b0c410a89,test-src/model/reports/HTMLReportBuilderTest.java,modified,0,5,nickethier,2012-11-08 07:05:15,2012-11-08 07:05:15,2012-11-08 07:07:05,2012-11-08 07:07:05,,
CS340Group/hit,closed,139,bfa27b7ff1f283b5574858572fe525a21a65df22,test-src/model/reports/HTMLReportBuilderTest.java,added,95,0,splodingsocks,2012-11-08 06:59:13,2012-11-08 06:59:13,2012-11-08 06:59:22,2012-11-08 06:59:22,,
CS340Group/hit,closed,138,9d08ffd7769f2eac0906a4d22d0e4ada8081ce9c,test-src/model/reports/NSupplyReportTest.java,modified,9,1,splodingsocks,2012-11-08 05:29:51,2012-11-08 05:29:51,2012-11-08 05:30:51,2012-11-08 05:30:51,,
CS340Group/hit,closed,138,d39b28323689d6f04320047d98f8a2e294794b4a,test-src/model/reports/NoticesReportTest.java,modified,16,1,splodingsocks,2012-11-08 05:29:51,2012-11-08 05:29:51,2012-11-08 05:30:51,2012-11-08 05:30:51,,
CS340Group/hit,closed,138,6c4a0109ea3ac863be5906c1ef35e03b98cefb10,test-src/model/reports/PDFReportBuilderTest.java,modified,15,1,splodingsocks,2012-11-08 05:29:51,2012-11-08 05:29:51,2012-11-08 05:30:51,2012-11-08 05:30:51,,
CS340Group/hit,closed,138,cf5868b2a622769a6e7d6741b88249656e24560c,test-src/model/reports/RemovedReportTest.java,modified,15,1,splodingsocks,2012-11-08 05:29:51,2012-11-08 05:29:51,2012-11-08 05:30:51,2012-11-08 05:30:51,,
CS340Group/hit,closed,137,47d1b5407fbcab24b9ac7056336a5d597df0e9e6,test-src/model/reports/PDFReportBuilderTest.java,modified,60,33,brendonbeebe,2012-11-08 05:08:13,2012-11-08 05:08:13,2012-11-08 05:09:08,2012-11-08 05:09:08,,
CS340Group/hit,closed,136,dd85cb0e61da3a32d5cbe5c7b8d83fb0727128b9,src/model/tempmain/TestEnvironment.java,added,139,0,splodingsocks,2012-11-08 04:52:36,2012-11-08 04:52:36,2012-11-08 04:52:44,2012-11-08 04:52:44,,
CS340Group/hit,closed,135,428b12a69ae5a6c44448fb3d9e7599f83942d0d4,test-src/model/reports/PDFReportBuilderTest.java,modified,4,3,nickethier,2012-11-07 21:21:38,2012-11-07 21:21:38,2012-11-07 23:14:49,2012-11-07 23:14:49,,
CS340Group/hit,closed,134,4e054b0ac46b108dd15708ff716d0434b75fc18a,test-src/model/reports/NoticesReportTest.java,modified,24,15,splodingsocks,2012-11-07 20:08:00,2012-11-07 20:08:00,2012-11-07 20:08:04,2012-11-07 20:08:04,,
