Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
CS340Group/hit,closed,177,b08fa8eed1e57e7ef3de4a30f6e3a0eee4b43f44,test-src/model/reports/StatisticsReportTest.java,modified,79,0,NULL,2012-12-03 19:02:09,2012-12-03 19:02:09,2012-12-03 19:04:18,2012-12-03 19:04:18,NA,NA
CS340Group/hit,closed,64,6f944a7ac86463b6214f8455d8ba1d57889bcd25,test-src/model/common/BaseModelTest.java,modified,2,2,NULL,2012-10-13 01:31:29,2012-10-13 01:31:29,2012-10-13 01:33:17,2012-10-13 01:33:17,NA,NA
elasticsearch/elasticsearch,closed,8207,d13cb7eb0b47f1ab0a16047c4b161c8ddaccba9b,src/test/java/org/elasticsearch/index/store/StoreTest.java,modified,25,13,abraxxa,2014-10-23 12:52:17,2014-10-23 12:52:17,2014-10-24 10:25:30,2014-10-24 10:25:30,NA,NA
elasticsearch/elasticsearch,closed,8010,f513e5af57e730a1e7b82eac3571d4a536cf9899,src/test/java/org/elasticsearch/gateway/local/state/meta/MetaDataStateFormatTest.java,added,464,0,abraxxa,2014-10-07 10:53:51,2014-10-07 10:53:51,2014-10-15 09:35:57,2014-10-15 09:35:57,NA,NA
elasticsearch/elasticsearch,closed,8010,b6b4e8d762eff974110a5edaef0ae0edfb6f8e81,src/test/resources/org/elasticsearch/gateway/local/state/meta/global-3.st,added,0,0,abraxxa,2014-10-07 10:53:51,2014-10-07 10:53:51,2014-10-15 09:35:57,2014-10-15 09:35:57,NA,NA
elasticsearch/elasticsearch,closed,19650,2c2506308ac78fcd1618352c30deb0ada28392b3,core/src/test/java/org/elasticsearch/action/ingest/SimulatePipelineRequestTests.java,added,63,0,adityasinghraghav,2016-07-28 11:29:39,2016-07-28 11:29:39,2016-07-28 12:55:30,2016-07-28 12:55:30,NA,NA
elasticsearch/elasticsearch,closed,19650,485dc8934c484e512dcc2463c232cec03728a388,core/src/test/java/org/elasticsearch/action/ingest/SimulatePipelineResponseTests.java,modified,2,1,adityasinghraghav,2016-07-28 11:29:39,2016-07-28 11:29:39,2016-07-28 12:55:30,2016-07-28 12:55:30,NA,NA
elasticsearch/elasticsearch,closed,13743,54223eb5e61de8c1b1469787332d93a50da44b5b,test-framework/build.gradle,modified,1,1,adrianbk,2015-09-23 13:44:01,2015-09-23 13:44:01,2015-09-23 16:54:12,2015-09-23 16:54:12,NA,NA
elasticsearch/elasticsearch,closed,31594,44d186dce0d2fdfcff96ddc043505a575bde255f,x-pack/plugin/core/src/test/java/org/elasticsearch/xpack/core/security/authc/DefaultAuthenticationFailureHandlerTests.java,added,100,0,albendz,2018-06-27 01:09:50,2018-06-27 01:09:50,2018-07-03 00:55:29,2018-07-03 00:55:29,NA,NA
elasticsearch/elasticsearch,closed,31594,865688e2b05f5ac0f9c6246fbe3bc9dc2431b9cb,x-pack/plugin/security/src/test/java/org/elasticsearch/xpack/security/authc/kerberos/support/KerberosTestCase.java,modified,2,0,albendz,2018-06-27 01:09:50,2018-06-27 01:09:50,2018-07-03 00:55:29,2018-07-03 00:55:29,NA,NA
elasticsearch/elasticsearch,closed,31287,3156bc96e12d83737f3a22f4efa016580e0286b7,server/src/test/java/org/elasticsearch/index/mapper/DocumentParserTests.java,modified,29,0,albendz,2018-06-13 02:14:38,2018-06-13 02:14:38,2018-06-18 21:15:35,2018-06-18 21:15:35,NA,NA
elasticsearch/elasticsearch,closed,31287,889bcfa81cde522df1a01216ece97b3efac2d04b,server/src/test/java/org/elasticsearch/index/mapper/FieldAliasMapperTests.java,added,164,0,albendz,2018-06-13 02:14:38,2018-06-13 02:14:38,2018-06-18 21:15:35,2018-06-18 21:15:35,NA,NA
elasticsearch/elasticsearch,closed,31287,8a49169e09e79eb2aa0a5476d2a181344f2de505,server/src/test/java/org/elasticsearch/index/mapper/FieldTypeLookupTests.java,modified,95,17,albendz,2018-06-13 02:14:38,2018-06-13 02:14:38,2018-06-18 21:15:35,2018-06-18 21:15:35,NA,NA
elasticsearch/elasticsearch,closed,31287,edc29b0d2c5744ce56dba5c279f08f1bac4cb6bf,server/src/test/java/org/elasticsearch/search/aggregations/bucket/RangeIT.java,modified,83,0,albendz,2018-06-13 02:14:38,2018-06-13 02:14:38,2018-06-18 21:15:35,2018-06-18 21:15:35,NA,NA
elasticsearch/elasticsearch,closed,31287,b3a5df4dbfc0700967cefdf27fccd4179d5aaad8,server/src/test/java/org/elasticsearch/search/aggregations/metrics/SumIT.java,modified,86,6,albendz,2018-06-13 02:14:38,2018-06-13 02:14:38,2018-06-18 21:15:35,2018-06-18 21:15:35,NA,NA
elasticsearch/elasticsearch,closed,31287,c8bc5c3aa76df97c1d5281862cb2c82d18d23e1c,server/src/test/java/org/elasticsearch/search/fetch/subphase/highlight/HighlighterSearchIT.java,modified,100,0,albendz,2018-06-13 02:14:38,2018-06-13 02:14:38,2018-06-18 21:15:35,2018-06-18 21:15:35,NA,NA
elasticsearch/elasticsearch,closed,31287,90b1437c93c06244719ab0b385c4ba3a5829836a,server/src/test/java/org/elasticsearch/search/fieldcaps/FieldCapabilitiesIT.java,added,110,0,albendz,2018-06-13 02:14:38,2018-06-13 02:14:38,2018-06-18 21:15:35,2018-06-18 21:15:35,NA,NA
elasticsearch/elasticsearch,closed,31287,ec704f755ae7f125befae5f32530476e6bd4760d,server/src/test/java/org/elasticsearch/search/fields/SearchFieldsIT.java,modified,68,0,albendz,2018-06-13 02:14:38,2018-06-13 02:14:38,2018-06-18 21:15:35,2018-06-18 21:15:35,NA,NA
elasticsearch/elasticsearch,closed,31287,45910044d499f8d2cd40d26088580723b8dc3ec4,server/src/test/java/org/elasticsearch/search/query/ExistsIT.java,modified,86,0,albendz,2018-06-13 02:14:38,2018-06-13 02:14:38,2018-06-18 21:15:35,2018-06-18 21:15:35,NA,NA
elasticsearch/elasticsearch,closed,31287,5caab8c9dfec6a6caaeb486337fec154fb427ab6,server/src/test/java/org/elasticsearch/search/query/QueryStringIT.java,modified,65,0,albendz,2018-06-13 02:14:38,2018-06-13 02:14:38,2018-06-18 21:15:35,2018-06-18 21:15:35,NA,NA
elasticsearch/elasticsearch,closed,31287,5176c327ac78e36d8f70133be77896f65f959873,server/src/test/java/org/elasticsearch/search/query/SimpleQueryStringIT.java,modified,62,0,albendz,2018-06-13 02:14:38,2018-06-13 02:14:38,2018-06-18 21:15:35,2018-06-18 21:15:35,NA,NA
elasticsearch/elasticsearch,closed,31287,ff0196aacdf1638b65387ce8159f06d87d72793d,server/src/test/java/org/elasticsearch/search/sort/FieldSortIT.java,modified,57,0,albendz,2018-06-13 02:14:38,2018-06-13 02:14:38,2018-06-18 21:15:35,2018-06-18 21:15:35,NA,NA
elasticsearch/elasticsearch,closed,31287,c753bf5abec155cb4c28c805c55630e4051ef212,server/src/test/java/org/elasticsearch/search/suggest/AbstractSuggestionBuilderTestCase.java,modified,5,3,albendz,2018-06-13 02:14:38,2018-06-13 02:14:38,2018-06-18 21:15:35,2018-06-18 21:15:35,NA,NA
elasticsearch/elasticsearch,closed,31287,23fb51be930ba972c556a45039ba087af8b68f1f,server/src/test/java/org/elasticsearch/search/suggest/CompletionSuggestSearchIT.java,modified,27,1,albendz,2018-06-13 02:14:38,2018-06-13 02:14:38,2018-06-18 21:15:35,2018-06-18 21:15:35,NA,NA
elasticsearch/elasticsearch,closed,31287,aaeaadd4c9f837d4dc6bdd0a248b277e0c08f126,server/src/test/java/org/elasticsearch/search/suggest/SuggestSearchIT.java,modified,29,0,albendz,2018-06-13 02:14:38,2018-06-13 02:14:38,2018-06-18 21:15:35,2018-06-18 21:15:35,NA,NA
elasticsearch/elasticsearch,closed,31287,3e6935ecc64f519aebab75d85978d43e9136b8d6,server/src/test/java/org/elasticsearch/search/suggest/completion/CompletionSuggesterBuilderTests.java,modified,2,1,albendz,2018-06-13 02:14:38,2018-06-13 02:14:38,2018-06-18 21:15:35,2018-06-18 21:15:35,NA,NA
elasticsearch/elasticsearch,closed,31287,abdc11928229f8ef443406cc0fdfaabe6212146f,server/src/test/resources/org/elasticsearch/search/query/all-query-index.json,modified,8,0,albendz,2018-06-13 02:14:38,2018-06-13 02:14:38,2018-06-18 21:15:35,2018-06-18 21:15:35,NA,NA
elasticsearch/elasticsearch,closed,8166,44cb670c52cfd426897490fb2bb412b7042c7619,src/test/java/org/elasticsearch/search/aggregations/reducers/SlidingWindowTests.java,added,69,0,andrei-kalasok,2014-10-20 11:50:17,2014-10-20 11:50:17,2014-10-21 07:03:37,2014-10-21 07:03:37,NA,NA
elasticsearch/elasticsearch,closed,8153,a5b7992781b3ce4285981c0df5dad15efda875b7,src/test/java/org/elasticsearch/search/fetch/innerhits/NestedChildrenFilterTest.java,added,97,0,andrei-kalasok,2014-10-19 22:50:00,2014-10-19 22:50:00,2014-12-02 11:02:21,2014-12-02 11:02:21,NA,NA
elasticsearch/elasticsearch,closed,8153,976b284612a6872819e676ae98ad516e61d88d3c,src/test/java/org/elasticsearch/search/innerhits/InnerHitsTests.java,added,523,0,andrei-kalasok,2014-10-19 22:50:00,2014-10-19 22:50:00,2014-12-02 11:02:21,2014-12-02 11:02:21,NA,NA
