Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
elasticsearch/elasticsearch,closed,14775,66cc087135efd9a611d6719809fce025fdd3ad7a,core/src/test/java/org/elasticsearch/index/query/AbstractQueryTestCase.java,modified,12,1,1uk4sh,2015-11-16 14:27:29,2015-11-16 14:27:29,2015-11-16 14:34:09,2015-11-16 14:34:09,NA,NA
elasticsearch/elasticsearch,closed,35236,0ca0df6fc08ff4c5a4ff2055dddff8e56415a0bd,x-pack/plugin/sql/src/test/java/org/elasticsearch/xpack/sql/planner/QueryFolderTests.java,modified,46,0,72MiguelGomes,2018-11-04 15:11:17,2018-11-04 15:11:17,2018-11-08 22:33:00,2018-11-08 22:33:00,NA,NA
elasticsearch/elasticsearch,closed,6773,623401fc4949a75c5ea214ac63d53b2ba9731411,src/test/java/org/elasticsearch/search/suggest/SuggestSearchTests.java,modified,159,2,abhikalakuntla,2014-07-07 19:25:02,2014-07-07 19:25:02,2014-07-14 20:13:57,NA,NA,NA
elasticsearch/elasticsearch,closed,8745,2affeacfb845a0f22400c8c201de1aea7fbdc043,src/test/java/org/elasticsearch/test/rest/ElasticsearchRestTests.java,modified,12,7,adammenges,2014-12-02 18:20:03,2014-12-02 18:20:03,2014-12-03 07:47:51,2014-12-03 07:47:51,NA,NA
elasticsearch/elasticsearch,closed,25647,2d78a0db63d239550b55684d8313c06cd8c359af,modules/percolator/src/test/java/org/elasticsearch/percolator/CandidateQueryTests.java,modified,182,0,adammichalik,2017-07-11 13:40:17,2017-07-11 13:40:17,2017-07-27 05:49:09,2017-07-27 05:49:09,NA,NA
elasticsearch/elasticsearch,closed,25647,13ba4667789a10f48d1de437cee2ac23ca6b6bb7,modules/percolator/src/test/java/org/elasticsearch/percolator/PercolatorFieldMapperTests.java,modified,132,4,adammichalik,2017-07-11 13:40:17,2017-07-11 13:40:17,2017-07-27 05:49:09,2017-07-27 05:49:09,NA,NA
elasticsearch/elasticsearch,closed,25647,146edf545644a3824d9699b69b18deea424a5f0b,modules/percolator/src/test/java/org/elasticsearch/percolator/QueryAnalyzerTests.java,modified,237,57,adammichalik,2017-07-11 13:40:17,2017-07-11 13:40:17,2017-07-27 05:49:09,2017-07-27 05:49:09,NA,NA
elasticsearch/elasticsearch,closed,31087,e9dda488e72162c2b0ab69f28cbe2db604c5c706,x-pack/plugin/security/src/test/java/org/elasticsearch/xpack/security/ingest/HashProcessorFactoryTests.java,added,136,0,adhulipa,2018-06-05 03:34:23,2018-06-05 03:34:23,2018-06-29 16:30:55,2018-06-29 16:30:55,NA,NA
elasticsearch/elasticsearch,closed,31087,b3890600592f5ad6b8b4a7a3f7190a49ff19bba9,x-pack/plugin/security/src/test/java/org/elasticsearch/xpack/security/ingest/HashProcessorTests.java,added,130,0,adhulipa,2018-06-05 03:34:23,2018-06-05 03:34:23,2018-06-29 16:30:55,2018-06-29 16:30:55,NA,NA
elasticsearch/elasticsearch,closed,31087,ee84e02d2f498cbbe7e2917027f13d06d1728b1d,x-pack/plugin/src/test/resources/rest-api-spec/test/hash_processor/10_basic.yml,added,51,0,adhulipa,2018-06-05 03:34:23,2018-06-05 03:34:23,2018-06-29 16:30:55,2018-06-29 16:30:55,NA,NA
elasticsearch/elasticsearch,closed,30364,3d643b2a7ca41b25ad20642174f93b74d48b6202,plugins/mapper-annotated-text/src/test/java/org/elasticsearch/index/mapper/annotatedtext/AnnotatedTextClientYamlTestSuiteIT.java,added,39,0,aditya-agrawal,2018-05-03 15:03:07,2018-05-03 15:03:07,2018-09-18 09:25:27,2018-09-18 09:25:27,NA,NA
elasticsearch/elasticsearch,closed,30364,8a51b9a494b16445e41da20c5ec734f9f69dae6a,plugins/mapper-annotated-text/src/test/java/org/elasticsearch/index/mapper/annotatedtext/AnnotatedTextFieldMapperTests.java,added,681,0,aditya-agrawal,2018-05-03 15:03:07,2018-05-03 15:03:07,2018-09-18 09:25:27,2018-09-18 09:25:27,NA,NA
elasticsearch/elasticsearch,closed,30364,4df44df5cd51408cd2b33bd714cc2d01da592b02,plugins/mapper-annotated-text/src/test/java/org/elasticsearch/index/mapper/annotatedtext/AnnotatedTextParsingTests.java,added,73,0,aditya-agrawal,2018-05-03 15:03:07,2018-05-03 15:03:07,2018-09-18 09:25:27,2018-09-18 09:25:27,NA,NA
elasticsearch/elasticsearch,closed,30364,2fcf917ab1d7980b8dd4001275859b78395b24af,plugins/mapper-annotated-text/src/test/java/org/elasticsearch/search/highlight/AnnotatedTextHighlighterTests.java,added,185,0,aditya-agrawal,2018-05-03 15:03:07,2018-05-03 15:03:07,2018-09-18 09:25:27,2018-09-18 09:25:27,NA,NA
elasticsearch/elasticsearch,closed,30364,64e0b863bf976e6f9b7381e747ca1237294ef961,plugins/mapper-annotated-text/src/test/resources/rest-api-spec/test/mapper_annotatedtext/10_basic.yml,added,44,0,aditya-agrawal,2018-05-03 15:03:07,2018-05-03 15:03:07,2018-09-18 09:25:27,2018-09-18 09:25:27,NA,NA
elasticsearch/elasticsearch,closed,30364,7aeb03851a5d92fecffdada37aef756bd566b3ea,qa/vagrant/src/test/resources/packaging/tests/module_and_plugin_test_cases.bash,modified,8,0,aditya-agrawal,2018-05-03 15:03:07,2018-05-03 15:03:07,2018-09-18 09:25:27,2018-09-18 09:25:27,NA,NA
elasticsearch/elasticsearch,closed,29418,2726380b7e3bc2f56702b54e13950cd1674a9981,server/src/test/java/org/elasticsearch/common/geo/GeoHashTests.java,modified,16,0,adityasrini,2018-04-06 20:07:25,2018-04-06 20:07:25,2018-04-16 16:37:38,2018-04-16 16:37:38,NA,NA
elasticsearch/elasticsearch,closed,25697,3c30e7610dd2687366834f51da6fb5f08fe7eb19,core/src/test/java/org/elasticsearch/mget/SimpleMgetIT.java,modified,17,0,aeroastro,2017-07-13 01:32:26,2017-07-13 01:32:26,2017-07-13 13:27:38,2017-07-13 13:27:38,NA,NA
elasticsearch/elasticsearch,closed,13533,d78055db2bd9f86cd616813ff88ddf3c3f267f69,core/src/main/java/org/elasticsearch/common/text/BytesText.java,modified,2,2,aerokite,2015-09-12 12:26:39,2015-09-12 12:26:39,2015-09-14 08:28:30,2015-09-14 08:28:30,NA,NA
elasticsearch/elasticsearch,closed,13533,36bf76ce441f1358de6030c777e5fedf4431b44f,core/src/main/java/org/elasticsearch/common/text/StringAndBytesText.java,modified,3,3,aerokite,2015-09-12 12:26:39,2015-09-12 12:26:39,2015-09-14 08:28:30,2015-09-14 08:28:30,NA,NA
