Repository,Test,Situation,Total,% com/sem,% total,,
CS340Group_hit.csv,TRUE,Open,0,0,0,,
CS340Group_hit.csv,TRUE,Closed,0,0,0,,
CS340Group_hit.csv,TRUE,Merged,1,100,100,,
CS340Group_hit.csv,FALSE,Open,0,NA,0,,
CS340Group_hit.csv,FALSE,Closed,0,NA,0,,
CS340Group_hit.csv,FALSE,Merged,0,NA,0,,
elasticsearch_elasticsearch.csv,TRUE,Open,3,3.3,2.83,,
elasticsearch_elasticsearch.csv,TRUE,Closed,25,27.47,23.58,,
elasticsearch_elasticsearch.csv,TRUE,Merged,63,69.23,59.43,,
elasticsearch_elasticsearch.csv,FALSE,Open,0,0,0,,
elasticsearch_elasticsearch.csv,FALSE,Closed,6,40,5.66,,
elasticsearch_elasticsearch.csv,FALSE,Merged,9,60,8.49,,
enonic_xp.csv,TRUE,Open,0,0,0,,
enonic_xp.csv,TRUE,Closed,0,0,0,,
enonic_xp.csv,TRUE,Merged,1,100,100,,
enonic_xp.csv,FALSE,Open,0,NA,0,,
enonic_xp.csv,FALSE,Closed,0,NA,0,,
enonic_xp.csv,FALSE,Merged,0,NA,0,,
fabric8io_fabric8.csv,TRUE,Open,0,0,0,,
fabric8io_fabric8.csv,TRUE,Closed,6,85.71,35.29,,
fabric8io_fabric8.csv,TRUE,Merged,1,14.29,5.88,,
fabric8io_fabric8.csv,FALSE,Open,0,0,0,,
fabric8io_fabric8.csv,FALSE,Closed,4,40,23.53,,
fabric8io_fabric8.csv,FALSE,Merged,6,60,35.29,,
mozilla_j2me.js.csv,TRUE,Open,0,0,0,,
mozilla_j2me.js.csv,TRUE,Closed,0,0,0,,
mozilla_j2me.js.csv,TRUE,Merged,1,100,50,,
mozilla_j2me.js.csv,FALSE,Open,0,0,0,,
mozilla_j2me.js.csv,FALSE,Closed,0,0,0,,
mozilla_j2me.js.csv,FALSE,Merged,1,100,50,,
realtalk403_realtalk.csv,TRUE,Open,0,NA,0,,
realtalk403_realtalk.csv,TRUE,Closed,0,NA,0,,
realtalk403_realtalk.csv,TRUE,Merged,0,NA,0,,
realtalk403_realtalk.csv,FALSE,Open,0,0,0,,
realtalk403_realtalk.csv,FALSE,Closed,0,0,0,,
realtalk403_realtalk.csv,FALSE,Merged,1,100,100,,
TEAMMATES_repo.csv,TRUE,Open,0,0,0,,
TEAMMATES_repo.csv,TRUE,Closed,14,25,18.92,,
TEAMMATES_repo.csv,TRUE,Merged,42,75,56.76,,
TEAMMATES_repo.csv,FALSE,Open,0,0,0,,
TEAMMATES_repo.csv,FALSE,Closed,7,38.89,9.46,,
TEAMMATES_repo.csv,FALSE,Merged,11,61.11,14.86,,
wildfly_wildfly.csv,TRUE,Open,0,0,0,,
wildfly_wildfly.csv,TRUE,Closed,10,71.43,41.67,,
wildfly_wildfly.csv,TRUE,Merged,4,28.57,16.67,,
wildfly_wildfly.csv,FALSE,Open,0,0,0,,
wildfly_wildfly.csv,FALSE,Closed,4,40,16.67,,
wildfly_wildfly.csv,FALSE,Merged,6,60,25,,
