Repository,Test,Situation,Total,% com/sem,% total,,
elasticsearch_elasticsearch.csv,TRUE,Open,23,5.87,3.87,,
elasticsearch_elasticsearch.csv,TRUE,Closed,53,13.52,8.92,,
elasticsearch_elasticsearch.csv,TRUE,Merged,316,80.61,53.2,,
elasticsearch_elasticsearch.csv,FALSE,Open,12,5.94,2.02,,
elasticsearch_elasticsearch.csv,FALSE,Closed,77,38.12,12.96,,
elasticsearch_elasticsearch.csv,FALSE,Merged,113,55.94,19.02,,
enonic_xp.csv,TRUE,Open,0,0,0,,
enonic_xp.csv,TRUE,Closed,0,0,0,,
enonic_xp.csv,TRUE,Merged,2,100,50,,
enonic_xp.csv,FALSE,Open,0,0,0,,
enonic_xp.csv,FALSE,Closed,0,0,0,,
enonic_xp.csv,FALSE,Merged,2,100,50,,
fabric8io_fabric8.csv,TRUE,Open,0,0,0,,
fabric8io_fabric8.csv,TRUE,Closed,3,37.5,7.14,,
fabric8io_fabric8.csv,TRUE,Merged,5,62.5,11.9,,
fabric8io_fabric8.csv,FALSE,Open,0,0,0,,
fabric8io_fabric8.csv,FALSE,Closed,8,23.53,19.05,,
fabric8io_fabric8.csv,FALSE,Merged,26,76.47,61.9,,
mozilla_j2me.js.csv,TRUE,Open,0,0,0,,
mozilla_j2me.js.csv,TRUE,Closed,2,50,40,,
mozilla_j2me.js.csv,TRUE,Merged,2,50,40,,
mozilla_j2me.js.csv,FALSE,Open,0,0,0,,
mozilla_j2me.js.csv,FALSE,Closed,0,0,0,,
mozilla_j2me.js.csv,FALSE,Merged,1,100,20,,
RostarSynergistics_ShinyExpenseTracker.csv,TRUE,Open,0,0,0,,
RostarSynergistics_ShinyExpenseTracker.csv,TRUE,Closed,0,0,0,,
RostarSynergistics_ShinyExpenseTracker.csv,TRUE,Merged,1,100,100,,
RostarSynergistics_ShinyExpenseTracker.csv,FALSE,Open,0,NA,0,,
RostarSynergistics_ShinyExpenseTracker.csv,FALSE,Closed,0,NA,0,,
RostarSynergistics_ShinyExpenseTracker.csv,FALSE,Merged,0,NA,0,,
TEAMMATES_repo.csv,TRUE,Open,2,2.15,1.09,,
TEAMMATES_repo.csv,TRUE,Closed,26,27.96,14.13,,
TEAMMATES_repo.csv,TRUE,Merged,65,69.89,35.33,,
TEAMMATES_repo.csv,FALSE,Open,3,3.3,1.63,,
TEAMMATES_repo.csv,FALSE,Closed,21,23.08,11.41,,
TEAMMATES_repo.csv,FALSE,Merged,67,73.63,36.41,,
wildfly_wildfly.csv,TRUE,Open,0,0,0,,
wildfly_wildfly.csv,TRUE,Closed,22,52.38,25.58,,
wildfly_wildfly.csv,TRUE,Merged,20,47.62,23.26,,
wildfly_wildfly.csv,FALSE,Open,0,0,0,,
wildfly_wildfly.csv,FALSE,Closed,18,40.91,20.93,,
wildfly_wildfly.csv,FALSE,Merged,26,59.09,30.23,,
