Repository,User,Frequency,,
CS340Group_hit.csv,NULL,2,NA,NA
elasticsearch_elasticsearch.csv,abraxxa,2,NA,NA
elasticsearch_elasticsearch.csv,adityasinghraghav,2,NA,NA
elasticsearch_elasticsearch.csv,adrianbk,2,NA,NA
elasticsearch_elasticsearch.csv,albendz,2,NA,NA
elasticsearch_elasticsearch.csv,andrei-kalasok,2,NA,NA
elasticsearch_elasticsearch.csv,baptistemesta,2,NA,NA
elasticsearch_elasticsearch.csv,bharvidixit,2,NA,NA
elasticsearch_elasticsearch.csv,bogensberger,2,NA,NA
elasticsearch_elasticsearch.csv,bojdell,2,NA,NA
elasticsearch_elasticsearch.csv,buob,2,NA,NA
elasticsearch_elasticsearch.csv,camilojd,2,NA,NA
elasticsearch_elasticsearch.csv,cebe,2,NA,NA
elasticsearch_elasticsearch.csv,centic9,2,NA,NA
elasticsearch_elasticsearch.csv,charkost,2,NA,NA
elasticsearch_elasticsearch.csv,chaudum,2,NA,NA
elasticsearch_elasticsearch.csv,Chintanvpatel,2,NA,NA
elasticsearch_elasticsearch.csv,chrismattmann,2,NA,NA
elasticsearch_elasticsearch.csv,clement-tourriere,2,NA,NA
elasticsearch_elasticsearch.csv,cmpich,2,NA,NA
elasticsearch_elasticsearch.csv,CodingArtisans,2,NA,NA
elasticsearch_elasticsearch.csv,corochoone,2,NA,NA
elasticsearch_elasticsearch.csv,damienalexandre,2,NA,NA
elasticsearch_elasticsearch.csv,dantuffery,2,NA,NA
elasticsearch_elasticsearch.csv,DarthGregarious,2,NA,NA
elasticsearch_elasticsearch.csv,daschl,2,NA,NA
elasticsearch_elasticsearch.csv,desmorto,2,NA,NA
elasticsearch_elasticsearch.csv,dhondo01,2,NA,NA
elasticsearch_elasticsearch.csv,dmitry-php,2,NA,NA
elasticsearch_elasticsearch.csv,dpursehouse,2,NA,NA
elasticsearch_elasticsearch.csv,ebuildy,2,NA,NA
elasticsearch_elasticsearch.csv,elasticsearcher,2,NA,NA
elasticsearch_elasticsearch.csv,eliasah,2,NA,NA
elasticsearch_elasticsearch.csv,eratio08,2,NA,NA
elasticsearch_elasticsearch.csv,favoretti,2,NA,NA
elasticsearch_elasticsearch.csv,fbaligand,2,NA,NA
elasticsearch_elasticsearch.csv,frediz,2,NA,NA
elasticsearch_elasticsearch.csv,gabriel-tessier,2,NA,NA
elasticsearch_elasticsearch.csv,georgicodes,2,NA,NA
elasticsearch_elasticsearch.csv,gibrown,2,NA,NA
elasticsearch_elasticsearch.csv,girirajsharma,2,NA,NA
elasticsearch_elasticsearch.csv,gskema,2,NA,NA
elasticsearch_elasticsearch.csv,iulia-pasov,2,NA,NA
elasticsearch_elasticsearch.csv,iverase,2,NA,NA
elasticsearch_elasticsearch.csv,jarpy,2,NA,NA
elasticsearch_elasticsearch.csv,jasonodonnell,2,NA,NA
elasticsearch_elasticsearch.csv,jeff303,2,NA,NA
elasticsearch_elasticsearch.csv,jimhooker2002,2,NA,NA
