Repository,User,Frequency,,
CS340Group_hit.csv,brendonbeebe,50,NA,NA
CS340Group_hit.csv,nickethier,39,NA,NA
CS340Group_hit.csv,splodingsocks,61,NA,NA
elasticsearch_elasticsearch.csv,a2lin,5,NA,NA
elasticsearch_elasticsearch.csv,abeyad,64,NA,NA
elasticsearch_elasticsearch.csv,achow,4,NA,NA
elasticsearch_elasticsearch.csv,albertzaharovits,25,NA,NA
elasticsearch_elasticsearch.csv,aleph-zero,17,NA,NA
elasticsearch_elasticsearch.csv,alexksikes,33,NA,NA
elasticsearch_elasticsearch.csv,alexshadow007,8,NA,NA
elasticsearch_elasticsearch.csv,andrejserafim,6,NA,NA
elasticsearch_elasticsearch.csv,andrershov,4,NA,NA
elasticsearch_elasticsearch.csv,andrestc,7,NA,NA
elasticsearch_elasticsearch.csv,andyb-elastic,20,NA,NA
elasticsearch_elasticsearch.csv,ankon,8,NA,NA
elasticsearch_elasticsearch.csv,areek,32,NA,NA
elasticsearch_elasticsearch.csv,arinto,3,NA,NA
elasticsearch_elasticsearch.csv,asettouf,4,NA,NA
elasticsearch_elasticsearch.csv,astefan,14,NA,NA
elasticsearch_elasticsearch.csv,atorok,39,NA,NA
elasticsearch_elasticsearch.csv,awislowski,4,NA,NA
elasticsearch_elasticsearch.csv,benwtrent,14,NA,NA
elasticsearch_elasticsearch.csv,bizybot,15,NA,NA
elasticsearch_elasticsearch.csv,bleskes,161,NA,NA
elasticsearch_elasticsearch.csv,brwe,84,NA,NA
elasticsearch_elasticsearch.csv,cbismuth,5,NA,NA
elasticsearch_elasticsearch.csv,cbuescher,176,NA,NA
elasticsearch_elasticsearch.csv,cfontes,6,NA,NA
elasticsearch_elasticsearch.csv,chengpohi,7,NA,NA
elasticsearch_elasticsearch.csv,clintongormley,23,NA,NA
elasticsearch_elasticsearch.csv,colings86,150,NA,NA
elasticsearch_elasticsearch.csv,costin,28,NA,NA
elasticsearch_elasticsearch.csv,Crazybus,3,NA,NA
elasticsearch_elasticsearch.csv,cwurm,4,NA,NA
elasticsearch_elasticsearch.csv,dadoonet,115,NA,NA
elasticsearch_elasticsearch.csv,dakrone,132,NA,NA
elasticsearch_elasticsearch.csv,danielmitterdorfer,33,NA,NA
elasticsearch_elasticsearch.csv,DaveCTurner,32,NA,NA
elasticsearch_elasticsearch.csv,david-cho-lerat-HL2,3,NA,NA
elasticsearch_elasticsearch.csv,davidkyle,22,NA,NA
elasticsearch_elasticsearch.csv,debadair,12,NA,NA
elasticsearch_elasticsearch.csv,dedemorton,13,NA,NA
