Repository,User,Pull number,Test,Situation,,
CS340Group_hit.csv,NULL,64,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,abraxxa,8010,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,adityasinghraghav,19650,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,adrianbk,13743,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,albendz,31287,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,andrei-kalasok,8153,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,baptistemesta,34533,TRUE,Open,NA,NA
elasticsearch_elasticsearch.csv,bogensberger,8255,TRUE,Closed,NA,NA
elasticsearch_elasticsearch.csv,bojdell,24173,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,buob,7801,TRUE,Closed,NA,NA
elasticsearch_elasticsearch.csv,camilojd,13360,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,charkost,7257,TRUE,Closed,NA,NA
elasticsearch_elasticsearch.csv,chaudum,14153,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,chrismattmann,8399,TRUE,Closed,NA,NA
elasticsearch_elasticsearch.csv,clement-tourriere,8527,TRUE,Closed,NA,NA
elasticsearch_elasticsearch.csv,cmpich,8191,TRUE,Closed,NA,NA
elasticsearch_elasticsearch.csv,CodingArtisans,25038,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,damienalexandre,19077,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,dantuffery,13137,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,DarthGregarious,7282,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,daschl,19536,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,desmorto,25583,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,dhondo01,20011,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,dmitry-php,24030,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,dpursehouse,14668,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,ebuildy,29377,TRUE,Closed,NA,NA
elasticsearch_elasticsearch.csv,elasticsearcher,25277,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,eliasah,7171,TRUE,Closed,NA,NA
elasticsearch_elasticsearch.csv,eratio08,18477,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,fbaligand,24371,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,frediz,29444,TRUE,Closed,NA,NA
elasticsearch_elasticsearch.csv,georgicodes,14159,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,gibrown,20239,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,girirajsharma,14443,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,gskema,19908,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,iulia-pasov,6680,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,iverase,35291,TRUE,Open,NA,NA
elasticsearch_elasticsearch.csv,jarpy,24379,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,jasonodonnell,14295,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,jeff303,18451,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,jimhooker2002,12967,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,jimmyjones2,19310,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,joshuar,12818,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,jpcarey,18753,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,jurgc11,14390,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,kagel,8220,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,kevinkluge,8808,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,kkirsche,13998,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,kubum,12810,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,lukas-vlcek,8392,TRUE,Closed,NA,NA
elasticsearch_elasticsearch.csv,magul,24740,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,majormoses,31284,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,mariamhakobyan,8442,TRUE,Closed,NA,NA
elasticsearch_elasticsearch.csv,marylicanin,19721,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,mattweber,24121,TRUE,Closed,NA,NA
elasticsearch_elasticsearch.csv,Maviza101,19497,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,mdzor,8521,TRUE,Closed,NA,NA
elasticsearch_elasticsearch.csv,micpalmia,13958,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,nl5887,19486,TRUE,Closed,NA,NA
elasticsearch_elasticsearch.csv,OlegKunitsyn,12744,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,petmit,8806,TRUE,Closed,NA,NA
elasticsearch_elasticsearch.csv,pmusa,25533,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,ppf2,19899,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,propulkit,24923,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,rafalbig,31164,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,raraujosc,23998,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,reuben-sutton,7981,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,robertlyson,14003,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,romansanchez,6535,TRUE,Closed,NA,NA
elasticsearch_elasticsearch.csv,RTsien,24126,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,ScsUndefined,18965,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,SergVro,12633,TRUE,Closed,NA,NA
elasticsearch_elasticsearch.csv,seut,7702,TRUE,Closed,NA,NA
elasticsearch_elasticsearch.csv,Sohair63,7870,TRUE,Closed,NA,NA
elasticsearch_elasticsearch.csv,speedplane,19392,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,srini-raman,30571,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,sunkuet02,25635,TRUE,Closed,NA,NA
elasticsearch_elasticsearch.csv,timschlechter,14091,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,toddferg,30395,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,trangvh,18737,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,tristanbob,8599,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,tveasey,31288,TRUE,Closed,NA,NA
elasticsearch_elasticsearch.csv,tylerjl,19501,TRUE,Closed,NA,NA
elasticsearch_elasticsearch.csv,vboulaye,34667,TRUE,Open,NA,NA
elasticsearch_elasticsearch.csv,Viral-Inc,25594,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,wbowling,14770,TRUE,Closed,NA,NA
elasticsearch_elasticsearch.csv,winpat,6531,TRUE,Closed,NA,NA
elasticsearch_elasticsearch.csv,wittyameta,13622,TRUE,Closed,NA,NA
elasticsearch_elasticsearch.csv,yibinlin,25064,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,yjpu,24102,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,yokotaso,14609,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,zhangjett,29506,TRUE,Merged,NA,NA
enonic_xp.csv,RF0,3164,TRUE,Merged,NA,NA
fabric8io_fabric8.csv,antoinesd,125,TRUE,Closed,NA,NA
