Repository,User,Pull number,Test,Situation
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,1uk4sh,14775,TRUE,Merged
elasticsearch/elasticsearch,72MiguelGomes,35236,TRUE,Merged
elasticsearch/elasticsearch,adammenges,8745,TRUE,Merged
elasticsearch/elasticsearch,adammichalik,25647,TRUE,Merged
elasticsearch/elasticsearch,adhulipa,31087,TRUE,Merged
elasticsearch/elasticsearch,aditya-agrawal,30364,TRUE,Merged
elasticsearch/elasticsearch,adityasrini,29418,TRUE,Merged
elasticsearch/elasticsearch,aeroastro,25697,TRUE,Merged
elasticsearch/elasticsearch,aerokite,13533,TRUE,Merged
elasticsearch/elasticsearch,afrazkhan,13481,TRUE,Merged
elasticsearch/elasticsearch,afscrome,25254,TRUE,Merged
elasticsearch/elasticsearch,alexVengrovsk,14654,TRUE,Merged
elasticsearch/elasticsearch,alexwlchan,23901,TRUE,Merged
elasticsearch/elasticsearch,a-martyn,23946,TRUE,Merged
elasticsearch/elasticsearch,amishHammer,14869,TRUE,Merged
elasticsearch/elasticsearch,AnSungHyun,25462,TRUE,Merged
elasticsearch/elasticsearch,antjori,24841,TRUE,Merged
elasticsearch/elasticsearch,antonisppn,20350,TRUE,Merged
elasticsearch/elasticsearch,a-schuurman,29348,TRUE,Merged
elasticsearch/elasticsearch,ashashwat,30618,TRUE,Merged
elasticsearch/elasticsearch,ashwinkumar01,14074,TRUE,Merged
elasticsearch/elasticsearch,Asimov4,12742,TRUE,Merged
elasticsearch/elasticsearch,atapin,34647,TRUE,Merged
elasticsearch/elasticsearch,atc0005,30745,TRUE,Merged
elasticsearch/elasticsearch,BastianVoigt,19264,TRUE,Merged
elasticsearch/elasticsearch,bcoughlin,13747,TRUE,Merged
elasticsearch/elasticsearch,beiske,30118,TRUE,Merged
elasticsearch/elasticsearch,biswars,25900,TRUE,Merged
elasticsearch/elasticsearch,bnnsoft,31077,TRUE,Merged
elasticsearch/elasticsearch,boguth,18920,TRUE,Merged
elasticsearch/elasticsearch,brackxm,7396,TRUE,Merged
elasticsearch/elasticsearch,chevin99,25791,TRUE,Merged
elasticsearch/elasticsearch,chrisivens,24586,TRUE,Merged
elasticsearch/elasticsearch,chychkan,24796,TRUE,Merged
elasticsearch/elasticsearch,cigolpl,18914,TRUE,Merged
elasticsearch/elasticsearch,clandry94,30182,TRUE,Merged
elasticsearch/elasticsearch,codebunt,12735,TRUE,Merged
elasticsearch/elasticsearch,consulthys,19860,TRUE,Merged
elasticsearch/elasticsearch,csquire,13037,TRUE,Merged
elasticsearch/elasticsearch,cwhsu1984,19989,TRUE,Merged
elasticsearch/elasticsearch,daniloakamine,24220,TRUE,Merged
elasticsearch/elasticsearch,denismaciel,29430,TRUE,Merged
elasticsearch/elasticsearch,diwasjoshi,29602,TRUE,Merged
elasticsearch/elasticsearch,dkimdon,25361,TRUE,Merged
elasticsearch/elasticsearch,dmabuada,12604,TRUE,Merged
elasticsearch/elasticsearch,dmiszkiewicz,7610,TRUE,Merged
elasticsearch/elasticsearch,dongruguo,30322,TRUE,Merged
elasticsearch/elasticsearch,drewr,25310,TRUE,Merged
elasticsearch/elasticsearch,dschneiter,31575,TRUE,Merged
elasticsearch/elasticsearch,edjw,31585,TRUE,Merged
elasticsearch/elasticsearch,eirinikos,30159,TRUE,Merged
elasticsearch/elasticsearch,ejain,8832,TRUE,Merged
elasticsearch/elasticsearch,eknowles,25046,TRUE,Merged
elasticsearch/elasticsearch,ElenaRen,18648,TRUE,Merged
elasticsearch/elasticsearch,emolifeinc,13918,TRUE,Merged
elasticsearch/elasticsearch,erwan-koffi,14598,TRUE,Merged
elasticsearch/elasticsearch,estolfo,34548,TRUE,Merged
elasticsearch/elasticsearch,etiennecarriere,25709,TRUE,Merged
elasticsearch/elasticsearch,farisk,24270,TRUE,Merged
elasticsearch/elasticsearch,fernando-mc,30598,TRUE,Merged
elasticsearch/elasticsearch,fonxian,34479,TRUE,Merged
elasticsearch/elasticsearch,fracting,35126,TRUE,Merged
elasticsearch/elasticsearch,fyockm,20140,TRUE,Merged
elasticsearch/elasticsearch,Geesu,20177,TRUE,Merged
elasticsearch/elasticsearch,gitanupam,24505,TRUE,Merged
elasticsearch/elasticsearch,gkopylov,14812,TRUE,Merged
elasticsearch/elasticsearch,gmile,13189,TRUE,Merged
elasticsearch/elasticsearch,gruzovator,14040,TRUE,Merged
elasticsearch/elasticsearch,hafkensite,13863,TRUE,Merged
elasticsearch/elasticsearch,hanbj,25508,TRUE,Merged
elasticsearch/elasticsearch,hanneskaeufler,6660,TRUE,Merged
elasticsearch/elasticsearch,helllamer,7665,TRUE,Merged
elasticsearch/elasticsearch,howardhuanghua,30743,TRUE,Merged
elasticsearch/elasticsearch,hpez,29577,TRUE,Merged
elasticsearch/elasticsearch,hsoboh,23789,TRUE,Merged
elasticsearch/elasticsearch,ianomad,24163,TRUE,Merged
elasticsearch/elasticsearch,ichernev,19929,TRUE,Merged
elasticsearch/elasticsearch,ifo20,30652,TRUE,Merged
elasticsearch/elasticsearch,infoplat,19416,TRUE,Merged
elasticsearch/elasticsearch,insukcho,35279,TRUE,Merged
