Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
RostarSynergistics/ShinyExpenseTracker,closed,221,09fa93dcc9b887da3cc219e07c26d994e247c0ab,ShinyExpenseTrackerTests/src/ca/ualberta/cs/shinyexpensetracker/test/GeolocationViewTest.java,modified,3,0,NULL,2015-04-07 22:00:20,2015-04-07 22:00:20,2015-04-07 22:01:16,2015-04-07 22:01:16,,
RostarSynergistics/ShinyExpenseTracker,closed,221,0026d50d271ebde0a31fe9436b3ada3935331421,ShinyExpenseTrackerTests/src/ca/ualberta/cs/shinyexpensetracker/test/ManageTagsTest.java,modified,4,2,NULL,2015-04-07 22:00:20,2015-04-07 22:00:20,2015-04-07 22:01:16,2015-04-07 22:01:16,,
RostarSynergistics/ShinyExpenseTracker,closed,221,697753487a57daa4d2121401058032ce6ecec543,ShinyExpenseTrackerTests/src/ca/ualberta/cs/shinyexpensetracker/test/MapViewTest.java,modified,9,1,NULL,2015-04-07 22:00:20,2015-04-07 22:00:20,2015-04-07 22:01:16,2015-04-07 22:01:16,,
RostarSynergistics/ShinyExpenseTracker,closed,221,eb7236797b3f0d06237c477f90e9d9126bc43eef,ShinyExpenseTrackerTests/src/ca/ualberta/cs/shinyexpensetracker/test/ViewAllExpenseClaimsActivityTests.java,modified,5,2,NULL,2015-04-07 22:00:20,2015-04-07 22:00:20,2015-04-07 22:01:16,2015-04-07 22:01:16,,
RostarSynergistics/ShinyExpenseTracker,closed,221,60dff4453a5f113a9daa3622ed86c05018707bdc,ShinyExpenseTrackerTests/src/ca/ualberta/cs/shinyexpensetracker/test/models/ExpenseClaimEqualsTests.java,modified,3,3,NULL,2015-04-07 22:00:20,2015-04-07 22:00:20,2015-04-07 22:01:16,2015-04-07 22:01:16,,
RostarSynergistics/ShinyExpenseTracker,closed,218,2a889b643a6d540e98cd6b64ff73f7c1b7063aa5,ShinyExpenseTrackerTests/src/ca/ualberta/cs/shinyexpensetracker/test/GeolocationViewTest.java,modified,0,20,ItsTristan,2015-04-07 21:11:17,2015-04-07 21:11:17,2015-04-07 21:53:10,NA,,
RostarSynergistics/ShinyExpenseTracker,closed,218,468dbb32f87e6cf39329b8131b43f3dea7defd4c,ShinyExpenseTrackerTests/src/ca/ualberta/cs/shinyexpensetracker/test/MapViewTest.java,removed,0,90,ItsTristan,2015-04-07 21:11:17,2015-04-07 21:11:17,2015-04-07 21:53:10,NA,,
RostarSynergistics/ShinyExpenseTracker,closed,218,702f39e670dc79a70b939668856eb48ab15b41d0,ShinyExpenseTrackerTests/src/ca/ualberta/cs/shinyexpensetracker/test/ViewAllExpenseClaimsActivityTests.java,modified,0,157,ItsTristan,2015-04-07 21:11:17,2015-04-07 21:11:17,2015-04-07 21:53:10,NA,,
RostarSynergistics/ShinyExpenseTracker,closed,218,19bb2d337b08ff1f5674b492ee3f1890bed27501,ShinyExpenseTrackerTests/src/ca/ualberta/cs/shinyexpensetracker/test/models/ExpenseClaimEqualsTests.java,modified,5,3,ItsTristan,2015-04-07 21:11:17,2015-04-07 21:11:17,2015-04-07 21:53:10,NA,,
RostarSynergistics/ShinyExpenseTracker,closed,207,f8836d49fabb0ba08130822a23eedf6734369780,ShinyExpenseTrackerTests/src/ca/ualberta/cs/shinyexpensetracker/test/AddExpenseClaimTests.java,modified,9,14,ItsTristan,2015-04-07 02:57:20,2015-04-07 02:57:20,2015-04-07 15:44:34,2015-04-07 15:44:34,,
RostarSynergistics/ShinyExpenseTracker,closed,207,0a905d818d9ac74a259553b5979499c5fb928c60,ShinyExpenseTrackerTests/src/ca/ualberta/cs/shinyexpensetracker/test/AddExpenseItemTests.java,modified,4,10,ItsTristan,2015-04-07 02:57:20,2015-04-07 02:57:20,2015-04-07 15:44:34,2015-04-07 15:44:34,,
