Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
TEAMMATES/repo,open,9231,f992d97ae573c01ef09ec4e6dc91040866c936ee,docs/process.md,modified,1,0,NULL,2018-11-09 09:38:11,2018-11-09 09:38:11,0,0,,
TEAMMATES/repo,open,9231,093060809311be900c2b4858ce9e103a7544ba21,src/main/webapp/data/developers.json,modified,13,0,NULL,2018-11-09 09:38:11,2018-11-09 09:38:11,0,0,,
TEAMMATES/repo,open,9228,30e88b566444efa645261c019b0e8e8fe7c16ce6,build.gradle,modified,6,1,xpdavid,2018-11-08 17:39:14,2018-11-08 17:39:14,0,0,,
TEAMMATES/repo,open,9228,3432d99883ca2eb98620e3b36ba98c6c7f024a7c,docs/ide-setup.md,modified,2,1,xpdavid,2018-11-08 17:39:14,2018-11-08 17:39:14,0,0,,
TEAMMATES/repo,open,9228,fb7116d7b0d02250aa9a04c67c35f4fa4d5088ca,docs/setting-up.md,modified,36,31,xpdavid,2018-11-08 17:39:14,2018-11-08 17:39:14,0,0,,
TEAMMATES/repo,open,9228,255589d6b3508b970d236c906ee328fe4fb8caa1,package.json,modified,1,1,xpdavid,2018-11-08 17:39:14,2018-11-08 17:39:14,0,0,,
TEAMMATES/repo,open,9228,7f70632ccd7016aa9e44d5f38bd4e43fa75f0cfe,src/e2e/java/teammates/e2e/util/BackDoor.java,modified,1,1,xpdavid,2018-11-08 17:39:14,2018-11-08 17:39:14,0,0,,
TEAMMATES/repo,open,9228,d2b70d2fc15f4a094fa8b1e6a4a20505e3700f1a,src/main/java/teammates/common/util/Const.java,modified,5,17,xpdavid,2018-11-08 17:39:14,2018-11-08 17:39:14,0,0,,
TEAMMATES/repo,open,9228,664411ec25acf7c8629bb88caf7f3226a3344d5b,src/main/java/teammates/common/util/HttpRequestHelper.java,modified,2,5,xpdavid,2018-11-08 17:39:14,2018-11-08 17:39:14,0,0,,
TEAMMATES/repo,open,9228,ea69ddf447990894a0b211a44e5a2dab19754dbf,src/main/java/teammates/logic/api/GateKeeper.java,modified,8,0,xpdavid,2018-11-08 17:39:14,2018-11-08 17:39:14,0,0,,
