Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
fabric8io/fabric8,closed,7067,be148701fd07014d6315e1e9bda648fda796ef70,components/fabric8-utils/src/test/java/io/fabric8/utils/ZipsTest.java,added,39,0,cunningt,2018-06-05 20:54:59,2018-06-05 20:54:59,2018-06-07 11:46:14,2018-06-07 11:46:14,,
fabric8io/fabric8,closed,7067,38b3f499de0163e62ca15ce18350a9d9a477a51b,components/fabric8-utils/src/test/resources/zip-test.zip,added,0,0,cunningt,2018-06-05 20:54:59,2018-06-05 20:54:59,2018-06-07 11:46:14,2018-06-07 11:46:14,,
fabric8io/fabric8,closed,7023,8e5acba389d605c65ba053f51126d172612a1231,components/fabric8-karaf/fabric8-karaf-cm/src/test/java/io/fabric8/karaf/cm/KubernetesConfigAdminBridgeTest.java,added,80,0,valdar,2018-02-13 20:04:22,2018-02-13 20:04:22,2018-02-13 20:09:07,NA,,
fabric8io/fabric8,closed,6990,3fb53a88c6b52da63ea6c1b5f164cd9f151b4dbb,docs/testing.md,modified,1,1,fabric8cd,2017-11-17 08:33:31,2017-11-17 08:33:31,2017-11-17 08:38:58,2017-11-17 08:38:58,,
fabric8io/fabric8,closed,6983,a16ab2237ef3d4fcf83e2d0ba99011e69edcd3fc,tooling/migration/src/test/resources/profiles/docs/fabric/continuousDeployment.md,modified,2,2,ivuk,2017-11-13 12:08:12,2017-11-13 12:08:12,2017-11-13 12:16:42,2017-11-13 12:16:42,,
fabric8io/fabric8,closed,6983,1eff651702813dc98a6135aa6d50d554b305fb0e,tooling/migration/src/test/resources/profiles/docs/fabric/faqConfig.md,modified,2,2,ivuk,2017-11-13 12:08:12,2017-11-13 12:08:12,2017-11-13 12:16:42,2017-11-13 12:16:42,,
fabric8io/fabric8,closed,6983,1ac59e3bf1a21d99bce37680874a83b85c1e953b,tooling/migration/src/test/resources/profiles/docs/fabric/faqOsgi.md,modified,1,1,ivuk,2017-11-13 12:08:12,2017-11-13 12:08:12,2017-11-13 12:16:42,2017-11-13 12:16:42,,
fabric8io/fabric8,closed,6983,0022a93b84415eda4b2a61aba18722c84d32190f,tooling/migration/src/test/resources/profiles/docs/fabric/openshift.md,modified,1,1,ivuk,2017-11-13 12:08:12,2017-11-13 12:08:12,2017-11-13 12:16:42,2017-11-13 12:16:42,,
fabric8io/fabric8,closed,6970,94937672b0748618f7fd84c33f8489f4dfa3796b,components/fabric8-project-utils/src/test/java/io/fabric8/project/support/GitHubCloneUrlTest.java,added,24,0,fabric8cd,2017-10-29 17:26:12,2017-10-29 17:26:12,2017-11-06 11:33:41,2017-11-06 11:33:41,,
fabric8io/fabric8,closed,6970,803cbcbd24389bdede5de04c309f04525ee7892e,components/fabric8-project-utils/src/test/java/io/fabric8/project/support/GitUtilsTest.java,modified,31,2,fabric8cd,2017-10-29 17:26:12,2017-10-29 17:26:12,2017-11-06 11:33:41,2017-11-06 11:33:41,,
fabric8io/fabric8,closed,6967,6a3f30521e3e687028055abf4c03e8b48299816c,components/fabric8-cdi/src/test/java/io/fabric8/cdi/weld/ClientProducer.java,modified,4,4,kameshsampath,2017-10-25 15:15:02,2017-10-25 15:15:02,2017-10-25 15:48:51,2017-10-25 15:48:51,,
fabric8io/fabric8,closed,6967,641d2c6aa326473195a57937a388bed22d407ed1,components/fabric8-spring-boot/src/test/java/io/fabric8/spring/boot/URLToConnection.java,modified,1,1,kameshsampath,2017-10-25 15:15:02,2017-10-25 15:15:02,2017-10-25 15:48:51,2017-10-25 15:48:51,,
fabric8io/fabric8,closed,6967,13bc09c0767c46ba39ce4c1645a604a1da6974c7,components/fabric8-spring-boot/src/test/java/io/fabric8/spring/boot/external/ClientFactory.java,modified,2,2,kameshsampath,2017-10-25 15:15:02,2017-10-25 15:15:02,2017-10-25 15:48:51,2017-10-25 15:48:51,,
fabric8io/fabric8,closed,6967,7cf09627ab5420290827d3f66c30aef9a13e89e1,components/fabric8-spring-boot/src/test/resources/mock/app-library-service.json,modified,1,1,kameshsampath,2017-10-25 15:15:02,2017-10-25 15:15:02,2017-10-25 15:48:51,2017-10-25 15:48:51,,
fabric8io/fabric8,closed,6967,504948804f21009712ca138a57ff2bc38cb915f4,components/fabric8-spring-boot/src/test/resources/mock/fabric8-console-service.json,modified,1,1,kameshsampath,2017-10-25 15:15:02,2017-10-25 15:15:02,2017-10-25 15:48:51,2017-10-25 15:48:51,,
fabric8io/fabric8,closed,6967,f4abc716a9ae975efd0cfc2cfccd9c372fb417bd,components/fabric8-spring-boot/src/test/resources/mock/kubernetes-service.json,modified,1,1,kameshsampath,2017-10-25 15:15:02,2017-10-25 15:15:02,2017-10-25 15:48:51,2017-10-25 15:48:51,,
fabric8io/fabric8,closed,6967,233810ccc4796fcf5b67995f165a9a778170c099,components/fabric8-spring-boot/src/test/resources/mock/services.json,modified,21,21,kameshsampath,2017-10-25 15:15:02,2017-10-25 15:15:02,2017-10-25 15:48:51,2017-10-25 15:48:51,,
fabric8io/fabric8,closed,6967,f30596561dd4990448cc5c31a0089cfd170f7b5e,components/hubot-api/src/test/java/io/fabric8/hubot/ClientProducer.java,modified,0,1,kameshsampath,2017-10-25 15:15:02,2017-10-25 15:15:02,2017-10-25 15:48:51,2017-10-25 15:48:51,,
fabric8io/fabric8,closed,6967,7308d428e7c137ca4f88379651d71497488cd4d1,docs/testing.md,modified,22,22,kameshsampath,2017-10-25 15:15:02,2017-10-25 15:15:02,2017-10-25 15:48:51,2017-10-25 15:48:51,,
fabric8io/fabric8,closed,6956,6102ce59e7a1409910dc8e5c8af61c27fdbbfc00,components/fabric8-karaf/fabric8-karaf-itests/pom.xml,modified,1,1,oscerd,2017-10-10 16:05:52,2017-10-10 16:05:52,2017-10-10 16:11:15,2017-10-10 16:11:15,,
fabric8io/fabric8,closed,6949,ed302d4843a0e20253d9b8f9e73ce7659102d53a,components/kubernetes-api/src/test/java/io/fabric8/kubernetes/api/SafeKubernetesNameTest.java,modified,6,0,oscerd,2017-10-06 14:07:31,2017-10-06 14:07:31,2017-10-06 14:12:54,2017-10-06 14:12:54,,
fabric8io/fabric8,closed,6927,d2dee3c4637a89ca2538101cb6cb809155511fa2,components/jenkins-assertions/src/main/java/io/fabric8/testing/jenkins/JenkinsAsserts.java,modified,228,22,fabric8cd,2017-08-10 15:58:16,2017-08-10 15:58:16,2017-08-10 16:03:08,2017-08-10 16:03:08,,
fabric8io/fabric8,closed,6926,0342d9c86ec9bf24015fdf3f92c306d327e7bbd6,components/jenkins-assertions/src/main/java/io/fabric8/testing/jenkins/JenkinsAsserts.java,modified,201,22,jstrachan,2017-08-10 15:40:36,2017-08-10 15:40:36,2017-08-10 15:46:28,2017-08-10 15:46:28,,
fabric8io/fabric8,closed,6908,239b6b9b9a9c97e47e66a9e5edd973aae0b9f36f,components/fabric8-spring-boot/src/test/java/io/fabric8/spring/boot/external/ApplicationExternalTest.java,modified,2,2,jstrachan,2017-07-19 10:46:00,2017-07-19 10:46:00,2017-07-19 10:51:36,2017-07-19 10:51:36,,
fabric8io/fabric8,closed,6908,4c712414feb42df2f35dc7ea1d575a3126d4dddd,components/fabric8-spring-boot/src/test/java/io/fabric8/spring/boot/internal/ApplicationInternalTest.java,modified,2,2,jstrachan,2017-07-19 10:46:00,2017-07-19 10:46:00,2017-07-19 10:51:36,2017-07-19 10:51:36,,
fabric8io/fabric8,closed,6898,e114171ea295763e53995c605707ad4478c629ee,components/fabric8-karaf/fabric8-karaf-itests/pom.xml,modified,1,1,NULL,2017-07-04 15:30:46,2017-07-04 15:30:46,2017-07-04 15:35:41,2017-07-04 15:35:41,,
fabric8io/fabric8,closed,6876,b117f9e76901e11d6ec17a804e5c26d47062b1bf,components/kubernetes-api/src/test/java/io/fabric8/kubernetes/api/environments/ListEnvironments.java,modified,15,10,jstrachan,2017-06-10 11:00:25,2017-06-10 11:00:25,2017-06-10 11:05:10,2017-06-10 11:05:10,,
fabric8io/fabric8,closed,6875,4acd503e7a6964ea85340088c58ad3e1d725bdc8,components/kubernetes-api/src/test/java/io/fabric8/kubernetes/api/pipelines/ViewPipelineConfiguration.java,modified,8,9,jstrachan,2017-06-10 10:18:26,2017-06-10 10:18:26,2017-06-10 10:23:57,2017-06-10 10:23:57,,
fabric8io/fabric8,closed,6869,94597d203885d90c1883826f7e514a6c1ad9fa72,components/jolokia-assertions/src/test/java/io/fabric8/jolokia/assertions/ExampleTest.java,modified,1,1,elharo,2017-06-01 14:48:31,2017-06-01 14:48:31,2017-06-01 14:53:56,2017-06-01 14:53:56,,
fabric8io/fabric8,closed,6832,94597d203885d90c1883826f7e514a6c1ad9fa72,components/jolokia-assertions/src/test/java/io/fabric8/jolokia/assertions/ExampleTest.java,modified,1,1,rajdavies,2017-04-12 18:37:13,2017-04-12 18:37:13,2017-04-12 18:42:05,2017-04-12 18:42:05,,
fabric8io/fabric8,closed,6831,94597d203885d90c1883826f7e514a6c1ad9fa72,components/jolokia-assertions/src/test/java/io/fabric8/jolokia/assertions/ExampleTest.java,modified,1,1,dhirajsb,2017-04-12 18:28:27,2017-04-12 18:28:27,2017-04-12 19:01:50,2017-04-12 19:01:49,,
fabric8io/fabric8,closed,6826,1d60f112bd5ff646de6044246b1140055e8aef8f,components/fabric8-arquillian/src/test/java/io/fabric8/arquillian/kubernetes/ConfigurationTest.java,modified,1,1,oscerd,2017-04-04 12:58:59,2017-04-04 12:58:59,2017-04-04 13:03:07,2017-04-04 13:03:07,,
fabric8io/fabric8,closed,6826,c8e3f8e9ee21e0390ae439d2b264debf20254823,components/kubernetes-api/src/test/java/io/fabric8/kubernetes/api/pipelines/OpenShiftPipelineTest.java,modified,1,1,oscerd,2017-04-04 12:58:59,2017-04-04 12:58:59,2017-04-04 13:03:07,2017-04-04 13:03:07,,
fabric8io/fabric8,closed,6826,47845fa3239feb0e3582835b41f8a100be72c7b4,components/kubernetes-api/src/test/java/io/fabric8/kubernetes/api/spaces/SpacesTest.java,modified,1,1,oscerd,2017-04-04 12:58:59,2017-04-04 12:58:59,2017-04-04 13:03:07,2017-04-04 13:03:07,,
fabric8io/fabric8,closed,6822,6a96d909b797b4fa116f0dbf8a45507dc9abef40,components/kubernetes-api/src/test/java/io/fabric8/kubernetes/api/environments/ListEnvironments.java,modified,1,0,fabric8cd,2017-04-04 08:07:05,2017-04-04 08:07:05,2017-04-04 08:20:44,2017-04-04 08:20:44,,
fabric8io/fabric8,closed,6821,6199f21c2b2faa2c4317725110454064be54bfd5,components/fabric8-arquillian/src/test/java/io/fabric8/arquillian/kubernetes/ConfigurationTest.java,modified,75,1,jstrachan,2017-04-03 16:29:40,2017-04-03 16:29:40,2017-04-03 17:01:01,2017-04-03 17:01:01,,
fabric8io/fabric8,closed,6821,f4194b4e063b3c34da5e7a12f9108cffd9b35238,components/fabric8-arquillian/src/test/java/io/fabric8/arquillian/kubernetes/ShowConfiguration.java,added,45,0,jstrachan,2017-04-03 16:29:40,2017-04-03 16:29:40,2017-04-03 17:01:01,2017-04-03 17:01:01,,
fabric8io/fabric8,closed,6819,d044a90f4650424776b468e1ececb1c91473bab7,components/gitrepo-api/src/test/java/io/fabric8/repo/git/Example.java,modified,1,1,fabric8cd,2017-03-31 16:05:55,2017-03-31 16:05:55,2017-03-31 16:19:27,2017-03-31 16:19:27,,
fabric8io/fabric8,closed,6819,c45d1d29a1da944b59851e04f6b397970de7d2ba,components/gitrepo-api/src/test/java/io/fabric8/repo/git/JsonTest.java,modified,1,1,fabric8cd,2017-03-31 16:05:55,2017-03-31 16:05:55,2017-03-31 16:19:27,2017-03-31 16:19:27,,
fabric8io/fabric8,closed,6819,bf70a2866b4a8954f752477f51e40504ce733909,components/gitrepo-api/src/test/java/io/fabric8/repo/gitlab/Example.java,modified,0,5,fabric8cd,2017-03-31 16:05:55,2017-03-31 16:05:55,2017-03-31 16:19:27,2017-03-31 16:19:27,,
fabric8io/fabric8,closed,6819,39b7b5e956e992381ff211a09e92962929fc7b6c,components/jaxrs-utils/src/test/resources/log4j.properties,added,25,0,fabric8cd,2017-03-31 16:05:55,2017-03-31 16:05:55,2017-03-31 16:19:27,2017-03-31 16:19:27,,
fabric8io/fabric8,closed,6819,fcbd2d84aa8f0d297a9e725502762b1183cc3664,components/letschat-api/src/test/java/io/fabric8/letschat/JsonTest.java,modified,1,1,fabric8cd,2017-03-31 16:05:55,2017-03-31 16:05:55,2017-03-31 16:19:27,2017-03-31 16:19:27,,
fabric8io/fabric8,closed,6819,ab0354856a7666f0af4ea3477e9a5dcad8722e96,components/taiga-api/src/test/java/io/fabric8/taiga/JsonTest.java,modified,1,1,fabric8cd,2017-03-31 16:05:55,2017-03-31 16:05:55,2017-03-31 16:19:27,2017-03-31 16:19:27,,
fabric8io/fabric8,closed,6818,df7be8a2e9b7c5220ad26c801dd1e0949907edae,components/kubernetes-api/src/test/java/io/fabric8/kubernetes/api/spaces/ListSpaces.java,added,40,0,jstrachan,2017-03-30 20:03:24,2017-03-30 20:03:24,2017-03-30 20:16:56,2017-03-30 20:16:56,,
fabric8io/fabric8,closed,6818,c540da45424acaf5779d54b10fdaf3d8d0c95476,components/kubernetes-api/src/test/java/io/fabric8/kubernetes/api/spaces/SpacesTest.java,added,89,0,jstrachan,2017-03-30 20:03:24,2017-03-30 20:03:24,2017-03-30 20:16:56,2017-03-30 20:16:56,,
fabric8io/fabric8,closed,6818,e57724ae56127cea40cec8b6b1e532f8f2e4c4a9,components/kubernetes-api/src/test/resources/fabric8-spaces.yml,added,24,0,jstrachan,2017-03-30 20:03:24,2017-03-30 20:03:24,2017-03-30 20:16:56,2017-03-30 20:16:56,,
fabric8io/fabric8,closed,6807,2e7695ac0e576dc75fa673ae2dd341b499f00f95,components/kubernetes-api/src/test/java/io/fabric8/kubernetes/api/pipelines/ViewPipelineConfiguration.java,added,52,0,oscerd,2017-03-14 15:55:44,2017-03-14 15:55:44,2017-03-14 16:00:58,2017-03-14 16:00:58,,
fabric8io/fabric8,closed,6806,990ac6d6ddf02b32ad5706b8500fe9bc96d5635c,components/kubernetes-api/src/test/java/io/fabric8/kubernetes/api/pipelines/OpenShiftPipelineTest.java,modified,2,2,jstrachan,2017-03-13 15:40:29,2017-03-13 15:40:29,2017-03-13 15:44:35,2017-03-13 15:44:35,,
fabric8io/fabric8,closed,6806,3c33797551d5a30433c6f382f0afb95ff9705c05,components/kubernetes-api/src/test/java/io/fabric8/kubernetes/api/pipelines/PipelineConfigurationParseTest.java,modified,37,0,jstrachan,2017-03-13 15:40:29,2017-03-13 15:40:29,2017-03-13 15:44:35,2017-03-13 15:44:35,,
