Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
mozilla/j2me.js,closed,1880,c00e4d836299989a5e2ed7410c6281d0d33f6e16,.travis.yml,modified,4,2,NULL,2017-02-17 17:51:25,2017-02-17 17:51:25,2018-08-20 15:49:41,NA,,
mozilla/j2me.js,closed,1879,71af76e2095482dbe35e552cb0c66868a5bfb2a8,.travis.yml,modified,1,1,keheliya,2017-01-06 01:04:22,2017-01-06 01:04:22,2018-08-20 15:49:13,NA,,
mozilla/j2me.js,closed,1879,ef2af46cba77375442c47eac68787927b9e1f3b0,jit/analyze.ts,modified,4,4,keheliya,2017-01-06 01:04:22,2017-01-06 01:04:22,2018-08-20 15:49:13,NA,,
mozilla/j2me.js,closed,1879,77e5cb4c7448bd3c3c55ac539cb9395120c47cb9,jit/baseline.ts,modified,7,6,keheliya,2017-01-06 01:04:22,2017-01-06 01:04:22,2018-08-20 15:49:13,NA,,
mozilla/j2me.js,closed,1879,cda9d380c50715aa3cc1ba4809ffcaeaa55c54d4,jsc.ts,modified,2,1,keheliya,2017-01-06 01:04:22,2017-01-06 01:04:22,2018-08-20 15:49:13,NA,,
mozilla/j2me.js,closed,1879,8beddfbe8a5eb0181e7c2a468b8bea6a2a05e5ed,shell/pluot.js,modified,7,0,keheliya,2017-01-06 01:04:22,2017-01-06 01:04:22,2018-08-20 15:49:13,NA,,
mozilla/j2me.js,closed,1879,e524e775b2667d97e07b3506b0c8a3bd76e99061,utilities.ts,modified,2,1,keheliya,2017-01-06 01:04:22,2017-01-06 01:04:22,2018-08-20 15:49:13,NA,,
mozilla/j2me.js,closed,1879,c0978766bb5b6221db09fb945231548f2aacb01d,vm/parser.ts,modified,7,1,keheliya,2017-01-06 01:04:22,2017-01-06 01:04:22,2018-08-20 15:49:13,NA,,
mozilla/j2me.js,closed,1879,9c4141fd153de379f78d98c77fb8e79f08cd60e6,vm/runtime.ts,modified,5,4,keheliya,2017-01-06 01:04:22,2017-01-06 01:04:22,2018-08-20 15:49:13,NA,,
mozilla/j2me.js,closed,1878,60c2922e92be814e0f59cd40073359f0d2a93965,shell/pluot.js,modified,32,46,brendandahl,2017-01-05 22:33:25,2017-01-05 22:33:25,2017-01-06 00:11:36,2017-01-06 00:11:36,,
