Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
realtalk403/realtalk,closed,167,58da1961df29e14310e0838bbb77cddf92820427,bin/LoginActivity.apk,added,0,0,NULL,2013-06-10 02:46:45,2013-06-10 02:46:45,2013-06-10 02:46:51,2013-06-10 02:46:51,,
realtalk403/realtalk,closed,166,574e1cac84812636ca40764746ece3f783c5ed42,src/realtalk/util/ChatManager.java,modified,1,2,taylorsw,2013-06-10 00:50:49,2013-06-10 00:50:49,2013-06-10 02:21:41,2013-06-10 02:21:41,,
realtalk403/realtalk,closed,165,fcd941b8ba2d3777518e0ad4d78f46af27303b2c,res/drawable-es/realtalkicon.png,added,0,0,colinkho,2013-06-09 23:01:26,2013-06-09 23:01:26,2013-06-09 23:03:44,2013-06-09 23:03:44,,
realtalk403/realtalk,closed,165,e2cb94e89ca5c31408030cf4387935b7383937db,res/drawable-es/realtalklogo.png,added,0,0,colinkho,2013-06-09 23:01:26,2013-06-09 23:01:26,2013-06-09 23:03:44,2013-06-09 23:03:44,,
realtalk403/realtalk,closed,164,fe834b75346b0f36383afb7f1c84a63cedc04f4d,src/realtalk/activities/LoginActivity.java,modified,1,1,blee92,2013-06-09 21:16:40,2013-06-09 21:16:40,2013-06-09 23:31:30,2013-06-09 23:31:30,,
realtalk403/realtalk,closed,164,b4fcea01063fb67b9936d6ba5f90e50cdbde9816,src/realtalk/util/HttpUtility.java,modified,18,2,blee92,2013-06-09 21:16:40,2013-06-09 21:16:40,2013-06-09 23:31:30,2013-06-09 23:31:30,,
realtalk403/realtalk,closed,163,1f8eefe551c0af459aa1cb7120d5c830921b3446,src/realtalk/activities/ChatRoomActivity.java,modified,2,6,joryrice,2013-06-09 20:26:56,2013-06-09 20:26:56,2013-06-09 21:23:31,2013-06-09 21:23:31,,
realtalk403/realtalk,closed,162,4833d27a180ebe9dddaf1a4cd1308b6113c202db,res/values-es/strings.xml,added,99,0,hazarij,2013-06-09 07:33:57,2013-06-09 07:33:57,2013-06-09 18:34:07,2013-06-09 18:34:07,,
realtalk403/realtalk,closed,162,09dd0294d25a2d255beed1144d2629fa1112de3b,res/values/strings.xml,modified,2,5,hazarij,2013-06-09 07:33:57,2013-06-09 07:33:57,2013-06-09 18:34:07,2013-06-09 18:34:07,,
realtalk403/realtalk,closed,162,83855e2e790398e58fba7e050df98d201ed7c1e4,src/realtalk/activities/ChatRoomActivity.java,modified,0,1,hazarij,2013-06-09 07:33:57,2013-06-09 07:33:57,2013-06-09 18:34:07,2013-06-09 18:34:07,,
realtalk403/realtalk,closed,162,7063068833c157ca6abd671524aa295389ff8e8b,src/realtalk/model/ChatRoomModel.java,modified,5,1,hazarij,2013-06-09 07:33:57,2013-06-09 07:33:57,2013-06-09 18:34:07,2013-06-09 18:34:07,,
realtalk403/realtalk,closed,162,814f4ba3c349cfc1c3e2f775140c8b856cd11961,src/realtalk/util/ChatManager.java,modified,103,31,hazarij,2013-06-09 07:33:57,2013-06-09 07:33:57,2013-06-09 18:34:07,2013-06-09 18:34:07,,
realtalk403/realtalk,closed,162,11435bb674f3ba4a5eb4956cb450de368e179056,src/realtalk/util/HttpUtility.java,modified,1,1,hazarij,2013-06-09 07:33:57,2013-06-09 07:33:57,2013-06-09 18:34:07,2013-06-09 18:34:07,,
realtalk403/realtalk,closed,162,11ddada61ab548bacdb76093577260177909f3b0,src/realtalk/util/JSONParser.java,modified,1,0,hazarij,2013-06-09 07:33:57,2013-06-09 07:33:57,2013-06-09 18:34:07,2013-06-09 18:34:07,,
realtalk403/realtalk,closed,162,de903edf9b9a979a8d069def20e054b467ca73f9,src/realtalk/util/gcm/GCMIntentService.java,modified,143,134,hazarij,2013-06-09 07:33:57,2013-06-09 07:33:57,2013-06-09 18:34:07,2013-06-09 18:34:07,,
realtalk403/realtalk,closed,160,a5252527fea9ff2735aff1b19e05dc3883cb2d39,.gitignore,modified,38,38,CoryShiraishi,2013-06-09 00:23:17,2013-06-09 00:23:17,2013-06-09 00:25:53,2013-06-09 00:25:53,,
realtalk403/realtalk,closed,160,3b6e8bdc3401c95e783092ffee5baf9129e615c7,AndroidManifest.xml,modified,67,67,CoryShiraishi,2013-06-09 00:23:17,2013-06-09 00:23:17,2013-06-09 00:25:53,2013-06-09 00:25:53,,
realtalk403/realtalk,closed,160,bd57f3a0806d2c2e711734da395f5dde3e4bcc43,README.md,modified,4,4,CoryShiraishi,2013-06-09 00:23:17,2013-06-09 00:23:17,2013-06-09 00:25:53,2013-06-09 00:25:53,,
realtalk403/realtalk,closed,160,2c9f773cdd2eebae8e23c79aa013902f78f6164f,build.xml,modified,121,121,CoryShiraishi,2013-06-09 00:23:17,2013-06-09 00:23:17,2013-06-09 00:25:53,2013-06-09 00:25:53,,
realtalk403/realtalk,closed,160,6740235493e7be7b29ee56ece238a2bdc8b7f70d,docs/alpha/SRS/UML-class-diagram/src/RealTalkServer UML Class Diagram.class.violet,modified,839,839,CoryShiraishi,2013-06-09 00:23:17,2013-06-09 00:23:17,2013-06-09 00:25:53,2013-06-09 00:25:53,,
realtalk403/realtalk,closed,160,35d0fb4884d215d24ba2ec08b0cd1fbabb873e5b,docs/alpha/SRS/UML-sequence-diagram/src/AddUserSequenceDiagram.seq.violet,modified,511,511,CoryShiraishi,2013-06-09 00:23:17,2013-06-09 00:23:17,2013-06-09 00:25:53,2013-06-09 00:25:53,,
realtalk403/realtalk,closed,160,a86224ba891ea15d5e21d0f875cbb0463d5a12c3,docs/alpha/SRS/UML-sequence-diagram/src/PostMessageSequenceDiagram.seq.violet,modified,531,531,CoryShiraishi,2013-06-09 00:23:17,2013-06-09 00:23:17,2013-06-09 00:25:53,2013-06-09 00:25:53,,
realtalk403/realtalk,closed,160,26accc02fd7c5e2476f900084d70c574f24537ad,findbugs-exclude.xml,modified,6,6,CoryShiraishi,2013-06-09 00:23:17,2013-06-09 00:23:17,2013-06-09 00:25:53,2013-06-09 00:25:53,,
realtalk403/realtalk,closed,160,88cf5a499e9b25ad1566a9c8d9a6097f552b1d31,res/layout/activity_account_settings.xml,modified,128,128,CoryShiraishi,2013-06-09 00:23:17,2013-06-09 00:23:17,2013-06-09 00:25:53,2013-06-09 00:25:53,,
realtalk403/realtalk,closed,160,87cc0e8ce4db4e76be46a624a093a77dfee0bba0,res/layout/activity_create_account.xml,modified,97,97,CoryShiraishi,2013-06-09 00:23:17,2013-06-09 00:23:17,2013-06-09 00:25:53,2013-06-09 00:25:53,,
realtalk403/realtalk,closed,160,0478fdd41a2298730ec2ae7abd83b22c3893044a,res/layout/activity_create_room.xml,modified,93,93,CoryShiraishi,2013-06-09 00:23:17,2013-06-09 00:23:17,2013-06-09 00:25:53,2013-06-09 00:25:53,,
realtalk403/realtalk,closed,160,909d5112af4f6926d4a2d2d037c18d9efdd1a19f,res/layout/activity_main.xml,modified,100,100,CoryShiraishi,2013-06-09 00:23:17,2013-06-09 00:23:17,2013-06-09 00:25:53,2013-06-09 00:25:53,,
realtalk403/realtalk,closed,160,9bce24ac39eb2220bd59aceaaa95e84c219586df,res/layout/activity_select_room.xml,modified,129,129,CoryShiraishi,2013-06-09 00:23:17,2013-06-09 00:23:17,2013-06-09 00:25:53,2013-06-09 00:25:53,,
realtalk403/realtalk,closed,160,79769130ae95928e54ca0510e60a49a6f7ba9927,res/layout/checkbox_anon.xml,modified,13,13,CoryShiraishi,2013-06-09 00:23:17,2013-06-09 00:23:17,2013-06-09 00:25:53,2013-06-09 00:25:53,,
realtalk403/realtalk,closed,160,2bf74f1ae313f5c0f9bd94406937c4d552da058a,res/menu/account_settings.xml,modified,2,2,CoryShiraishi,2013-06-09 00:23:17,2013-06-09 00:23:17,2013-06-09 00:25:53,2013-06-09 00:25:53,,
realtalk403/realtalk,closed,160,2bf74f1ae313f5c0f9bd94406937c4d552da058a,res/menu/chat_room.xml,modified,2,2,CoryShiraishi,2013-06-09 00:23:17,2013-06-09 00:23:17,2013-06-09 00:25:53,2013-06-09 00:25:53,,
realtalk403/realtalk,closed,160,2bf74f1ae313f5c0f9bd94406937c4d552da058a,res/menu/create_account.xml,modified,2,2,CoryShiraishi,2013-06-09 00:23:17,2013-06-09 00:23:17,2013-06-09 00:25:53,2013-06-09 00:25:53,,
realtalk403/realtalk,closed,160,2bf74f1ae313f5c0f9bd94406937c4d552da058a,res/menu/create_room.xml,modified,2,2,CoryShiraishi,2013-06-09 00:23:17,2013-06-09 00:23:17,2013-06-09 00:25:53,2013-06-09 00:25:53,,
realtalk403/realtalk,closed,160,2bf74f1ae313f5c0f9bd94406937c4d552da058a,res/menu/main.xml,modified,2,2,CoryShiraishi,2013-06-09 00:23:17,2013-06-09 00:23:17,2013-06-09 00:25:53,2013-06-09 00:25:53,,
realtalk403/realtalk,closed,160,793198f628914bef8fd947824ebdac2020d65b69,res/menu/select_room.xml,modified,14,14,CoryShiraishi,2013-06-09 00:23:17,2013-06-09 00:23:17,2013-06-09 00:25:53,2013-06-09 00:25:53,,
realtalk403/realtalk,closed,160,4204202c85c4f6e84a6a6b50732dcd79dbfd9e87,res/values/strings.xml,modified,39,0,CoryShiraishi,2013-06-09 00:23:17,2013-06-09 00:23:17,2013-06-09 00:25:53,2013-06-09 00:25:53,,
realtalk403/realtalk,closed,160,bd0b3ff0b0c5fd2b40a0ff3b047fc6314da5b71c,src/realtalk/activities/AccountSettingsActivity.java,modified,13,13,CoryShiraishi,2013-06-09 00:23:17,2013-06-09 00:23:17,2013-06-09 00:25:53,2013-06-09 00:25:53,,
realtalk403/realtalk,closed,160,2a391fbda10b2676a463f104db112ecbdad6cdaa,src/realtalk/activities/CreateAccountActivity.java,modified,15,15,CoryShiraishi,2013-06-09 00:23:17,2013-06-09 00:23:17,2013-06-09 00:25:53,2013-06-09 00:25:53,,
realtalk403/realtalk,closed,160,cdf08c668eb8a349c9f9c72924c424b9dfea452b,src/realtalk/activities/CreateRoomActivity.java,modified,6,6,CoryShiraishi,2013-06-09 00:23:17,2013-06-09 00:23:17,2013-06-09 00:25:53,2013-06-09 00:25:53,,
realtalk403/realtalk,closed,160,6b1fe50382c9548f7622c5b4cb47e742fc2dc415,src/realtalk/activities/LoginActivity.java,modified,5,4,CoryShiraishi,2013-06-09 00:23:17,2013-06-09 00:23:17,2013-06-09 00:25:53,2013-06-09 00:25:53,,
realtalk403/realtalk,closed,160,12fba9a54f73182186b64a77dd93fe7017349970,src/realtalk/activities/SelectRoomActivity.java,modified,12,12,CoryShiraishi,2013-06-09 00:23:17,2013-06-09 00:23:17,2013-06-09 00:25:53,2013-06-09 00:25:53,,
realtalk403/realtalk,closed,160,669bcf2728dfa845416b46f0d99a2d75634a3411,src/realtalk/asynctasks/Authenticator.java,modified,4,4,CoryShiraishi,2013-06-09 00:23:17,2013-06-09 00:23:17,2013-06-09 00:25:53,2013-06-09 00:25:53,,
realtalk403/realtalk,closed,160,bf1d9e9a47755dd96ce8b5612c59ae395f9cd963,src/realtalk/asynctasks/PwordChanger.java,modified,7,7,CoryShiraishi,2013-06-09 00:23:17,2013-06-09 00:23:17,2013-06-09 00:25:53,2013-06-09 00:25:53,,
realtalk403/realtalk,closed,160,fdf109848861541cb94358437812a563fe492d44,src/realtalk/asynctasks/RoomCreator.java,modified,1,1,CoryShiraishi,2013-06-09 00:23:17,2013-06-09 00:23:17,2013-06-09 00:25:53,2013-06-09 00:25:53,,
realtalk403/realtalk,closed,160,c2261dbe28c73860698e396bea12e170c34b5f47,src/realtalk/asynctasks/RoomJoiner.java,modified,1,1,CoryShiraishi,2013-06-09 00:23:17,2013-06-09 00:23:17,2013-06-09 00:25:53,2013-06-09 00:25:53,,
realtalk403/realtalk,closed,158,2e30bd23808ffd912aa319aaa2519c4557e28bf6,realtalk_styles.xml,modified,1,1,hazarij,2013-06-08 23:20:22,2013-06-08 23:20:22,2013-06-09 00:01:28,2013-06-09 00:01:28,,
realtalk403/realtalk,closed,158,cfb097395c51c3b22fc7466fa0990c2560390b55,src/realtalk/activities/AccountSettingsActivity.java,modified,30,2,hazarij,2013-06-08 23:20:22,2013-06-08 23:20:22,2013-06-09 00:01:28,2013-06-09 00:01:28,,
realtalk403/realtalk,closed,158,5f879049e957a2e514721ee8f66795d8d85daaaf,src/realtalk/activities/ChatRoomActivity.java,modified,107,23,hazarij,2013-06-08 23:20:22,2013-06-08 23:20:22,2013-06-09 00:01:28,2013-06-09 00:01:28,,
realtalk403/realtalk,closed,158,fc49af1ef575414e1281033ebb5c49c737cc3c1a,src/realtalk/activities/CreateAccountActivity.java,modified,15,1,hazarij,2013-06-08 23:20:22,2013-06-08 23:20:22,2013-06-09 00:01:28,2013-06-09 00:01:28,,
realtalk403/realtalk,closed,158,45280bf85f2dae07970cf52a740e84154f9fe9d1,src/realtalk/activities/CreateRoomActivity.java,modified,71,8,hazarij,2013-06-08 23:20:22,2013-06-08 23:20:22,2013-06-09 00:01:28,2013-06-09 00:01:28,,
realtalk403/realtalk,closed,158,6a55e1f8b05b4dcde15824cebeb56a038f6edafb,src/realtalk/activities/LoginActivity.java,modified,67,22,hazarij,2013-06-08 23:20:22,2013-06-08 23:20:22,2013-06-09 00:01:28,2013-06-09 00:01:28,,
realtalk403/realtalk,closed,158,aec7a9a1e7330976fbbe14e1352eacb672de9418,src/realtalk/activities/SelectRoomActivity.java,modified,50,7,hazarij,2013-06-08 23:20:22,2013-06-08 23:20:22,2013-06-09 00:01:28,2013-06-09 00:01:28,,
realtalk403/realtalk,closed,158,b07d667404b0ec64b457d7e7da8e567d44bfaf42,src/realtalk/asynctasks/Authenticator.java,modified,13,13,hazarij,2013-06-08 23:20:22,2013-06-08 23:20:22,2013-06-09 00:01:28,2013-06-09 00:01:28,,
realtalk403/realtalk,closed,158,3006be8381d13abf5c6eaab024b606f8dfd87610,src/realtalk/asynctasks/GCMMessageLoader.java,modified,24,7,hazarij,2013-06-08 23:20:22,2013-06-08 23:20:22,2013-06-09 00:01:28,2013-06-09 00:01:28,,
realtalk403/realtalk,closed,158,7b8a1c80c71925736e47e4dd392942b0300a95c3,src/realtalk/asynctasks/MessageSender.java,modified,2,2,hazarij,2013-06-08 23:20:22,2013-06-08 23:20:22,2013-06-09 00:01:28,2013-06-09 00:01:28,,
realtalk403/realtalk,closed,158,004b5494cad789742e45fee6f6bfb725d595cabf,src/realtalk/asynctasks/PwordChanger.java,modified,10,10,hazarij,2013-06-08 23:20:22,2013-06-08 23:20:22,2013-06-09 00:01:28,2013-06-09 00:01:28,,
realtalk403/realtalk,closed,158,45ca94a40596770065c6c573f1ce09e43f2ef798,src/realtalk/asynctasks/RoomCreator.java,modified,10,9,hazarij,2013-06-08 23:20:22,2013-06-08 23:20:22,2013-06-09 00:01:28,2013-06-09 00:01:28,,
realtalk403/realtalk,closed,158,8c19ef677e8376378fa60db0c46b04ce24f92d97,src/realtalk/asynctasks/RoomJoiner.java,modified,11,11,hazarij,2013-06-08 23:20:22,2013-06-08 23:20:22,2013-06-09 00:01:28,2013-06-09 00:01:28,,
realtalk403/realtalk,closed,158,650d7d2227453825eda0faf2a502a658819a846d,src/realtalk/asynctasks/RoomLeaverFromRoom.java,modified,10,10,hazarij,2013-06-08 23:20:22,2013-06-08 23:20:22,2013-06-09 00:01:28,2013-06-09 00:01:28,,
realtalk403/realtalk,closed,158,90e9a395a028e7813da247050915c359b92414ff,src/realtalk/asynctasks/RoomLeaverFromRoomList.java,modified,1,1,hazarij,2013-06-08 23:20:22,2013-06-08 23:20:22,2013-06-09 00:01:28,2013-06-09 00:01:28,,
