Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
realtalk403/realtalk,closed,166,cf978d76e03de3ff008c7bece582bf5e0b227858,tests/src/realtalk/activities/AccountSettingsActivityTest.java,modified,0,2,taylorsw,2013-06-10 00:50:49,2013-06-10 00:50:49,2013-06-10 02:21:41,2013-06-10 02:21:41,,
realtalk403/realtalk,closed,166,98ed85211e57be9df4e9f75c5e20c6039305dd14,tests/src/realtalk/activities/LoginActivityTest.java,modified,0,5,taylorsw,2013-06-10 00:50:49,2013-06-10 00:50:49,2013-06-10 02:21:41,2013-06-10 02:21:41,,
realtalk403/realtalk,closed,158,8ed3a81dad9022544aa22d2074172402ac204c03,tests/src/realtalk/activities/ChatRoomActivityTest.java,modified,4,3,hazarij,2013-06-08 23:20:22,2013-06-08 23:20:22,2013-06-09 00:01:28,2013-06-09 00:01:28,,
realtalk403/realtalk,closed,158,a8f92c8bfc075ba4fb599e2525602cf4fb55e365,tests/src/realtalk/util/JSONParserTest.java,modified,38,7,hazarij,2013-06-08 23:20:22,2013-06-08 23:20:22,2013-06-09 00:01:28,2013-06-09 00:01:28,,
realtalk403/realtalk,closed,156,10fa823b3265e60cf663b22108f8033fa91c275a,tests/src/realtalk/activities/ChatRoomActivityTest.java,modified,1,0,taylorsw,2013-06-03 05:07:18,2013-06-03 05:07:18,2013-06-03 05:07:27,2013-06-03 05:07:27,,
realtalk403/realtalk,closed,155,f4792942f90c03d14fb91919a83e80acce64a186,tests/src/realtalk/activities/ChatRoomActivityTest.java,modified,3,1,colinkho,2013-06-03 04:27:16,2013-06-03 04:27:16,2013-06-03 04:30:44,2013-06-03 04:30:44,,
realtalk403/realtalk,closed,155,9d153c2cfc2bc94486b02eb5b66a9119a1d0de6e,tests/src/realtalk/activities/CreateRoomActivityTest.java,modified,0,12,colinkho,2013-06-03 04:27:16,2013-06-03 04:27:16,2013-06-03 04:30:44,2013-06-03 04:30:44,,
realtalk403/realtalk,closed,154,38aa92da515ea4548cfe68cc6a83bd93813924d2,tests/src/realtalk/activities/ChatRoomActivityTest.java,modified,31,38,colinkho,2013-06-03 01:45:16,2013-06-03 01:45:16,2013-06-03 01:47:46,2013-06-03 01:47:46,,
realtalk403/realtalk,closed,153,c038f3ba35efe1f5cddb8d6bf363289a0a9a2e17,tests/src/realtalk/activities/ChatRoomActivityTest.java,modified,45,26,hazarij,2013-06-03 01:37:11,2013-06-03 01:37:11,2013-06-03 01:38:21,NA,,
realtalk403/realtalk,closed,152,e6f98cb8eba59ca10cfa35b2d690e4d5f5acab79,tests/src/realtalk/activities/ChatRoomActivityTest.java,modified,39,33,hazarij,2013-06-03 01:33:41,2013-06-03 01:33:41,2013-06-03 01:34:52,NA,,
realtalk403/realtalk,closed,151,b1a63c2caef0181e51094eea3828f22544f5c89b,tests/src/realtalk/activities/LoginActivityTest.java,modified,32,13,hazarij,2013-06-03 01:01:47,2013-06-03 01:01:47,2013-06-03 01:03:12,2013-06-03 01:03:12,,
realtalk403/realtalk,closed,150,4fe8ecd207640c395cd8e22bcc2ede922ad47854,libs/easymock-3.1-tests.jar,added,0,0,blee92,2013-06-03 00:54:41,2013-06-03 00:54:41,2013-06-03 01:15:39,2013-06-03 01:15:39,,
realtalk403/realtalk,closed,150,0cfaa44a332dd758f13e86b86ff0f17a80cb8271,tests/AndroidManifest.xml,modified,3,0,blee92,2013-06-03 00:54:41,2013-06-03 00:54:41,2013-06-03 01:15:39,2013-06-03 01:15:39,,
realtalk403/realtalk,closed,150,ee0eead5bb7d90f91387b589a7940b0fcd1f16f5,tests/lint.xml,added,3,0,blee92,2013-06-03 00:54:41,2013-06-03 00:54:41,2013-06-03 01:15:39,2013-06-03 01:15:39,,
realtalk403/realtalk,closed,150,734b600ec905f402370a4339942f37d87962efd6,tests/src/realtalk/activities/AccountSettingsActivityTest.java,modified,22,2,blee92,2013-06-03 00:54:41,2013-06-03 00:54:41,2013-06-03 01:15:39,2013-06-03 01:15:39,,
realtalk403/realtalk,closed,150,91a767f83bf05fdd3565fa4acdcf23c7dd6862e7,tests/src/realtalk/activities/ChatRoomActivityTest.java,modified,34,12,blee92,2013-06-03 00:54:41,2013-06-03 00:54:41,2013-06-03 01:15:39,2013-06-03 01:15:39,,
realtalk403/realtalk,closed,150,ff5a1b8ebec55260553ec5429a8de3e6715a1e94,tests/src/realtalk/activities/CreateRoomActivityTest.java,modified,11,13,blee92,2013-06-03 00:54:41,2013-06-03 00:54:41,2013-06-03 01:15:39,2013-06-03 01:15:39,,
realtalk403/realtalk,closed,150,64f9b73a047983e115e5f41ccb30ae365e6804ac,tests/src/realtalk/activities/LoginActivityTest.java,modified,5,4,blee92,2013-06-03 00:54:41,2013-06-03 00:54:41,2013-06-03 01:15:39,2013-06-03 01:15:39,,
realtalk403/realtalk,closed,150,c2bb3a034059fb84da713f8b72cff83d965105a6,tests/src/realtalk/controller/ChatControllerTest.java,modified,350,28,blee92,2013-06-03 00:54:41,2013-06-03 00:54:41,2013-06-03 01:15:39,2013-06-03 01:15:39,,
realtalk403/realtalk,closed,150,4c2a95bbb3ffa93f26478a2054a08147c56894f3,tests/src/realtalk/util/ChatManagerTest.java,modified,1,0,blee92,2013-06-03 00:54:41,2013-06-03 00:54:41,2013-06-03 01:15:39,2013-06-03 01:15:39,,
realtalk403/realtalk,closed,150,75d3b80ba12b833eaf3694861172defb27b6f7e4,tests/src/realtalk/util/UserManagerTest.java,removed,0,161,blee92,2013-06-03 00:54:41,2013-06-03 00:54:41,2013-06-03 01:15:39,2013-06-03 01:15:39,,
