Repository,Estado,Page,Total pulls,Pulls wiht tests,pulls without testes,,,
TEAMMATES_repo,open,1,39,27,12,,1,TEAMMATES_repo
wtud_TSAP,open,1,1,0,1,,2,wtud_TSAP
fabric8io_fabric8,open,1,3,0,3,,3,realtalk403_realtalk
elasticsearch_elasticsearch,open,1,100,56,44,,4,fabric8io_fabric8
elasticsearch_elasticsearch,open,2,200,107,93,,5,elasticsearch_elasticsearch
elasticsearch_elasticsearch,open,3,240,128,112,,6,RostarSynergistics_ShinyExpenseTracker
TEAMMATES_repo,closed,1,100,42,58,,7,CS340Group_hit
TEAMMATES_repo,closed,2,200,111,89,,8,enonic_xp
TEAMMATES_repo,closed,3,300,176,124,,9,mozilla_j2me.js
TEAMMATES_repo,closed,4,400,234,166,,10,wildfly_wildfly
TEAMMATES_repo,closed,5,500,276,224,,,
TEAMMATES_repo,closed,6,100,55,45,,,
TEAMMATES_repo,closed,7,200,109,91,,,
TEAMMATES_repo,closed,8,300,171,129,,,
TEAMMATES_repo,closed,9,400,229,171,,,
TEAMMATES_repo,closed,10,500,329,171,,,
TEAMMATES_repo,closed,11,600,429,171,,,
TEAMMATES_repo,closed,12,100,23,77,,,
TEAMMATES_repo,closed,13,200,67,133,,,
TEAMMATES_repo,closed,14,300,118,182,,,
TEAMMATES_repo,closed,15,400,163,237,,,
TEAMMATES_repo,closed,16,500,222,278,,,
TEAMMATES_repo,closed,17,600,288,312,,,
TEAMMATES_repo,closed,18,700,342,358,,,
TEAMMATES_repo,closed,19,800,372,428,,,
TEAMMATES_repo,closed,20,900,425,475,,,
TEAMMATES_repo,closed,21,1000,474,526,,,
TEAMMATES_repo,closed,22,1100,521,579,,,
TEAMMATES_repo,closed,23,1200,600,600,,,
TEAMMATES_repo,closed,24,1300,700,600,,,
TEAMMATES_repo,closed,25,1400,800,600,,,
TEAMMATES_repo,closed,26,1500,900,600,,,
TEAMMATES_repo,closed,27,1600,1000,600,,,
TEAMMATES_repo,closed,28,1700,1100,600,,,
TEAMMATES_repo,closed,29,1800,1200,600,,,
TEAMMATES_repo,closed,30,1900,1300,600,,,
TEAMMATES_repo,closed,31,2000,1400,600,,,
TEAMMATES_repo,closed,32,2100,1500,600,,,
TEAMMATES_repo,closed,33,2200,1600,600,,,
TEAMMATES_repo,closed,34,2300,1700,600,,,
TEAMMATES_repo,closed,35,2400,1800,600,,,
TEAMMATES_repo,closed,36,2412,1812,600,,,
Craig-Macomber_WeatherOracle,closed,1,100,7,93,,,
Craig-Macomber_WeatherOracle,closed,2,188,21,167,,,
MassBayCS225_EMS,closed,1,100,1,99,,,
MassBayCS225_EMS,closed,2,200,10,190,,,
MassBayCS225_EMS,closed,3,277,15,262,,,
ZooTypers_ZooTypers,closed,1,100,30,70,,,
ZooTypers_ZooTypers,closed,2,184,50,134,,,
cs2103aug2014-W09-3j_main,closed,1,16,1,15,,,
wtud_TSAP,closed,1,100,16,84,,,
wtud_TSAP,closed,2,125,18,107,,,
huskysoft_403Interviewer,closed,1,97,46,51,,,
champo_TPE-PAW,closed,1,78,5,73,,,
cs2103aug2014-f11-1j_TaskCommander,closed,1,2,0,2,,,
realtalk403_realtalk,closed,1,100,41,59,,,
realtalk403_realtalk,closed,2,116,41,75,,,
turesheim_eclipse-utilities,closed,1,1,0,1,,,
fabric8io_fabric8,closed,1,100,7,93,,,
fabric8io_fabric8,closed,2,200,17,183,,,
fabric8io_fabric8,closed,3,300,21,279,,,
fabric8io_fabric8,closed,4,400,26,374,,,
fabric8io_fabric8,closed,5,500,30,470,,,
fabric8io_fabric8,closed,6,600,35,565,,,
fabric8io_fabric8,closed,7,700,41,659,,,
fabric8io_fabric8,closed,8,800,46,754,,,
fabric8io_fabric8,closed,9,900,51,849,,,
fabric8io_fabric8,closed,10,1000,56,944,,,
fabric8io_fabric8,closed,11,1100,61,1039,,,
fabric8io_fabric8,closed,12,1200,65,1135,,,
fabric8io_fabric8,closed,13,1300,76,1224,,,
fabric8io_fabric8,closed,14,1400,86,1314,,,
fabric8io_fabric8,closed,15,1500,186,1314,,,
fabric8io_fabric8,closed,16,1600,286,1314,,,
fabric8io_fabric8,closed,17,1700,386,1314,,,
fabric8io_fabric8,closed,18,1800,486,1314,,,
fabric8io_fabric8,closed,19,1900,586,1314,,,
fabric8io_fabric8,closed,20,2000,686,1314,,,
fabric8io_fabric8,closed,21,2100,786,1314,,,
fabric8io_fabric8,closed,22,2200,886,1314,,,
fabric8io_fabric8,closed,23,2300,986,1314,,,
fabric8io_fabric8,closed,24,2400,1086,1314,,,
fabric8io_fabric8,closed,25,2500,1186,1314,,,
fabric8io_fabric8,closed,26,2600,1286,1314,,,
fabric8io_fabric8,closed,27,2700,1386,1314,,,
fabric8io_fabric8,closed,28,2800,1486,1314,,,
fabric8io_fabric8,closed,29,100,18,82,,,
fabric8io_fabric8,closed,30,200,34,166,,,
fabric8io_fabric8,closed,31,300,47,253,,,
fabric8io_fabric8,closed,32,400,69,331,,,
fabric8io_fabric8,closed,33,500,84,416,,,
fabric8io_fabric8,closed,34,600,105,495,,,
fabric8io_fabric8,closed,35,700,125,575,,,
fabric8io_fabric8,closed,36,800,151,649,,,
fabric8io_fabric8,closed,37,900,164,736,,,
fabric8io_fabric8,closed,38,1000,194,806,,,
fabric8io_fabric8,closed,39,1100,219,881,,,
fabric8io_fabric8,closed,40,1200,259,941,,,
fabric8io_fabric8,closed,41,1300,280,1020,,,
fabric8io_fabric8,closed,42,1400,292,1108,,,
fabric8io_fabric8,closed,43,1481,330,1151,,,
elasticsearch_elasticsearch,closed,1,100,58,42,,,
elasticsearch_elasticsearch,closed,2,200,110,90,,,
elasticsearch_elasticsearch,closed,3,300,166,134,,,
elasticsearch_elasticsearch,closed,4,400,210,190,,,
elasticsearch_elasticsearch,closed,5,500,273,227,,,
elasticsearch_elasticsearch,closed,6,600,373,227,,,
elasticsearch_elasticsearch,closed,7,700,473,227,,,
elasticsearch_elasticsearch,closed,8,800,573,227,,,
elasticsearch_elasticsearch,closed,9,900,673,227,,,
elasticsearch_elasticsearch,closed,10,1000,773,227,,,
elasticsearch_elasticsearch,closed,11,1100,873,227,,,
elasticsearch_elasticsearch,closed,12,1200,973,227,,,
elasticsearch_elasticsearch,closed,13,1300,1073,227,,,
elasticsearch_elasticsearch,closed,14,1400,1173,227,,,
elasticsearch_elasticsearch,closed,15,1500,1273,227,,,
elasticsearch_elasticsearch,closed,16,1600,1373,227,,,
elasticsearch_elasticsearch,closed,17,1700,1473,227,,,
elasticsearch_elasticsearch,closed,18,1800,1573,227,,,
elasticsearch_elasticsearch,closed,19,1900,1673,227,,,
elasticsearch_elasticsearch,closed,20,2000,1773,227,,,
elasticsearch_elasticsearch,closed,21,2100,1873,227,,,
elasticsearch_elasticsearch,closed,22,2200,1973,227,,,
elasticsearch_elasticsearch,closed,23,100,65,35,,,
elasticsearch_elasticsearch,closed,24,200,118,82,,,
elasticsearch_elasticsearch,closed,25,300,174,126,,,
elasticsearch_elasticsearch,closed,26,400,223,177,,,
elasticsearch_elasticsearch,closed,27,500,280,220,,,
elasticsearch_elasticsearch,closed,28,600,334,266,,,
elasticsearch_elasticsearch,closed,29,700,397,303,,,
elasticsearch_elasticsearch,closed,30,800,460,340,,,
elasticsearch_elasticsearch,closed,31,900,510,390,,,
elasticsearch_elasticsearch,closed,32,1000,562,438,,,
elasticsearch_elasticsearch,closed,33,1100,610,490,,,
elasticsearch_elasticsearch,closed,34,1200,662,538,,,
elasticsearch_elasticsearch,closed,35,1300,762,538,,,
