Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
wtud/TSAP,open,160,5d8ed08416e06c11d87275042b228e184e573c08,tsap-tests/src/org/tribler/tsap/XMLRPC/tests/StubbedXMLRPCConnection.java,modified,13,4,NULL,2014-07-02 20:27:22,2014-07-02 20:27:22,0,0,,
wtud/TSAP,open,160,d6e6084cad040e8b8793db6ec409b1f4b8928dfd,tsap-tests/src/org/tribler/tsap/settings/tests/XMLRPCThumbFolderManagerTest.java,modified,1,1,NULL,2014-07-02 20:27:22,2014-07-02 20:27:22,0,0,,
wtud/TSAP,open,160,48e13655f14346d219ec7cf8fc1b35017c2cd80a,tsap-tests/src/org/tribler/tsap/thumbgrid/tests/XMLRPCTorrentManagerTest.java,added,122,0,NULL,2014-07-02 20:27:22,2014-07-02 20:27:22,0,0,,
wtud/TSAP,closed,165,021364556da0ac97da088cf99d82cc023216a588,tribler-prototype/tsap-tests/runtests.sh,modified,8,0,NULL,2014-07-04 15:19:41,2014-07-04 15:19:41,2014-07-04 16:32:20,2014-07-04 16:32:20,,
wtud/TSAP,closed,164,ac911bd5328ad91f61cc3d69e7d22155863303f2,tribler-prototype/tsap-tests/DownloadManager_test.py,modified,3,3,wtud,2014-07-04 11:22:28,2014-07-04 11:22:28,2014-07-04 14:53:49,2014-07-04 14:53:49,,
wtud/TSAP,closed,164,a991f30301ae4e2cd3a3955a9a7c72a96b6da885,tribler-prototype/tsap-tests/runtests.sh,added,15,0,wtud,2014-07-04 11:22:28,2014-07-04 11:22:28,2014-07-04 14:53:49,2014-07-04 14:53:49,,
wtud/TSAP,closed,156,a65f402e998cfd331f9051170553562ddf436597,tsap-tests/src/org/tribler/tsap/XMLRPC/tests/StubbedXMLRPCConnection.java,modified,0,1,wtud,2014-07-02 21:42:36,2014-07-02 21:42:36,2014-07-02 21:48:16,2014-07-02 21:48:16,,
wtud/TSAP,closed,156,76c08a92cfab849e3af03763d20960ab72b05fb0,tsap-tests/src/org/tribler/tsap/downloads/tests/DownloadListAdapterTest.java,modified,8,4,wtud,2014-07-02 21:42:36,2014-07-02 21:42:36,2014-07-02 21:48:16,2014-07-02 21:48:16,,
wtud/TSAP,closed,156,d0958e8c6ec7bd6992daa83025c1c37281a70c1c,tsap-tests/src/org/tribler/tsap/downloads/tests/DownloadStatusTest.java,modified,3,2,wtud,2014-07-02 21:42:36,2014-07-02 21:42:36,2014-07-02 21:48:16,2014-07-02 21:48:16,,
wtud/TSAP,closed,156,36d9404b5bc5024cad6c93bc56c133fbdd82d848,tsap-tests/src/org/tribler/tsap/downloads/tests/DownloadTest.java,modified,4,3,wtud,2014-07-02 21:42:36,2014-07-02 21:42:36,2014-07-02 21:48:16,2014-07-02 21:48:16,,
wtud/TSAP,closed,156,627467dca0b369370d69b793214bf7b787660c6a,tsap-tests/src/org/tribler/tsap/settings/tests/XMLRPCThumbFolderManagerTest.java,modified,8,7,wtud,2014-07-02 21:42:36,2014-07-02 21:42:36,2014-07-02 21:48:16,2014-07-02 21:48:16,,
wtud/TSAP,closed,156,2f5d2dc979a569b710ff3accf8a31598c23f0efb,tsap-tests/src/org/tribler/tsap/tests/AbstractArrayListAdapterTest.java,modified,31,33,wtud,2014-07-02 21:42:36,2014-07-02 21:42:36,2014-07-02 21:48:16,2014-07-02 21:48:16,,
wtud/TSAP,closed,156,f8ebc6a4caab68cd2c8f241954281da9efeab603,tsap-tests/src/org/tribler/tsap/tests/PollerTest.java,removed,0,54,wtud,2014-07-02 21:42:36,2014-07-02 21:42:36,2014-07-02 21:48:16,2014-07-02 21:48:16,,
wtud/TSAP,closed,156,4b989ade8a57e28b52575e5cc7b3b394b2bd17dc,tsap-tests/src/org/tribler/tsap/tests/StatusViewerTest.java,modified,20,14,wtud,2014-07-02 21:42:36,2014-07-02 21:42:36,2014-07-02 21:48:16,2014-07-02 21:48:16,,
wtud/TSAP,closed,156,39e46a3754be71cb495e9f2db6638e447b94a863,tsap-tests/src/org/tribler/tsap/tests/TorrentTest.java,renamed,1,1,wtud,2014-07-02 21:42:36,2014-07-02 21:42:36,2014-07-02 21:48:16,2014-07-02 21:48:16,,
wtud/TSAP,closed,156,00b219197b46ed4edc0bff05c4646edd58907663,tsap-tests/src/org/tribler/tsap/thumbgrid/tests/ThumbAdapterTest.java,modified,0,3,wtud,2014-07-02 21:42:36,2014-07-02 21:42:36,2014-07-02 21:48:16,2014-07-02 21:48:16,,
wtud/TSAP,closed,156,8c7f66d1956fe6d9367ab8b516534ee9f96f036f,tsap-tests/src/org/tribler/tsap/thumbgrid/tests/TorrentHealthTest.java,modified,13,16,wtud,2014-07-02 21:42:36,2014-07-02 21:42:36,2014-07-02 21:48:16,2014-07-02 21:48:16,,
wtud/TSAP,closed,156,383a2a8d801fa7004c572ba83b5e899ae4b11a0a,tsap-tests/src/org/tribler/tsap/util/tests/MainThreadPollerTest.java,renamed,14,12,wtud,2014-07-02 21:42:36,2014-07-02 21:42:36,2014-07-02 21:48:16,2014-07-02 21:48:16,,
wtud/TSAP,closed,156,31a84f993864d4f65e54c1bcc1cb57f5363c2c5b,tsap-tests/src/org/tribler/tsap/util/tests/PollerTest.java,added,57,0,wtud,2014-07-02 21:42:36,2014-07-02 21:42:36,2014-07-02 21:48:16,2014-07-02 21:48:16,,
wtud/TSAP,closed,156,254d563df54d9da24c0e3fd656d5035df315f271,tsap-tests/src/org/tribler/tsap/util/tests/UtilityTest.java,renamed,28,33,wtud,2014-07-02 21:42:36,2014-07-02 21:42:36,2014-07-02 21:48:16,2014-07-02 21:48:16,,
wtud/TSAP,closed,161,0788a88867f869a3284e4857be2afa4a3520223a,tsap-tests/src/org/tribler/tsap/tests/UtilityTest.java,modified,47,1,nspruit,2014-07-02 21:17:41,2014-07-02 21:17:41,2014-07-02 21:32:33,2014-07-02 21:32:33,,
wtud/TSAP,closed,141,5f4cd93301ba31efafb3d1c611ed9de3d3dff184,tsap-tests/src/org/tribler/tsap/thumbgrid/tests/TorrentHealthTest.java,added,41,0,nspruit,2014-07-02 20:12:33,2014-07-02 20:12:33,2014-07-02 20:18:24,2014-07-02 20:18:24,,
wtud/TSAP,closed,157,f67ac9461b9f7d8ea552eb3cf6afefae7c3e3631,tsap-tests/src/org/tribler/tsap/downloads/tests/DownloadStatusTest.java,added,16,0,wtud,2014-07-02 20:11:18,2014-07-02 20:11:18,2014-07-02 20:23:57,2014-07-02 20:23:57,,
wtud/TSAP,closed,157,d6a5096e7f230a0714afdf9c53c6c0864ed27706,tsap-tests/src/org/tribler/tsap/downloads/tests/DownloadTest.java,added,21,0,wtud,2014-07-02 20:11:18,2014-07-02 20:11:18,2014-07-02 20:23:57,2014-07-02 20:23:57,,
wtud/TSAP,closed,155,15b700493378b5bd97b5975ea2e0110586f03085,tsap-UItests/src/org/tribler/tsap/UItests/BasicUiTestCase.java,modified,6,6,D1rk123,2014-07-02 18:53:39,2014-07-02 18:53:39,2014-07-02 21:28:13,2014-07-02 21:28:13,,
wtud/TSAP,closed,155,fc0274f2293992bfa20522811e73aead347ace40,tsap-UItests/src/org/tribler/tsap/UItests/ChannelListUiTest.java,removed,0,337,D1rk123,2014-07-02 18:53:39,2014-07-02 18:53:39,2014-07-02 21:28:13,2014-07-02 21:28:13,,
wtud/TSAP,closed,155,04b753c38817a1340719dc501b81d15ee098fc03,tsap-UItests/src/org/tribler/tsap/UItests/DownloadInfoLandscapeUiTest.java,added,27,0,D1rk123,2014-07-02 18:53:39,2014-07-02 18:53:39,2014-07-02 21:28:13,2014-07-02 21:28:13,,
